strategy_name,strategy_type,period_type,period_end,pnl_usd,equity_usd,drawdown_usd
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-02-28,-60291.63128945013,-60291.63128945007,-147148.4819411898
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-03-31,-301864.26221964264,-362155.8935090926,-449012.7441608324
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-04-30,-396096.3052475335,-758252.1987566259,-845109.0494083656
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-05-31,2024398.4655398508,1266146.2667832247,0.0
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-06-30,-273188.92774630245,992957.3390369226,-273188.9277463021
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-07-31,210396.6131450324,1203353.952181955,-62792.31460126955
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-08-31,44311.21659227545,1247665.1687742304,-259468.0768348705
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-09-30,1818721.8477145187,3066387.0164887495,0.0
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-10-31,1593263.019600546,4659650.036089295,-22500.819934988394
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-11-30,-1012688.5618014907,3646961.474287804,-1135948.259508335
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2023-12-31,-1118381.8313558325,2528579.642931972,-2254330.090864167
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-01-31,74760.16474233216,2603339.8076743037,-2179569.9261218356
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-02-29,2012884.680486872,4616224.488161176,-166685.2456349628
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-03-31,583122.5942444656,5199347.082405641,0.0
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-04-30,-28373.289430476914,5170973.792975163,-347478.25158138387
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-05-31,-161136.2538024722,5009837.539172689,-562970.8658749182
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-06-30,724262.5393360201,5734100.078508709,0.0
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-07-31,1274153.2167641465,7008253.295272857,0.0
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-08-31,-244686.88844296167,6763566.406829894,-471484.2724444531
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-09-30,-1410732.399473916,5352834.007355978,-1882216.671918369
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-10-31,394873.70741756377,5747707.714773541,-1487342.9645008054
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-11-30,2735474.1073218896,8483181.822095431,0.0
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2024-12-31,2825184.1392174503,11308365.961312883,0.0
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-01-31,549349.271542512,11857715.232855393,-258045.71939456463
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-02-28,-1016656.1366717436,10841059.096183646,-1274701.8560663108
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-03-31,-198035.60155582544,10643023.494627824,-1472737.4576221332
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-04-30,234043.89334625,10877067.387974072,-1238693.564275885
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-05-31,-1648933.046790217,9228134.341183856,-2887626.611066101
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-06-30,-951937.9273317147,8276196.413852139,-3839564.538397818
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-07-31,-746892.4713652026,7529303.942486935,-4586457.009763022
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-08-31,1214402.038026698,8743705.980513634,-3372054.971736323
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-09-30,551532.043009425,9295238.02352306,-2820522.9287268966
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-10-31,1953804.1945975595,11249042.21812062,-866718.7341293376
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-11-30,1018996.9189695946,12268039.137090212,-75162.60191946104
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2025-12-31,181419.8890979675,12449459.026188178,-8336.85809192434
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2026-01-31,-350693.731588993,12098765.294599185,-425779.50500163063
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2026-02-28,-981816.004511968,11116949.290087216,-1407595.5095135998
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2026-03-31,434334.95041343715,11551284.240500653,-973260.5591001622
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2026-04-30,-275307.8348014386,11275976.405699212,-1248568.3939016033
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,monthly,2026-05-31,47692.204656585986,11323668.6103558,-1200876.1892450154
BASKET  Call-UO  1M  ATM/H@20Δ,eko_basket,annual,2023-12-31,2528579.6429319712,2528579.642931972,-2254330.090864167
