strategy_name,strategy_type,n_trades,notional_usd,total_premium_paid_usd,total_tx_cost_usd,total_payout_usd,total_pnl_usd,max_drawdown_usd,win_rate_pct,premium_recovery_pct,sharpe_monthly,annual_sharpe_mean,annual_sharpe_min,annual_sharpe_std,annual_sharpe_cv,annual_sharpe_score,n_years,pct_positive_years,min_annual_pnl_usd,calmar,gain_to_pain,ulcer_index,feasibility_pct,ko_rate_pct,leg_a_ko_rate_pct,leg_b_ko_rate_pct,both_survive_rate_pct,structure_vs_min_leg_pct
USDJPY CALL-upout  ATM  2M  H@20Δ,single,832,10000000.0,19078272.064728584,1664000.0,22702618.927721843,3624346.862993259,-2276212.1816284624,15.865384615384615,118.99724907316873,0.48426822440636286,0.7685184092696045,-0.2517092971569829,1.0765378222021902,1.4007964015140844,-0.3080194129325857,4,75.0,-379573.70253382047,0.5000662230994798,1.4396237637491758,9.696154767514566,100.0,60.09615384615385,,,,
USDJPY CALL-upout  ATM  1M  H@20Δ,single,853,10000000.0,15080644.654127408,1706000.0,18064313.849857323,2983669.1957299137,-2611683.1043389207,18.522860492379838,119.78475896859831,0.49344760957890454,0.8376538602702328,-0.41336213359320084,1.1070337316234133,1.3215885273498014,-0.26937987135318053,4,75.0,-643617.8595807101,0.35064968593033624,1.4724423341516366,11.810571431422195,100.0,50.410316529894494,,,,
USDJPY CALL-upout  ATM  6W  H@20Δ,single,845,10000000.0,16875067.329903066,1690000.0,18810217.48535753,1935150.1554544668,-2959199.2454889007,15.976331360946746,111.46751072231473,0.2907179639996653,0.40102130707750916,-1.0902425365256108,0.9745093325170043,2.4300687153479648,-0.5734880254394952,4,75.0,-1498114.8654867683,0.20241778999391097,1.227881945071363,16.906935819581417,100.0,55.02958579881657,,,,
USDJPY CALL-upout  ATM  10W  H@20Δ,single,825,10000000.0,19905973.258979015,1650000.0,26037649.853668608,6131676.594689594,-2831185.071710547,16.969696969696972,130.80319919511481,0.5600785577149356,0.6743501994599221,-0.12607489280502535,0.7605259894858405,1.1277908571761903,-0.08617579002591835,4,75.0,-323805.23481880676,0.6866710318282327,1.5865232039101484,12.6785739210717,100.0,61.33333333333333,,,,
USDJPY CALL-upout  ATM  3M  H@20Δ,single,812,10000000.0,21445437.473922938,1624000.0,26595046.175380304,5149608.701457371,-9014180.973327339,15.270935960591133,124.012607379631,0.37586672672370164,0.3394739970730426,-1.070123163800203,1.1577933271847904,3.4105508438564587,-0.8183193301117478,4,50.0,-2705312.782266792,0.1840030945788848,1.3976454011691368,52.733874859362665,100.0,64.77832512315271,,,,
USDJPY CALL-upout  45Δ  2M  H@20Δ,single,832,10000000.0,13013066.840758588,1664000.0,16058004.276426753,3044937.4356681667,-1669113.250311302,13.701923076923078,123.39907627409579,0.5494241715911871,0.7664065768608584,-0.048583300753113796,0.8986823244253729,1.1725921352427657,-0.13227574756451443,4,50.0,-57567.16687036096,0.5729319987821231,1.4913048386026393,7.065237728001865,100.0,60.09615384615385,,,,
USDJPY CALL-upout  45Δ  1M  H@20Δ,single,853,10000000.0,10305655.342608148,1706000.0,12757923.343532812,2452268.0009246645,-1858908.5372146876,15.59202813599062,123.79536205510291,0.537669053443088,0.8487868520089101,-0.5654720892741134,1.0804157977153215,1.272894125490035,-0.23162894570641135,4,75.0,-615623.9831511892,0.4049050304856074,1.5389099286634285,8.327094920570595,100.0,50.410316529894494,,,,
USDJPY CALL-upout  45Δ  6W  H@20Δ,single,845,10000000.0,11502012.332872946,1690000.0,13367036.503188347,1865024.1703153995,-1982454.1538542071,14.201183431952662,116.21476413292595,0.37773679807268695,0.4319811099577327,-1.1029755907160967,0.9571439248197434,2.21570782322726,-0.5251628148620107,4,75.0,-1054065.241186501,0.29119876530238614,1.312489676722967,11.223662959301242,100.0,55.02958579881657,,,,
USDJPY CALL-upout  45Δ  10W  H@20Δ,single,825,10000000.0,13599052.473413305,1650000.0,18727126.76041397,5128074.287000664,-1726845.2167691593,14.424242424242426,137.70905581125047,0.6229340606807899,0.7346199677804068,0.15158621448010046,0.623680889222755,0.8489843954380316,0.11093907855765184,4,100.0,308853.655474851,0.9415397101680407,1.7026495301752267,7.999261459296772,100.0,61.33333333333333,,,,
USDJPY CALL-upout  45Δ  3M  H@20Δ,single,812,10000000.0,14729492.413235554,1624000.0,19578200.105054207,4848707.691818651,-6205496.344068902,13.793103448275861,132.9183623969399,0.4521084244581068,0.39404104237669185,-0.9735599495155616,1.0433652580217883,2.6478593491902327,-0.6493242156450965,4,75.0,-1818081.7662924984,0.25166721843372786,1.523962419679535,35.31497689052131,100.0,64.77832512315271,,,,
USDJPY CALL-upout  40Δ  2M  H@20Δ,single,832,10000000.0,8074858.94886321,1664000.0,10134541.33483331,2059682.3859701017,-1084738.6942121186,11.057692307692307,125.50734816563039,0.5710896151137737,0.7470774556664573,-0.16966678749260397,0.8284225330386419,1.1088843957948347,-0.08134507737218455,4,75.0,-194150.39073546923,0.5963285915722218,1.5012694236653947,4.849362520014422,100.0,60.09615384615385,,,,
USDJPY CALL-upout  40Δ  1M  H@20Δ,single,853,10000000.0,6580112.513980452,1706000.0,8212255.151369441,1632142.6373889889,-1232344.9558898548,13.247362250879249,124.80417521617224,0.5174470458690803,0.7269935325728681,-0.7900695749062424,1.002242146096886,1.3786121900560775,-0.27524861352401786,4,75.0,-531245.27532175,0.40650798577895286,1.5304493028350903,5.649209435814743,100.0,50.410316529894494,,,,
USDJPY CALL-upout  40Δ  6W  H@20Δ,single,845,10000000.0,7243723.027934224,1690000.0,8440949.787834363,1197226.7599001392,-1333396.3503554764,11.36094674556213,116.52778212644563,0.3598653999072389,0.26276100876714953,-1.2374647751712147,0.8942842556125927,3.4034130855582116,-0.6315232468454433,4,75.0,-745074.1192647639,0.2779235641737437,1.3111627093845444,7.564818974489966,100.0,55.02958579881657,,,,
USDJPY CALL-upout  40Δ  10W  H@20Δ,single,825,10000000.0,8393150.92206599,1650000.0,12085966.814621039,3692815.892555048,-1078513.454423798,11.272727272727273,143.99796842502215,0.6454747561995989,0.7435435162216608,0.44637413359317707,0.4213929346234044,0.5667360758718273,0.32215058159825644,4,100.0,668056.097350766,1.0855999994387193,1.755608233873047,4.80050308133298,100.0,61.33333333333333,,,,
USDJPY CALL-upout  40Δ  3M  H@20Δ,single,812,10000000.0,9003807.544364652,1624000.0,12687533.211391829,3683725.667027178,-3832740.2468978167,11.453201970443349,140.9129765255008,0.49312376611064535,0.4106556683206858,-0.8574300469251858,0.9454489784182827,2.3022913144838673,-0.5347933100975969,4,75.0,-1042437.6577879314,0.30956728835119934,1.6256594143295608,21.246704488685797,100.0,64.77832512315271,,,,
USDJPY CALL-upout  35Δ  2M  H@20Δ,single,832,10000000.0,4691494.933952933,1664000.0,5617219.445171343,925724.51121841,-689736.0691214374,6.971153846153847,119.73197294787268,0.44690110021251983,0.49234029848237715,-0.3956063555067521,0.6841132061529227,1.389512920761675,-0.19177290767054556,4,75.0,-247569.2743983239,0.4215114101826349,1.3705936919350425,3.2735373499992373,100.0,60.09615384615385,,,,
USDJPY CALL-upout  35Δ  1M  H@20Δ,single,853,10000000.0,4016661.4467660254,1706000.0,4409900.96494113,393239.51817510446,-906677.7574670283,9.730363423212191,109.79020819620527,0.2108965826214763,-0.12358681278299793,-1.3126325803490848,0.8546080871722505,-6.915042696932633,-0.9781948999552483,4,50.0,-482995.3369962322,0.1331212713840252,1.190149588671705,4.388705382034788,100.0,50.410316529894494,,,,
USDJPY CALL-upout  35Δ  6W  H@20Δ,single,845,10000000.0,4318753.183282759,1690000.0,4580663.616747272,261910.4334645124,-851024.0329247224,8.284023668639055,106.0644918185723,0.13429061569822243,-0.15375349177662037,-1.7760036515212332,1.0168166461436308,-6.613291408177613,-1.170570137920251,4,50.0,-569029.996914431,0.09526188960660803,1.1091690788110613,4.8647331077104985,100.0,55.02958579881657,,,,
USDJPY CALL-upout  35Δ  10W  H@20Δ,single,825,10000000.0,4830878.67049628,1650000.0,6940132.782501817,2109254.112005537,-716785.5863403203,8.242424242424242,143.6619144440001,0.5965743642568851,0.7005273668945375,0.40933099871816964,0.3054616749618184,0.4360453129988922,0.3950656919327191,4,100.0,376598.1998065578,0.9329908537973016,1.6930403172250388,3.007922336546349,100.0,61.33333333333333,,,,
USDJPY CALL-upout  35Δ  3M  H@20Δ,single,812,10000000.0,5096719.081029606,1624000.0,6862373.782927668,1765654.7018980621,-2337650.494017055,8.497536945812808,134.64296685430375,0.3985012008622518,0.2646124830879967,-0.9480755581721747,1.010969362195029,3.8205656452678842,-0.7463568791070324,4,50.0,-634096.2549526069,0.24327829629321604,1.4827928857654975,13.542889003867414,100.0,64.77832512315271,,,,
