strategy_name,strategy_type,period_type,period_end,pnl_usd,equity_usd,drawdown_usd
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-03-31,1213072.8383321145,1213072.8383321143,-212293.0350901396
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-04-30,-380090.26264909946,832982.5756830145,-592383.2977392394
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-05-31,1266720.067990085,2099702.6436730996,-12868.924443236552
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-06-30,662229.6702250524,2761932.313898152,0.0
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-07-31,-644748.2515958018,2117184.06230235,-845796.0393065037
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-08-31,749745.0649760553,2866929.1272784057,-96050.97433044808
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-09-30,820783.6919758163,3687712.8192542214,-101278.55707476335
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-10-31,3383291.9410031107,7071004.760257332,0.0
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-11-30,132372.7655343291,7203377.52579166,-573287.9973323019
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-12-31,-1118132.5496117137,6085244.976179946,-1691420.5469440157
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-01-31,-204589.1399813642,5880655.836198581,-1896009.6869253805
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-02-29,1269832.1314467299,7150487.967645312,-626177.5554786501
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-03-31,2841556.2356394297,9992044.203284742,0.0
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-04-30,620955.1112634583,10612999.314548198,-159612.2688907478
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-05-31,-300974.0367481814,10312025.277800016,-460586.3056389298
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-06-30,256024.5685920421,10568049.84639206,-204561.73704688624
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-07-31,455816.1731405159,11023866.019532576,0.0
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-08-31,197984.05322958162,11221850.07276216,-288098.65554049425
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-09-30,-675486.5445895296,10546363.528172629,-963585.2001300249
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-10-31,302084.9953435592,10848448.52351619,-661500.2047864646
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-11-30,2195663.5903657805,13044112.113881972,0.0
