strategy_name,strategy_type,n_trades,notional_usd,total_premium_paid_usd,total_tx_cost_usd,total_payout_usd,total_pnl_usd,max_drawdown_usd,win_rate_pct,premium_recovery_pct,sharpe_monthly,annual_sharpe_mean,annual_sharpe_min,annual_sharpe_std,annual_sharpe_cv,annual_sharpe_score,n_years,pct_positive_years,min_annual_pnl_usd,calmar,gain_to_pain,ulcer_index,feasibility_pct,ko_rate_pct,leg_a_ko_rate_pct,leg_b_ko_rate_pct,both_survive_rate_pct,structure_vs_min_leg_pct
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,2382,10000000.0,50663810.926204324,4764000.0,64989799.444839194,14325988.51863487,-3825855.246992953,18.09403862300588,128.2765711002312,0.9519375937113714,0.8479900006338771,0.396676676950927,0.4750343834831686,0.5601886615739311,0.37295561715070846,4,100.0,606386.0051244556,1.1759979762491664,1.948434398977605,14.960856392059666,100.0,48.36272040302267,,,,
RKO-BASKET  Call-UO  2M  ATM/H@15Δ,rko_basket,2382,10000000.0,86375022.5884797,4764000.0,124370906.96460177,37995884.37612207,-5992999.711391695,27.036104114189758,143.989434951754,1.5428827920621266,1.5665966951127563,0.8905492741504932,0.4834853991383881,0.30862148544465623,1.0831112959743683,4,100.0,3575491.0147811146,1.9911446467868599,3.047931600884494,20.975438865935182,100.0,36.48194794290512,,,,
RKO-BASKET  Call-UO  2M  ATM/H@10Δ,rko_basket,2382,10000000.0,134021573.5845277,4764000.0,206449468.50553638,72427894.92100868,-10362868.050516538,36.31402183039463,154.04196726232905,1.835605477511036,1.7076976574682534,1.1794958253266292,0.4880072236095576,0.28576910056376875,1.2196904338586958,4,100.0,4002934.221206124,2.1950095007810275,3.785956583763003,32.06903902227934,100.0,23.299748110831235,,,,
RKO-BASKET  Call-UO  2M  ATM/H@5Δ,rko_basket,2382,10000000.0,192634056.3297112,4764000.0,333433463.33785427,140799407.008143,-18772105.877438426,46.221662468513856,173.09164832575172,2.198746373213833,2.0626991717955927,0.9433692612835783,1.0391269184638736,0.5037704638041364,1.023572253331719,4,100.0,6104544.716594497,2.3555826158630633,5.004449465595648,62.824335541338236,100.0,10.70528967254408,,,,
RKO-BASKET  Call-UO  2M  45Δ/H@20Δ,rko_basket,2382,10000000.0,34657937.43442294,4764000.0,45250322.21809888,10592384.783675946,-2776481.6162760705,15.617128463476071,130.56265192848835,0.9863816793938868,0.829024222675947,0.20599889538291158,0.6235302807368631,0.7521255274353927,0.20549394193908388,4,100.0,216469.67566396046,1.1981452114632016,2.006710928349927,10.748320637492222,100.0,48.36272040302267,,,,
RKO-BASKET  Call-UO  2M  45Δ/H@15Δ,rko_basket,2382,10000000.0,62921551.98464625,4764000.0,93894672.83983621,30973120.855189953,-4559715.471649423,24.181360201511335,149.22497916572024,1.5705342738493084,1.5660363403703301,0.7512464209269674,0.5939067916076903,0.37924202414565017,0.9721295487626398,4,100.0,2622200.6276363935,2.133328491907345,3.1715970341859583,15.664019112147207,100.0,36.48194794290512,,,,
RKO-BASKET  Call-UO  2M  45Δ/H@10Δ,rko_basket,2382,10000000.0,103148970.9385916,4764000.0,163786507.4007519,60637536.462160304,-8988751.120269261,33.33333333333333,158.78637073195824,1.8365180586287324,1.6914027501219615,1.0606718461724385,0.5790890412516478,0.3423720584644264,1.1123137088703137,4,100.0,2968335.5279582213,2.1186182195130225,3.8779938997357806,27.32489791833216,100.0,23.299748110831235,,,,
RKO-BASKET  Call-UO  2M  45Δ/H@5Δ,rko_basket,2382,10000000.0,154856187.26249227,4764000.0,277407861.3840169,122551674.12152463,-16475625.830734968,42.98908480268682,179.13902330153,2.1634103469540706,2.0111155261814573,0.847106510282344,1.0891787720701203,0.5415794159464148,0.921936754111337,4,100.0,4713956.513371792,2.3360806807390646,5.02409643519159,56.36057135032163,100.0,10.70528967254408,,,,
RKO-BASKET  Call-UO  2M  40Δ/H@20Δ,rko_basket,2382,10000000.0,21651693.248228014,4764000.0,27333453.52398739,5681760.275759374,-1956984.3199697128,12.594458438287154,126.24164406275415,0.8537074963990072,0.6085887248565749,-0.21857612910926125,0.8222258111729308,1.3510368785861149,-0.21363708631635592,4,50.0,-364744.5926964385,0.9118136092982435,1.8476788400234982,7.597635503531502,100.0,48.36272040302267,,,,
RKO-BASKET  Call-UO  2M  40Δ/H@15Δ,rko_basket,2382,10000000.0,42416217.75951238,4764000.0,64647353.08799747,22231135.328485098,-3583607.839901928,20.73887489504618,152.4118756993591,1.5175465867629903,1.4901568710705588,0.431914389057528,0.7363103966628716,0.49411602963243145,0.7538464744076873,4,100.0,1316294.9299179236,1.9482813544011308,3.1703015649660506,12.159697709876724,100.0,36.48194794290512,,,,
