strategy_name,strategy_type,period_type,period_end,pnl_usd,equity_usd,drawdown_usd
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-03-31,-1034974.0010011651,-1034974.001001165,-1445796.5269113933
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-04-30,829611.1739696985,-205362.82703146664,-616185.3529416949
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-05-31,3944354.1442746483,3738991.317243182,0.0
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-06-30,1509874.7737875963,5248866.091030778,-370272.3656104682
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-07-31,-1290952.6705399537,3957913.420490824,-1661225.0361504224
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-08-31,1063070.7990446659,5020984.21953549,-598154.237105757
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-09-30,1116577.9306601773,6137562.150195667,-838936.6891891928
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-10-31,405870.06068920915,6543432.210884877,-433066.6284999829
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-11-30,-1010777.1510637668,5532655.059821113,-1443843.7795637464
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2023-12-31,-1207912.7912341666,4324742.268586947,-2651756.570797913
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-01-31,956241.6188625258,5280983.887449472,-1695514.9519353872
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-02-29,1745138.040817702,7026121.9282671735,-793653.0348160854
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-03-31,2592437.8744255807,9618559.802692754,0.0
RKO-BASKET  Call-UO  2M  ATM/H@20Δ,rko_basket,monthly,2024-04-30,2502177.3513323814,12120737.154025136,-291900.40678386204
