strategy_name,strategy_type,n_trades,notional_usd,total_premium_paid_usd,total_tx_cost_usd,total_payout_usd,total_pnl_usd,max_drawdown_usd,win_rate_pct,premium_recovery_pct,sharpe_monthly,annual_sharpe_mean,annual_sharpe_min,annual_sharpe_std,annual_sharpe_cv,annual_sharpe_score,n_years,pct_positive_years,min_annual_pnl_usd,calmar,gain_to_pain,ulcer_index,feasibility_pct,ko_rate_pct,leg_a_ko_rate_pct,leg_b_ko_rate_pct,both_survive_rate_pct,structure_vs_min_leg_pct
USDCNH CALL-upout  ATM  1M  H@5Δ,single,852,10000000.0,34144932.58725904,1704000.0,39551752.07765309,5406819.4903940465,-6582829.769064898,38.028169014084504,115.83491042653738,0.5528331961981606,-1.0820603160317492,-6.227752697163486,3.3108787757668483,-3.059791332066282,-4.392939091798597,4,50.0,-3518821.401128259,0.2520998048113725,1.4735347671292711,25.053387691620458,100.0,3.051643192488263,,,,
USDCNH PUT-downout  ATM  1M  H@5Δ,single,852,10000000.0,34590647.9019145,1704000.0,22930191.157640494,-11660456.744274002,-16391244.587599654,27.699530516431924,66.29014646577744,-1.4010954846149166,-0.9566831965346279,-3.5902578281702215,2.7752037771999127,-2.9008597488201646,-3.7318869737345404,4,25.0,-6581303.5112512,-0.2183468317560207,0.4064341666451117,115.12258490611447,100.0,2.699530516431925,,,,
USDCNH CALL-upout  ATM  6W  H@5Δ,single,844,10000000.0,39788116.8280393,1688000.0,45320096.330080815,5531979.502041508,-8776628.90676114,39.57345971563981,113.90359721207774,0.4012621943458575,-2.157955470660592,-9.285357086021223,4.372587386984959,-2.0262639551345445,-6.5305428576455515,4,50.0,-4983898.335858818,0.19510169551450657,1.3470332172738473,33.514341112267346,100.0,3.7914691943127963,,,,
USDCNH PUT-downout  ATM  6W  H@5Δ,single,844,10000000.0,40404081.19511161,1688000.0,25830000.406762987,-14574080.788348623,-18839060.541538246,25.710900473933652,63.92918646517346,-1.3393250776330794,-0.5030820217556976,-2.675289805539541,2.522604360639671,-5.014300355707556,-3.0256863823953686,4,25.0,-7647715.033002401,-0.2394584395906636,0.41612571976727936,131.0669233303279,100.0,2.7251184834123223,,,,
USDCNH CALL-upout  ATM  2M  H@5Δ,single,831,10000000.0,47784129.45152793,1662000.0,60957183.40728955,13173053.95576162,-12069388.283892302,40.91456077015644,127.56784335502927,0.7472232760091052,-1.9385567819418177,-10.661967440773966,5.291132147484816,-2.7294181923238705,-7.229688929426633,4,50.0,-6081207.928968473,0.3427770377713303,1.746739870949174,46.3234570715796,100.0,3.0084235860409145,,,,
USDCNH PUT-downout  ATM  2M  H@5Δ,single,831,10000000.0,48692646.15642102,1662000.0,31967447.39732807,-16725198.75909295,-23141859.57072072,27.557160048134776,65.65148933297924,-1.164671165826861,-0.4484362400082147,-2.1702975150022565,2.640726637123251,-5.888744935232881,-3.0891628771314656,4,25.0,-9319276.558335459,-0.2269778842924063,0.46918116699278983,154.15938867563003,100.0,1.9253910950661854,,,,
USDCNH CALL-upout  ATM  10W  H@5Δ,single,824,10000000.0,51251046.72642639,1648000.0,64423533.28674793,13172486.56032154,-13951739.585121645,39.68446601941748,125.70188786706179,0.6941624453856636,-1.6355895036559422,-9.540402868504037,4.840610102311917,-2.959550725589746,-6.476199605967859,4,50.0,-6902539.947286313,0.29934854272831557,1.645676127026215,54.22537025795619,100.0,3.5194174757281553,,,,
USDCNH PUT-downout  ATM  10W  H@5Δ,single,824,10000000.0,52308763.85712588,1648000.0,32873228.357919425,-19435535.49920646,-25486756.001691315,26.941747572815533,62.84459033998219,-1.3550557631024926,-0.2963316603862407,-2.574958988708533,3.2885102344392045,-11.097397524628107,-3.5848418948254452,4,25.0,-10413380.734245209,-0.24177962260323857,0.42085163369205486,168.16659750723827,100.0,2.5485436893203883,,,,
USDCNH CALL-upout  ATM  3M  H@5Δ,single,811,10000000.0,58680403.551871374,1622000.0,72662581.1360161,13982177.584144741,-18361394.25108952,36.744759556103574,123.82767796030065,0.5912146420757655,-1.4960520074326829,-9.064670957336403,4.588312308423006,-3.0669470617514376,-6.084364315855689,4,50.0,-7150886.327782943,0.24527107128655068,1.5393098208799845,72.56200824393541,100.0,4.68557336621455,,,,
USDCNH PUT-downout  ATM  3M  H@5Δ,single,811,10000000.0,60095687.990166575,1622000.0,37551901.74586122,-22543786.24430536,-30537969.162224043,27.743526510480887,62.48684889339451,-1.3550208544061153,-0.780914356459099,-4.264505983214992,3.8742909729975574,-4.961223904967966,-4.655205329456656,4,25.0,-12500476.474582609,-0.23777373276077327,0.4186385476699523,198.8492628466058,100.0,2.219482120838471,,,,
USDCNH CALL-upout  45Δ  1M  H@5Δ,single,852,10000000.0,28498312.034300998,1704000.0,32341883.862121463,3843571.8278204594,-6104937.687585134,34.037558685446015,113.48701573340301,0.44528110784347685,-1.3324524372365456,-6.623188977299583,3.416184484532415,-2.5638322157430613,-4.748636921768961,4,50.0,-3486275.744057987,0.19324000016520193,1.3671012487656553,23.93161530191803,100.0,3.051643192488263,,,,
USDCNH PUT-downout  45Δ  1M  H@5Δ,single,852,10000000.0,28840189.126026362,1704000.0,18334185.812262043,-10506003.313764323,-14635871.216266343,25.234741784037556,63.57165596988633,-1.4534614186377104,-1.0458467135782084,-3.4077033767592555,2.6353269381353006,-2.519802284523057,-3.681173651713509,4,25.0,-5679017.982151905,-0.22032420781379336,0.39803968132386885,101.1200490978255,100.0,2.699530516431925,,,,
USDCNH CALL-upout  45Δ  6W  H@5Δ,single,844,10000000.0,33244358.42578986,1688000.0,36702346.89991123,3457988.474121371,-8197755.113824764,35.308056872037916,110.40173021188093,0.2849105502561145,-2.2608005350716276,-8.94234310224682,4.184898839199458,-1.8510694660052662,-6.4456993742710855,4,50.0,-4936842.099717562,0.13056801988190248,1.2370755999667828,32.0580726511379,100.0,3.7914691943127963,,,,
USDCNH PUT-downout  45Δ  6W  H@5Δ,single,844,10000000.0,33718587.67792142,1688000.0,20693711.093545586,-13024876.584375834,-16667896.313807068,24.28909952606635,61.37182046653638,-1.3803695840461279,-0.6839373982093184,-2.6152689478135605,2.3383420051537995,-3.418941574588603,-3.022279403363118,4,25.0,-6448564.346707571,-0.24188060377870316,0.40471376940459575,113.42797323761027,100.0,2.7251184834123223,,,,
USDCNH CALL-upout  45Δ  2M  H@5Δ,single,831,10000000.0,40040583.72395307,1662000.0,50140226.49082039,10099642.766867323,-11404922.448795069,36.58243080625752,125.22351531260398,0.6412701064719591,-2.0404318221023905,-10.554214466796221,5.200610338481356,-2.5487792741454243,-7.2410421605837465,4,50.0,-6181222.705027227,0.2781148546912488,1.6241358652067437,44.952481934501975,100.0,3.0084235860409145,,,,
