strategy_name,strategy_type,period_type,period_end,pnl_usd,equity_usd,drawdown_usd,state
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2023-02-28,1113959.3876398476,1113959.3876398474,-111579.41719110333,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2023-03-31,304999.8139444725,1418959.2015843196,-370752.1921038274,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2023-04-30,-322428.16517870955,1096531.0364056102,-693180.3572825368,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2023-05-31,1447619.172285818,2544150.2086914284,-46849.977581376676,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2023-06-30,1473011.2100359972,4017161.418727425,0.0,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2023-07-31,1069603.5013761665,5086764.920103591,-202931.1652930742,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2023-08-31,1501628.737993359,6588393.6580969505,0.0,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2023-09-30,486873.57860565145,7075267.2367026005,-272738.71052080765,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2023-10-31,-287793.0714886974,6787474.1652139025,-560531.7820095057,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2023-11-30,-804629.180725899,5982844.984488005,-1365160.9627354033,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2023-12-31,-612830.57063081,5370014.413857196,-1977991.5333662117,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2024-01-31,485227.33898283914,5855241.7528400365,-1492764.1943833716,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2024-02-29,488666.7692809533,6343908.52212099,-1004097.4251024183,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2024-03-31,20059.395157401108,6363967.917278391,-984038.0299450168,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2024-04-30,917662.7091590898,7281630.6264374815,-66375.32078592665,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2024-05-31,-526252.6960670666,6755377.930370416,-592628.0168529926,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2024-06-30,901967.9657669887,7657345.896137402,0.0,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2024-07-31,368236.31159771234,8025582.207735116,-125018.62020318303,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2024-08-31,-690583.9969702939,7334998.210764822,-815602.6171734771,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2024-09-30,-978716.2930552694,6356281.917709554,-1794318.910228745,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2024-10-31,778886.4159560999,7135168.333665652,-1015432.4942726465,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2024-11-30,2280515.156445409,9415683.49011106,0.0,
USDCNH CALL-upout  ATM  1M  H@5Δ,single,monthly,2024-12-31,1622609.7193444625,11038293.209455522,0.0,
