strategy_name,strategy_type,n_trades,notional_usd,total_premium_paid_usd,total_tx_cost_usd,total_payout_usd,total_pnl_usd,max_drawdown_usd,win_rate_pct,premium_recovery_pct,sharpe_monthly,annual_sharpe_mean,annual_sharpe_min,annual_sharpe_std,annual_sharpe_cv,annual_sharpe_score,n_years,pct_positive_years,min_annual_pnl_usd,calmar,gain_to_pain,ulcer_index,feasibility_pct,ko_rate_pct,leg_a_ko_rate_pct,leg_b_ko_rate_pct,both_survive_rate_pct,structure_vs_min_leg_pct
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo ATM/H@15Δ [Spot > 50DMA]]  1M,worst_of,1055,10000000,17973270.21366352,4220000,18843344.284781158,870074.0711176386,-4771781.649,20.9478673,104.84093356842874,0.085889216,-0.577771143,-3.312153632,1.354114625156652,-2.34368684,-1.931885769,11,45.45454545454545,-1324413.114,0.018546009731047725,1.0995611961073612,23.886408652361144,,,20.568720379146917,16.682464454976305,69.85781990521328,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,815,10000000,13378894.12924794,3260000,13820654.072601091,441759.9433531533,-3490256.227,21.717791411042946,103.30191672858379,0.047592867048949286,-0.583257023,-2.701509195,1.1083510913990025,-1.900279033,-1.691608114,10,30,-653562.975,0.013645072452149888,1.0606092027446297,15.772807559889014,,,14.478527607361963,16.19631901840491,75.82822086,33.333333333333336
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo ATM/H@15Δ [Spot > 50DMA]]  1M,worst_of,877,10000000,14800474.279130712,3508000,14043201.724509547,-757272.5546,-4299468.044,20.296465222348917,94.88345751,-0.084968473,-0.844012827,-2.426873193,1.1315634299340367,-1.340694588,-1.975576257,10,20,-849961.7176,-0.018949072,0.899554151,22.470628523334423,,,18.244013683010262,14.253135689851767,75.48460661345496,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,985,10000000,17053913.77249128,3940000,14727904.511826172,-2326009.261,-4192931.517,20.507614213197968,86.36084776963594,-0.237245025,-0.719481525,-1.784256253,0.821500475,-1.141795095,-1.540982,10,20,-875843.9484,-0.059805413,0.7566931512390958,22.819034881559013,,,16.64974619,12.385786802030458,78.78172588832487,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo ATM/H@10Δ [Spot > 50DMA]]  1M,worst_of,1055,10000000,18975964.00769513,4220000,23480920.396668382,4504956.388973253,-4163777.783,23.412322274881518,123.74032954081491,0.3468261093152943,-0.204510926,-2.913431371,1.3928268755890398,-6.810525503,-1.597337801,11,63.63636363636363,-1227121.708,0.1100469136567383,1.5033181510514264,17.807877679923973,,,20.568720379146917,10.23696682464455,73.45971563981043,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo ATM/H@10Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,815,10000000,14122693.560618637,3260000,17334604.22288538,3211910.662266744,-2842932.558,24.049079754601227,122.74290416683125,0.2686237850921999,-0.359987225,-2.701509195,1.1554517872322478,-3.209702193,-1.515439013,10,50,-706278.3183,0.1217990000562757,1.4369888246163645,11.357683112294517,,,14.478527607361963,10.797546012269938,79.38650306748465,33.333333333333336
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo ATM/H@10Δ [Spot > 50DMA]]  1M,worst_of,877,10000000,15668919.50913672,3508000,18033844.590106606,2364925.080969885,-3803218.989,22.80501710376283,115.09309611036596,0.20334121400506677,-0.409612266,-1.762254875,0.9680824812585762,-2.363411845,-1.377694747,10,40,-695345.7358,0.066898519,1.3103280235196688,18.501649082474394,,,18.244013683010262,8.665906499429875,78.56328392246294,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo ATM/H@10Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,985,10000000,18209509.976714574,3940000,18399973.10161458,190463.12490000855,-3321256.773,22.538071065989847,101.04595414782473,0.015215099249194591,-0.455402043,-1.858459227,0.9787236273033602,-2.149141932,-1.434125671,10,50,-951229.7521,0.006182374,1.019411818391154,16.48970806711479,,,16.64974619,7.715736040609138,81.42131979695432,33.333333333333336
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo ATM/H@5Δ [Spot > 50DMA]]  1M,worst_of,1055,10000000,18984359.734934248,4220000,26546210.478523653,7561850.743589403,-2838865.463,25.213270142180093,139.8320030233856,0.5488868064353883,0.08872242,-2.913431371,1.3964227718173912,15.739232167915732,-1.307700352,11,72.72727272727273,-1227121.708,0.27093063139085616,1.9585900038516333,10.719106725944062,,,20.568720379146917,5.592417061611375,75.82938388625593,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo ATM/H@5Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,815,10000000,14131043.577624928,3260000,19498399.42592892,5367355.848303994,-2270933.705,25.766871165644172,137.98272801877602,0.42317037542355895,-0.252945963,-2.701509195,1.262845567738625,-4.992550786,-1.515791531,10,50,-706278.3183,0.25480195523413995,1.8062583757482782,9.596466629571218,,,14.478527607361963,6.380368098,81.84049079754601,33.333333333333336
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo ATM/H@5Δ [Spot > 50DMA]]  1M,worst_of,877,10000000,15708629.400172729,3508000,20166626.835578635,4457997.435405904,-2720944.922,24.401368301026224,128.37928963654136,0.3571174227233963,-0.204698518,-1.762254875,1.0081867395192705,-4.925227347,-1.212885258,10,50,-695345.7358,0.17626679565389375,1.6205394384540612,13.445911525645396,,,18.244013683010262,4.3329532497149374,80.50171037628279,33.333333333333336
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo ATM/H@5Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,985,10000000,18291029.578048192,3940000,20168748.85059038,1877719.272542187,-2722283.173,23.65482233502538,110.26579321043644,0.14087373435066528,-0.364937851,-1.784222824,1.042737403599729,-2.857301319,-1.407675255,10,50,-951229.7521,0.074360823,1.1999792853450266,14.489809202661018,,,16.64974619,4.060913705583756,82.74111675126903,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 45Δ/H@15Δ [Spot > 50DMA]]  1M,worst_of,1055,10000000,15242291.913562026,4220000,14900541.814752962,-341750.0988,-4753455.04,18.104265402843602,97.75788247104107,-0.040231674,-0.699207743,-3.678896699,1.3985337851267627,-2.000169191,-2.097741528,11,36.36363636363637,-1295497.814,-0.007312638,0.9573375453109888,25.478425309481295,,,20.568720379146917,16.682464454976305,69.85781990521328,33.333333333333336
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 45Δ/H@15Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,815,10000000,11464188.367377663,3260000,10958845.99497674,-505342.3724,-3569023.821,18.89570552147239,95.59199172059212,-0.065467867,-0.765544715,-2.703262704,1.1133987664756102,-1.454387633,-1.878943482,10,30,-585510.1623,-0.015264518,0.9229559868001711,17.37581868275642,,,14.478527607361963,16.19631901840491,75.82822086,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 45Δ/H@15Δ [Spot > 50DMA]]  1M,worst_of,877,10000000,12641752.71234243,3508000,10996033.013320683,-1645719.699,-4286173.748,17.787913340935006,86.98187081752522,-0.221749227,-1.0544059,-2.995825657,1.1826144625407191,-1.121593176,-2.237020362,10,20,-967973.7,-0.041308226,0.7616415051231812,23.944454184930287,,,18.244013683010262,14.253135689851767,75.48460661345496,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 45Δ/H@15Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,985,10000000,14451107.807380477,3940000,11338438.242706094,-3112669.565,-4351036.311,17.461928934010153,78.46068546326477,-0.38032399,-0.958866704,-1.979621355,0.8751285568992672,-0.912669669,-1.83399526,10,20,-858569.488,-0.077123572,0.6438358311005196,27.101392364894803,,,16.64974619,12.385786802030458,78.78172588832487,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 45Δ/H@10Δ [Spot > 50DMA]]  1M,worst_of,1055,10000000,18457272.936358895,4220000,19498282.640544765,1041009.7041858681,-4865239.387,20.568720379146917,105.64010570670594,0.091692093,-0.520041129,-3.24328129,1.375729431,-2.645424285,-1.89577056,11,54.54545454545454,-1312447.952,0.021763331808641116,1.1081797791833305,23.336854792301406,,,20.568720379146917,10.23696682464455,73.45971563981043,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 45Δ/H@10Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,815,10000000,13710011.369549185,3260000,14404344.505549632,694333.136,-3576249.549,21.226993865030675,105.06442421734678,0.066600797,-0.651312866,-2.701509195,1.120685810755769,-1.720656644,-1.771998677,10,30,-680978.2001,0.020930852,1.0904203744221745,15.969966605142032,,,14.478527607361963,10.797546012269938,79.38650306748465,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 45Δ/H@10Δ [Spot > 50DMA]]  1M,worst_of,877,10000000,15184456.998806288,3508000,14946840.592822317,-237616.406,-4457319.369,20.296465222348917,98.43513399,-0.023290827,-0.74795365,-2.046702086,0.9895242188174811,-1.322975319,-1.737477869,10,40,-810217.2658,-0.00573526,0.9708481208755619,22.612896674574024,,,18.244013683010262,8.665906499429875,78.56328392246294,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 45Δ/H@10Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,985,10000000,17549270.864286065,3940000,14970671.546399076,-2578599.318,-4463592.067,19.49238578680203,85.30651593545912,-0.233707307,-0.78861755,-2.111099004,0.9842199784537798,-1.248032051,-1.772837528,10,40,-1177376.689,-0.062279654,0.7555755290643437,26.276310334241764,,,16.64974619,7.715736040609138,81.42131979695432,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 45Δ/H@5Δ [Spot > 50DMA]]  1M,worst_of,1055,10000000,18982983.180603236,4220000,22563572.722400036,3580589.541796798,-3635970.862,22.36966825,118.86210142911278,0.296611531,-0.234445895,-3.240912131,1.350129244339641,-5.758809497,-1.584575139,11,54.54545454545454,-1313717.862,0.10016337832949487,1.404687126494903,14.71448182392872,,,20.568720379146917,5.592417061611375,75.82938388625593,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 45Δ/H@5Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,815,10000000,14129667.023293912,3260000,16568139.708593173,2438472.6852992605,-3099676.57,22.94478527607362,117.25782130094954,0.21967614183808637,-0.556914335,-2.701509195,1.2274900704052192,-2.204091352,-1.784404406,10,40,-706278.3183,0.084810249,1.3368536736398755,13.946363547517462,,,14.478527607361963,6.380368098,81.84049079754601,33.33333333333334
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 45Δ/H@5Δ [Spot > 50DMA]]  1M,worst_of,877,10000000,15690520.292030128,3508000,17079622.838294342,1389102.5462642163,-3482060.97,21.892816419612316,108.85313246731403,0.12644360049790954,-0.523154154,-2.046702086,0.9862031916630138,-1.885110125,-1.509357345,10,50,-810217.2658,0.04291888,1.1733734541279734,17.042885062266237,,,18.244013683010262,4.3329532497149374,80.50171037628279,33.333333333333336
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 45Δ/H@5Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,985,10000000,18261200.685562324,3940000,16739447.295374878,-1521753.39,-3970534.421,20.609137055837564,91.66673968272757,-0.128741707,-0.710176303,-2.092348252,1.049100771146332,-1.4772399,-1.759277075,10,50,-1209021.961,-0.041318271,0.8564589955521249,21.29107377633321,,,16.64974619,4.060913705583756,82.74111675126903,33.333333333333336
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 40Δ/H@15Δ [Spot > 50DMA]]  1M,worst_of,1055,10000000,12180350.90689933,4220000,10947275.584387843,-1233075.323,-4093484.097,15.165876777251185,89.87652053757307,-0.191961067,-0.817179635,-3.854723387,1.329765778,-1.627262503,-2.146945412,11,36.36363636363637,-1086089.468,-0.030638769,0.8169685246505978,23.26541715,,,20.568720379146917,16.682464454976305,69.85781990521328,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 40Δ/H@15Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,815,10000000,9185736.024,3260000,8110588.541917786,-1075147.482,-3171452.39,15.092024539877299,88.29546724008898,-0.185294617,-0.928737684,-2.685189356,1.1006600817115386,-1.185114054,-2.029397766,10,20,-533971.5382,-0.036547415,0.8044528254319581,16.40078792513016,,,14.478527607361963,16.19631901840491,75.82822086,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 40Δ/H@15Δ [Spot > 50DMA]]  1M,worst_of,877,10000000,10108401.862271924,3508000,8007073.656,-2101328.206,-3765510.116,14.481185860889395,79.21206304486329,-0.375256771,-1.192030542,-3.475372793,1.177511789275677,-0.987820151,-2.369542331,10,20,-884804.3446,-0.060037212,0.6498894339799414,22.408618790107102,,,18.244013683010262,14.253135689851767,75.48460661345496,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 40Δ/H@15Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,985,10000000,11528094.230266187,3940000,8192941.581174528,-3335152.649,-3873825.989,13.705583756345177,71.06934951715216,-0.534977191,-1.126811825,-2.199655647,0.8863068999391667,-0.786561589,-2.013118725,10,20,-767894.2084,-0.092815911,0.5548105249086334,26.275674504512427,,,16.64974619,12.385786802030458,78.78172588832487,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 40Δ/H@10Δ [Spot > 50DMA]]  1M,worst_of,1055,10000000,16036506.711800352,4220000,15398325.861926349,-638180.8499,-4847505.651,17.63033175,96.02044971,-0.067079683,-0.697219828,-3.571604653,1.3840649426902827,-1.985119881,-2.081284771,11,45.45454545454545,-1342041.422,-0.013390607,0.9275729236449879,25.782631445645485,,,20.568720379146917,10.23696682464455,73.45971563981043,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 40Δ/H@10Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,815,10000000,12049044.723127186,3260000,11412509.595669366,-636535.1275,-3753880.531,17.42331288343558,94.71713200436511,-0.073534414,-0.892617242,-2.697401133,1.129613340599891,-1.265506969,-2.022230583,10,30,-788870.0582,-0.018280529,0.910487653,18.02922334949535,,,14.478527607361963,10.797546012269938,79.38650306748465,33.333333333333336
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 40Δ/H@10Δ [Spot > 50DMA]]  1M,worst_of,877,10000000,13276656.70800025,3508000,11839500.999921659,-1437155.708,-4563211.773,16.98973774230331,89.17531921110388,-0.167693724,-0.9362254,-2.201098272,1.0481196001376976,-1.119516304,-1.984345,10,30,-821780.5843,-0.03388314,0.8140649301113221,25.411003759063465,,,18.244013683010262,8.665906499429875,78.56328392246294,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 40Δ/H@10Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,985,10000000,15202560.956492437,3940000,11716268.08765898,-3486292.869,-4688898.559,15.736040609137056,77.06772642575991,-0.378177964,-0.968671214,-2.260870691,1.0072391588100307,-1.03981531,-1.975910373,10,40,-1103719.506,-0.080156704,0.6397006990937936,30.53419363036268,,,16.64974619,7.715736040609138,81.42131979695432,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 40Δ/H@5Δ [Spot > 50DMA]]  1M,worst_of,1055,10000000,18840230.282527097,4220000,18453242.109337933,-386988.1732,-4211054.138,19.431279620853083,97.94594775,-0.03795642,-0.63487331,-3.530008153,1.2678174618635367,-1.99696135,-1.902690772,11,36.36363636363637,-1402401.807,-0.009347203,0.9598053033484658,20.244926649090083,,,20.568720379146917,5.592417061611375,75.82938388625593,33.333333333333336
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 40Δ/H@5Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,815,10000000,13999913.786978565,3260000,13565930.964269217,-433982.8227,-3821623.49,19.141104294478527,96.90010360554507,-0.046439902,-0.931249306,-2.701509195,1.2156227003995734,-1.30536763,-2.146872007,10,30,-823574.4894,-0.012242538,0.9445948308177852,18.314656962248602,,,14.478527607361963,6.380368098,81.84049079754601,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 40Δ/H@5Δ [Spot > 50DMA]]  1M,worst_of,877,10000000,15521740.143703321,3508000,13961909.410950001,-1559830.733,-4150167.604,18.586088939566707,89.95067101,-0.16729044,-0.881609573,-2.179855896,0.9854024116224029,-1.11773107,-1.867011985,10,30,-862787.2591,-0.04043545,0.8216402943962895,22.335942733985824,,,18.244013683010262,4.3329532497149374,80.50171037628279,33.333333333333336
WO[USDJPY Cuo ATM/H@15Δ [50DMA > 200DMA (golden cross)]  ∧  USDKRW Cuo 40Δ/H@5Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,985,10000000,17990560.006877594,3940000,13474670.002191093,-4515890.005,-5259458.383,16.85279187817259,74.89855789,-0.445487235,-1.005125747,-2.332328328,0.9862337583540715,-0.981204353,-1.991359505,10,30,-1380187.685,-0.092565501,0.6063266411999974,34.23439320190579,,,16.64974619,4.060913705583756,82.74111675126903,33.33333333333333
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 35Δ/H@15Δ [Spot > 50DMA]]  1M,worst_of,1055,10000000,9556662.328402154,4220000,7265945.511692071,-2290716.817,-3542883.098,10.995260663507109,76.03015845917113,-0.507091763,-1.181583328,-4.578130726,1.3909052186913855,-1.177153727,-2.572488547,11,18.181818181818183,-983577.047,-0.065764179,0.6022684523838656,23.221993529845612,,,20.568720379146917,16.682464454976305,69.85781990521328,33.333333333333336
WO[USDJPY Cuo ATM/H@15Δ [Spot > 50DMA]  ∧  USDKRW Cuo 35Δ/H@15Δ [50DMA > 200DMA (golden cross)]]  1M,worst_of,815,10000000,7232529.906426239,3260000,5521833.844370281,-1710696.062,-2780246.857,11.28834355828221,76.34719684275385,-0.429838391,-1.174176163,-2.712521976,1.1295736162119032,-0.962013752,-2.303749779,10,20,-516314.6694,-0.06633402,0.6295621169438459,16.409754653659014,,,14.478527607361963,16.19631901840491,75.82822086,33.333333333333336
