Date,Value
2016-01-01,2.248
2016-01-04,2.1665
2016-01-05,2.175
2016-01-06,2.1315
2016-01-07,2.0815
2016-01-08,2.158
2016-01-11,2.1455
2016-01-12,2.11
2016-01-13,2.0915
2016-01-14,2.0815
2016-01-15,2.06
2016-01-18,2.035
2016-01-19,2.064
2016-01-20,2.0025
2016-01-21,2.07
2016-01-22,2.08
2016-01-25,2.053
2016-01-26,2.019
2016-01-27,2.0455
2016-01-28,2.053
2016-01-29,2.01
2016-02-01,2.023
2016-02-02,1.953
2016-02-03,1.998
2016-02-04,1.979
2016-02-05,1.975
2016-02-08,1.9175
2016-02-09,1.9015
2016-02-10,1.858
2016-02-11,1.8665
2016-02-12,1.913
2016-02-15,1.9905
2016-02-16,1.9815
2016-02-17,2.0165
2016-02-18,1.9325
2016-02-19,1.91
2016-02-22,1.934
2016-02-23,1.8975
2016-02-24,1.909
2016-02-25,1.8705
2016-02-26,1.838
2016-02-29,1.8455
2016-03-01,1.893
2016-03-02,1.9465
2016-03-03,1.9975
2016-03-04,1.983
2016-03-07,2.0725
2016-03-08,2.0025
2016-03-09,2.0205
2016-03-10,2.0505
2016-03-11,2.093
2016-03-14,2.08
2016-03-15,2.078
2016-03-16,2.003
2016-03-17,2.028
2016-03-18,2.01
2016-03-21,2.048
2016-03-22,2.088
2016-03-23,2.043
2016-03-24,2.04
2016-03-25,2.04
2016-03-28,2.04
2016-03-29,1.97
2016-03-30,1.973
2016-03-31,1.943
2016-04-01,1.985
2016-04-04,1.9365
2016-04-05,1.928
2016-04-06,1.915
2016-04-07,1.928
2016-04-08,1.89
2016-04-11,1.885
2016-04-12,1.938
2016-04-13,1.978
2016-04-14,1.994
2016-04-15,2.043
2016-04-18,1.975
2016-04-19,2.0325
2016-04-20,2.025
2016-04-21,2.063
2016-04-22,2.093
2016-04-25,2.11
2016-04-26,2.1
2016-04-27,2.0065
2016-04-28,1.9465
2016-04-29,1.925
2016-05-02,1.949
2016-05-03,1.84
2016-05-04,1.808
2016-05-05,1.8
2016-05-06,1.683
2016-05-09,1.685
2016-05-10,1.678
2016-05-11,1.7
2016-05-12,1.673
2016-05-13,1.643
2016-05-16,1.63
2016-05-17,1.698
2016-05-18,1.688
2016-05-19,1.72
2016-05-20,1.71
2016-05-23,1.7
2016-05-24,1.6975
2016-05-25,1.715
2016-05-26,1.72
2016-05-27,1.693
2016-05-30,1.71
2016-05-31,1.729
2016-06-01,1.733
2016-06-02,1.703
2016-06-03,1.683
2016-06-06,1.64
2016-06-07,1.688
2016-06-08,1.655
2016-06-09,1.628
2016-06-10,1.643
2016-06-13,1.628
2016-06-14,1.598
2016-06-15,1.613
2016-06-16,1.559
2016-06-17,1.61
2016-06-20,1.653
2016-06-21,1.6815
2016-06-22,1.74
2016-06-23,1.748
2016-06-24,1.5455
2016-06-27,1.59
2016-06-28,1.559
2016-06-29,1.595
2016-06-30,1.565
2016-07-01,1.538
2016-07-04,1.58
2016-07-05,1.4925
2016-07-06,1.49
2016-07-07,1.4965
2016-07-08,1.5075
2016-07-11,1.513
2016-07-12,1.555
2016-07-13,1.573
2016-07-14,1.565
2016-07-15,1.59
2016-07-18,1.568
2016-07-19,1.51
2016-07-20,1.51
2016-07-21,1.5
2016-07-22,1.485
2016-07-25,1.488
2016-07-26,1.52
2016-07-27,1.548
2016-07-28,1.483
2016-07-29,1.47
2016-08-01,1.443
2016-08-02,1.414
2016-08-03,1.468
2016-08-04,1.4615
2016-08-05,1.43
2016-08-08,1.47
2016-08-09,1.44
2016-08-10,1.405
2016-08-11,1.395
2016-08-12,1.423
2016-08-15,1.405
2016-08-16,1.413
2016-08-17,1.42
2016-08-18,1.405
2016-08-19,1.4
2016-08-22,1.43
2016-08-23,1.404
2016-08-24,1.3955
2016-08-25,1.3955
2016-08-26,1.405
2016-08-29,1.428
2016-08-30,1.38
2016-08-31,1.3605
2016-09-01,1.4
2016-09-02,1.423
2016-09-05,1.408
2016-09-06,1.415
2016-09-07,1.3765
2016-09-08,1.413
2016-09-09,1.468
2016-09-12,1.525
2016-09-13,1.518
2016-09-14,1.53
2016-09-15,1.568
2016-09-16,1.56
2016-09-19,1.553
2016-09-20,1.573
2016-09-21,1.568
2016-09-22,1.53
2016-09-23,1.498
2016-09-26,1.47
2016-09-27,1.498
2016-09-28,1.485
2016-09-29,1.488
2016-09-30,1.428
2016-10-03,1.51
2016-10-04,1.53
2016-10-05,1.5275
2016-10-06,1.568
2016-10-07,1.568
2016-10-10,1.63
2016-10-11,1.638
2016-10-12,1.678
2016-10-13,1.623
2016-10-14,1.658
2016-10-17,1.658
2016-10-18,1.66
2016-10-19,1.688
2016-10-20,1.653
2016-10-21,1.68
2016-10-24,1.648
2016-10-25,1.655
2016-10-26,1.69
2016-10-27,1.748
2016-10-28,1.75
2016-10-31,1.698
2016-11-01,1.713
2016-11-02,1.685
2016-11-03,1.705
2016-11-04,1.705
2016-11-07,1.7265
2016-11-08,1.738
2016-11-09,1.77
2016-11-10,1.859
2016-11-11,1.865
2016-11-14,2.0125
2016-11-15,1.968
2016-11-16,1.933
2016-11-17,1.9455
2016-11-18,1.963
2016-11-21,1.935
2016-11-22,1.958
2016-11-23,2.0075
2016-11-24,2.0525
2016-11-25,2.025
2016-11-28,1.985
2016-11-29,1.9925
2016-11-30,2.0615
2016-12-01,2.12
2016-12-02,2.12
2016-12-05,2.093
2016-12-06,2.0615
2016-12-07,2.004
2016-12-08,2.0355
2016-12-09,2.06
2016-12-12,2.064
2016-12-13,2.0775
2016-12-14,2.1265
2016-12-15,2.1925
2016-12-16,2.143
2016-12-19,2.158
2016-12-20,2.189
2016-12-21,2.18
2016-12-22,2.2155
2016-12-23,2.218
2016-12-26,2.218
2016-12-27,2.2375
2016-12-28,2.1675
2016-12-29,2.153
2016-12-30,2.153
2017-01-02,2.1475
2017-01-03,2.1265
2017-01-04,2.1205
2017-01-05,2.0515
2017-01-06,2.033
2017-01-09,2.055
2017-01-10,2.0665
2017-01-11,2.0565
2017-01-12,2.029
2017-01-13,2.043
2017-01-16,2.058
2017-01-17,2.03
2017-01-18,2.134
2017-01-19,2.1605
2017-01-20,2.143
2017-01-23,2.104
2017-01-24,2.1265
2017-01-25,2.105
2017-01-26,2.1165
2017-01-27,2.11
2017-01-30,2.0775
2017-01-31,2.0425
2017-02-01,2.0565
2017-02-02,2.074
2017-02-03,2.103
2017-02-06,2.0415
2017-02-07,2.0425
2017-02-08,1.9875
2017-02-09,2.0455
2017-02-10,2.06
2017-02-13,2.073
2017-02-14,2.1475
2017-02-15,2.159
2017-02-16,2.1515
2017-02-17,2.17
2017-02-20,2.158
2017-02-21,2.173
2017-02-22,2.173
2017-02-23,2.1175
2017-02-24,2.115
2017-02-27,2.095
2017-02-28,2.1355
2017-03-01,2.16
2017-03-02,2.1515
2017-03-03,2.153
2017-03-06,2.1675
2017-03-07,2.2225
2017-03-08,2.2475
2017-03-09,2.2775
2017-03-10,2.275
2017-03-13,2.265
2017-03-14,2.25
2017-03-15,2.248
2017-03-16,2.2075
2017-03-17,2.205
2017-03-20,2.19
2017-03-21,2.16
2017-03-22,2.115
2017-03-23,2.1
2017-03-24,2.095
2017-03-27,2.075
2017-03-28,2.07
2017-03-29,2.0875
2017-03-30,2.055
2017-03-31,2.075
2017-04-03,2.055
2017-04-04,1.993
2017-04-05,1.983
2017-04-06,1.9725
2017-04-07,1.955
2017-04-10,1.9575
2017-04-11,1.9525
2017-04-12,1.945
2017-04-13,1.925
2017-04-14,1.93
2017-04-18,1.9225
2017-04-19,1.8975
2017-04-20,1.9375
2017-04-21,1.96
2017-04-24,1.99
2017-04-25,2.007
2017-04-26,2.02
2017-04-27,2.0175
2017-04-28,2.0025
2017-05-01,1.998
2017-05-02,2.02
2017-05-03,2.01
2017-05-04,2.0525
2017-05-05,2.065
2017-05-08,2.075
2017-05-09,2.0775
2017-05-10,2.0425
2017-05-11,2.031
2017-05-12,2.0025
2017-05-15,1.9625
2017-05-16,1.948
2017-05-17,1.93
2017-05-18,1.923
2017-05-19,1.898
2017-05-22,1.897
2017-05-23,1.87
2017-05-24,1.8975
2017-05-25,1.865
2017-05-26,1.8475
2017-05-29,1.8625
2017-05-30,1.845
2017-05-31,1.8225
