Date,Value
2016-01-01,1.9714
2016-01-04,1.9676
2016-01-05,1.9685
2016-01-06,1.965
2016-01-07,1.955
2016-01-08,1.9575
2016-01-11,1.9554
2016-01-12,1.9525
2016-01-13,1.946
2016-01-14,1.9442
2016-01-15,1.9315
2016-01-18,1.9345
2016-01-19,1.9365
2016-01-20,1.9253
2016-01-21,1.922
2016-01-22,1.9295
2016-01-25,1.9165
2016-01-26,1.9195
2016-01-27,1.9499
2016-01-28,1.9539
2016-01-29,1.94625
2016-02-01,1.95125
2016-02-02,1.953
2016-02-03,1.9535
2016-02-04,1.95
2016-02-05,1.9545
2016-02-08,1.9425
2016-02-09,1.9275
2016-02-10,1.9265
2016-02-11,1.9118
2016-02-12,1.9311
2016-02-15,1.9403
2016-02-16,1.9405
2016-02-17,1.9452
2016-02-18,1.9403
2016-02-19,1.9352
2016-02-22,1.9445
2016-02-23,1.943
2016-02-24,1.9395
2016-02-25,1.9315
2016-02-26,1.9295
2016-02-29,1.9305
2016-03-01,1.9345
2016-03-02,1.961
2016-03-03,1.96
2016-03-04,1.965
2016-03-07,1.9667
2016-03-08,1.9645
2016-03-09,1.95125
2016-03-10,1.96125
2016-03-11,1.9645
2016-03-14,1.9515
2016-03-15,1.9535
2016-03-16,1.9525
2016-03-17,1.9406
2016-03-18,1.9403
2016-03-21,1.9585
2016-03-22,1.9615
2016-03-23,1.9628
2016-03-24,1.96375
2016-03-25,1.9615
2016-03-28,1.9585
2016-03-29,1.9545
2016-03-30,1.9515
2016-03-31,1.9495
2016-04-01,1.95125
2016-04-04,1.9314
2016-04-05,1.9373
2016-04-06,1.9194
2016-04-07,1.9255
2016-04-08,1.9125
2016-04-11,1.912
2016-04-12,1.9244
2016-04-13,1.9354
2016-04-14,1.9595
2016-04-15,1.9525
2016-04-18,1.9555
2016-04-19,1.9532
2016-04-20,1.9569
2016-04-21,1.955
2016-04-22,1.9505
2016-04-25,1.9516
2016-04-26,1.9495
2016-04-27,1.8355
2016-04-28,1.8385
2016-04-29,1.8315
2016-05-02,1.8325
2016-05-03,1.7205
2016-05-04,1.72875
2016-05-05,1.7245
2016-05-06,1.68375
2016-05-09,1.67125
2016-05-10,1.69375
2016-05-11,1.6915
2016-05-12,1.68375
2016-05-13,1.67125
2016-05-16,1.6755
2016-05-17,1.6945
2016-05-18,1.6945
2016-05-19,1.69375
2016-05-20,1.68625
2016-05-23,1.68625
2016-05-24,1.6865
