Date,Value
2016-01-04,1.923
2016-01-05,1.925
2016-01-06,1.9195
2016-01-07,1.91125
2016-01-08,1.91875
2016-01-11,1.9175
2016-01-12,1.9095
2016-01-13,1.89875
2016-01-14,1.894
2016-01-15,1.875
2016-01-18,1.87
2016-01-19,1.875
2016-01-20,1.85375
2016-01-21,1.8665
2016-01-22,1.87375
2016-01-25,1.855
2016-01-26,1.8435
2016-01-27,1.8985
2016-01-28,1.9
2016-01-29,1.887
2016-02-01,1.896
2016-02-02,1.885
2016-02-03,1.89625
2016-02-04,1.89875
2016-02-05,1.8955
2016-02-08,1.87875
2016-02-09,1.8615
2016-02-10,1.85875
2016-02-11,1.84625
2016-02-12,1.869
2016-02-15,1.886
2016-02-16,1.886
2016-02-17,1.891
2016-02-18,1.8755
2016-02-19,1.8675
2016-02-22,1.88
2016-02-23,1.8775
2016-02-24,1.876
2016-02-25,1.86
2016-02-26,1.85625
2016-02-29,1.86
2016-03-01,1.86125
2016-03-02,1.90125
2016-03-03,1.9
2016-03-04,1.919
2016-03-07,1.93
2016-03-08,1.91
2016-03-09,1.901
2016-03-10,1.91875
2016-03-11,1.926
2016-03-14,1.907
2016-03-15,1.918
2016-03-16,1.914
2016-03-17,1.895
2016-03-18,1.89625
2016-03-21,1.91125
2016-03-22,1.923
2016-03-23,1.9285
2016-03-24,1.925
2016-03-25,1.92625
2016-03-28,1.92625
2016-03-29,1.926
2016-03-30,1.909
2016-03-31,1.90375
2016-04-01,1.91125
2016-04-04,1.8915
2016-04-05,1.872
2016-04-06,1.8845
2016-04-07,1.872
2016-04-08,1.85
2016-04-11,1.8605
2016-04-12,1.882
2016-04-13,1.88125
2016-04-14,1.915
2016-04-15,1.91375
2016-04-18,1.916
2016-04-19,1.923
2016-04-20,1.918
2016-04-21,1.924
2016-04-22,1.91625
2016-04-25,1.918
2016-04-26,1.917
2016-04-27,1.768
2016-04-28,1.785
2016-04-29,1.77125
2016-05-02,1.77
2016-05-03,1.665
2016-05-04,1.66875
2016-05-05,1.665
2016-05-06,1.606
2016-05-09,1.59375
2016-05-10,1.60875
2016-05-11,1.6075
2016-05-12,1.60625
2016-05-13,1.596
2016-05-16,1.5975
2016-05-17,1.622
2016-05-18,1.62125
2016-05-19,1.62
2016-05-20,1.6175
2016-05-23,1.6225
2016-05-24,1.6255
2016-05-25,1.61875
2016-05-26,1.61875
2016-05-27,1.6111
2016-05-30,1.6165
2016-05-31,1.6245
2016-06-01,1.63875
2016-06-02,1.62625
2016-06-03,1.60625
2016-06-06,1.6109
2016-06-07,1.638
2016-06-08,1.63875
2016-06-09,1.636
2016-06-10,1.63
2016-06-13,1.6255
2016-06-14,1.613
2016-06-15,1.609
2016-06-16,1.5936
2016-06-17,1.605
2016-06-20,1.617
2016-06-21,1.62625
2016-06-22,1.626
2016-06-23,1.633
2016-06-24,1.565
2016-06-27,1.54875
2016-06-28,1.5576
2016-06-29,1.567
2016-06-30,1.5719
2016-07-01,1.5637
2016-07-04,1.58375
2016-07-05,1.568
2016-07-06,1.56375
2016-07-07,1.557
2016-07-08,1.55375
2016-07-11,1.555
2016-07-12,1.575
2016-07-13,1.558
2016-07-14,1.562
2016-07-15,1.56
2016-07-18,1.5455
2016-07-19,1.51875
2016-07-20,1.51875
2016-07-21,1.51
2016-07-22,1.498
2016-07-25,1.5
2016-07-26,1.518
2016-07-27,1.519
2016-07-28,1.509
2016-07-29,1.49125
2016-08-01,1.48875
2016-08-02,1.42125
2016-08-03,1.4265
2016-08-04,1.4225
2016-08-05,1.42125
2016-08-08,1.4225
2016-08-09,1.4165
2016-08-10,1.41125
2016-08-11,1.41
2016-08-12,1.411
2016-08-15,1.409
2016-08-16,1.408
2016-08-17,1.4125
2016-08-18,1.413
2016-08-19,1.408
2016-08-22,1.4125
2016-08-23,1.405
2016-08-24,1.405
2016-08-25,1.411
2016-08-26,1.41125
2016-08-29,1.4175
2016-08-30,1.41
2016-08-31,1.4075
2016-09-01,1.41375
2016-09-02,1.412
2016-09-05,1.41625
2016-09-06,1.4235
2016-09-07,1.4235
2016-09-08,1.433
2016-09-09,1.436
2016-09-12,1.435
2016-09-13,1.44
2016-09-14,1.4355
2016-09-15,1.4365
2016-09-16,1.4295
2016-09-19,1.438
2016-09-20,1.442
2016-09-21,1.442
2016-09-22,1.4425
2016-09-23,1.441
2016-09-26,1.441
2016-09-27,1.44
2016-09-28,1.4365
2016-09-29,1.43625
2016-09-30,1.42375
2016-10-03,1.432
2016-10-04,1.43875
2016-10-05,1.443
2016-10-06,1.4485
2016-10-07,1.446
2016-10-10,1.45625
2016-10-11,1.45625
2016-10-12,1.46375
2016-10-13,1.45625
2016-10-14,1.463
2016-10-17,1.458
2016-10-18,1.457
2016-10-19,1.45125
2016-10-20,1.44
2016-10-21,1.4435
2016-10-24,1.43875
2016-10-25,1.448
2016-10-26,1.46625
2016-10-27,1.467
2016-10-28,1.464
2016-10-31,1.4605
2016-11-01,1.478
2016-11-02,1.468
2016-11-03,1.4675
2016-11-04,1.4675
2016-11-07,1.4705
2016-11-08,1.47
2016-11-09,1.47375
2016-11-10,1.477
2016-11-11,1.47375
2016-11-14,1.48125
2016-11-15,1.48375
2016-11-16,1.481
2016-11-17,1.4845
2016-11-18,1.4835
2016-11-21,1.4835
2016-11-22,1.4835
2016-11-23,1.488
2016-11-24,1.4875
2016-11-25,1.4885
2016-11-28,1.4855
2016-11-29,1.486
2016-11-30,1.4855
2016-12-01,1.48875
2016-12-02,1.488
2016-12-05,1.4885
2016-12-06,1.484
2016-12-07,1.471
2016-12-08,1.475
2016-12-09,1.474
2016-12-12,1.4765
2016-12-13,1.479
2016-12-14,1.484
2016-12-15,1.491
2016-12-16,1.49
2016-12-19,1.49
2016-12-20,1.4955
2016-12-21,1.4945
2016-12-22,1.49625
2016-12-23,1.49875
2016-12-26,1.5
2016-12-27,1.49875
2016-12-28,1.499
2016-12-29,1.4955
2016-12-30,1.495
2017-01-02,1.4965
2017-01-03,1.495
2017-01-04,1.495
2017-01-05,1.491
2017-01-06,1.49125
2017-01-09,1.4895
2017-01-10,1.495
2017-01-11,1.49
2017-01-12,1.493
2017-01-13,1.493
2017-01-16,1.49
2017-01-17,1.49
2017-01-18,1.4965
2017-01-19,1.49375
2017-01-20,1.49125
2017-01-23,1.49
2017-01-24,1.49125
2017-01-25,1.4785
2017-01-26,1.48375
2017-01-27,1.4825
2017-01-30,1.4835
2017-01-31,1.482
2017-02-01,1.4775
2017-02-02,1.4805
2017-02-03,1.48125
2017-02-06,1.4775
2017-02-07,1.4845
2017-02-08,1.483
2017-02-09,1.485
2017-02-10,1.485
2017-02-13,1.4845
2017-02-14,1.488
2017-02-15,1.491
2017-02-16,1.487
2017-02-17,1.489
2017-02-20,1.48625
2017-02-21,1.488
2017-02-22,1.4885
2017-02-23,1.4795
2017-02-24,1.48125
2017-02-27,1.4845
2017-02-28,1.486
2017-03-01,1.4933
2017-03-02,1.492
2017-03-03,1.49182
2017-03-06,1.4935
2017-03-07,1.4985
2017-03-08,1.502
2017-03-09,1.5005
2017-03-10,1.5
2017-03-13,1.495
2017-03-14,1.4975
2017-03-15,1.5
2017-03-16,1.49936
2017-03-17,1.49896
2017-03-20,1.49968
2017-03-21,1.50142
2017-03-22,1.49625
2017-03-23,1.49625
2017-03-24,1.49625
2017-03-27,1.49639
2017-03-28,1.49806
2017-03-29,1.4975
2017-03-30,1.49548
2017-03-31,1.49625
2017-04-03,1.49492
2017-04-04,1.49128
2017-04-05,1.49
2017-04-06,1.48402
2017-04-07,1.4875
2017-04-10,1.48204
2017-04-11,1.4775
2017-04-12,1.4725
2017-04-13,1.47875
2017-04-14,1.4775
2017-04-17,1.4775
2017-04-18,1.4775
2017-04-19,1.47518
2017-04-20,1.4725
2017-04-21,1.47242
2017-04-24,1.48373
2017-04-25,1.48649
2017-04-26,1.4875
2017-04-27,1.4873
2017-04-28,1.48463
2017-05-01,1.48841
2017-05-02,1.48884
2017-05-03,1.48914
2017-05-04,1.48979
2017-05-05,1.493
2017-05-08,1.49568
2017-05-09,1.49424
2017-05-10,1.49092
2017-05-11,1.48741
2017-05-12,1.48633
2017-05-15,1.48692
2017-05-16,1.48692
2017-05-17,1.48006
2017-05-18,1.48703
2017-05-19,1.48703
2017-05-22,1.48282
2017-05-23,1.48292
2017-05-24,1.48181
2017-05-25,1.47899
2017-05-26,1.47574
2017-05-29,1.47925
2017-05-30,1.47667
2017-05-31,1.47571
2017-06-01,1.47687
2017-06-02,1.4777
2017-06-05,1.47912
2017-06-06,1.47953
2017-06-07,1.48545
2017-06-08,1.4843
2017-06-09,1.4849
2017-06-12,1.48616
2017-06-13,1.48757
2017-06-14,1.48865
2017-06-15,1.49472
2017-06-16,1.49538
2017-06-19,1.4978
2017-06-20,1.49948
2017-06-21,1.49843
2017-06-22,1.4971
2017-06-23,1.4945
2017-06-26,1.49615
2017-06-27,1.4995
2017-06-28,1.50053
2017-06-29,1.50665
2017-06-30,1.5075
2017-07-03,1.51169
2017-07-04,1.51158
2017-07-05,1.50886
2017-07-06,1.51468
2017-07-07,1.5175
2017-07-10,1.515
2017-07-11,1.516
2017-07-12,1.514
2017-07-13,1.50951
2017-07-14,1.51
2017-07-17,1.511
2017-07-18,1.52504
2017-07-19,1.536
2017-07-20,1.53454
2017-07-21,1.52355
2017-07-24,1.5225
2017-07-25,1.52533
2017-07-26,1.51323
2017-07-27,1.51125
2017-07-28,1.5125
2017-07-31,1.512
2017-08-01,1.51197
2017-08-02,1.512
2017-08-03,1.51062
2017-08-04,1.512
2017-08-07,1.512
2017-08-08,1.5116
2017-08-09,1.51
2017-08-10,1.51032
2017-08-11,1.50992
2017-08-14,1.51035
2017-08-15,1.512
2017-08-16,1.5075
2017-08-17,1.51111
2017-08-18,1.512
2017-08-21,1.512
2017-08-22,1.51348
2017-08-23,1.51125
2017-08-24,1.51234
2017-08-25,1.51567
2017-08-28,1.51604
2017-08-29,1.51
2017-08-30,1.51375
2017-08-31,1.51625
2017-09-01,1.51849
2017-09-04,1.51575
2017-09-05,1.51625
2017-09-06,1.5195
2017-09-07,1.52
2017-09-08,1.519
2017-09-11,1.52
2017-09-12,1.52
2017-09-13,1.522
2017-09-14,1.53113
2017-09-15,1.537
2017-09-18,1.535
2017-09-19,1.538
2017-09-20,1.54622
2017-09-21,1.53336
2017-09-22,1.533
2017-09-25,1.53
2017-09-26,1.53
2017-09-27,1.534
2017-09-28,1.53815
2017-09-29,1.53625
2017-10-02,1.54
2017-10-03,1.5335
2017-10-04,1.52498
2017-10-05,1.52717
2017-10-06,1.526
2017-10-09,1.5225
2017-10-10,1.5261
2017-10-11,1.52633
2017-10-12,1.52664
2017-10-13,1.5275
2017-10-16,1.525
2017-10-17,1.52
2017-10-18,1.51967
2017-10-19,1.525
2017-10-20,1.52259
2017-10-23,1.5225
2017-10-24,1.525
2017-10-25,1.5075
2017-10-26,1.51087
2017-10-27,1.5125
2017-10-30,1.51
2017-10-31,1.5075
2017-11-01,1.5097
2017-11-02,1.51
2017-11-03,1.5065
2017-11-06,1.50778
2017-11-07,1.51008
2017-11-08,1.51018
2017-11-09,1.51152
2017-11-10,1.51125
2017-11-13,1.51042
2017-11-14,1.51297
2017-11-15,1.509
2017-11-16,1.5091
2017-11-17,1.512
2017-11-20,1.505
2017-11-21,1.505
2017-11-22,1.50812
2017-11-23,1.5075
2017-11-24,1.509
2017-11-27,1.5086
2017-11-28,1.5083
2017-11-29,1.505
2017-11-30,1.5091
2017-12-01,1.50865
2017-12-04,1.505
2017-12-05,1.51277
2017-12-06,1.50625
2017-12-07,1.51006
2017-12-08,1.511
2017-12-11,1.5125
2017-12-12,1.51522
2017-12-13,1.51046
2017-12-14,1.51658
2017-12-15,1.51694
2017-12-18,1.51875
2017-12-19,1.52125
2017-12-20,1.51957
2017-12-21,1.5246
2017-12-22,1.525
2017-12-25,1.5255
2017-12-26,1.525
2017-12-27,1.525
2017-12-28,1.525
