Date,Open,High,Low,Close
2016-01-01,0.7286,0.7304,0.7286,0.7303
2016-01-04,0.7287,0.7305,0.7156,0.7191
2016-01-05,0.7191,0.7215,0.7132,0.7161
2016-01-06,0.7161,0.7172,0.7049,0.7072
2016-01-07,0.7072,0.7086,0.6981,0.7012
2016-01-08,0.7012,0.7077,0.6951,0.6953
2016-01-11,0.6968,0.7036,0.6928,0.6995
2016-01-12,0.6995,0.7021,0.694,0.6986
2016-01-13,0.6986,0.7049,0.695,0.6955
2016-01-14,0.6956,0.6997,0.691,0.6985
2016-01-15,0.6985,0.7002,0.6827,0.6864
2016-01-18,0.6851,0.6928,0.6831,0.6866
2016-01-19,0.6866,0.6957,0.6839,0.6909
2016-01-20,0.6909,0.6926,0.6828,0.6908
2016-01-21,0.6908,0.7018,0.6876,0.6999
2016-01-22,0.6999,0.7046,0.6986,0.7002
2016-01-25,0.6994,0.7032,0.695,0.6955
2016-01-26,0.6955,0.7021,0.6919,0.7005
2016-01-27,0.7005,0.7082,0.6992,0.7027
2016-01-28,0.7027,0.7129,0.7008,0.7084
2016-01-29,0.7084,0.7141,0.7059,0.7084
2016-02-01,0.7083,0.7121,0.7043,0.7114
2016-02-02,0.7114,0.7129,0.7034,0.7039
2016-02-03,0.7039,0.7189,0.7003,0.7169
2016-02-04,0.7169,0.7243,0.7154,0.7201
2016-02-05,0.72,0.7219,0.7064,0.7067
2016-02-08,0.7072,0.7129,0.7051,0.7087
2016-02-09,0.7087,0.7096,0.6974,0.707
2016-02-10,0.707,0.7125,0.7038,0.7095
2016-02-11,0.7095,0.7153,0.6984,0.7109
2016-02-12,0.7109,0.7129,0.7064,0.7112
2016-02-15,0.7109,0.7172,0.7099,0.7139
2016-02-16,0.7139,0.7182,0.7082,0.7111
2016-02-17,0.7111,0.7187,0.7084,0.7185
2016-02-18,0.7185,0.7185,0.7133,0.7157
2016-02-19,0.7157,0.7162,0.7069,0.7148
2016-02-22,0.7152,0.7247,0.7136,0.7227
2016-02-23,0.7227,0.7259,0.72,0.7202
2016-02-24,0.7202,0.7213,0.7146,0.7196
2016-02-25,0.7196,0.7244,0.7157,0.7236
2016-02-26,0.7236,0.7257,0.7118,0.7126
2016-02-29,0.7132,0.7168,0.7109,0.7141
2016-03-01,0.7141,0.7192,0.7109,0.7175
2016-03-02,0.7175,0.7301,0.7165,0.7295
2016-03-03,0.7295,0.7374,0.7282,0.7352
2016-03-04,0.7352,0.7443,0.734,0.7439
2016-03-07,0.7422,0.7485,0.7393,0.7469
2016-03-08,0.7469,0.7473,0.741,0.7439
2016-03-09,0.7439,0.7528,0.7412,0.7486
2016-03-10,0.7486,0.7512,0.7427,0.7454
2016-03-11,0.7454,0.7584,0.7447,0.7565
2016-03-14,0.7559,0.7594,0.7492,0.7515
2016-03-15,0.7515,0.7528,0.7445,0.7457
2016-03-16,0.7458,0.7561,0.7415,0.7553
2016-03-17,0.7553,0.7657,0.7534,0.7649
2016-03-18,0.7649,0.768,0.7595,0.7608
2016-03-21,0.7612,0.7627,0.7569,0.7578
2016-03-22,0.7578,0.7643,0.7551,0.7622
2016-03-23,0.7622,0.7649,0.752,0.7532
2016-03-24,0.7532,0.7538,0.7477,0.7528
2016-03-25,0.7528,0.7535,0.75,0.7507
2016-03-28,0.7509,0.7558,0.7493,0.7545
2016-03-29,0.7545,0.7645,0.751,0.7627
2016-03-30,0.7628,0.7709,0.7615,0.7671
2016-03-31,0.7671,0.7723,0.7635,0.7657
2016-04-01,0.7657,0.7701,0.7599,0.7677
2016-04-04,0.7676,0.7679,0.7599,0.7605
2016-04-05,0.7605,0.7632,0.751,0.7543
2016-04-06,0.7544,0.7619,0.7533,0.7599
2016-04-07,0.7599,0.7637,0.7492,0.7505
2016-04-08,0.7505,0.7579,0.75,0.7556
2016-04-11,0.7551,0.763,0.7528,0.7595
2016-04-12,0.7595,0.769,0.7584,0.7684
2016-04-13,0.7684,0.7716,0.7634,0.7653
2016-04-14,0.7653,0.7737,0.7619,0.7695
2016-04-15,0.7695,0.7734,0.7681,0.7725
2016-04-18,0.7644,0.7759,0.7593,0.775
2016-04-19,0.775,0.7826,0.7746,0.7813
2016-04-20,0.7813,0.7829,0.7767,0.7794
2016-04-21,0.7794,0.7835,0.7733,0.7738
2016-04-22,0.7738,0.7774,0.7694,0.7708
2016-04-25,0.7708,0.7729,0.7691,0.7715
2016-04-26,0.7715,0.7765,0.7697,0.7749
2016-04-27,0.7749,0.7765,0.7549,0.7591
2016-04-28,0.7591,0.7658,0.7576,0.7625
2016-04-29,0.7625,0.7669,0.7587,0.7603
2016-05-02,0.7606,0.7672,0.7593,0.7667
2016-05-03,0.7667,0.7719,0.7484,0.7485
2016-05-04,0.7484,0.7517,0.7447,0.7457
2016-05-05,0.7457,0.7514,0.7453,0.7465
2016-05-06,0.7465,0.7478,0.7338,0.7366
2016-05-09,0.7362,0.7385,0.7308,0.7316
2016-05-10,0.7316,0.7374,0.73,0.7363
2016-05-11,0.7363,0.7402,0.7336,0.7375
2016-05-12,0.7375,0.738,0.731,0.7325
2016-05-13,0.7325,0.7326,0.7254,0.7271
2016-05-16,0.7255,0.7309,0.7237,0.7289
2016-05-17,0.7289,0.7366,0.7282,0.7325
2016-05-18,0.7325,0.7332,0.7222,0.7229
2016-05-19,0.7229,0.7242,0.7176,0.7228
2016-05-20,0.7228,0.725,0.7212,0.7222
2016-05-23,0.7226,0.726,0.7195,0.7224
2016-05-24,0.7224,0.7228,0.7145,0.7183
2016-05-25,0.7183,0.7219,0.7174,0.7198
2016-05-26,0.7198,0.7244,0.7162,0.7226
2016-05-27,0.7226,0.7235,0.7172,0.7182
2016-05-30,0.7184,0.7188,0.7149,0.7183
2016-05-31,0.7183,0.7267,0.7181,0.7234
2016-06-01,0.7234,0.7299,0.7227,0.7257
2016-06-02,0.7257,0.727,0.7202,0.7229
2016-06-03,0.7229,0.7369,0.7219,0.7367
2016-06-06,0.7352,0.7391,0.7315,0.7366
2016-06-07,0.7366,0.7464,0.736,0.7459
2016-06-08,0.7459,0.7482,0.7431,0.7471
2016-06-09,0.7471,0.7505,0.7421,0.7431
2016-06-10,0.7431,0.7438,0.737,0.7373
2016-06-13,0.7393,0.7411,0.7359,0.7387
2016-06-14,0.7387,0.7405,0.7331,0.7358
2016-06-15,0.7358,0.7446,0.7334,0.7407
