Date,Value
2016-01-01,-85.95
2016-01-04,-82.85
2016-01-05,-83.4
2016-01-06,-83.32
2016-01-07,-82.35
2016-01-08,-82.15
2016-01-11,-82.95
2016-01-12,-82.3
2016-01-13,-81.22
2016-01-14,-81.62
2016-01-15,-78.8
2016-01-18,-79.46
2016-01-19,-79.82
2016-01-20,-79.4
2016-01-21,-81.1
2016-01-22,-80.7
2016-01-25,-78.5
2016-01-26,-79.4
2016-01-27,-83.1
2016-01-28,-83.7
2016-01-29,-84.53
2016-02-01,-84.55
2016-02-02,-83.6
2016-02-03,-86.13
2016-02-04,-86.35
2016-02-05,-84.4
2016-02-08,-83.56
2016-02-09,-84.47
2016-02-10,-84.6
2016-02-11,-83.68
2016-02-12,-85.05
2016-02-15,-85.65
2016-02-16,-85.15
2016-02-17,-86.45
2016-02-18,-83.9
2016-02-19,-83.0
2016-02-22,-83.93
2016-02-23,-82.91
2016-02-24,-82.75
2016-02-25,-82.6
2016-02-26,-79.45
2016-02-29,-80.65
2016-03-01,-80.4
2016-03-02,-83.7
2016-03-03,-85.6
2016-03-04,-86.95
2016-03-07,-87.75
2016-03-08,-86.8
2016-03-09,-86.22
2016-03-10,-86.05
2016-03-11,-87.55
2016-03-14,-86.0
2016-03-15,-86.0
2016-03-16,-89.5
2016-03-17,-89.32
2016-03-18,-89.08
2016-03-21,-88.65
2016-03-22,-89.7
2016-03-23,-88.32
2016-03-24,-87.53
2016-03-25,-87.3
2016-03-28,-88.0
2016-03-29,-89.55
2016-03-30,-90.5
2016-03-31,-89.6
2016-04-01,-89.65
2016-04-04,-87.6
2016-04-05,-87.35
2016-04-06,-87.8
2016-04-07,-85.4
2016-04-08,-85.18
2016-04-11,-86.3
2016-04-12,-88.8
2016-04-13,-88.51
2016-04-14,-89.9
2016-04-15,-89.7
2016-04-18,-90.1
2016-04-19,-91.1
2016-04-20,-89.7
2016-04-21,-88.7
2016-04-22,-87.6
2016-04-25,-87.4
2016-04-26,-88.76
2016-04-27,-77.75
2016-04-28,-79.65
2016-04-29,-78.78
2016-05-02,-80.0
2016-05-03,-72.55
2016-05-04,-73.32
2016-05-05,-72.75
2016-05-06,-68.3
2016-05-09,-67.75
2016-05-10,-69.95
2016-05-11,-69.0
2016-05-12,-67.4
2016-05-13,-66.35
2016-05-16,-66.85
2016-05-17,-67.2
2016-05-18,-64.0
2016-05-19,-62.6
2016-05-20,-62.32
2016-05-23,-62.5
2016-05-24,-61.5
2016-05-25,-61.0
2016-05-26,-60.9
2016-05-27,-59.7
2016-05-30,-59.45
2016-05-31,-61.6
2016-06-01,-61.4
2016-06-02,-60.72
2016-06-03,-64.65
2016-06-06,-64.55
2016-06-07,-68.65
2016-06-08,-68.5
2016-06-09,-67.75
2016-06-10,-68.05
2016-06-13,-68.4
2016-06-14,-66.5
2016-06-15,-68.63
2016-06-16,-67.47
2016-06-17,-68.7
2016-06-20,-68.12
2016-06-21,-68.8
2016-06-22,-70.0
2016-06-23,-71.5
2016-06-24,-71.0
2016-06-27,-68.75
2016-06-28,-69.3
2016-06-29,-70.18
2016-06-30,-70.0
2016-07-01,-69.15
2016-07-04,-70.1
2016-07-05,-69.1
2016-07-06,-69.05
2016-07-07,-67.6
2016-07-08,-67.65
2016-07-11,-66.6
2016-07-12,-69.3
2016-07-13,-68.0
2016-07-14,-67.0
2016-07-15,-64.68
2016-07-18,-64.05
2016-07-19,-61.15
2016-07-20,-60.47
2016-07-21,-58.5
2016-07-22,-57.17
2016-07-25,-57.1
2016-07-26,-58.83
2016-07-27,-58.95
2016-07-28,-57.83
2016-07-29,-59.08
2016-08-01,-58.07
2016-08-02,-54.0
2016-08-03,-53.43
2016-08-04,-53.25
2016-08-05,-52.0
2016-08-08,-50.9
2016-08-09,-50.47
2016-08-10,-51.93
2016-08-11,-51.25
2016-08-12,-51.6
2016-08-15,-51.94
2016-08-16,-51.25
2016-08-17,-50.55
2016-08-18,-50.8
2016-08-19,-48.75
2016-08-22,-47.88
2016-08-23,-47.3
2016-08-24,-47.35
2016-08-25,-46.1
2016-08-26,-44.6
2016-08-29,-45.13
2016-08-30,-44.5
2016-08-31,-43.81
2016-09-01,-45.0
2016-09-02,-44.65
2016-09-05,-45.5
2016-09-06,-48.52
2016-09-07,-48.33
2016-09-08,-47.45
2016-09-09,-46.5
2016-09-12,-47.7
2016-09-13,-46.9
2016-09-14,-48.1
2016-09-15,-49.32
2016-09-16,-48.3
2016-09-19,-48.03
2016-09-20,-46.9
2016-09-21,-47.53
2016-09-22,-47.55
2016-09-23,-48.45
2016-09-26,-48.7
2016-09-27,-48.55
2016-09-28,-48.9
2016-09-29,-47.9
2016-09-30,-46.38
2016-10-03,-47.05
2016-10-04,-46.5
2016-10-05,-47.2
2016-10-06,-46.95
2016-10-07,-47.45
2016-10-10,-47.8
2016-10-11,-47.2
2016-10-12,-47.63
2016-10-13,-47.78
2016-10-14,-49.3
2016-10-17,-49.75
2016-10-18,-50.8
2016-10-19,-50.95
2016-10-20,-47.1
2016-10-21,-47.7
2016-10-24,-47.1
2016-10-25,-47.03
2016-10-26,-48.3
2016-10-27,-46.9
2016-10-28,-47.15
2016-10-31,-46.8
2016-11-01,-48.35
2016-11-02,-48.45
2016-11-03,-49.5
2016-11-04,-50.38
2016-11-07,-50.05
2016-11-08,-49.2
2016-11-09,-48.06
2016-11-10,-48.9
2016-11-11,-47.85
2016-11-14,-47.8
2016-11-15,-48.45
2016-11-16,-47.05
2016-11-17,-45.56
2016-11-18,-44.93
2016-11-21,-44.98
2016-11-22,-45.8
2016-11-23,-45.15
2016-11-24,-45.1
2016-11-25,-45.1
2016-11-28,-45.45
2016-11-29,-45.85
2016-11-30,-45.03
2016-12-01,-43.88
2016-12-02,-45.18
2016-12-05,-44.6
2016-12-06,-44.3
2016-12-07,-43.45
2016-12-08,-43.1
2016-12-09,-42.55
2016-12-12,-42.9
2016-12-13,-42.7
2016-12-14,-41.48
2016-12-15,-42.2
2016-12-16,-43.05
2016-12-19,-42.63
2016-12-20,-43.9
2016-12-21,-44.2
2016-12-22,-43.8
2016-12-23,-43.3
2016-12-26,-43.7
2016-12-27,-43.77
2016-12-28,-43.2
2016-12-29,-44.0
2016-12-30,-44.3
2017-01-02,-44.13
2017-01-03,-44.1
2017-01-04,-44.3
2017-01-05,-43.7
2017-01-06,-42.65
2017-01-09,-43.78
2017-01-10,-44.14
2017-01-11,-44.1
2017-01-12,-44.2
2017-01-13,-43.7
2017-01-16,-43.63
2017-01-17,-44.33
2017-01-18,-43.4
2017-01-19,-42.6
2017-01-20,-42.92
2017-01-23,-43.6
2017-01-24,-43.4
2017-01-25,-41.28
2017-01-26,-41.3
2017-01-27,-41.28
2017-01-30,-41.3
2017-01-31,-41.2
2017-02-01,-41.08
2017-02-02,-41.39
2017-02-03,-42.15
2017-02-06,-41.86
2017-02-07,-41.63
2017-02-08,-42.4
2017-02-09,-41.8
2017-02-10,-41.7
2017-02-13,-40.75
2017-02-14,-40.4
2017-02-15,-39.32
2017-02-16,-39.95
2017-02-17,-39.95
2017-02-20,-39.5
2017-02-21,-39.25
2017-02-22,-39.6
2017-02-23,-39.69
2017-02-24,-39.7
2017-02-27,-38.8
2017-02-28,-36.7
2017-03-01,-36.67
2017-03-02,-34.3
2017-03-03,-34.83
2017-03-06,-35.8
2017-03-07,-36.1
2017-03-08,-35.0
2017-03-09,-34.0
2017-03-10,-33.4
2017-03-13,-33.3
2017-03-14,-33.6
2017-03-15,-35.6
2017-03-16,-35.08
2017-03-17,-34.4
2017-03-20,-34.08
2017-03-21,-33.7
2017-03-22,-34.6
2017-03-23,-33.33
2017-03-24,-33.35
2017-03-27,-33.35
2017-03-28,-32.5
2017-03-29,-33.3
2017-03-30,-32.7
2017-03-31,-32.27
2017-04-03,-31.9
2017-04-04,-31.67
2017-04-05,-31.13
2017-04-06,-29.9
2017-04-07,-28.8
2017-04-10,-29.1
2017-04-11,-30.35
2017-04-12,-29.15
2017-04-13,-30.53
2017-04-14,-30.28
2017-04-17,-31.05
2017-04-18,-31.2
2017-04-19,-30.33
2017-04-20,-29.9
2017-04-21,-29.78
2017-04-24,-28.9
2017-04-25,-27.75
2017-04-26,-28.05
2017-04-27,-28.1
2017-04-28,-27.85
2017-05-01,-28.5
2017-05-02,-28.7
2017-05-03,-27.5
2017-05-04,-27.2
2017-05-05,-26.55
2017-05-08,-26.67
2017-05-09,-26.8
2017-05-10,-27.25
2017-05-11,-26.6
2017-05-12,-27.6
2017-05-15,-28.55
2017-05-16,-27.95
2017-05-17,-29.0
2017-05-18,-28.77
2017-05-19,-28.18
2017-05-22,-27.7
2017-05-23,-26.5
2017-05-24,-27.15
2017-05-25,-25.75
2017-05-26,-25.5
2017-05-29,-26.45
2017-05-30,-26.0
2017-05-31,-24.45
2017-06-01,-23.0
2017-06-02,-24.2
2017-06-05,-24.87
2017-06-06,-24.82
2017-06-07,-26.0
2017-06-08,-24.9
2017-06-09,-24.45
2017-06-12,-24.72
2017-06-13,-24.53
2017-06-14,-25.8
2017-06-15,-25.7
2017-06-16,-26.75
2017-06-19,-26.4
2017-06-20,-26.05
2017-06-21,-25.8
2017-06-22,-24.7
2017-06-23,-24.55
2017-06-26,-24.35
2017-06-27,-24.4
2017-06-28,-25.0
2017-06-29,-25.83
2017-06-30,-25.5
2017-07-03,-24.85
2017-07-04,-24.6
2017-07-05,-25.1
2017-07-06,-25.25
2017-07-07,-26.28
2017-07-10,-26.1
2017-07-11,-26.65
2017-07-12,-26.83
2017-07-13,-26.3
2017-07-14,-27.05
2017-07-17,-26.2
2017-07-18,-28.4
2017-07-19,-29.3
2017-07-20,-28.85
2017-07-21,-27.75
2017-07-24,-27.5
2017-07-25,-26.85
2017-07-26,-27.2
2017-07-27,-26.3
2017-07-28,-26.58
2017-07-31,-26.05
2017-08-01,-25.75
2017-08-02,-25.75
2017-08-03,-25.89
2017-08-04,-25.3
2017-08-07,-25.3
2017-08-08,-25.35
2017-08-09,-25.5
2017-08-10,-26.15
2017-08-11,-27.43
2017-08-14,-26.05
2017-08-15,-25.4
2017-08-16,-26.42
2017-08-17,-26.8
2017-08-18,-27.02
2017-08-21,-26.95
2017-08-22,-26.8
2017-08-23,-27.39
2017-08-24,-26.8
2017-08-25,-26.69
2017-08-28,-27.8
2017-08-29,-28.4
2017-08-30,-27.7
2017-08-31,-27.9
2017-09-01,-27.96
2017-09-04,-28.2
2017-09-05,-28.15
2017-09-06,-28.3
2017-09-07,-29.5
2017-09-08,-29.33
2017-09-11,-27.2
2017-09-12,-26.88
2017-09-13,-26.7
2017-09-14,-27.25
2017-09-15,-28.04
2017-09-18,-26.7
2017-09-19,-26.4
2017-09-20,-26.1
2017-09-21,-24.2
2017-09-22,-24.3
2017-09-25,-24.0
2017-09-26,-23.23
2017-09-27,-22.8
2017-09-28,-23.8
2017-09-29,-23.05
2017-10-02,-22.92
2017-10-03,-22.42
2017-10-04,-21.83
2017-10-05,-20.43
2017-10-06,-19.41
2017-10-09,-18.95
2017-10-10,-19.1
2017-10-11,-18.91
2017-10-12,-19.2
2017-10-13,-19.92
2017-10-16,-18.48
2017-10-17,-17.35
2017-10-18,-17.25
2017-10-19,-18.22
2017-10-20,-17.5
2017-10-23,-17.65
2017-10-24,-17.15
2017-10-25,-15.22
2017-10-26,-14.29
2017-10-27,-14.5
2017-10-30,-14.64
2017-10-31,-13.4
