Date,Value
2016-01-01,-2.6125
2016-01-04,-2.7375
2016-01-05,-2.84
2016-01-06,-2.855
2016-01-07,-3.125
2016-01-08,-3.1725
2016-01-11,-3.155
2016-01-12,-2.8475
2016-01-13,-2.84
2016-01-14,-3.235
2016-01-15,-3.2275
2016-01-18,-3.11
2016-01-19,-3.0525
2016-01-20,-3.135
2016-01-21,-3.115
2016-01-22,-3.025
2016-01-25,-2.975
2016-01-26,-3.0
2016-01-27,-3.005
2016-01-28,-2.995
2016-01-29,-2.9925
2016-02-01,-2.825
2016-02-02,-2.925
2016-02-03,-2.8625
2016-02-04,-2.8175
2016-02-05,-2.8325
2016-02-08,-3.04
2016-02-09,-3.095
2016-02-10,-3.0775
2016-02-11,-3.1025
2016-02-12,-3.125
2016-02-15,-3.005
2016-02-16,-2.995
2016-02-17,-2.995
2016-02-18,-2.955
2016-02-19,-2.985
2016-02-22,-3.025
2016-02-23,-2.985
2016-02-24,-3.015
2016-02-25,-3.01
2016-02-26,-3.0225
2016-02-29,-3.025
2016-03-01,-3.0025
2016-03-02,-2.9025
2016-03-03,-2.9075
2016-03-04,-2.815
2016-03-07,-2.8
2016-03-08,-2.805
2016-03-09,-2.835
2016-03-10,-2.82
2016-03-11,-2.84
2016-03-14,-2.7775
2016-03-15,-2.75
2016-03-16,-2.79
2016-03-17,-2.6725
2016-03-18,-2.6
2016-03-21,-2.56
2016-03-22,-2.58
2016-03-23,-2.485
2016-03-24,-2.48
2016-03-25,-2.47
2016-03-28,-2.49
2016-03-29,-2.4925
2016-03-30,-2.2425
2016-03-31,-2.22
2016-04-01,-2.235
2016-04-04,-2.24
2016-04-05,-2.28
2016-04-06,-2.28
2016-04-07,-2.2975
2016-04-08,-2.315
2016-04-11,-2.29
2016-04-12,-2.275
2016-04-13,-2.19
2016-04-14,-2.205
2016-04-15,-2.24
2016-04-18,-2.235
2016-04-19,-2.2825
2016-04-20,-2.255
2016-04-21,-2.25
2016-04-22,-2.305
2016-04-25,-2.315
2016-04-26,-2.305
2016-04-27,-2.3575
2016-04-28,-2.32
2016-04-29,-2.355
2016-05-02,-2.3125
2016-05-03,-2.4425
2016-05-04,-2.46
2016-05-05,-2.4075
2016-05-06,-2.415
2016-05-09,-2.375
2016-05-10,-2.36
2016-05-11,-2.355
2016-05-12,-2.355
2016-05-13,-2.4125
2016-05-16,-2.44
2016-05-17,-2.31
2016-05-18,-2.3175
2016-05-19,-2.315
2016-05-20,-2.275
2016-05-23,-2.2675
2016-05-24,-2.26
2016-05-25,-2.23
2016-05-26,-2.19
2016-05-27,-2.17
2016-05-30,-2.1975
2016-05-31,-2.175
2016-06-01,-2.18
2016-06-02,-2.195
2016-06-03,-2.1775
2016-06-06,-2.18
2016-06-07,-2.1225
2016-06-08,-2.0875
2016-06-09,-2.09
2016-06-10,-2.1225
2016-06-13,-2.24
2016-06-14,-2.355
2016-06-15,-2.425
2016-06-16,-2.4525
2016-06-17,-2.3975
2016-06-20,-2.2975
2016-06-21,-2.275
2016-06-22,-2.2875
2016-06-23,-2.2625
2016-06-24,-2.2825
2016-06-27,-2.485
2016-06-28,-2.3
2016-06-29,-2.265
2016-06-30,-2.265
2016-07-01,-2.205
2016-07-04,-2.2475
2016-07-05,-2.2375
2016-07-06,-2.28
2016-07-07,-2.245
2016-07-08,-2.2025
2016-07-11,-2.1725
2016-07-12,-2.155
2016-07-13,-2.145
2016-07-14,-2.1775
2016-07-15,-2.1975
2016-07-18,-2.185
2016-07-19,-2.25
2016-07-20,-2.2525
2016-07-21,-2.2425
2016-07-22,-2.245
2016-07-25,-2.24
2016-07-26,-2.2275
2016-07-27,-2.185
2016-07-28,-2.16
2016-07-29,-2.1625
2016-08-01,-2.1475
2016-08-02,-2.1425
2016-08-03,-2.1575
2016-08-04,-2.15
2016-08-05,-2.12
2016-08-08,-2.1075
2016-08-09,-2.0975
2016-08-10,-2.0975
2016-08-11,-2.0875
2016-08-12,-2.075
2016-08-15,-2.09
2016-08-16,-2.12
2016-08-17,-2.1325
2016-08-18,-2.145
2016-08-19,-2.165
2016-08-22,-2.21
2016-08-23,-2.2
2016-08-24,-2.175
2016-08-25,-2.2025
2016-08-26,-2.19
2016-08-29,-2.27
2016-08-30,-2.305
2016-08-31,-2.305
2016-09-01,-2.305
2016-09-02,-2.31
2016-09-05,-2.19
2016-09-06,-2.1525
2016-09-07,-2.0975
2016-09-08,-2.0025
2016-09-09,-1.98
2016-09-12,-2.1125
2016-09-13,-2.175
2016-09-14,-2.3825
2016-09-15,-2.3775
2016-09-16,-2.375
2016-09-19,-2.2925
2016-09-20,-2.3075
2016-09-21,-2.3125
2016-09-22,-2.2825
2016-09-23,-2.28
2016-09-26,-2.2525
2016-09-27,-2.27
2016-09-28,-2.2675
2016-09-29,-2.275
2016-09-30,-2.3125
2016-10-03,-2.315
2016-10-04,-2.315
2016-10-05,-2.3375
2016-10-06,-2.4
2016-10-07,-2.3975
2016-10-10,-2.36
2016-10-11,-2.34
2016-10-12,-2.345
2016-10-13,-2.355
2016-10-14,-2.315
2016-10-17,-2.2825
2016-10-18,-2.215
2016-10-19,-2.14
2016-10-20,-2.1025
2016-10-21,-2.15
2016-10-24,-2.1025
2016-10-25,-2.095
2016-10-26,-2.1025
2016-10-27,-2.125
2016-10-28,-2.12
2016-10-31,-2.1575
2016-11-01,-2.135
2016-11-02,-2.125
2016-11-03,-2.12
2016-11-04,-2.125
2016-11-07,-2.1275
2016-11-08,-2.0675
2016-11-09,-2.135
2016-11-10,-2.115
2016-11-11,-2.2825
2016-11-14,-2.2425
2016-11-15,-2.1325
2016-11-16,-2.125
2016-11-17,-2.1125
2016-11-18,-2.1525
2016-11-21,-2.135
2016-11-22,-2.14
2016-11-23,-2.13
2016-11-24,-2.1625
2016-11-25,-2.155
2016-11-28,-2.1625
2016-11-29,-2.11
2016-11-30,-2.075
2016-12-01,-2.075
2016-12-02,-2.095
2016-12-05,-2.0725
2016-12-06,-2.07
2016-12-07,-2.0675
2016-12-08,-2.0625
2016-12-09,-2.065
2016-12-12,-2.0375
2016-12-13,-2.0225
2016-12-14,-2.01
2016-12-15,-2.11
2016-12-16,-2.0925
2016-12-19,-2.23
2016-12-20,-2.2175
2016-12-21,-2.225
2016-12-22,-2.235
2016-12-23,-2.23
2016-12-26,-2.23
2016-12-27,-2.235
2016-12-28,-2.24
2016-12-29,-2.245
