Date,Value
2016-01-01,-1.43
2016-01-04,-1.5225
2016-01-05,-1.5125
2016-01-06,-1.5525
2016-01-07,-1.995
2016-01-08,-2.09
2016-01-11,-2.175
2016-01-12,-2.1825
2016-01-13,-2.0575
2016-01-14,-2.2425
2016-01-15,-2.2325
2016-01-18,-2.18
2016-01-19,-2.0725
2016-01-20,-2.145
2016-01-21,-2.105
2016-01-22,-2.025
2016-01-25,-1.9675
2016-01-26,-1.995
2016-01-27,-1.98
2016-01-28,-1.975
2016-01-29,-1.98
2016-02-01,-1.955
2016-02-02,-1.965
2016-02-03,-1.935
2016-02-04,-1.8525
2016-02-05,-1.79
2016-02-08,-2.03
2016-02-09,-2.1375
2016-02-10,-2.1275
2016-02-11,-2.2175
2016-02-12,-2.13
2016-02-15,-2.02
2016-02-16,-2.005
2016-02-17,-2.055
2016-02-18,-1.955
2016-02-19,-2.03
2016-02-22,-2.025
2016-02-23,-1.965
2016-02-24,-2.02
2016-02-25,-1.99
2016-02-26,-2.065
2016-02-29,-2.055
2016-03-01,-2.05
2016-03-02,-1.895
2016-03-03,-1.9
2016-03-04,-1.7525
2016-03-07,-1.7025
2016-03-08,-1.8125
2016-03-09,-1.8
2016-03-10,-1.8
2016-03-11,-1.795
2016-03-14,-1.7475
2016-03-15,-1.7525
2016-03-16,-1.755
2016-03-17,-1.6675
2016-03-18,-1.545
2016-03-21,-1.5
2016-03-22,-1.52
2016-03-23,-1.5
2016-03-24,-1.565
2016-03-25,-1.56
2016-03-28,-1.55
2016-03-29,-1.52
2016-03-30,-1.31
2016-03-31,-1.3225
2016-04-01,-1.33
2016-04-04,-1.3
2016-04-05,-1.445
2016-04-06,-1.4175
2016-04-07,-1.57
2016-04-08,-1.57
2016-04-11,-1.585
2016-04-12,-1.5625
2016-04-13,-1.485
2016-04-14,-1.5125
2016-04-15,-1.5
2016-04-18,-1.5275
2016-04-19,-1.55
2016-04-20,-1.55
2016-04-21,-1.61
2016-04-22,-1.63
2016-04-25,-1.6775
2016-04-26,-1.6775
2016-04-27,-1.7925
2016-04-28,-1.72
2016-04-29,-1.7375
2016-05-02,-1.735
2016-05-03,-1.915
2016-05-04,-1.94
2016-05-05,-1.9175
2016-05-06,-1.9
2016-05-09,-1.885
2016-05-10,-1.84
2016-05-11,-1.77
2016-05-12,-1.85
2016-05-13,-1.9425
2016-05-16,-1.9775
2016-05-17,-1.805
2016-05-18,-1.8425
2016-05-19,-1.8525
2016-05-20,-1.8225
2016-05-23,-1.8
2016-05-24,-1.7075
2016-05-25,-1.6775
2016-05-26,-1.675
2016-05-27,-1.66
2016-05-30,-1.64
2016-05-31,-1.6175
2016-06-01,-1.6225
2016-06-02,-1.6475
2016-06-03,-1.62
2016-06-06,-1.625
2016-06-07,-1.535
2016-06-08,-1.52
2016-06-09,-1.525
2016-06-10,-1.57
2016-06-13,-1.8325
2016-06-14,-1.97
2016-06-15,-2.14
2016-06-16,-2.2425
2016-06-17,-2.19
2016-06-20,-2.0225
2016-06-21,-1.9025
2016-06-22,-1.94
2016-06-23,-1.9275
2016-06-24,-2.3025
2016-06-27,-2.2775
2016-06-28,-1.9575
2016-06-29,-1.845
2016-06-30,-1.815
2016-07-01,-1.7225
2016-07-04,-1.6225
2016-07-05,-1.6075
2016-07-06,-1.6725
2016-07-07,-1.5675
2016-07-08,-1.515
2016-07-11,-1.4325
2016-07-12,-1.4125
2016-07-13,-1.3875
2016-07-14,-1.395
2016-07-15,-1.44
2016-07-18,-1.46
2016-07-19,-1.505
2016-07-20,-1.485
2016-07-21,-1.4325
2016-07-22,-1.4275
2016-07-25,-1.4125
2016-07-26,-1.3925
2016-07-27,-1.3825
2016-07-28,-1.345
2016-07-29,-1.3225
2016-08-01,-1.265
2016-08-02,-1.225
2016-08-03,-1.2625
2016-08-04,-1.255
2016-08-05,-1.25
2016-08-08,-1.2375
2016-08-09,-1.24
2016-08-10,-1.215
2016-08-11,-1.1925
2016-08-12,-1.1725
2016-08-15,-1.205
2016-08-16,-1.2325
2016-08-17,-1.215
2016-08-18,-1.15
2016-08-19,-1.21
2016-08-22,-1.265
2016-08-23,-1.2725
2016-08-24,-1.29
2016-08-25,-1.305
2016-08-26,-1.31
2016-08-29,-1.365
2016-08-30,-1.3975
2016-08-31,-1.4175
2016-09-01,-1.395
2016-09-02,-1.365
2016-09-05,-1.3775
2016-09-06,-1.315
2016-09-07,-1.285
2016-09-08,-1.2
2016-09-09,-1.24
2016-09-12,-1.45
2016-09-13,-1.51
2016-09-14,-1.7175
2016-09-15,-1.6875
2016-09-16,-1.7025
2016-09-19,-1.695
2016-09-20,-1.685
2016-09-21,-1.7
2016-09-22,-1.675
2016-09-23,-1.685
2016-09-26,-1.71
2016-09-27,-1.7325
2016-09-28,-1.74
2016-09-29,-1.7675
2016-09-30,-1.775
2016-10-03,-1.81
2016-10-04,-1.8325
2016-10-05,-1.895
2016-10-06,-1.905
2016-10-07,-1.9125
2016-10-10,-1.925
2016-10-11,-1.875
2016-10-12,-1.88
2016-10-13,-1.89
2016-10-14,-1.8575
2016-10-17,-1.81
2016-10-18,-1.7425
2016-10-19,-1.6775
2016-10-20,-1.63
2016-10-21,-1.6625
2016-10-24,-1.6625
2016-10-25,-1.66
2016-10-26,-1.655
2016-10-27,-1.655
2016-10-28,-1.6875
2016-10-31,-1.6875
2016-11-01,-1.65
2016-11-02,-1.675
2016-11-03,-1.69
2016-11-04,-1.6975
2016-11-07,-1.6975
2016-11-08,-1.6975
2016-11-09,-1.775
2016-11-10,-1.7175
2016-11-11,-1.9
2016-11-14,-1.965
2016-11-15,-1.8175
2016-11-16,-1.77
2016-11-17,-1.7575
2016-11-18,-1.7825
2016-11-21,-1.7375
2016-11-22,-1.715
2016-11-23,-1.6775
2016-11-24,-1.74
2016-11-25,-1.7375
2016-11-28,-1.75
2016-11-29,-1.7225
2016-11-30,-1.5675
2016-12-01,-1.585
2016-12-02,-1.61
2016-12-05,-1.5925
2016-12-06,-1.54
2016-12-07,-1.5175
2016-12-08,-1.4875
2016-12-09,-1.4625
2016-12-12,-1.4075
2016-12-13,-1.3625
2016-12-14,-1.3425
2016-12-15,-1.4725
2016-12-16,-1.4925
2016-12-19,-1.585
2016-12-20,-1.5875
2016-12-21,-1.575
2016-12-22,-1.63
2016-12-23,-1.67
2016-12-26,-1.665
2016-12-27,-1.6625
2016-12-28,-1.675
2016-12-29,-1.6875
2016-12-30,-1.6975
2017-01-02,-1.68
2017-01-03,-1.66
2017-01-04,-1.6325
2017-01-05,-1.5675
2017-01-06,-1.5575
2017-01-09,-1.495
2017-01-10,-1.48
2017-01-11,-1.435
2017-01-12,-1.4175
2017-01-13,-1.415
2017-01-16,-1.4025
2017-01-17,-1.3425
2017-01-18,-1.2825
2017-01-19,-1.3175
2017-01-20,-1.3575
2017-01-23,-1.3375
2017-01-24,-1.3025
2017-01-25,-1.2925
2017-01-26,-1.265
2017-01-27,-1.27
2017-01-30,-1.27
2017-01-31,-1.235
2017-02-01,-1.2475
2017-02-02,-1.2225
2017-02-03,-1.185
2017-02-06,-1.1675
2017-02-07,-1.215
2017-02-08,-1.2425
2017-02-09,-1.24
2017-02-10,-1.2
2017-02-13,-1.2125
2017-02-14,-1.175
2017-02-15,-1.25
2017-02-16,-1.21
2017-02-17,-1.2425
2017-02-20,-1.255
2017-02-21,-1.28
2017-02-22,-1.3875
2017-02-23,-1.3775
2017-02-24,-1.425
2017-02-27,-1.4375
2017-02-28,-1.435
2017-03-01,-1.4575
2017-03-02,-1.5325
2017-03-03,-1.655
2017-03-06,-1.635
2017-03-07,-1.5925
2017-03-08,-1.58
2017-03-09,-1.59
2017-03-10,-1.625
2017-03-13,-1.6
2017-03-14,-1.5825
2017-03-15,-1.51
2017-03-16,-1.37
2017-03-17,-1.345
2017-03-20,-1.3275
2017-03-21,-1.325
2017-03-22,-1.4425
2017-03-23,-1.6075
2017-03-24,-1.5575
2017-03-27,-1.5
2017-03-28,-1.4525
2017-03-29,-1.42
2017-03-30,-1.3925
2017-03-31,-1.38
2017-04-03,-1.3625
2017-04-04,-1.375
2017-04-05,-1.3625
2017-04-06,-1.42
2017-04-07,-1.4975
2017-04-10,-1.4875
2017-04-11,-1.4275
2017-04-12,-1.4375
2017-04-13,-1.305
2017-04-14,-1.31
2017-04-17,-1.2875
2017-04-18,-1.2875
2017-04-19,-1.315
2017-04-20,-1.32
2017-04-21,-1.325
2017-04-24,-1.2
2017-04-25,-1.1925
2017-04-26,-1.2175
2017-04-27,-1.195
2017-04-28,-1.2
2017-05-01,-1.195
2017-05-02,-1.18
2017-05-03,-1.205
2017-05-04,-1.225
2017-05-05,-1.27
2017-05-08,-1.16
2017-05-09,-1.1775
2017-05-10,-1.15
2017-05-11,-1.125
2017-05-12,-1.095
2017-05-15,-1.045
2017-05-16,-0.9425
2017-05-17,-0.945
2017-05-18,-1.075
2017-05-19,-1.005
2017-05-22,-0.97
2017-05-23,-0.91
2017-05-24,-0.95
2017-05-25,-0.91
2017-05-26,-0.915
2017-05-29,-0.895
2017-05-30,-0.89
2017-05-31,-0.8725
2017-06-01,-0.96
2017-06-02,-0.94
2017-06-05,-0.95
2017-06-06,-0.965
2017-06-07,-0.945
2017-06-08,-0.9275
2017-06-09,-0.9175
2017-06-12,-0.8825
2017-06-13,-0.84
2017-06-14,-0.85
2017-06-15,-0.7775
2017-06-16,-0.77
2017-06-19,-0.7575
2017-06-20,-0.7775
2017-06-21,-0.815
2017-06-22,-0.9525
2017-06-23,-0.9375
2017-06-26,-0.935
2017-06-27,-0.9325
2017-06-28,-0.945
2017-06-29,-0.8175
2017-06-30,-0.825
2017-07-03,-0.8475
2017-07-04,-0.8825
2017-07-05,-0.975
2017-07-06,-0.99
2017-07-07,-0.9675
2017-07-10,-0.97
2017-07-11,-0.9575
2017-07-12,-0.95
2017-07-13,-0.815
2017-07-14,-0.7175
2017-07-17,-0.655
2017-07-18,-0.56
2017-07-19,-0.5825
