Date,Value
2016-01-01,11.885
2016-01-04,12.11
2016-01-05,12.18
2016-01-06,12.28
2016-01-07,12.5275
2016-01-08,12.5225
2016-01-11,12.6
2016-01-12,12.495
2016-01-13,12.52
2016-01-14,12.63
2016-01-15,12.9175
2016-01-18,12.705
2016-01-19,12.595
2016-01-20,12.895
2016-01-21,12.77
2016-01-22,12.6375
2016-01-25,12.575
2016-01-26,12.615
2016-01-27,12.325
2016-01-28,12.45
2016-01-29,12.425
2016-02-01,12.385
2016-02-02,12.345
2016-02-03,12.475
2016-02-04,12.2875
2016-02-05,12.5225
2016-02-08,12.985
2016-02-09,13.26
2016-02-10,13.1
2016-02-11,13.52
2016-02-12,13.23
2016-02-15,12.85
2016-02-16,13.0275
2016-02-17,13.0725
2016-02-18,12.9625
2016-02-19,13.17
2016-02-22,13.0
2016-02-23,12.9775
2016-02-24,13.16
2016-02-25,13.0675
2016-02-26,12.98
2016-02-29,13.16
2016-03-01,13.01
2016-03-02,12.82
2016-03-03,12.72
2016-03-04,12.6175
2016-03-07,12.6325
2016-03-08,12.7875
2016-03-09,12.7525
2016-03-10,12.8125
2016-03-11,12.705
2016-03-14,12.515
2016-03-15,12.485
2016-03-16,12.48
2016-03-17,12.4175
2016-03-18,12.4325
2016-03-21,12.28
2016-03-22,12.355
2016-03-23,12.55
2016-03-24,12.7925
2016-03-25,12.765
2016-03-28,12.84
2016-03-29,12.835
2016-03-30,12.395
2016-03-31,12.275
2016-04-01,12.29
2016-04-04,12.375
2016-04-05,12.7225
2016-04-06,12.5925
2016-04-07,12.775
2016-04-08,12.585
2016-04-11,12.595
2016-04-12,12.63
2016-04-13,12.5575
2016-04-14,12.675
2016-04-15,12.75
2016-04-18,12.775
2016-04-19,12.525
2016-04-20,12.41
2016-04-21,12.4025
2016-04-22,12.385
2016-04-25,12.4425
2016-04-26,12.305
2016-04-27,12.515
2016-04-28,12.5475
2016-04-29,12.5375
2016-05-02,12.625
2016-05-03,12.71
2016-05-04,12.7475
2016-05-05,12.685
2016-05-06,12.705
2016-05-09,12.6875
2016-05-10,12.59
2016-05-11,12.5925
2016-05-12,12.615
2016-05-13,12.67
2016-05-16,12.6525
2016-05-17,12.4675
2016-05-18,12.55
2016-05-19,12.7
2016-05-20,12.56
2016-05-23,12.52
2016-05-24,12.5325
2016-05-25,12.385
2016-05-26,12.185
2016-05-27,12.095
2016-05-30,12.16
2016-05-31,12.0925
2016-06-01,12.115
2016-06-02,12.13
2016-06-03,11.975
2016-06-06,12.005
2016-06-07,11.895
2016-06-08,11.8975
2016-06-09,12.1025
2016-06-10,12.37
2016-06-13,12.3675
2016-06-14,12.57
2016-06-15,12.0175
2016-06-16,12.38
2016-06-17,12.1075
2016-06-20,11.835
2016-06-21,11.94
2016-06-22,12.1575
2016-06-23,11.8975
2016-06-24,12.0425
2016-06-27,12.3525
2016-06-28,12.225
2016-06-29,12.12
2016-06-30,12.2725
2016-07-01,12.215
2016-07-04,12.255
2016-07-05,12.4025
2016-07-06,12.455
2016-07-07,12.35
2016-07-08,12.17
2016-07-11,12.0075
2016-07-12,11.985
2016-07-13,11.99
2016-07-14,11.995
2016-07-15,12.0525
2016-07-18,12.08
2016-07-19,12.08
2016-07-20,11.9975
2016-07-21,11.8
2016-07-22,11.8275
2016-07-25,11.835
2016-07-26,11.785
2016-07-27,11.58
2016-07-28,11.4375
2016-07-29,11.23
2016-08-01,11.4475
2016-08-02,11.42
2016-08-03,11.4025
2016-08-04,11.325
2016-08-05,11.215
2016-08-08,11.105
2016-08-09,11.09
2016-08-10,11.155
2016-08-11,11.08
2016-08-12,11.05
2016-08-15,11.015
2016-08-16,11.0775
2016-08-17,11.08
2016-08-18,11.0725
2016-08-19,11.255
2016-08-22,11.26
2016-08-23,11.135
2016-08-24,11.11
2016-08-25,11.15
2016-08-26,11.3325
2016-08-29,11.495
2016-08-30,11.555
2016-08-31,11.5375
2016-09-01,11.385
2016-09-02,11.32
2016-09-05,11.2325
2016-09-06,11.1275
2016-09-07,11.2075
2016-09-08,11.135
2016-09-09,11.27
2016-09-12,11.54
2016-09-13,11.8175
2016-09-14,11.8125
2016-09-15,11.6
2016-09-16,11.42
2016-09-19,11.32
2016-09-20,11.3275
2016-09-21,11.2525
2016-09-22,11.22
2016-09-23,11.1675
2016-09-26,11.1925
2016-09-27,11.1725
2016-09-28,11.175
