Date,Value
2016-01-01,0.435
2016-01-04,0.462
2016-01-05,0.46375
2016-01-06,0.46375
2016-01-07,0.465
2016-01-08,0.46415
2016-01-11,0.465
2016-01-12,0.4647
2016-01-13,0.4655
2016-01-14,0.465
2016-01-15,0.463
2016-01-18,0.4625
2016-01-19,0.465
2016-01-20,0.464
2016-01-21,0.464
2016-01-22,0.464
2016-01-25,0.466
2016-01-26,0.465
2016-01-27,0.465
2016-01-28,0.465
2016-01-29,0.464
2016-02-01,0.4625
2016-02-02,0.4628
2016-02-03,0.4614
2016-02-04,0.464
2016-02-08,0.464
2016-02-09,0.464
2016-02-10,0.464
2016-02-11,0.464
2016-02-12,0.465
2016-02-15,0.466
2016-02-16,0.466
2016-02-17,0.466
2016-02-18,0.466
2016-02-19,0.464
2016-02-22,0.465
2016-02-23,0.465
2016-02-24,0.465
2016-02-25,0.464
2016-02-26,0.464
2016-02-29,0.465
2016-03-01,0.465
2016-03-02,0.464
2016-03-03,0.464
2016-03-04,0.465
2016-03-08,0.465
2016-03-09,0.465
2016-03-10,0.465
2016-03-11,0.4665
2016-03-14,0.465
2016-03-15,0.4639
2016-03-16,0.464
2016-03-17,0.463
2016-03-21,0.464
2016-03-22,0.465
2016-03-23,0.465
2016-03-24,0.465
2016-03-25,0.465
2016-03-29,0.458
2016-03-30,0.465
2016-03-31,0.458
2016-04-01,0.465
2016-04-05,0.464
2016-04-06,0.465
2016-04-07,0.465
2016-04-08,0.465
2016-04-11,0.464
2016-04-12,0.464
2016-04-13,0.464
2016-04-14,0.4643
2016-04-15,0.4643
2016-04-19,0.466
2016-04-20,0.465
2016-04-21,0.465
2016-04-22,0.466
2016-04-25,0.465
2016-04-26,0.464
2016-04-27,0.464
2016-04-28,0.464
2016-04-29,0.461
2016-05-03,0.463
2016-05-04,0.463
2016-05-05,0.465
2016-05-06,0.463
2016-05-09,0.4599
2016-05-10,0.4604
2016-05-11,0.4606
2016-05-12,0.461
2016-05-13,0.4602
2016-05-16,0.463
2016-05-17,0.463
2016-05-18,0.463
2016-05-19,0.463
2016-05-20,0.464
2016-05-24,0.464
2016-05-25,0.464
2016-05-26,0.463
2016-05-27,0.465
2016-05-31,0.464
2016-06-01,0.464
2016-06-02,0.464
2016-06-03,0.463
2016-06-06,0.463
2016-06-07,0.462
2016-06-08,0.463
2016-06-09,0.463
2016-06-10,0.462
2016-06-13,0.4597
2016-06-14,0.459
2016-06-15,0.45315
2016-06-16,0.453
2016-06-17,0.459
2016-06-20,0.459
2016-06-21,0.458
2016-06-22,0.456
2016-06-23,0.458
2016-06-24,0.447
2016-06-27,0.441
2016-06-28,0.436
2016-06-29,0.44
2016-06-30,0.445
2016-07-01,0.458
2016-07-04,0.457
2016-07-05,0.455
2016-07-06,0.456
2016-07-07,0.456
2016-07-08,0.4334
2016-07-11,0.3539
2016-07-12,0.321
2016-07-13,0.2959
2016-07-14,0.455
2016-07-18,0.458
2016-07-19,0.458
2016-07-20,0.458
2016-07-21,0.458
2016-07-22,0.458
2016-07-25,0.458
2016-07-26,0.458
2016-07-27,0.458
2016-07-28,0.458
2016-07-29,0.4215
2016-08-01,0.315
2016-08-03,0.237
2016-08-04,0.21
2016-08-05,0.21
2016-08-08,0.214
2016-08-09,0.214
2016-08-10,0.212
2016-08-11,0.212
2016-08-12,0.212
2016-08-15,0.2105
2016-08-16,0.215
2016-08-17,0.214
