Date,Value
2016-01-04,0.765
2016-01-05,0.735
2016-01-06,0.69625
2016-01-07,0.6725
2016-01-08,0.64875
2016-01-11,0.63325
2016-01-12,0.61375
2016-01-13,0.6225
2016-01-14,0.61625
2016-01-15,0.52875
2016-01-18,0.567
2016-01-19,0.55875
2016-01-20,0.518
2016-01-21,0.539
2016-01-22,0.557
2016-01-25,0.54375
2016-01-26,0.55
2016-01-27,0.55925
2016-01-28,0.54375
2016-01-29,0.47
2016-02-01,0.5025
2016-02-02,0.46625
2016-02-03,0.43875
2016-02-04,0.445
2016-02-05,0.446
2016-02-08,0.408
2016-02-09,0.366
2016-02-10,0.401
2016-02-11,0.306
2016-02-12,0.384
2016-02-15,0.402
2016-02-16,0.39625
2016-02-17,0.431
2016-02-18,0.427
2016-02-19,0.417
2016-02-22,0.413
2016-02-23,0.422
2016-02-24,0.386
2016-02-25,0.351
2016-02-26,0.378
2016-02-29,0.356
2016-03-01,0.366
2016-03-02,0.405
2016-03-03,0.406
2016-03-04,0.428
2016-03-07,0.437
2016-03-08,0.415
2016-03-09,0.42
2016-03-10,0.447
2016-03-11,0.499
2016-03-14,0.497
2016-03-15,0.485
2016-03-16,0.497
2016-03-17,0.468
2016-03-18,0.466
2016-03-21,0.477
2016-03-22,0.468
2016-03-23,0.447
2016-03-24,0.462
2016-03-29,0.452
2016-03-30,0.452
2016-03-31,0.432
2016-04-01,0.427
2016-04-04,0.432
2016-04-05,0.39
2016-04-06,0.387
2016-04-07,0.37325
2016-04-08,0.374
2016-04-11,0.389
2016-04-12,0.421
2016-04-13,0.424
2016-04-14,0.43
2016-04-15,0.416
2016-04-18,0.428
2016-04-19,0.45725
2016-04-20,0.471
2016-04-21,0.509
2016-04-22,0.513
2016-04-25,0.519
2016-04-26,0.54025
2016-04-27,0.535
2016-04-28,0.52425
2016-04-29,0.521
2016-05-02,0.52
2016-05-03,0.483
2016-05-04,0.471
2016-05-05,0.441
2016-05-06,0.419
2016-05-09,0.39125
2016-05-10,0.398
2016-05-11,0.402
2016-05-12,0.432
2016-05-13,0.43
2016-05-16,0.424
2016-05-17,0.428
2016-05-18,0.461
2016-05-19,0.481
2016-05-20,0.486
2016-05-23,0.487
2016-05-24,0.53125
2016-05-25,0.53125
2016-05-26,0.52225
2016-05-27,0.52025
2016-05-30,0.522
2016-05-31,0.504
2016-06-01,0.467
2016-06-02,0.438
2016-06-03,0.388
2016-06-06,0.374
2016-06-07,0.384
2016-06-08,0.38825
2016-06-09,0.403
2016-06-10,0.411
2016-06-13,0.38425
2016-06-14,0.343
2016-06-15,0.347
2016-06-16,0.335
2016-06-17,0.37825
2016-06-20,0.454
2016-06-21,0.464
2016-06-22,0.469
2016-06-23,0.518
2016-06-24,0.247
2016-06-27,0.131
2016-06-28,0.189
2016-06-29,0.196
2016-06-30,0.101
2016-07-01,0.128
2016-07-04,0.112
2016-07-05,0.104
2016-07-06,0.11
2016-07-07,0.112
2016-07-08,0.108
2016-07-11,0.113
2016-07-12,0.11425
2016-07-13,0.103
2016-07-14,0.175
2016-07-15,0.148
2016-07-18,0.158
2016-07-19,0.159
2016-07-20,0.171
2016-07-21,0.174
2016-07-22,0.153
2016-07-25,0.151
2016-07-26,0.141
2016-07-27,0.123
2016-07-28,0.124
2016-07-29,0.119
2016-08-01,0.121
2016-08-02,0.148
2016-08-03,0.129
2016-08-04,0.094
2016-08-05,0.107
2016-08-08,0.09325
2016-08-09,0.092
2016-08-10,0.08325
2016-08-11,0.099
2016-08-12,0.09425
2016-08-15,0.086
2016-08-16,0.099
2016-08-17,0.1055
2016-08-18,0.106
2016-08-19,0.111
2016-08-22,0.105
2016-08-23,0.1
2016-08-24,0.12125
2016-08-25,0.12125
2016-08-26,0.12425
2016-08-29,0.124
2016-08-30,0.11825
2016-08-31,0.104
2016-09-01,0.121
2016-09-02,0.125
2016-09-05,0.13225
2016-09-06,0.11925
2016-09-07,0.12125
2016-09-08,0.138
2016-09-09,0.1485
2016-09-12,0.146
2016-09-13,0.158
2016-09-14,0.144
2016-09-15,0.135
2016-09-16,0.13
2016-09-19,0.121
2016-09-20,0.111
2016-09-21,0.12
2016-09-22,0.114
2016-09-23,0.114
2016-09-26,0.107
2016-09-27,0.094
2016-09-28,0.103
2016-09-29,0.109
2016-09-30,0.113
2016-10-03,0.112
2016-10-04,0.114
2016-10-05,0.124
2016-10-06,0.141
2016-10-07,0.178
2016-10-10,0.208
2016-10-11,0.186
2016-10-12,0.23
