Date,Value
2016-01-04,0.46625
2016-01-05,0.4675
2016-01-06,0.466
2016-01-07,0.46665
2016-01-08,0.466
2016-01-11,0.465
2016-01-12,0.4675
2016-01-13,0.46625
2016-01-14,0.46625
2016-01-15,0.46125
2016-01-18,0.4629
2016-01-19,0.463
2016-01-20,0.4609
2016-01-21,0.46
2016-01-22,0.463
2016-01-25,0.4601
2016-01-26,0.4612
2016-01-27,0.4617
2016-01-28,0.4632
2016-01-29,0.46
2016-02-01,0.461
2016-02-02,0.46
2016-02-03,0.456
2016-02-04,0.4627
2016-02-05,0.464
2016-02-08,0.463
2016-02-09,0.4607
2016-02-10,0.461
2016-02-11,0.4562
2016-02-12,0.4609
2016-02-15,0.464
2016-02-16,0.463
2016-02-17,0.464
2016-02-18,0.463
2016-02-19,0.463
2016-02-22,0.46
2016-02-23,0.461
2016-02-24,0.461
2016-02-25,0.462
2016-02-26,0.462
2016-02-29,0.4615
2016-03-01,0.461
2016-03-02,0.4617
2016-03-03,0.4613
2016-03-04,0.4615
2016-03-07,0.461
2016-03-08,0.459
2016-03-09,0.4628
2016-03-10,0.463
2016-03-11,0.463
2016-03-14,0.461
2016-03-15,0.461
2016-03-16,0.461
2016-03-17,0.4617
2016-03-18,0.462
2016-03-21,0.4619
2016-03-22,0.461
2016-03-23,0.461
2016-03-24,0.4585
2016-03-29,0.4608
2016-03-30,0.46
2016-03-31,0.4605
2016-04-01,0.4607
2016-04-04,0.4583
2016-04-05,0.46
2016-04-06,0.46
2016-04-07,0.461
2016-04-08,0.461
2016-04-11,0.4626
2016-04-12,0.4593
2016-04-13,0.463
2016-04-14,0.4636
2016-04-15,0.46385
2016-04-18,0.463
2016-04-19,0.4639
2016-04-20,0.4652
2016-04-21,0.465
2016-04-22,0.465
2016-04-25,0.465
2016-04-26,0.4643
2016-04-27,0.465
2016-04-28,0.465
2016-04-29,0.463
2016-05-02,0.463
2016-05-03,0.464
2016-05-04,0.461
2016-05-05,0.46
2016-05-06,0.4576
2016-05-09,0.4578
2016-05-10,0.458
2016-05-11,0.4587
2016-05-12,0.461
2016-05-13,0.4616
2016-05-16,0.459
2016-05-17,0.46115
2016-05-18,0.4614
2016-05-19,0.4606
2016-05-20,0.4602
2016-05-23,0.458
2016-05-24,0.459
2016-05-25,0.4612
2016-05-26,0.459
2016-05-27,0.459
2016-05-30,0.455
2016-05-31,0.4557
2016-06-01,0.4519
2016-06-02,0.452
2016-06-03,0.452
2016-06-06,0.4407
2016-06-07,0.4385
2016-06-08,0.438
2016-06-09,0.439
2016-06-10,0.4402
2016-06-13,0.436
2016-06-14,0.421
2016-06-15,0.422
2016-06-16,0.419
2016-06-17,0.429
2016-06-20,0.431
2016-06-21,0.425
2016-06-22,0.424
2016-06-23,0.4387
2016-06-24,0.373
2016-06-27,0.331
2016-06-28,0.352
2016-06-29,0.365
2016-06-30,0.299
2016-07-01,0.274
2016-07-04,0.251
2016-07-05,0.237
2016-07-06,0.239
2016-07-07,0.239
2016-07-08,0.234
2016-07-11,0.202
2016-07-12,0.2
2016-07-13,0.2026
2016-07-14,0.325
2016-07-15,0.296
2016-07-18,0.296
2016-07-19,0.2981
2016-07-20,0.29
2016-07-21,0.301
2016-07-22,0.282
2016-07-25,0.27
2016-07-26,0.242
2016-07-27,0.234
2016-07-28,0.225
2016-07-29,0.2192
2016-08-01,0.2107
2016-08-02,0.212
2016-08-03,0.201
2016-08-04,0.19975
2016-08-05,0.2025
2016-08-08,0.203
2016-08-09,0.205
2016-08-10,0.2026
2016-08-11,0.203
2016-08-12,0.202
2016-08-15,0.1979
2016-08-16,0.201
2016-08-17,0.1986
2016-08-18,0.2021
2016-08-19,0.202
2016-08-22,0.2023
2016-08-23,0.201
2016-08-24,0.2039
2016-08-25,0.204
2016-08-26,0.206
2016-08-29,0.206
2016-08-30,0.204
2016-08-31,0.2019
2016-09-01,0.204
2016-09-02,0.205
2016-09-05,0.201
2016-09-06,0.203
2016-09-07,0.204
2016-09-08,0.205
2016-09-09,0.205
2016-09-12,0.2026
2016-09-13,0.203
2016-09-14,0.205
2016-09-15,0.204
2016-09-16,0.2026
2016-09-19,0.1982
2016-09-20,0.1974
2016-09-21,0.1986
2016-09-22,0.198
2016-09-23,0.1984
2016-09-26,0.195
2016-09-27,0.1942
2016-09-28,0.195
2016-09-29,0.193
2016-09-30,0.194
2016-10-03,0.195
2016-10-04,0.1956
2016-10-05,0.198
2016-10-06,0.1975
2016-10-07,0.20245
2016-10-10,0.2039
2016-10-11,0.19875
2016-10-12,0.205
2016-10-13,0.2059
2016-10-14,0.2055
2016-10-17,0.204
2016-10-18,0.201
2016-10-19,0.199
2016-10-20,0.199
2016-10-21,0.1983
2016-10-24,0.199
2016-10-25,0.1971
2016-10-26,0.205
2016-10-27,0.205
2016-10-28,0.207
2016-10-31,0.205
2016-11-01,0.2007
2016-11-02,0.198
2016-11-03,0.204
2016-11-04,0.203
2016-11-07,0.205
