Date,Value
2016-01-04,0.4678
2016-01-05,0.4698
2016-01-06,0.467
2016-01-07,0.4691
2016-01-08,0.467
2016-01-11,0.466
2016-01-12,0.466
2016-01-13,0.4665
2016-01-14,0.4665
2016-01-15,0.462
2016-01-18,0.4623
2016-01-19,0.463
2016-01-20,0.4592
2016-01-21,0.459
2016-01-22,0.4584
2016-01-25,0.458
2016-01-26,0.4585
2016-01-27,0.46
2016-01-28,0.4595
2016-01-29,0.45625
2016-02-01,0.458
2016-02-02,0.459
2016-02-03,0.4492
2016-02-04,0.4615
2016-02-05,0.4595
2016-02-08,0.461
2016-02-09,0.456
2016-02-10,0.457
2016-02-11,0.449
2016-02-12,0.456
2016-02-15,0.4625
2016-02-16,0.46
2016-02-17,0.463
2016-02-18,0.4614
2016-02-19,0.4615
2016-02-22,0.459
2016-02-23,0.4596
2016-02-24,0.4591
2016-02-25,0.46
2016-02-26,0.459
2016-02-29,0.459
2016-03-01,0.4607
2016-03-02,0.4602
2016-03-03,0.4604
2016-03-04,0.46
2016-03-07,0.4595
2016-03-08,0.458
2016-03-09,0.46
2016-03-10,0.4605
2016-03-11,0.4615
2016-03-14,0.4605
2016-03-15,0.46
2016-03-16,0.46
2016-03-17,0.4595
2016-03-18,0.459
2016-03-21,0.459
2016-03-22,0.4568
2016-03-23,0.4565
2016-03-24,0.4536
2016-03-29,0.456
2016-03-30,0.458
2016-03-31,0.4565
2016-04-01,0.457
2016-04-04,0.4555
2016-04-05,0.4535
2016-04-06,0.457
2016-04-07,0.458
2016-04-08,0.457
2016-04-11,0.4563
2016-04-12,0.4571
2016-04-13,0.4585
2016-04-14,0.459
2016-04-15,0.461
2016-04-18,0.4594
2016-04-19,0.461
2016-04-20,0.4625
2016-04-21,0.4629
2016-04-22,0.4625
2016-04-25,0.462
2016-04-26,0.464
2016-04-27,0.4615
2016-04-28,0.4611
2016-04-29,0.46
2016-05-02,0.46
2016-05-03,0.457
2016-05-04,0.4515
2016-05-05,0.451
2016-05-06,0.4475
2016-05-09,0.4445
2016-05-10,0.4448
2016-05-11,0.443
2016-05-12,0.4446
2016-05-13,0.4443
2016-05-16,0.442
2016-05-17,0.4445
2016-05-18,0.446
2016-05-19,0.446
2016-05-20,0.4455
2016-05-23,0.4445
2016-05-24,0.4485
2016-05-25,0.451
2016-05-26,0.4498
2016-05-27,0.4481
2016-05-30,0.449
2016-05-31,0.443
2016-06-01,0.4367
2016-06-02,0.436
2016-06-03,0.434
2016-06-06,0.426
2016-06-07,0.418
2016-06-08,0.419
2016-06-09,0.421
2016-06-10,0.4245
2016-06-13,0.422
2016-06-14,0.4035
2016-06-15,0.404
2016-06-16,0.4045
2016-06-17,0.418
2016-06-20,0.4265
2016-06-21,0.42435
2016-06-22,0.4165
2016-06-23,0.431
2016-06-24,0.342
2016-06-27,0.3
2016-06-28,0.3225
2016-06-29,0.34
2016-06-30,0.265
2016-07-01,0.236
2016-07-04,0.218
2016-07-05,0.207
2016-07-06,0.2093
2016-07-07,0.21
2016-07-08,0.206
2016-07-11,0.182
2016-07-12,0.178
2016-07-13,0.177
2016-07-14,0.2901
2016-07-15,0.2577
2016-07-18,0.268
2016-07-19,0.2686
2016-07-20,0.2627
2016-07-21,0.279
2016-07-22,0.258
2016-07-25,0.252
2016-07-26,0.221
2016-07-27,0.215
2016-07-28,0.208
2016-07-29,0.202
2016-08-01,0.1995
