Date,Value
2016-01-04,0.482
2016-01-05,0.48125
2016-01-06,0.4765
2016-01-07,0.47375
2016-01-08,0.47125
2016-01-11,0.4725
2016-01-12,0.471
2016-01-13,0.472
2016-01-14,0.47125
2016-01-15,0.462
2016-01-18,0.463
2016-01-19,0.462
2016-01-20,0.456
2016-01-21,0.4545
2016-01-22,0.453
2016-01-25,0.4525
2016-01-26,0.455
2016-01-27,0.458
2016-01-28,0.454
2016-01-29,0.4445
2016-02-01,0.4475
2016-02-02,0.446
2016-02-03,0.4385
2016-02-04,0.446
2016-02-05,0.448
2016-02-08,0.449
2016-02-09,0.4355
2016-02-10,0.441
2016-02-11,0.409
2016-02-12,0.436
2016-02-15,0.441
2016-02-16,0.442
2016-02-17,0.4485
2016-02-18,0.449
2016-02-19,0.451
2016-02-22,0.448
2016-02-23,0.452
2016-02-24,0.447
2016-02-25,0.444
2016-02-26,0.446
2016-02-29,0.445
2016-03-01,0.445
2016-03-02,0.447
2016-03-03,0.449
2016-03-04,0.45
2016-03-07,0.449
2016-03-08,0.447
2016-03-09,0.4495
2016-03-10,0.453
2016-03-11,0.459
2016-03-14,0.4545
2016-03-15,0.452
2016-03-16,0.454
2016-03-17,0.4505
2016-03-18,0.451
2016-03-21,0.451
2016-03-22,0.447
2016-03-23,0.443
2016-03-24,0.438
2016-03-29,0.438
2016-03-30,0.438
2016-03-31,0.4355
2016-04-01,0.436
2016-04-04,0.436
2016-04-05,0.431
2016-04-06,0.432
2016-04-07,0.433
2016-04-08,0.429
2016-04-11,0.4285
2016-04-12,0.432
2016-04-13,0.4335
2016-04-14,0.435
2016-04-15,0.434
2016-04-18,0.433
2016-04-19,0.438
2016-04-20,0.4415
2016-04-21,0.445
2016-04-22,0.447
2016-04-25,0.447
2016-04-26,0.447
2016-04-27,0.445
2016-04-28,0.4415
2016-04-29,0.4395
2016-05-02,0.445
2016-05-03,0.434
2016-05-04,0.425
2016-05-05,0.42
2016-05-06,0.4125
2016-05-09,0.407
2016-05-10,0.406
2016-05-11,0.405
2016-05-12,0.414
2016-05-13,0.415
2016-05-16,0.411
2016-05-17,0.4175
2016-05-18,0.423
2016-05-19,0.426
2016-05-20,0.426
2016-05-23,0.423
2016-05-24,0.436
2016-05-25,0.435
2016-05-26,0.435
2016-05-27,0.434
2016-05-30,0.4372
2016-05-31,0.425
2016-06-01,0.416
2016-06-02,0.414
2016-06-03,0.407
2016-06-06,0.399
2016-06-07,0.392
2016-06-08,0.391
2016-06-09,0.396
2016-06-10,0.405
2016-06-13,0.398
2016-06-14,0.3735
2016-06-15,0.378
2016-06-16,0.373
2016-06-17,0.392
2016-06-20,0.413
2016-06-21,0.406
2016-06-22,0.401
2016-06-23,0.421
2016-06-24,0.305
2016-06-27,0.2425
2016-06-28,0.276
2016-06-29,0.286
2016-06-30,0.206
2016-07-01,0.185
2016-07-04,0.166
2016-07-05,0.158
2016-07-06,0.162
2016-07-07,0.161
2016-07-08,0.156
2016-07-11,0.14
2016-07-12,0.136
2016-07-13,0.137
2016-07-14,0.229
2016-07-15,0.198
2016-07-18,0.211
2016-07-19,0.212
2016-07-20,0.216
2016-07-21,0.231
2016-07-22,0.2135
2016-07-25,0.207
2016-07-26,0.176
2016-07-27,0.169
2016-07-28,0.164
2016-07-29,0.159
2016-08-01,0.161
2016-08-02,0.17
2016-08-03,0.165
2016-08-04,0.149
2016-08-05,0.1555
2016-08-08,0.153
2016-08-09,0.1505
2016-08-10,0.149
2016-08-11,0.15
2016-08-12,0.15
2016-08-15,0.142
2016-08-16,0.147
2016-08-17,0.145
2016-08-18,0.151
2016-08-19,0.151
2016-08-22,0.15
2016-08-23,0.1502
2016-08-24,0.159
2016-08-25,0.159
2016-08-26,0.164
2016-08-29,0.1672
2016-08-30,0.161
2016-08-31,0.154
2016-09-01,0.157
2016-09-02,0.162
2016-09-05,0.165
2016-09-06,0.163
2016-09-07,0.165
2016-09-08,0.167
2016-09-09,0.169
2016-09-12,0.169
2016-09-13,0.169
2016-09-14,0.169
2016-09-15,0.163
2016-09-16,0.161
2016-09-19,0.154
2016-09-20,0.156
2016-09-21,0.16
2016-09-22,0.16
2016-09-23,0.164
2016-09-26,0.1585
2016-09-27,0.156
2016-09-28,0.159
2016-09-29,0.161
2016-09-30,0.159
2016-10-03,0.163
2016-10-04,0.1665
2016-10-05,0.168
2016-10-06,0.173
2016-10-07,0.184
2016-10-10,0.19
2016-10-11,0.186
2016-10-12,0.197
2016-10-13,0.196
2016-10-14,0.195
2016-10-17,0.1925
2016-10-18,0.187
2016-10-19,0.1855
2016-10-20,0.185
2016-10-21,0.188
2016-10-24,0.185
2016-10-25,0.189
2016-10-26,0.195
2016-10-27,0.201
2016-10-28,0.201
2016-10-31,0.2
2016-11-01,0.195
2016-11-02,0.189
2016-11-03,0.203
2016-11-04,0.201
2016-11-07,0.204
2016-11-08,0.205
2016-11-09,0.202
2016-11-10,0.204
2016-11-11,0.204
2016-11-14,0.205
2016-11-15,0.204
2016-11-16,0.201
2016-11-17,0.201
2016-11-18,0.202
2016-11-21,0.201
2016-11-22,0.2
2016-11-23,0.2
2016-11-24,0.2
2016-11-25,0.2
2016-11-28,0.197
2016-11-29,0.199
2016-11-30,0.202
2016-12-01,0.202
2016-12-02,0.202
2016-12-05,0.203
2016-12-06,0.203
2016-12-07,0.202
2016-12-08,0.202
2016-12-09,0.205
2016-12-12,0.205
2016-12-13,0.212
2016-12-14,0.217
2016-12-15,0.223
2016-12-16,0.221
2016-12-19,0.219
2016-12-20,0.22
2016-12-21,0.224
2016-12-22,0.225
2016-12-23,0.225
2016-12-27,0.225
2016-12-28,0.22
2016-12-29,0.223
2016-12-30,0.222
2017-01-02,0.2242
2017-01-03,0.228
2017-01-04,0.228
2017-01-05,0.225
2017-01-06,0.226
2017-01-09,0.2255
2017-01-10,0.223
2017-01-11,0.223
2017-01-12,0.2215
2017-01-13,0.222
2017-01-16,0.2215
2017-01-17,0.225
2017-01-18,0.222
2017-01-19,0.225
2017-01-20,0.231
2017-01-23,0.229
2017-01-24,0.2295
2017-01-25,0.232
2017-01-26,0.2315
2017-01-27,0.229
2017-01-30,0.2295
2017-01-31,0.229
2017-02-01,0.234
2017-02-02,0.222
2017-02-03,0.222
2017-02-06,0.221
2017-02-07,0.224
2017-02-08,0.2225
2017-02-09,0.221
2017-02-10,0.2185
2017-02-13,0.218
2017-02-14,0.219
2017-02-15,0.217
2017-02-16,0.216
2017-02-17,0.214
2017-02-20,0.214
2017-02-21,0.217
2017-02-22,0.218
2017-02-23,0.2175
