Date,Open,High,Low,Close
2016-01-01,1.3839,1.3856,1.3838,1.3855
2016-01-04,1.3848,1.3983,1.3815,1.3953
2016-01-05,1.3953,1.4019,1.3898,1.3996
2016-01-06,1.3996,1.4109,1.3974,1.4076
2016-01-07,1.4076,1.417,1.4051,1.4115
2016-01-08,1.4115,1.4178,1.4059,1.4172
2016-01-11,1.4165,1.4246,1.4065,1.4216
2016-01-12,1.4216,1.4315,1.4177,1.4262
2016-01-13,1.4262,1.438,1.4188,1.434
2016-01-14,1.434,1.4397,1.4335,1.4366
2016-01-15,1.4366,1.4554,1.4344,1.4541
2016-01-18,1.453,1.466,1.4487,1.456
2016-01-19,1.456,1.4589,1.4432,1.4579
2016-01-20,1.4579,1.469,1.4475,1.4504
2016-01-21,1.4504,1.4541,1.4228,1.4266
2016-01-22,1.4266,1.4301,1.4115,1.4119
2016-01-25,1.4128,1.4293,1.4118,1.4291
2016-01-26,1.4291,1.4326,1.4045,1.4118
2016-01-27,1.4118,1.4157,1.4028,1.4096
2016-01-28,1.4096,1.4123,1.3948,1.4029
2016-01-29,1.4029,1.4109,1.3968,1.3976
2016-02-01,1.3997,1.4062,1.3909,1.3948
2016-02-02,1.3948,1.4082,1.394,1.4055
2016-02-03,1.4055,1.4103,1.3757,1.3781
2016-02-04,1.3781,1.3798,1.364,1.3754
2016-02-05,1.3754,1.3919,1.371,1.3917
2016-02-08,1.3903,1.3978,1.3841,1.3927
2016-02-09,1.3927,1.396,1.3787,1.3867
2016-02-10,1.3867,1.3999,1.3821,1.3926
2016-02-11,1.3926,1.4016,1.3883,1.3937
2016-02-12,1.3937,1.3965,1.3813,1.385
2016-02-15,1.3852,1.3867,1.3798,1.3834
2016-02-16,1.3834,1.3912,1.3707,1.3864
2016-02-17,1.3864,1.3899,1.3668,1.3672
2016-02-18,1.3672,1.3752,1.3654,1.3726
2016-02-19,1.3726,1.3847,1.3716,1.3766
2016-02-22,1.3774,1.3813,1.3662,1.3706
2016-02-23,1.3706,1.3821,1.3695,1.3793
2016-02-24,1.3793,1.3859,1.3678,1.3702
2016-02-25,1.3702,1.3735,1.3517,1.353
2016-02-26,1.353,1.3565,1.3505,1.3513
2016-02-29,1.3528,1.3587,1.3482,1.354
2016-03-01,1.354,1.3552,1.3386,1.341
2016-03-02,1.341,1.3499,1.3407,1.3417
2016-03-03,1.3417,1.3473,1.3372,1.3404
2016-03-04,1.3404,1.3471,1.3313,1.3317
2016-03-07,1.3325,1.3377,1.3262,1.3282
2016-03-08,1.3282,1.3425,1.3282,1.3409
2016-03-09,1.3409,1.3446,1.3229,1.3248
2016-03-10,1.3248,1.3398,1.3232,1.3346
2016-03-11,1.3346,1.3359,1.3168,1.3209
2016-03-14,1.3215,1.3308,1.3209,1.326
2016-03-15,1.326,1.3402,1.326,1.3356
2016-03-16,1.3355,1.3405,1.3094,1.3097
2016-03-17,1.3097,1.3133,1.2946,1.2976
2016-03-18,1.2976,1.3043,1.2924,1.3004
2016-03-21,1.3003,1.3102,1.2988,1.3101
2016-03-22,1.3101,1.3139,1.3029,1.3049
2016-03-23,1.3049,1.3219,1.3039,1.3204
2016-03-24,1.3204,1.3296,1.3202,1.3248
2016-03-25,1.3248,1.3285,1.3227,1.327
2016-03-28,1.3273,1.3285,1.3168,1.3187
2016-03-29,1.3187,1.3216,1.3051,1.3074
2016-03-30,1.3074,1.3081,1.2912,1.2966
2016-03-31,1.2966,1.3011,1.2858,1.3004
2016-04-01,1.3004,1.3147,1.2969,1.3011
2016-04-04,1.3031,1.3088,1.3003,1.3088
2016-04-05,1.3088,1.3219,1.3068,1.3137
2016-04-06,1.3137,1.3187,1.3063,1.3089
2016-04-07,1.3089,1.3181,1.3019,1.3145
2016-04-08,1.3145,1.3157,1.2952,1.2988
2016-04-11,1.2986,1.3016,1.2886,1.2898
2016-04-12,1.2898,1.2921,1.275,1.2759
2016-04-13,1.2759,1.2828,1.2745,1.2817
2016-04-14,1.2817,1.2897,1.2782,1.2844
2016-04-15,1.2844,1.2903,1.2797,1.2822
2016-04-18,1.2933,1.299,1.2779,1.2784
2016-04-19,1.2784,1.2798,1.2631,1.2671
2016-04-20,1.2671,1.273,1.2593,1.2655
2016-04-21,1.2655,1.275,1.2628,1.2735
2016-04-22,1.2735,1.2758,1.2623,1.2672
2016-04-25,1.2681,1.2717,1.2652,1.2678
2016-04-26,1.2678,1.2688,1.2596,1.2604
2016-04-27,1.2604,1.2694,1.2572,1.2599
2016-04-28,1.2599,1.2606,1.2515,1.2555
2016-04-29,1.2555,1.2587,1.2499,1.2556
2016-05-02,1.2568,1.2571,1.2513,1.253
2016-05-03,1.2529,1.2732,1.2461,1.2724
2016-05-04,1.2724,1.2886,1.2698,1.2869
2016-05-05,1.2869,1.2875,1.2786,1.2853
2016-05-06,1.2853,1.2952,1.2836,1.2909
2016-05-09,1.2933,1.3015,1.2906,1.2962
2016-05-10,1.2962,1.298,1.2908,1.291
2016-05-11,1.291,1.2942,1.2831,1.2853
2016-05-12,1.2853,1.2879,1.2772,1.2846
2016-05-13,1.2846,1.2958,1.2836,1.294
2016-05-16,1.2927,1.2963,1.2875,1.2895
2016-05-17,1.2895,1.2955,1.2838,1.2909
2016-05-18,1.291,1.3037,1.2895,1.3034
2016-05-19,1.3034,1.3154,1.3011,1.3094
2016-05-20,1.3094,1.3162,1.3077,1.3113
2016-05-23,1.3136,1.3174,1.3099,1.3143
2016-05-24,1.3143,1.3188,1.3086,1.3123
2016-05-25,1.3123,1.3133,1.3015,1.302
2016-05-26,1.302,1.3037,1.2911,1.2979
2016-05-27,1.2979,1.3068,1.2969,1.3021
2016-05-30,1.3018,1.3095,1.3006,1.3049
2016-05-31,1.3049,1.3134,1.3017,1.3093
2016-06-01,1.3093,1.3123,1.3043,1.3078
2016-06-02,1.3078,1.3144,1.3056,1.3096
2016-06-03,1.3096,1.3107,1.2916,1.2937
2016-06-06,1.2946,1.2983,1.2804,1.2817
2016-06-07,1.2817,1.284,1.2734,1.2735
2016-06-08,1.2735,1.2761,1.2655,1.2693
2016-06-09,1.2693,1.2767,1.2671,1.2724
2016-06-10,1.2724,1.2784,1.266,1.2783
2016-06-13,1.2745,1.2839,1.2726,1.2837
2016-06-14,1.2837,1.2873,1.2815,1.2872
2016-06-15,1.2872,1.2943,1.2826,1.2912
2016-06-16,1.2912,1.3086,1.2896,1.2967
2016-06-17,1.2967,1.2968,1.283,1.2894
2016-06-20,1.2868,1.2889,1.2773,1.2806
2016-06-21,1.2806,1.2827,1.2763,1.2817
2016-06-22,1.2817,1.2853,1.2742,1.2844
2016-06-23,1.2844,1.2847,1.2679,1.2753
2016-06-24,1.2753,1.3099,1.2714,1.3004
2016-06-27,1.2977,1.312,1.2952,1.3072
2016-06-28,1.3072,1.3108,1.2967,1.3025
2016-06-29,1.3025,1.3042,1.2932,1.2935
2016-06-30,1.2935,1.3016,1.2915,1.2924
2016-07-01,1.2924,1.2975,1.2866,1.2912
2016-07-04,1.2916,1.2926,1.2832,1.2846
2016-07-05,1.2846,1.3017,1.2841,1.298
2016-07-06,1.298,1.3056,1.2948,1.2962
2016-07-07,1.2962,1.3021,1.2877,1.3002
2016-07-08,1.3002,1.309,1.2989,1.3044
2016-07-11,1.3047,1.314,1.303,1.3117
2016-07-12,1.3117,1.3133,1.2982,1.3042
2016-07-13,1.3042,1.3084,1.2936,1.2978
2016-07-14,1.2978,1.2987,1.2863,1.2892
2016-07-15,1.2892,1.2988,1.2862,1.2974
2016-07-18,1.2949,1.3022,1.2927,1.2945
2016-07-19,1.2945,1.3054,1.2941,1.302
2016-07-20,1.302,1.3096,1.3014,1.3057
2016-07-21,1.3057,1.3101,1.3025,1.3088
2016-07-22,1.3088,1.3185,1.3057,1.3127
2016-07-25,1.3139,1.3242,1.3124,1.3217
2016-07-26,1.3217,1.3244,1.3175,1.3188
2016-07-27,1.3188,1.3253,1.3158,1.3189
2016-07-28,1.3189,1.3192,1.3102,1.3156
2016-07-29,1.3156,1.3186,1.3002,1.303
2016-08-01,1.3059,1.3127,1.3027,1.3124
2016-08-02,1.3124,1.3142,1.3005,1.311
2016-08-03,1.311,1.3148,1.3063,1.3067
2016-08-04,1.3067,1.3089,1.2997,1.3019
2016-08-05,1.3019,1.32,1.3009,1.3172
2016-08-08,1.318,1.319,1.3137,1.3154
2016-08-09,1.3154,1.319,1.311,1.3119
2016-08-10,1.3119,1.3124,1.2991,1.3058
2016-08-11,1.3058,1.308,1.2958,1.2993
2016-08-12,1.2994,1.2994,1.2925,1.2951
2016-08-15,1.2955,1.2976,1.2902,1.2924
2016-08-16,1.2924,1.2934,1.2799,1.2863
2016-08-17,1.2863,1.2918,1.2831,1.2844
2016-08-18,1.2844,1.2858,1.2764,1.2782
2016-08-19,1.2782,1.2892,1.2774,1.2871
2016-08-22,1.2869,1.2965,1.2861,1.2946
2016-08-23,1.2946,1.2948,1.2859,1.2913
2016-08-24,1.2913,1.2958,1.2902,1.2927
2016-08-25,1.2927,1.294,1.2899,1.2922
2016-08-26,1.2922,1.3012,1.2832,1.3003
2016-08-29,1.2997,1.3048,1.2975,1.3011
2016-08-30,1.3011,1.3103,1.301,1.3099
2016-08-31,1.3099,1.3146,1.308,1.3105
2016-09-01,1.3105,1.3148,1.3083,1.3103
2016-09-02,1.3103,1.3115,1.2982,1.2993
2016-09-05,1.2993,1.3001,1.2907,1.2928
2016-09-06,1.2928,1.2933,1.2827,1.2844
2016-09-07,1.2844,1.2914,1.2823,1.2884
2016-09-08,1.2884,1.2939,1.2851,1.2937
2016-09-09,1.2937,1.3053,1.2911,1.3049
2016-09-12,1.3035,1.3124,1.3021,1.304
2016-09-13,1.304,1.319,1.303,1.3176
2016-09-14,1.3176,1.3209,1.3128,1.3195
2016-09-15,1.3195,1.3236,1.3131,1.316
2016-09-16,1.316,1.3248,1.3142,1.3212
2016-09-19,1.3211,1.3226,1.3136,1.3203
2016-09-20,1.3203,1.3243,1.3185,1.3189
2016-09-21,1.3189,1.3237,1.31,1.3101
2016-09-22,1.3101,1.3103,1.3,1.3042
2016-09-23,1.3042,1.3181,1.303,1.3172
2016-09-26,1.3175,1.3244,1.3137,1.3227
2016-09-27,1.3227,1.3281,1.3164,1.3196
2016-09-28,1.3196,1.327,1.3077,1.308
2016-09-29,1.308,1.3184,1.3048,1.3146
2016-09-30,1.3146,1.3195,1.3087,1.3127
2016-10-03,1.3115,1.3144,1.3068,1.312
2016-10-04,1.312,1.3216,1.3111,1.3192
2016-10-05,1.3192,1.3232,1.3161,1.3176
2016-10-06,1.3176,1.3249,1.3176,1.3218
2016-10-07,1.3218,1.3313,1.3186,1.3296
2016-10-10,1.3281,1.3292,1.314,1.3176
2016-10-11,1.3176,1.3273,1.3164,1.3265
2016-10-12,1.3265,1.3288,1.3209,1.3276
2016-10-13,1.3276,1.3307,1.3186,1.3192
2016-10-14,1.3192,1.322,1.3103,1.3139
2016-10-17,1.3139,1.3183,1.3106,1.3129
2016-10-18,1.3128,1.314,1.3055,1.3109
2016-10-19,1.3109,1.3142,1.3006,1.3114
2016-10-20,1.3114,1.3233,1.3112,1.323
2016-10-21,1.323,1.3355,1.3226,1.3332
2016-10-24,1.3334,1.3398,1.3286,1.3286
2016-10-25,1.3286,1.3371,1.3278,1.3351
2016-10-26,1.3351,1.3385,1.3315,1.3381
2016-10-27,1.3381,1.3407,1.3353,1.3386
2016-10-28,1.3386,1.3433,1.3353,1.3398
2016-10-31,1.3388,1.343,1.3349,1.3409
2016-11-01,1.3409,1.3426,1.3354,1.339
2016-11-02,1.339,1.3424,1.336,1.3393
2016-11-03,1.3393,1.3402,1.3362,1.3397
2016-11-04,1.3397,1.3465,1.3386,1.3404
2016-11-07,1.3405,1.3418,1.3304,1.3364
2016-11-08,1.3364,1.3391,1.3286,1.3288
2016-11-09,1.3288,1.3525,1.3265,1.3424
2016-11-10,1.3424,1.3509,1.3387,1.3469
2016-11-11,1.3469,1.3548,1.3457,1.3542
2016-11-14,1.3525,1.3589,1.3495,1.3557
2016-11-15,1.3557,1.356,1.3444,1.3448
2016-11-16,1.3448,1.3506,1.3405,1.3446
2016-11-17,1.3446,1.3526,1.34,1.3521
2016-11-18,1.3521,1.3565,1.3493,1.3505
2016-11-21,1.35,1.3514,1.3387,1.3418
2016-11-22,1.3418,1.3467,1.3378,1.3441
2016-11-23,1.3441,1.3517,1.3424,1.3488
2016-11-24,1.3488,1.3536,1.3477,1.3492
2016-11-25,1.3492,1.3534,1.3454,1.3519
2016-11-28,1.3513,1.3537,1.3397,1.3412
2016-11-29,1.3412,1.3481,1.34,1.3432
2016-11-30,1.3432,1.3463,1.3357,1.3437
2016-12-01,1.3438,1.3438,1.3301,1.3319
2016-12-02,1.3319,1.3319,1.3256,1.3292
2016-12-05,1.3294,1.3356,1.3236,1.3271
2016-12-06,1.3272,1.3311,1.3252,1.3277
2016-12-07,1.3277,1.3297,1.3223,1.3234
2016-12-08,1.3234,1.3251,1.3185,1.3191
2016-12-09,1.3191,1.3213,1.3153,1.3179
2016-12-12,1.3154,1.3181,1.3109,1.313
2016-12-13,1.313,1.314,1.3103,1.3131
2016-12-14,1.3131,1.3295,1.3082,1.3283
2016-12-15,1.3284,1.3417,1.327,1.3336
2016-12-16,1.3335,1.3393,1.3319,1.3336
2016-12-19,1.3338,1.3423,1.3318,1.3408
2016-12-20,1.3408,1.3434,1.336,1.3368
2016-12-21,1.3368,1.3427,1.3358,1.3413
2016-12-22,1.3413,1.352,1.3413,1.3483
2016-12-23,1.3483,1.3557,1.348,1.3533
2016-12-26,1.3528,1.3544,1.3476,1.3509
2016-12-27,1.3509,1.358,1.3509,1.3575
2016-12-28,1.3575,1.3599,1.354,1.356
2016-12-29,1.356,1.3561,1.3481,1.3502
2016-12-30,1.3502,1.3508,1.3401,1.3441
2017-01-02,1.3432,1.3455,1.3388,1.3443
2017-01-03,1.3443,1.3461,1.3399,1.3427
2017-01-04,1.3428,1.3457,1.3282,1.3302
2017-01-05,1.3302,1.3313,1.3192,1.3225
2017-01-06,1.3225,1.3268,1.3178,1.3237
2017-01-09,1.3258,1.3277,1.3197,1.3216
2017-01-10,1.3216,1.3257,1.3192,1.3232
2017-01-11,1.3232,1.3294,1.312,1.3179
2017-01-12,1.3179,1.3185,1.303,1.3145
2017-01-13,1.3145,1.3168,1.3113,1.3114
2017-01-16,1.3124,1.3188,1.3104,1.3175
2017-01-17,1.3175,1.3189,1.3019,1.3043
2017-01-18,1.3042,1.3271,1.304,1.3269
2017-01-19,1.3269,1.3353,1.3253,1.3318
2017-01-20,1.3319,1.3388,1.3285,1.332
2017-01-23,1.3325,1.3335,1.3222,1.3238
2017-01-24,1.3238,1.3299,1.3106,1.3158
2017-01-25,1.3158,1.3165,1.3061,1.307
2017-01-26,1.307,1.3131,1.3054,1.309
2017-01-27,1.309,1.3154,1.3087,1.3153
2017-01-30,1.3135,1.3169,1.3077,1.3117
2017-01-31,1.3117,1.3124,1.2969,1.303
2017-02-01,1.303,1.3102,1.3029,1.3049
2017-02-02,1.3049,1.3052,1.2981,1.3027
2017-02-03,1.3027,1.3076,1.2993,1.3023
2017-02-06,1.3038,1.3135,1.3007,1.3084
2017-02-07,1.3084,1.3212,1.3075,1.3185
2017-02-08,1.3185,1.32,1.3135,1.3144
2017-02-09,1.3144,1.3168,1.3095,1.3145
2017-02-10,1.3145,1.3158,1.3063,1.3083
2017-02-13,1.3095,1.3121,1.3055,1.3071
2017-02-14,1.3071,1.3107,1.3025,1.3076
2017-02-15,1.3076,1.312,1.3065,1.308
2017-02-16,1.308,1.3082,1.301,1.3071
2017-02-17,1.3071,1.3126,1.306,1.3096
2017-02-20,1.3102,1.312,1.3075,1.3106
2017-02-21,1.3106,1.3165,1.31,1.3141
2017-02-22,1.3141,1.321,1.311,1.3164
2017-02-23,1.3164,1.3171,1.3083,1.3105
2017-02-24,1.3105,1.3119,1.3057,1.3091
2017-02-27,1.3094,1.3181,1.3084,1.318
2017-02-28,1.318,1.3314,1.3165,1.3301
2017-03-01,1.33,1.3358,1.3285,1.3325
2017-03-02,1.3325,1.3402,1.3324,1.3391
2017-03-03,1.3391,1.3437,1.3372,1.338
2017-03-06,1.3377,1.3425,1.3365,1.3412
2017-03-07,1.3411,1.3436,1.3384,1.3413
2017-03-08,1.3413,1.35,1.3398,1.3491
2017-03-09,1.3491,1.3535,1.3483,1.3511
2017-03-10,1.3511,1.3515,1.3422,1.3471
2017-03-13,1.3465,1.3476,1.3431,1.3446
2017-03-14,1.3446,1.3495,1.3439,1.3479
2017-03-15,1.348,1.3485,1.3296,1.3304
2017-03-16,1.3304,1.3353,1.3277,1.3319
2017-03-17,1.3319,1.3377,1.3304,1.335
2017-03-20,1.3335,1.3373,1.3304,1.335
2017-03-21,1.335,1.3365,1.3265,1.3352
2017-03-22,1.3352,1.3409,1.3321,1.3329
2017-03-23,1.3329,1.3357,1.3316,1.335
2017-03-24,1.335,1.3386,1.3347,1.3378
2017-03-27,1.3371,1.3403,1.3321,1.3376
2017-03-28,1.3377,1.3414,1.3355,1.3383
2017-03-29,1.3383,1.3401,1.3323,1.3326
2017-03-30,1.3326,1.3352,1.3278,1.3341
2017-03-31,1.3341,1.3368,1.3285,1.3318
2017-04-03,1.3307,1.34,1.33,1.3381
2017-04-04,1.3381,1.3456,1.3374,1.3402
2017-04-05,1.3402,1.344,1.3379,1.3435
2017-04-06,1.3435,1.3451,1.3398,1.3413
2017-04-07,1.3413,1.3431,1.3342,1.3398
2017-04-10,1.3402,1.3426,1.3323,1.3326
2017-04-11,1.3327,1.3357,1.331,1.3325
2017-04-12,1.3325,1.3339,1.3239,1.3254
2017-04-13,1.3254,1.3338,1.3224,1.3329
2017-04-14,1.3329,1.3337,1.3311,1.3325
2017-04-17,1.3319,1.3326,1.3262,1.3317
2017-04-18,1.3317,1.34,1.3313,1.338
2017-04-19,1.338,1.349,1.3375,1.3485
2017-04-20,1.3485,1.35,1.3457,1.3469
2017-04-21,1.3469,1.3525,1.3458,1.3498
2017-04-24,1.3488,1.3521,1.3411,1.3501
2017-04-25,1.3501,1.3626,1.3499,1.3572
2017-04-26,1.3572,1.3623,1.3543,1.3617
2017-04-27,1.3617,1.3671,1.353,1.3633
2017-04-28,1.3633,1.3697,1.3625,1.3653
2017-05-01,1.3657,1.3687,1.3637,1.3681
2017-05-02,1.3681,1.3758,1.365,1.3709
2017-05-03,1.3709,1.374,1.368,1.373
2017-05-04,1.373,1.3776,1.37,1.3749
2017-05-05,1.3749,1.3793,1.3643,1.3652
2017-05-08,1.3665,1.3734,1.3644,1.3691
2017-05-09,1.3691,1.3753,1.3671,1.372
2017-05-10,1.372,1.3733,1.3648,1.3656
2017-05-11,1.3656,1.377,1.3654,1.3697
2017-05-12,1.3696,1.3742,1.3666,1.371
2017-05-15,1.3703,1.3723,1.3602,1.3633
2017-05-16,1.3633,1.3659,1.3575,1.3606
2017-05-17,1.3606,1.3642,1.3572,1.3602
2017-05-18,1.3602,1.3669,1.3582,1.3603
2017-05-19,1.3603,1.3611,1.3509,1.3511
2017-05-22,1.3518,1.3541,1.3485,1.3503
2017-05-23,1.3502,1.3525,1.3456,1.3514
2017-05-24,1.3514,1.354,1.3406,1.3407
2017-05-25,1.3407,1.3493,1.3388,1.3485
2017-05-26,1.3484,1.3497,1.3433,1.3446
2017-05-29,1.3449,1.347,1.3424,1.3452
2017-05-30,1.3452,1.3506,1.3451,1.3459
2017-05-31,1.3459,1.3523,1.3437,1.35
2017-06-01,1.35,1.3527,1.3472,1.3515
2017-06-02,1.3515,1.3547,1.3481,1.3487
2017-06-05,1.3496,1.3501,1.3459,1.3473
2017-06-06,1.3473,1.3487,1.3437,1.3455
2017-06-07,1.3455,1.3526,1.3427,1.3509
2017-06-08,1.3509,1.3522,1.3485,1.3506
2017-06-09,1.3506,1.354,1.3423,1.347
2017-06-12,1.3455,1.347,1.332,1.3324
2017-06-13,1.3324,1.3325,1.3212,1.3242
2017-06-14,1.3242,1.3271,1.3165,1.3247
2017-06-15,1.3247,1.3308,1.3225,1.3269
2017-06-16,1.3269,1.3274,1.321,1.3213
2017-06-19,1.3219,1.3258,1.3191,1.3219
2017-06-20,1.3219,1.3285,1.3204,1.3268
2017-06-21,1.3268,1.3348,1.3265,1.3334
2017-06-22,1.3334,1.3338,1.3208,1.3233
2017-06-23,1.3233,1.3308,1.3211,1.3267
2017-06-26,1.3267,1.3278,1.3212,1.3244
2017-06-27,1.3243,1.3261,1.3148,1.3199
2017-06-28,1.3199,1.3199,1.3013,1.3039
2017-06-29,1.3038,1.3044,1.2987,1.3004
2017-06-30,1.3004,1.3012,1.2947,1.2964
2017-07-03,1.2968,1.3012,1.2965,1.3007
2017-07-04,1.3007,1.3014,1.2913,1.2937
2017-07-05,1.2937,1.3015,1.2929,1.2957
2017-07-06,1.2957,1.2983,1.2923,1.2978
2017-07-07,1.2978,1.2994,1.286,1.2876
2017-07-10,1.2884,1.2933,1.2871,1.2891
2017-07-11,1.2891,1.2944,1.2885,1.2915
2017-07-12,1.2915,1.2939,1.2681,1.2751
2017-07-13,1.2751,1.2771,1.2721,1.2722
2017-07-14,1.2722,1.2747,1.2644,1.2644
2017-07-17,1.2645,1.2699,1.2628,1.2697
2017-07-18,1.2697,1.2701,1.2581,1.2628
2017-07-19,1.2628,1.2653,1.2578,1.2606
2017-07-20,1.2606,1.2641,1.2541,1.2589
2017-07-21,1.2589,1.2609,1.2522,1.2539
2017-07-24,1.2539,1.2574,1.2484,1.251
2017-07-25,1.251,1.2533,1.2481,1.2509
2017-07-26,1.2509,1.2544,1.2414,1.2445
2017-07-27,1.2445,1.2576,1.2414,1.2554
2017-07-28,1.2554,1.2568,1.242,1.2433
2017-07-31,1.2442,1.2529,1.2433,1.248
2017-08-01,1.248,1.2554,1.2451,1.2538
2017-08-02,1.2538,1.2593,1.2532,1.257
2017-08-03,1.257,1.2619,1.2553,1.2586
2017-08-04,1.2586,1.2668,1.2556,1.2645
2017-08-07,1.2641,1.2715,1.263,1.268
2017-08-08,1.268,1.2705,1.2651,1.2667
2017-08-09,1.2667,1.2721,1.2664,1.27
2017-08-10,1.27,1.2745,1.2673,1.2744
2017-08-11,1.2744,1.2753,1.2653,1.2677
2017-08-14,1.2672,1.2731,1.2667,1.2722
2017-08-15,1.2722,1.2778,1.2719,1.2757
2017-08-16,1.2757,1.277,1.2614,1.2618
