Date,Value
2016-01-01,-22.01
2016-01-04,-21.09
2016-01-05,-20.4
2016-01-06,-22.95
2016-01-07,-22.03
2016-01-08,-22.23
2016-01-11,-26.6
2016-01-12,-26.5
2016-01-13,-29.93
2016-01-14,-32.04
2016-01-15,-32.63
2016-01-18,-31.82
2016-01-19,-33.2
2016-01-20,-19.66
2016-01-21,-16.55
2016-01-22,-18.58
2016-01-25,-20.27
2016-01-26,-17.25
2016-01-27,-17.5
2016-01-28,-16.27
2016-01-29,-14.48
2016-02-01,-15.23
2016-02-02,-15.65
2016-02-03,-13.51
2016-02-04,-14.0
2016-02-05,-17.95
2016-02-08,-18.72
2016-02-09,-16.92
2016-02-10,-16.2
2016-02-11,-14.9
2016-02-12,-11.73
2016-02-15,-12.23
2016-02-16,-10.25
2016-02-17,-10.86
2016-02-18,-12.75
2016-02-19,-13.45
2016-02-22,-13.01
2016-02-23,-10.65
2016-02-24,-10.35
2016-02-25,-9.2
2016-02-26,-11.67
2016-02-29,-11.16
2016-03-01,-10.89
2016-03-02,-10.6
2016-03-03,-10.76
2016-03-04,-10.55
2016-03-07,-12.61
2016-03-08,-13.37
2016-03-09,-12.65
2016-03-10,-12.52
2016-03-11,-12.89
2016-03-14,-13.41
2016-03-15,-14.69
2016-03-16,-10.25
2016-03-17,-11.0
2016-03-18,-11.0
2016-03-21,-11.76
2016-03-22,-12.93
2016-03-23,-12.51
2016-03-24,-12.85
2016-03-25,-12.75
2016-03-28,-12.6
2016-03-29,-10.15
2016-03-30,-7.05
2016-03-31,-5.05
2016-04-01,-6.25
2016-04-04,-5.35
2016-04-05,-4.85
2016-04-06,-4.75
2016-04-07,-5.95
2016-04-08,-5.25
2016-04-11,-4.85
2016-04-12,-5.5
2016-04-13,-4.85
2016-04-14,-4.55
2016-04-15,-3.0
2016-04-18,-2.75
2016-04-19,-3.25
2016-04-20,-4.25
2016-04-21,-3.05
2016-04-22,-2.0
2016-04-25,-1.75
2016-04-26,-1.85
2016-04-27,-1.45
2016-04-28,-0.55
2016-04-29,0.25
2016-05-02,-0.25
2016-05-03,-1.75
2016-05-04,-3.05
2016-05-05,-1.55
2016-05-06,-1.85
2016-05-09,-2.0
2016-05-10,-3.15
2016-05-11,-3.0
2016-05-12,-2.05
2016-05-13,-1.95
2016-05-16,-2.45
2016-05-17,-3.95
2016-05-18,-6.5
2016-05-19,-6.2
2016-05-20,-7.15
2016-05-23,-8.05
2016-05-24,-10.15
2016-05-25,-8.55
2016-05-26,-6.55
2016-05-27,-9.25
2016-05-30,-9.25
2016-05-31,-9.45
2016-06-01,-11.0
2016-06-02,-13.25
2016-06-03,-8.6
2016-06-06,-8.65
2016-06-07,-7.5
2016-06-08,-8.25
2016-06-09,-8.35
2016-06-10,-6.75
2016-06-13,-7.0
2016-06-14,-8.95
2016-06-15,-6.75
2016-06-16,-6.85
2016-06-17,-6.45
2016-06-20,-6.35
2016-06-21,-6.75
2016-06-22,-6.75
2016-06-23,-6.85
