Date,Value
2016-01-01,2996.28
2016-01-04,3475.88
2016-01-05,3570.25
2016-01-06,3880.0
2016-01-07,3467.14
2016-01-08,3735.01
2016-01-11,3760.02
2016-01-12,3306.0
2016-01-13,2967.01
2016-01-14,3416.26
2016-01-15,3612.35
2016-01-18,3670.0
2016-01-19,3460.01
2016-01-20,3415.0
2016-01-21,3528.05
2016-01-22,3175.0
2016-01-25,2934.58
2016-01-26,3153.5
2016-01-27,3235.0
2016-01-28,3338.51
2016-01-29,3369.99
2016-02-01,3552.51
2016-02-02,3820.0
2016-02-03,3525.01
2016-02-04,3110.0
2016-02-05,3065.01
2016-02-08,3149.16
2016-02-09,3177.5
2016-02-10,2625.0
2016-02-11,2465.01
2016-02-12,2557.51
2016-02-15,2318.01
2016-02-16,2529.26
2016-02-17,2653.11
2016-02-18,2898.5
2016-02-19,2730.0
2016-02-22,2638.5
2016-02-23,2631.01
2016-02-24,2600.01
2016-02-25,2580.01
2016-02-26,2550.01
2016-02-29,2308.59
2016-03-01,2221.5
2016-03-02,2354.51
2016-03-03,2296.97
2016-03-04,2098.63
2016-03-07,2088.25
2016-03-08,2175.0
2016-03-09,2323.76
2016-03-10,2360.83
2016-03-11,2135.0
2016-03-14,1940.5
2016-03-15,1930.06
2016-03-16,1935.0
2016-03-17,1650.0
2016-03-18,1665.0
2016-03-21,1650.86
2016-03-22,1715.01
2016-03-23,1855.01
2016-03-24,1879.5
2016-03-25,1922.93
2016-03-28,1966.09
2016-03-29,1700.0
2016-03-30,1644.5
2016-03-31,1764.51
2016-04-01,1830.01
2016-04-04,1810.0
2016-04-05,1960.0
2016-04-06,2005.0
2016-04-07,2111.44
2016-04-08,2035.01
2016-04-11,1928.96
2016-04-12,1917.26
2016-04-13,2005.0
2016-04-14,1935.01
2016-04-15,1904.26
2016-04-18,1972.1
2016-04-19,1887.25
2016-04-20,1970.01
2016-04-21,1854.5
2016-04-22,1805.01
2016-04-25,1977.75
2016-04-26,1965.0
2016-04-27,2039.5
2016-04-28,1995.01
2016-04-29,2078.86
2016-05-02,2075.0
2016-05-03,1983.92
2016-05-04,1871.38
2016-05-05,1844.52
2016-05-06,1810.0
2016-05-09,1835.0
2016-05-10,1859.99
2016-05-11,1900.0
2016-05-12,1964.5
2016-05-13,2014.51
2016-05-16,2060.01
2016-05-17,2020.0
2016-05-18,1995.0
2016-05-19,2024.84
2016-05-20,1933.0
2016-05-23,1920.0
2016-05-24,1900.01
2016-05-25,1879.99
2016-05-26,1910.0
2016-05-27,1930.27
2016-05-30,1930.0
2016-05-31,1848.63
2016-06-01,1885.01
2016-06-02,1800.01
2016-06-03,1750.01
2016-06-06,1714.55
2016-06-07,1630.0
2016-06-08,1545.0
2016-06-09,1565.0
2016-06-10,1625.58
2016-06-13,1675.88
2016-06-14,1576.14
2016-06-15,1655.0
2016-06-16,1720.31
2016-06-17,1718.0
2016-06-20,1710.0
2016-06-21,1672.08
2016-06-22,1640.0
2016-06-23,1657.57
2016-06-24,1740.01
2016-06-27,1783.87
2016-06-28,1810.02
2016-06-29,1725.0
2016-06-30,1825.0
2016-07-01,1781.01
2016-07-04,1743.3
2016-07-05,1701.14
2016-07-06,1747.56
2016-07-07,1710.0
2016-07-08,1672.75
2016-07-11,1609.08
2016-07-12,1709.99
2016-07-13,1660.0
2016-07-14,1615.01
2016-07-15,1580.08
2016-07-18,1620.0
2016-07-19,1609.78
2016-07-20,1585.01
2016-07-21,1604.0
2016-07-22,1623.71
2016-07-25,1690.0
2016-07-26,1712.33
2016-07-27,1624.5
2016-07-28,1629.62
2016-07-29,1651.52
2016-08-01,1610.0
2016-08-02,1615.01
2016-08-03,1495.01
2016-08-04,1420.01
2016-08-05,1407.45
2016-08-08,1434.5
2016-08-09,1400.01
2016-08-10,1375.0
2016-08-11,1409.99
2016-08-12,1422.23
2016-08-15,1479.99
2016-08-16,1567.04
2016-08-17,1415.0
2016-08-18,1484.3
2016-08-19,1409.51
2016-08-22,1432.68
2016-08-23,1510.01
2016-08-24,1600.0
2016-08-25,1615.0
2016-08-26,1555.0
2016-08-29,1545.0
2016-08-30,1519.6
2016-08-31,1570.16
2016-09-01,1674.45
2016-09-02,1639.5
2016-09-05,1665.0
2016-09-06,1729.92
2016-09-07,1704.34
2016-09-08,1722.5
2016-09-09,1900.01
2016-09-12,2085.0
2016-09-13,1966.51
2016-09-14,1898.92
2016-09-15,1925.01
2016-09-16,1890.01
2016-09-19,1919.99
2016-09-20,1932.51
2016-09-21,1890.01
2016-09-22,1855.0
2016-09-23,1870.0
2016-09-26,1870.0
2016-09-27,1700.07
2016-09-28,1621.63
2016-09-29,1629.19
2016-09-30,1620.0
2016-10-03,1631.69
2016-10-04,1619.51
2016-10-05,1639.5
2016-10-06,1762.5
2016-10-07,1820.0
2016-10-10,1760.01
2016-10-11,1830.81
2016-10-12,1915.73
2016-10-13,1905.0
2016-10-14,1815.0
2016-10-17,1895.01
2016-10-18,1860.0
2016-10-19,1779.68
2016-10-20,1709.15
2016-10-21,1823.83
2016-10-24,1765.01
2016-10-25,1720.0
2016-10-26,1855.0
2016-10-27,1784.82
2016-10-28,1815.0
