Date,Value
2016-01-01,2.42
2016-01-04,2.46
2016-01-05,2.5
2016-01-06,2.54
2016-01-07,2.5
2016-01-08,2.4
2016-01-11,2.44
2016-01-12,2.39
2016-01-13,2.36
2016-01-14,2.3896
2016-01-15,2.38
2016-01-18,2.42
2016-01-19,2.43
2016-01-20,2.43
2016-01-21,2.4
2016-01-22,2.5
2016-01-25,2.54
2016-01-26,2.51
2016-01-27,2.55
2016-01-28,2.4955
2016-01-29,2.46
2016-02-01,2.48
2016-02-02,2.5832
2016-02-03,2.55
2016-02-04,2.51
2016-02-05,2.5155
2016-02-08,2.5155
2016-02-09,2.52
2016-02-10,2.52
2016-02-11,2.517
2016-02-12,2.49
2016-02-15,2.4488
2016-02-16,2.48
2016-02-17,2.51
2016-02-18,2.45
2016-02-19,2.49
2016-02-22,2.4816
2016-02-23,2.4996
2016-02-24,2.515
2016-02-25,2.53
2016-02-26,2.53
2016-02-29,2.5
2016-03-01,2.46
2016-03-02,2.52
2016-03-03,2.54
2016-03-04,2.55
2016-03-07,2.59
2016-03-08,2.59
2016-03-09,2.56
2016-03-10,2.55
2016-03-11,2.53
2016-03-14,2.54
2016-03-15,2.53
2016-03-16,2.49
2016-03-17,2.53
2016-03-18,2.51
2016-03-21,2.56
2016-03-22,2.5296
2016-03-23,2.58
2016-03-24,2.5477
2016-03-25,2.5595
2016-03-28,2.6
2016-03-29,2.59
2016-03-30,2.5719
2016-03-31,2.65
2016-04-01,2.66
2016-04-04,2.67
2016-04-05,2.68
2016-04-06,2.72
2016-04-07,2.79
2016-04-08,2.75
2016-04-11,2.74
2016-04-12,2.81
2016-04-13,2.84
2016-04-14,2.87
2016-04-15,2.84
2016-04-18,2.85
2016-04-19,2.91
2016-04-20,3.0185
2016-04-21,3.06
2016-04-22,3.1
2016-04-25,3.119
2016-04-26,3.057
2016-04-27,3.02
2016-04-28,3.07
2016-04-29,3.13
2016-05-02,3.14
2016-05-03,3.01
2016-05-04,2.9573
2016-05-05,2.98
2016-05-06,2.965
2016-05-09,2.89
2016-05-10,2.9
2016-05-11,2.91
2016-05-12,2.91
2016-05-13,2.93
2016-05-16,2.96
2016-05-17,2.97
2016-05-18,3.04
2016-05-19,3.06
2016-05-20,2.99
2016-05-23,3.0044
2016-05-24,2.97
2016-05-25,2.99
2016-05-26,2.98
2016-05-27,2.983
2016-05-30,3.03
2016-05-31,3.01
2016-06-01,3.01
2016-06-02,3.0252
2016-06-03,3.02
2016-06-06,2.98
2016-06-07,2.97
2016-06-08,2.99
2016-06-09,2.9878
2016-06-10,2.97
2016-06-13,2.92
2016-06-14,2.883
2016-06-15,2.903
2016-06-16,2.8
2016-06-17,2.82
2016-06-20,2.82
2016-06-21,2.81
2016-06-22,2.79
2016-06-23,2.78
2016-06-24,2.72
2016-06-27,2.69
2016-06-28,2.73
2016-06-29,2.69
2016-06-30,2.68
2016-07-01,2.65
2016-07-04,2.69
2016-07-05,2.712
2016-07-06,2.68
2016-07-07,2.67
2016-07-08,2.69
2016-07-11,2.6918
2016-07-12,2.71
2016-07-13,2.74
2016-07-14,2.74
2016-07-15,2.7268
2016-07-18,2.74
2016-07-19,2.72
2016-07-20,2.7209
2016-07-21,2.7298
2016-07-22,2.72
2016-07-25,2.7676
2016-07-26,2.75
2016-07-27,2.76
2016-07-28,2.7458
2016-07-29,2.76
2016-08-01,2.76
2016-08-02,2.76
2016-08-03,2.74
2016-08-04,2.82
