Date,Value
2016-07-18,2.41
2016-07-19,2.4
2016-07-20,2.4
2016-07-21,2.41
2016-07-22,2.41
2016-07-25,2.41
2016-07-26,2.42
2016-07-27,2.42
2016-07-28,2.42
2016-07-29,2.42
2016-08-01,2.42
2016-08-02,2.44
2016-08-03,2.43
2016-08-04,2.43
2016-08-05,2.41
2016-08-08,2.43
2016-08-09,2.43
2016-08-10,2.43
2016-08-11,2.44
2016-08-12,2.41
2016-08-15,2.42
2016-08-16,2.43
2016-08-17,2.44
2016-08-18,2.45
2016-08-19,2.47
2016-08-22,2.46
2016-08-23,2.46
2016-08-24,2.5
2016-08-25,2.5
2016-08-26,2.48
2016-08-29,2.47
2016-08-30,2.49
2016-08-31,2.47
2016-09-01,2.46
2016-09-02,2.47
2016-09-05,2.46
2016-09-06,2.47
2016-09-07,2.47
2016-09-08,2.47
2016-09-09,2.47
2016-09-12,2.46
2016-09-13,2.46
2016-09-14,2.47
2016-09-15,2.47
2016-09-16,2.47
2016-09-19,2.48
2016-09-20,2.58
2016-09-21,2.59
2016-09-22,2.59
2016-09-23,2.52
2016-09-26,2.5
2016-09-27,2.51
2016-09-28,2.55
2016-09-29,2.66
2016-09-30,2.58
2016-10-04,2.58
2016-10-05,2.58
2016-10-07,2.58
2016-10-10,2.54
2016-10-11,2.58
2016-10-12,2.58
2016-10-13,2.56
2016-10-14,2.57
2016-10-17,2.57
2016-10-18,2.6
2016-10-19,2.58
2016-10-20,2.57
2016-10-21,2.73
2016-10-24,2.74
2016-10-25,2.75
2016-10-26,2.76
2016-10-27,2.76
2016-10-28,2.78
2016-10-31,2.88
2016-11-01,2.83
2016-11-02,2.76
2016-11-03,2.7
2016-11-04,2.71
2016-11-07,2.71
2016-11-08,2.725
2016-11-09,2.7
2016-11-10,2.83
2016-11-11,2.84
2016-11-14,2.87
2016-11-15,2.85
2016-11-16,2.95
2016-11-17,2.95
2016-11-18,3.0
2016-11-21,2.9
2016-11-22,2.93
2016-11-23,2.9
2016-11-24,2.99
2016-11-25,3.03
2016-11-28,3.05
2016-11-29,3.25
2016-11-30,3.21
2016-12-01,3.32
2016-12-02,3.05
2016-12-05,3.08
2016-12-06,3.0
2016-12-07,2.96
2016-12-08,2.92
