Date,Value
2016-01-04,2.755
2016-01-05,2.7525
2016-01-06,2.74
2016-01-07,2.72
2016-01-08,2.665
2016-01-11,2.69
2016-01-12,2.62
2016-01-13,2.5855
2016-01-14,2.605
2016-01-15,2.63
2016-01-18,2.595
2016-01-19,2.6294
2016-01-20,2.6276
2016-01-21,2.555
2016-01-22,2.64
2016-01-25,2.66
2016-01-26,2.685
2016-01-27,2.77
2016-01-28,2.695
2016-01-29,2.69
2016-02-01,2.67
2016-02-02,2.76
2016-02-03,2.735
2016-02-04,2.705
2016-02-05,2.695
2016-02-15,2.69
2016-02-16,2.7138
2016-02-17,2.675
2016-02-18,2.725
2016-02-19,2.6863
2016-02-22,2.69
2016-02-23,2.7001
2016-02-24,2.6726
2016-02-25,2.68
2016-02-26,2.75
2016-02-29,2.6589
2016-03-01,2.6589
2016-03-02,2.76
2016-03-03,2.77
2016-03-04,2.715
2016-03-07,2.745
2016-03-08,2.78
2016-03-09,2.76
2016-03-10,2.7125
2016-03-11,2.73
2016-03-14,2.74
2016-03-15,2.74
2016-03-16,2.7
2016-03-17,2.665
2016-03-18,2.685
2016-03-21,2.65
2016-03-22,2.6975
2016-03-23,2.74
2016-03-24,2.74
2016-03-25,2.75
2016-03-28,2.77
2016-03-29,2.77
2016-03-30,2.76
2016-03-31,2.77
2016-04-01,2.7375
2016-04-05,2.78
2016-04-06,2.795
2016-04-07,2.7975
2016-04-08,2.77
2016-04-11,2.815
2016-04-12,2.8099
2016-04-13,2.895
2016-04-14,2.935
2016-04-15,2.8499
2016-04-18,2.8601
2016-04-19,2.92
2016-04-20,2.98
2016-04-21,2.9837
2016-04-22,3.04
2016-04-25,3.11
2016-04-26,3.1
2016-04-27,3.085
2016-04-28,3.1
2016-04-29,3.15
2016-05-03,3.08
2016-05-04,2.91
2016-05-05,2.97
2016-05-06,2.96
2016-05-09,2.89
2016-05-10,2.9
2016-05-11,2.965
2016-05-12,2.905
2016-05-13,2.9575
2016-05-16,3.0026
2016-05-17,3.05
2016-05-18,3.0725
2016-05-19,3.1
2016-05-20,3.0525
2016-05-23,3.1
2016-05-24,2.99
2016-05-25,3.05
2016-05-26,3.05
2016-05-27,3.0325
2016-05-30,3.055
2016-05-31,2.98
2016-06-01,3.0626
2016-06-02,3.1
2016-06-03,3.12
2016-06-06,3.09
2016-06-07,3.1
