Date,Value
2016-01-04,2.4
2016-01-05,2.4
2016-01-06,2.395
2016-01-07,2.39
2016-01-08,2.355
2016-01-11,2.34
2016-01-12,2.315
2016-01-13,2.3
2016-01-14,2.32
2016-01-15,2.3207
2016-01-18,2.3412
2016-01-19,2.355
2016-01-20,2.38
2016-01-21,2.38
2016-01-22,2.39
2016-01-25,2.42
2016-01-26,2.405
2016-01-27,2.42
2016-01-28,2.42
2016-01-29,2.35
2016-02-01,2.36
2016-02-02,2.4
2016-02-03,2.4
2016-02-04,2.36
2016-02-05,2.355
2016-02-15,2.355
2016-02-16,2.36
2016-02-17,2.365
2016-02-18,2.34
2016-02-19,2.35
2016-02-22,2.34
2016-02-23,2.3375
2016-02-24,2.34
2016-02-25,2.35
2016-02-26,2.34
2016-02-29,2.3253
2016-03-01,2.3253
2016-03-02,2.35
2016-03-03,2.33
2016-03-04,2.33
2016-03-07,2.33
2016-03-08,2.33
2016-03-09,2.32
2016-03-10,2.31
2016-03-11,2.31
2016-03-14,2.31
2016-03-15,2.32
2016-03-16,2.3
2016-03-17,2.305
2016-03-18,2.31
2016-03-21,2.31
2016-03-22,2.32
2016-03-23,2.33
2016-03-24,2.34
2016-03-25,2.34
2016-03-28,2.355
2016-03-29,2.35
2016-03-30,2.34
2016-03-31,2.34
2016-04-01,2.35
2016-04-05,2.35
2016-04-06,2.35
2016-04-07,2.37
2016-04-08,2.36
2016-04-11,2.37
2016-04-12,2.39
2016-04-13,2.4201
2016-04-14,2.45
2016-04-15,2.42
2016-04-18,2.415
2016-04-19,2.44
2016-04-20,2.48
2016-04-21,2.47
2016-04-22,2.55
2016-04-25,2.6
2016-04-26,2.55
2016-04-27,2.62
2016-04-28,2.67
2016-04-29,2.65
2016-05-03,2.49
2016-05-04,2.48
2016-05-05,2.48
2016-05-06,2.48
2016-05-09,2.45
2016-05-10,2.45
2016-05-11,2.48
2016-05-12,2.4975
2016-05-13,2.51
2016-05-16,2.53
2016-05-17,2.53
2016-05-18,2.5675
2016-05-19,2.54
2016-05-20,2.5
2016-05-23,2.5
2016-05-24,2.48
2016-05-25,2.49
2016-05-26,2.53
2016-05-27,2.54
2016-05-30,2.55
2016-05-31,2.55
2016-06-01,2.55
2016-06-02,2.54
2016-06-03,2.54
2016-06-06,2.52
2016-06-07,2.53
2016-06-08,2.53
2016-06-10,2.53
2016-06-13,2.51
2016-06-14,2.47
2016-06-15,2.47
2016-06-16,2.43
2016-06-17,2.46
2016-06-20,2.46
2016-06-21,2.46
2016-06-22,2.45
2016-06-23,2.44
2016-06-24,2.39
2016-06-27,2.39
2016-06-28,2.41
2016-06-29,2.39
2016-06-30,2.4
2016-07-01,2.38
2016-07-04,2.41
2016-07-05,2.41
2016-07-06,2.39
2016-07-07,2.4
2016-07-08,2.39
2016-07-11,2.41
2016-07-12,2.41
2016-07-13,2.415
2016-07-14,2.415
2016-07-15,2.41
2016-07-18,2.41
2016-07-19,2.4
2016-07-20,2.4
2016-07-21,2.395
2016-07-22,2.41
2016-07-25,2.42
2016-07-26,2.41
2016-07-27,2.43
2016-07-28,2.43
2016-07-29,2.41
2016-08-01,2.43
2016-08-02,2.41
2016-08-03,2.415
2016-08-04,2.41
2016-08-05,2.405
2016-08-08,2.4
2016-08-09,2.4
2016-08-10,2.42
2016-08-11,2.42
2016-08-12,2.41
2016-08-15,2.4
2016-08-16,2.41
2016-08-17,2.4
2016-08-18,2.41
2016-08-19,2.435
2016-08-22,2.44
2016-08-23,2.51
2016-08-24,2.51
2016-08-25,2.51
2016-08-26,2.5
2016-08-29,2.51
2016-08-30,2.51
2016-08-31,2.49
2016-09-01,2.465
2016-09-02,2.49
2016-09-05,2.45
2016-09-06,2.48
2016-09-07,2.455
2016-09-08,2.46
2016-09-09,2.47
2016-09-12,2.48
2016-09-13,2.48
2016-09-14,2.49
2016-09-19,2.5
2016-09-20,2.535
2016-09-21,2.58
2016-09-22,2.56
2016-09-23,2.5101
2016-09-26,2.52
2016-09-27,2.52
2016-09-28,2.5325
2016-09-29,2.5575
2016-09-30,2.5501
2016-10-10,2.535
2016-10-11,2.535
2016-10-12,2.52
2016-10-13,2.52
2016-10-14,2.52
2016-10-17,2.53
2016-10-18,2.54
2016-10-19,2.56
2016-10-20,2.5601
2016-10-21,2.66
2016-10-24,2.67
2016-10-25,2.7
2016-10-26,2.73
2016-10-27,2.78
2016-10-28,2.79
2016-10-31,2.86
2016-11-01,2.8
2016-11-02,2.76
2016-11-03,2.75
2016-11-04,2.75
2016-11-07,2.75
2016-11-08,2.75
2016-11-09,2.76
2016-11-10,2.83
2016-11-11,2.85
2016-11-14,2.9
2016-11-15,2.885
2016-11-16,2.99
2016-11-17,2.97
2016-11-18,3.0
2016-11-21,2.955
2016-11-22,2.95
2016-11-23,2.94
2016-11-24,2.99
2016-11-25,3.01
2016-11-28,3.04
2016-11-29,3.2
2016-11-30,3.23
2016-12-01,3.31
2016-12-02,3.2
2016-12-05,3.19
2016-12-06,3.15
2016-12-07,3.12
2016-12-08,3.09
2016-12-09,3.13
2016-12-12,3.23
2016-12-13,3.22
2016-12-14,3.29
2016-12-15,3.37
2016-12-16,3.38
2016-12-19,3.44
2016-12-20,3.3
2016-12-21,3.23
2016-12-22,3.16
2016-12-23,3.2
2016-12-26,3.13
2016-12-27,3.19
2016-12-28,3.21
2016-12-29,3.21
2016-12-30,3.21
2017-01-03,3.23
2017-01-04,3.23
2017-01-05,3.19
2017-01-06,3.17
2017-01-09,3.04
2017-01-10,3.05
2017-01-11,3.04
2017-01-12,3.0
2017-01-13,3.0
2017-01-16,3.03
2017-01-17,3.0
2017-01-18,3.1
2017-01-19,3.02
2017-01-20,3.02
2017-01-23,2.96
2017-01-24,3.1
2017-01-25,3.07
2017-01-26,3.09
2017-02-03,3.19
2017-02-06,3.115
2017-02-07,3.05
2017-02-08,3.125
2017-02-09,3.06
2017-02-10,3.1
2017-02-13,3.075
2017-02-14,3.08
2017-02-15,3.195
2017-02-16,3.12
2017-02-17,3.15
2017-02-20,3.17
2017-02-21,3.21
2017-02-22,3.19
2017-02-23,3.25
2017-02-24,3.28
2017-02-27,3.24
2017-02-28,3.24
2017-03-01,3.25
2017-03-02,3.26
2017-03-03,3.26
2017-03-06,3.26
2017-03-07,3.27
2017-03-08,3.34
2017-03-09,3.33
2017-03-10,3.32
2017-03-13,3.25
2017-03-14,3.26
2017-03-15,3.24
2017-03-16,3.43
2017-03-17,3.43
2017-03-20,3.47
2017-03-21,3.7
2017-03-22,3.7
2017-03-23,3.58
2017-03-24,3.54
2017-03-27,3.5
2017-03-28,3.43
2017-03-29,3.55
2017-03-30,3.45
2017-03-31,3.56
2017-04-05,3.44
2017-04-06,3.48
2017-04-07,3.4
2017-04-10,3.4
2017-04-11,3.39
2017-04-12,3.41
2017-04-13,3.43
2017-04-14,3.44
2017-04-17,3.49
2017-04-18,3.5
2017-04-19,3.57
2017-04-20,3.54
2017-04-21,3.54
2017-04-24,3.54
2017-04-25,3.505
2017-04-26,3.53
2017-04-27,3.58
2017-04-28,3.65
2017-05-02,3.66
2017-05-03,3.74
2017-05-04,3.78
2017-05-05,3.725
2017-05-08,3.73
2017-05-09,3.75
2017-05-10,3.75
2017-05-11,3.73
2017-05-12,3.73
2017-05-15,3.64
2017-05-17,3.64
2017-05-18,3.63
2017-05-19,3.65
2017-05-22,3.59
2017-05-23,3.51
2017-05-24,3.51
2017-05-25,3.54
2017-05-26,3.55
2017-05-31,3.5
2017-06-01,3.5
2017-06-02,3.55
2017-06-05,3.54
2017-06-06,3.55
2017-06-07,3.55
2017-06-08,3.57
2017-06-09,3.55
2017-06-12,3.525
2017-06-13,3.53
2017-06-14,3.5
2017-06-15,3.515
2017-06-16,3.51
2017-06-19,3.5
2017-06-20,3.5
2017-06-21,3.5
2017-06-22,3.5
2017-06-23,3.41
2017-06-26,3.3
2017-06-27,3.295
2017-06-28,3.37
2017-06-29,3.38
2017-06-30,3.475
2017-07-03,3.45
2017-07-04,3.455
2017-07-05,3.38
2017-07-06,3.36
2017-07-07,3.36
2017-07-10,3.36
2017-07-11,3.36
2017-07-12,3.34
2017-07-13,3.33
2017-07-14,3.33
2017-07-17,3.32
2017-07-18,3.35
2017-07-19,3.35
2017-07-20,3.365
2017-07-21,3.38
2017-07-24,3.33
2017-07-25,3.35
2017-07-26,3.37
2017-07-27,3.355
2017-07-28,3.35
2017-08-01,3.405
2017-08-02,3.43
2017-08-03,3.42
2017-08-04,3.36
2017-08-07,3.375
2017-08-08,3.4
2017-08-09,3.4
2017-08-10,3.38
2017-08-11,3.38
2017-08-14,3.37
2017-08-15,3.37
2017-08-16,3.415
2017-08-17,3.435
2017-08-21,3.44
2017-08-22,3.455
2017-08-28,3.51
2017-08-29,3.515
2017-08-30,3.51
2017-08-31,3.5
2017-09-04,3.525
2017-09-05,3.52
2017-09-06,3.51
2017-09-07,3.435
2017-09-08,3.42
2017-09-12,3.44
2017-09-13,3.47
2017-09-14,3.45
2017-09-15,3.45
2018-01-11,3.45
2018-01-12,3.45
2018-01-16,3.41
2018-01-17,3.41
2018-01-18,3.465
2018-01-19,3.465
2018-01-24,3.41
2018-02-06,3.285
2018-02-07,3.29
2018-02-08,3.3
2018-03-29,3.185
2018-03-30,3.2
2018-04-27,3.25
2018-05-03,3.155
2018-05-04,3.11
2018-05-07,3.085
2018-05-08,3.08
2018-05-25,3.06
2018-06-14,3.085
2018-06-15,3.085
2018-06-20,3.05
2018-06-21,3.05
2018-07-06,2.75
2018-07-10,2.86
2018-07-11,2.86
2018-07-20,2.74
2018-07-23,2.725
2018-07-24,2.73
2018-07-26,2.75
2018-07-27,2.75
2018-07-31,2.71
2018-08-01,2.705
2018-08-02,2.69
2018-08-03,2.64
2018-08-10,2.61
2018-08-17,2.695
2018-08-20,2.72
2018-08-21,2.76
2018-08-22,2.76
2018-08-23,2.7
2018-08-24,2.685
2018-09-04,2.69
2018-09-05,2.69
2018-09-06,2.7
2018-09-07,2.72
2018-09-10,2.72
2018-09-11,2.73
2018-09-12,2.73
2018-09-14,2.71
2018-09-17,2.66
2018-09-18,2.66
2018-09-25,2.7
2018-09-26,2.72
2018-09-28,2.705
2018-10-09,2.675
2018-10-10,2.67
2018-10-15,2.69
2018-10-16,2.69
2018-10-19,2.7
2018-10-24,2.69
2018-10-25,2.675
2018-11-01,2.71
2018-11-02,2.715
2018-11-08,2.7
2018-12-04,2.675
2018-12-05,2.66
2018-12-06,2.66
2019-06-20,2.56
2019-06-21,2.5688
2019-06-24,2.585
2019-06-25,2.6019
2019-06-26,2.6213
2019-06-27,2.6238
2019-06-28,2.611
2019-07-01,2.5888
2019-07-02,2.5467
2019-07-03,2.521
2019-07-04,2.5013
2019-07-05,2.5125
2019-07-08,2.55
2019-07-09,2.545
