Date,Value
2016-01-04,1002.84
2016-01-05,962.5
2016-01-06,988.0
2016-01-07,983.75
2016-01-08,919.0
2016-01-11,945.0
2016-01-12,933.0
2016-01-13,895.0
2016-01-14,860.0
2016-01-15,865.0
2016-01-18,855.0
2016-01-19,911.0
2016-01-20,925.0
2016-01-21,925.0
2016-01-22,897.5
2016-01-25,865.0
2016-01-26,845.0
2016-01-27,806.5
2016-01-28,790.0
2016-01-29,815.0
2016-02-01,790.0
2016-02-02,767.5
2016-02-03,765.0
2016-02-04,772.5
2016-02-05,757.5
2016-02-15,697.5
2016-02-16,658.25
2016-02-17,671.0
2016-02-18,679.0
2016-02-19,678.75
2016-02-22,677.5
2016-02-23,695.0
2016-02-24,692.5
2016-02-25,647.5
2016-02-26,566.0
2016-02-29,558.0
2016-03-01,581.0
2016-03-02,579.0
2016-03-03,557.75
2016-03-04,537.5
2016-03-07,525.0
2016-03-08,539.0
2016-03-09,542.5
2016-03-10,545.0
2016-03-11,509.5
2016-03-14,428.0
2016-03-15,490.0
2016-03-16,460.0
2016-03-17,432.5
2016-03-18,437.5
2016-03-21,514.0
2016-03-22,647.5
2016-03-23,668.75
2016-03-24,606.23
2016-03-25,573.25
2016-03-28,542.0
2016-03-29,517.5
2016-03-30,483.75
2016-03-31,524.0
2016-04-01,508.0
2016-04-05,517.5
2016-04-06,566.25
2016-04-07,596.25
2016-04-08,582.5
2016-04-11,617.75
2016-04-12,613.75
2016-04-13,650.0
2016-04-14,662.5
2016-04-15,617.5
2016-04-18,609.27
2016-04-19,591.0
2016-04-20,618.0
2016-04-21,633.88
2016-04-22,608.57
2016-04-25,600.0
2016-04-26,593.0
2016-04-27,574.0
2016-04-28,568.75
2016-04-29,560.0
2016-05-03,533.0
2016-05-04,533.0
2016-05-05,565.75
2016-05-06,584.0
2016-05-09,605.0
2016-05-10,618.5
2016-05-11,617.0
2016-05-12,600.0
2016-05-13,627.5
2016-05-16,612.5
2016-05-17,612.5
2016-05-18,581.0
2016-05-19,520.0
2016-05-20,495.0
2016-05-23,458.75
2016-05-24,400.0
2016-05-25,485.0
2016-05-26,502.5
2016-05-27,498.0
2016-05-30,467.43
2016-05-31,500.0
2016-06-01,519.0
