Date,Value
2016-01-04,0.4825
2016-01-05,0.4625
2016-01-06,0.3925
2016-01-07,0.402
2016-01-08,0.3775
2016-01-11,0.34
2016-01-12,0.335
2016-01-13,0.27
2016-01-14,0.268
2016-01-15,0.24
2016-01-18,0.255
2016-01-19,0.222
2016-01-20,0.315
2016-01-21,0.3725
2016-01-22,0.378
2016-01-25,0.355
2016-01-26,0.36
2016-01-27,0.3455
2016-01-28,0.3575
2016-01-29,0.342
2016-02-01,0.351
2016-02-02,0.315
2016-02-03,0.3425
2016-02-04,0.328
2016-02-05,0.308
2016-02-08,0.283
2016-02-09,0.296
2016-02-10,0.294
2016-02-11,0.287
2016-02-12,0.357
2016-02-15,0.3475
2016-02-16,0.3475
2016-02-17,0.41
2016-02-18,0.349
2016-02-19,0.35
2016-02-22,0.353
2016-02-23,0.3725
2016-02-24,0.39
2016-02-25,0.375
2016-02-26,0.41
2016-02-29,0.408
2016-03-01,0.43
2016-03-02,0.442
2016-03-03,0.423
2016-03-04,0.442
2016-03-07,0.457
2016-03-08,0.421
2016-03-09,0.449
2016-03-10,0.476
2016-03-11,0.496
2016-03-14,0.486
2016-03-15,0.476
2016-03-16,0.4525
2016-03-17,0.45
2016-03-18,0.455
2016-03-21,0.476
2016-03-22,0.47
2016-03-23,0.4675
2016-03-24,0.4775
2016-03-28,0.474
2016-03-29,0.446
2016-03-30,0.4575
2016-03-31,0.467
2016-04-01,0.475
2016-04-04,0.49
2016-04-05,0.452
2016-04-06,0.464
2016-04-07,0.44
2016-04-08,0.4675
2016-04-11,0.465
2016-04-12,0.4875
2016-04-13,0.483
2016-04-14,0.4875
2016-04-15,0.495
2016-04-18,0.499
2016-04-19,0.504
2016-04-20,0.525
2016-04-21,0.528
2016-04-22,0.569
2016-04-25,0.59
2016-04-26,0.6
2016-04-27,0.5675
2016-04-28,0.584
2016-04-29,0.577
2016-05-02,0.574
2016-05-03,0.531
2016-05-04,0.475
2016-05-05,0.485
2016-05-06,0.48
2016-05-09,0.442
2016-05-10,0.439
2016-05-11,0.4625
2016-05-12,0.477
2016-05-13,0.4775
2016-05-16,0.492
2016-05-17,0.505
2016-05-18,0.545
2016-05-19,0.54
2016-05-20,0.547
2016-05-24,0.54
2016-05-25,0.544
2016-05-26,0.528
2016-05-27,0.5475
2016-05-30,0.56
2016-05-31,0.533
2016-06-01,0.514
2016-06-02,0.4925
2016-06-03,0.4455
2016-06-06,0.476
2016-06-07,0.4575
2016-06-08,0.4525
2016-06-09,0.45
2016-06-10,0.436
2016-06-13,0.4275
2016-06-14,0.437
2016-06-15,0.419
2016-06-16,0.4525
2016-06-17,0.453
2016-06-20,0.501
2016-06-21,0.5225
2016-06-22,0.514
2016-06-23,0.53
2016-06-24,0.46
2016-06-27,0.416
2016-06-28,0.42
2016-06-29,0.442
2016-06-30,0.4225
2016-07-04,0.426
2016-07-05,0.402
2016-07-06,0.396
2016-07-07,0.386
2016-07-08,0.382
2016-07-11,0.3875
2016-07-12,0.392
2016-07-13,0.41
2016-07-14,0.445
2016-07-15,0.498
2016-07-18,0.482
2016-07-19,0.484
2016-07-20,0.5125
2016-07-21,0.499
2016-07-22,0.4825
2016-07-25,0.485
2016-07-26,0.506
2016-07-27,0.4975
2016-07-28,0.505
2016-07-29,0.474
2016-08-01,0.476
2016-08-02,0.4925
2016-08-03,0.503
2016-08-04,0.481
2016-08-05,0.4455
2016-08-08,0.428
2016-08-09,0.43
2016-08-10,0.428
2016-08-11,0.452
2016-08-12,0.439
2016-08-15,0.458
2016-08-16,0.4775
2016-08-17,0.484
2016-08-18,0.4825
2016-08-19,0.473
2016-08-22,0.457
2016-08-23,0.459
2016-08-24,0.468
2016-08-25,0.4825
2016-08-26,0.5
2016-08-29,0.489
2016-08-30,0.493
2016-08-31,0.486
2016-09-01,0.482
2016-09-02,0.5025
2016-09-06,0.498
2016-09-07,0.468
2016-09-08,0.481
2016-09-09,0.491
2016-09-12,0.491
2016-09-13,0.498
2016-09-14,0.488
2016-09-15,0.4875
2016-09-16,0.484
2016-09-19,0.478
2016-09-20,0.4775
2016-09-21,0.493
2016-09-22,0.475
2016-09-23,0.434
2016-09-26,0.4075
2016-09-27,0.407
2016-09-28,0.413
2016-09-29,0.413
2016-09-30,0.446
2016-10-03,0.4435
2016-10-04,0.459
2016-10-05,0.4775
2016-10-06,0.4775
2016-10-07,0.49
2016-10-11,0.495
2016-10-12,0.5125
2016-10-13,0.509
2016-10-14,0.531
2016-10-17,0.514
2016-10-18,0.5025
2016-10-19,0.481
2016-10-20,0.4655
2016-10-21,0.432
2016-10-24,0.465
2016-10-25,0.4525
2016-10-26,0.4655
2016-10-27,0.485
2016-10-28,0.47
2016-10-31,0.4625
2016-11-01,0.466
2016-11-02,0.456
2016-11-03,0.458
2016-11-04,0.4425
2016-11-07,0.463
2016-11-08,0.485
2016-11-09,0.5
2016-11-10,0.531
2016-11-14,0.564
2016-11-15,0.566
2016-11-16,0.577
2016-11-17,0.58
2016-11-18,0.5825
2016-11-21,0.587
2016-11-22,0.561
2016-11-23,0.58
2016-11-24,0.5875
2016-11-25,0.582
2016-11-28,0.57
2016-11-29,0.574
2016-11-30,0.6025
2016-12-01,0.6425
2016-12-02,0.6275
2016-12-05,0.632
2016-12-06,0.6175
2016-12-07,0.61
2016-12-08,0.623
2016-12-09,0.637
2016-12-12,0.6475
2016-12-13,0.66
2016-12-14,0.695
2016-12-15,0.7325
2016-12-16,0.7325
2016-12-19,0.714
2016-12-20,0.735
2016-12-21,0.738
2016-12-22,0.726
2016-12-23,0.73
2016-12-28,0.699
2016-12-29,0.687
2016-12-30,0.675
2017-01-03,0.693
2017-01-04,0.6835
2017-01-05,0.646
2017-01-06,0.678
2017-01-09,0.667
2017-01-10,0.659
2017-01-11,0.657
2017-01-12,0.652
2017-01-13,0.656
2017-01-16,0.665
2017-01-17,0.648
2017-01-18,0.635
2017-01-19,0.645
2017-01-20,0.621
2017-01-23,0.603
2017-01-24,0.627
2017-01-25,0.653
2017-01-26,0.6525
2017-01-27,0.6575
2017-01-30,0.6525
2017-01-31,0.637
2017-02-01,0.6465
2017-02-02,0.6425
2017-02-03,0.6425
2017-02-06,0.616
2017-02-07,0.619
2017-02-08,0.606
2017-02-09,0.625
2017-02-10,0.6425
2017-02-13,0.656
2017-02-14,0.66
2017-02-15,0.678
2017-02-16,0.66
2017-02-17,0.644
2017-02-21,0.645
2017-02-22,0.644
2017-02-23,0.633
2017-02-24,0.6125
2017-02-27,0.635
2017-02-28,0.629
2017-03-01,0.6425
2017-03-02,0.6625
2017-03-03,0.6525
2017-03-06,0.6575
2017-03-07,0.69
2017-03-08,0.707
2017-03-09,0.71
2017-03-10,0.7375
2017-03-13,0.765
2017-03-14,0.75
2017-03-15,0.715
2017-03-16,0.729
2017-03-17,0.7175
2017-03-20,0.711
2017-03-21,0.713
2017-03-22,0.702
2017-03-23,0.698
2017-03-24,0.6775
2017-03-27,0.665
2017-03-28,0.6625
2017-03-29,0.6495
2017-03-30,0.674
2017-03-31,0.6825
2017-04-03,0.665
2017-04-04,0.682
2017-04-05,0.666
2017-04-06,0.6675
2017-04-07,0.6975
2017-04-10,0.6975
2017-04-11,0.6725
2017-04-12,0.6875
2017-04-13,0.676
2017-04-14,0.676
2017-04-17,0.6625
2017-04-18,0.6275
2017-04-19,0.637
2017-04-20,0.652
2017-04-21,0.6325
2017-04-24,0.661
2017-04-25,0.68
2017-04-26,0.66
2017-04-27,0.655
2017-04-28,0.645
2017-05-01,0.6425
2017-05-02,0.6025
2017-05-03,0.625
2017-05-04,0.621
2017-05-05,0.615
2017-05-08,0.6375
2017-05-09,0.6465
2017-05-10,0.64
2017-05-11,0.629
2017-05-12,0.611
2017-05-15,0.62
2017-05-16,0.633
