Date,Value
2016-01-04,0.4775
2016-01-05,0.468
2016-01-06,0.459
2016-01-07,0.462
2016-01-08,0.457
2016-01-11,0.444
2016-01-12,0.425
2016-01-13,0.397
2016-01-14,0.3875
2016-01-15,0.3495
2016-01-18,0.342
2016-01-19,0.367
2016-01-20,0.497
2016-01-21,0.5075
2016-01-22,0.5058
2016-01-25,0.5
2016-01-26,0.5
2016-01-27,0.5
2016-01-28,0.499
2016-01-29,0.487
2016-02-01,0.4925
2016-02-02,0.485
2016-02-03,0.481
2016-02-04,0.487
2016-02-05,0.483
2016-02-08,0.475
2016-02-09,0.472
2016-02-10,0.48
2016-02-11,0.4683
2016-02-12,0.4725
2016-02-15,0.472
2016-02-16,0.4725
2016-02-17,0.478
2016-02-18,0.48
2016-02-19,0.479
2016-02-22,0.475
2016-02-23,0.475
2016-02-24,0.477
2016-02-25,0.4825
2016-02-26,0.473
2016-02-29,0.4775
2016-03-01,0.4845
2016-03-02,0.48375
2016-03-03,0.48
2016-03-04,0.477
2016-03-07,0.473
2016-03-08,0.471
2016-03-09,0.48325
2016-03-10,0.49125
2016-03-11,0.484
2016-03-14,0.49
2016-03-15,0.49
2016-03-16,0.487
2016-03-17,0.484
2016-03-18,0.485
2016-03-21,0.49
2016-03-22,0.489
2016-03-23,0.491
2016-03-24,0.487
2016-03-28,0.486
2016-03-29,0.489
2016-03-30,0.49
2016-03-31,0.494
2016-04-01,0.488
2016-04-04,0.487
2016-04-05,0.492
2016-04-06,0.486
2016-04-07,0.486
2016-04-08,0.493
2016-04-11,0.496
2016-04-12,0.495
2016-04-13,0.5
2016-04-14,0.501
2016-04-15,0.503
2016-04-18,0.5
2016-04-19,0.505
2016-04-20,0.504
2016-04-21,0.5025
2016-04-22,0.503
2016-04-25,0.503
2016-04-26,0.51
2016-04-27,0.51
2016-04-28,0.51
2016-04-29,0.51275
2016-05-02,0.5125
2016-05-03,0.511
2016-05-04,0.508
2016-05-05,0.5025
2016-05-06,0.499
2016-05-09,0.495
2016-05-10,0.496
2016-05-11,0.497
2016-05-12,0.5
2016-05-13,0.498
2016-05-16,0.499
2016-05-17,0.493
2016-05-18,0.498
2016-05-19,0.502
2016-05-20,0.504
2016-05-23,0.503
2016-05-24,0.5025
2016-05-25,0.5025
2016-05-26,0.5025
2016-05-27,0.501
2016-05-30,0.502
2016-05-31,0.504
2016-06-01,0.504
2016-06-02,0.501
2016-06-03,0.5
2016-06-06,0.5
2016-06-07,0.497
2016-06-08,0.499
2016-06-09,0.501
2016-06-10,0.502
2016-06-13,0.502
2016-06-14,0.502
2016-06-15,0.501
2016-06-16,0.498
2016-06-17,0.498
2016-06-20,0.504
2016-06-21,0.4975
2016-06-22,0.501
2016-06-23,0.504
2016-06-24,0.4925
2016-06-27,0.4905
2016-06-28,0.493
2016-06-29,0.498
2016-06-30,0.49325
2016-07-01,0.495
2016-07-04,0.489
2016-07-05,0.49
2016-07-06,0.49075
2016-07-07,0.493
2016-07-08,0.492
2016-07-11,0.4875
2016-07-12,0.492
2016-07-13,0.501
2016-07-14,0.51
2016-07-15,0.504
2016-07-18,0.511
2016-07-19,0.514
2016-07-20,0.514
2016-07-21,0.5175
2016-07-22,0.515
2016-07-25,0.512
2016-07-26,0.517
2016-07-27,0.515
2016-07-28,0.515
2016-07-29,0.517
2016-08-01,0.515
2016-08-02,0.519
2016-08-03,0.5175
2016-08-04,0.516
2016-08-05,0.50225
2016-08-08,0.5025
2016-08-09,0.506
2016-08-10,0.507
2016-08-11,0.505
2016-08-12,0.507
2016-08-15,0.507
2016-08-16,0.507
2016-08-17,0.508
2016-08-18,0.5075
2016-08-19,0.507
2016-08-22,0.506
2016-08-23,0.5075
2016-08-24,0.505
2016-08-25,0.502
2016-08-26,0.507
2016-08-29,0.503
2016-08-30,0.505
2016-08-31,0.502
2016-09-01,0.504
2016-09-02,0.502
2016-09-06,0.503
2016-09-07,0.4975
2016-09-08,0.498
2016-09-09,0.498
2016-09-12,0.499
2016-09-13,0.5
2016-09-14,0.499
2016-09-15,0.499
2016-09-16,0.497
2016-09-19,0.5
2016-09-20,0.4975
2016-09-21,0.4975
2016-09-22,0.5
2016-09-23,0.4875
2016-09-26,0.486
2016-09-27,0.4875
2016-09-28,0.4845
2016-09-29,0.485
2016-09-30,0.492
2016-10-03,0.49
2016-10-04,0.494
2016-10-05,0.495
2016-10-06,0.4945
2016-10-07,0.5
2016-10-11,0.502
2016-10-12,0.5
2016-10-13,0.502
2016-10-14,0.504
2016-10-17,0.5
2016-10-18,0.5
2016-10-19,0.498
2016-10-20,0.499
2016-10-21,0.49
2016-10-24,0.495
2016-10-25,0.494
2016-10-26,0.495
2016-10-27,0.496
2016-10-28,0.495
2016-10-31,0.494
2016-11-01,0.494
2016-11-02,0.495
2016-11-03,0.495
2016-11-04,0.495
2016-11-07,0.493
2016-11-08,0.4935
2016-11-09,0.493
2016-11-10,0.496
2016-11-14,0.5
2016-11-15,0.5
2016-11-16,0.502
2016-11-17,0.498
2016-11-18,0.497
2016-11-21,0.498
2016-11-22,0.497
2016-11-23,0.497
2016-11-24,0.496
2016-11-25,0.495
2016-11-28,0.494
2016-11-29,0.493
2016-11-30,0.4963
2016-12-01,0.495
2016-12-02,0.4975
2016-12-05,0.496
2016-12-06,0.494
2016-12-07,0.495
2016-12-08,0.495
2016-12-09,0.4925
2016-12-12,0.494
2016-12-13,0.495
2016-12-14,0.496
2016-12-15,0.503
2016-12-16,0.508
2016-12-19,0.495
2016-12-20,0.496
2016-12-21,0.496
2016-12-22,0.493
2016-12-23,0.489
2016-12-26,0.488
2016-12-27,0.488
2016-12-28,0.497
2016-12-29,0.497
2016-12-30,0.499
2017-01-02,0.499
2017-01-03,0.499
2017-01-04,0.497
2017-01-05,0.497
2017-01-06,0.502
2017-01-09,0.503
2017-01-10,0.502
2017-01-11,0.501
2017-01-12,0.501
2017-01-13,0.501
2017-01-16,0.502
2017-01-17,0.5012
2017-01-18,0.5
2017-01-19,0.5
2017-01-20,0.501
2017-01-23,0.499
2017-01-24,0.498
2017-01-25,0.499
2017-01-26,0.5
2017-01-27,0.499
2017-01-30,0.499
2017-01-31,0.499
2017-02-01,0.5
2017-02-02,0.499
2017-02-03,0.498
2017-02-06,0.499
2017-02-07,0.4995
2017-02-08,0.499
2017-02-09,0.498
2017-02-10,0.498
2017-02-13,0.498
2017-02-14,0.498
2017-02-15,0.5
2017-02-16,0.5
2017-02-17,0.499
2017-02-20,0.496
2017-02-21,0.499
2017-02-22,0.498
2017-02-23,0.5
2017-02-24,0.499
2017-02-27,0.5
2017-02-28,0.498
2017-03-01,0.5025
2017-03-02,0.498
2017-03-03,0.496
2017-03-06,0.499
2017-03-07,0.5
2017-03-08,0.5
2017-03-09,0.5
2017-03-10,0.5025
2017-03-13,0.5025
2017-03-14,0.5025
2017-03-15,0.5
2017-03-16,0.5
2017-03-17,0.5
2017-03-20,0.5
2017-03-21,0.499
2017-03-22,0.498
2017-03-23,0.501
2017-03-24,0.4975
2017-03-27,0.499
2017-03-28,0.498
2017-03-29,0.5
2017-03-30,0.499
2017-03-31,0.502
2017-04-03,0.504
2017-04-04,0.5035
2017-04-05,0.505
2017-04-06,0.506
2017-04-07,0.509
2017-04-10,0.5042
2017-04-11,0.51
2017-04-12,0.502
2017-04-13,0.502
2017-04-14,0.502
2017-04-17,0.502
2017-04-18,0.501
2017-04-19,0.5
2017-04-20,0.4995
2017-04-21,0.499
2017-04-24,0.5
2017-04-25,0.5002
2017-04-26,0.5002
2017-04-27,0.5025
2017-04-28,0.5002
2017-05-01,0.5
2017-05-02,0.5025
2017-05-03,0.502
2017-05-04,0.505
2017-05-05,0.505
2017-05-08,0.503
2017-05-09,0.506
2017-05-10,0.5025
2017-05-11,0.5025
2017-05-12,0.5025
2017-05-15,0.512
2017-05-16,0.503
2017-05-17,0.5
2017-05-18,0.501
2017-05-19,0.505
2017-05-22,0.506
2017-05-23,0.503
2017-05-24,0.5025
2017-05-25,0.502
2017-05-26,0.505
2017-05-29,0.5075
2017-05-30,0.5058
2017-05-31,0.5075
2017-06-01,0.505
2017-06-02,0.505
2017-06-05,0.503
2017-06-06,0.505
2017-06-07,0.505
2017-06-08,0.506
2017-06-09,0.507
2017-06-12,0.524
2017-06-13,0.539
2017-06-14,0.548
2017-06-15,0.565
2017-06-16,0.5725
2017-06-19,0.575
2017-06-20,0.5675
2017-06-21,0.563
2017-06-22,0.602
2017-06-23,0.564
2017-06-26,0.561
2017-06-27,0.571
2017-06-28,0.63
2017-06-29,0.6425
2017-06-30,0.678
2017-07-04,0.6895
2017-07-05,0.695
2017-07-06,0.7085
2017-07-07,0.731
2017-07-10,0.727
2017-07-11,0.7305
2017-07-12,0.757
2017-07-13,0.758
2017-07-14,0.759
2017-07-17,0.759
2017-07-18,0.7605
2017-07-19,0.7605
2017-07-20,0.76
2017-07-21,0.7665
2017-07-24,0.766
2017-07-25,0.7695
2017-07-26,0.766
