Date,Value
2016-01-01,0.4175
2016-01-04,0.41
2016-01-05,0.39
2016-01-06,0.355
2016-01-07,0.3575
2016-01-08,0.3575
2016-01-11,0.32
2016-01-12,0.302
2016-01-13,0.2795
2016-01-14,0.2665
2016-01-15,0.2195
2016-01-18,0.23
2016-01-19,0.23
2016-01-20,0.345
2016-01-21,0.38175
2016-01-22,0.3752
2016-01-25,0.3573
2016-01-26,0.37725
2016-01-27,0.3675
2016-01-28,0.36325
2016-01-29,0.354
2016-02-01,0.355
2016-02-02,0.335
2016-02-03,0.3525
2016-02-04,0.357
2016-02-05,0.344
2016-02-08,0.33025
2016-02-09,0.3375
2016-02-10,0.3475
2016-02-11,0.3425
2016-02-12,0.3875
2016-02-15,0.385
2016-02-16,0.4
2016-02-17,0.405
2016-02-18,0.387
2016-02-19,0.3905
2016-02-22,0.3975
2016-02-23,0.414
2016-02-24,0.4225
2016-02-25,0.4325
2016-02-26,0.428
2016-02-29,0.429
2016-03-01,0.445
2016-03-02,0.4455
2016-03-03,0.436
2016-03-04,0.445
2016-03-07,0.44975
2016-03-08,0.431
2016-03-09,0.455
2016-03-10,0.462
2016-03-11,0.469
2016-03-14,0.462
2016-03-15,0.45625
2016-03-16,0.44625
2016-03-17,0.4425
2016-03-18,0.4475
2016-03-21,0.4625
2016-03-22,0.4627
2016-03-23,0.465
2016-03-24,0.4675
2016-03-25,0.4675
2016-03-28,0.465
2016-03-29,0.4485
2016-03-30,0.463
2016-03-31,0.475
2016-04-01,0.4725
2016-04-04,0.475
2016-04-05,0.465
2016-04-06,0.472
2016-04-07,0.4575
2016-04-08,0.47
2016-04-11,0.4755
2016-04-12,0.481
2016-04-13,0.4758
2016-04-14,0.485
2016-04-15,0.499
2016-04-18,0.488
2016-04-19,0.495
2016-04-20,0.4925
2016-04-21,0.51
2016-04-22,0.5175
2016-04-25,0.5263
2016-04-26,0.525
2016-04-27,0.5175
2016-04-28,0.5215
2016-04-29,0.52225
2016-05-02,0.5185
2016-05-03,0.503
2016-05-04,0.47675
2016-05-05,0.48
2016-05-06,0.477
2016-05-09,0.4575
2016-05-10,0.454
2016-05-11,0.461
2016-05-12,0.48
2016-05-13,0.4775
2016-05-16,0.4775
2016-05-17,0.4925
2016-05-18,0.51
2016-05-19,0.502
2016-05-20,0.505
2016-05-23,0.508
2016-05-24,0.5075
2016-05-25,0.505
2016-05-26,0.4963
2016-05-27,0.5
2016-05-30,0.506
2016-05-31,0.49
2016-06-01,0.4975
2016-06-02,0.49
2016-06-03,0.465
2016-06-06,0.4768
2016-06-07,0.4725
2016-06-08,0.4725
2016-06-09,0.4725
2016-06-10,0.472
2016-06-13,0.47025
2016-06-14,0.4775
2016-06-15,0.4606
2016-06-16,0.469
2016-06-17,0.4775
2016-06-20,0.5
2016-06-21,0.505
2016-06-22,0.493
2016-06-23,0.5025
2016-06-24,0.463
2016-06-27,0.443
2016-06-28,0.452
2016-06-29,0.468
2016-06-30,0.4525
2016-07-01,0.458
2016-07-04,0.452
2016-07-05,0.4415
2016-07-06,0.4402
2016-07-07,0.4353
2016-07-08,0.4325
2016-07-11,0.435
2016-07-12,0.441
2016-07-13,0.452
2016-07-14,0.4743
2016-07-15,0.4925
2016-07-18,0.4928
2016-07-19,0.4975
2016-07-20,0.505
2016-07-21,0.4943
2016-07-22,0.4975
2016-07-25,0.4995
2016-07-26,0.5125
2016-07-27,0.5075
2016-07-28,0.5102
2016-07-29,0.4975
2016-08-01,0.4925
2016-08-02,0.505
2016-08-03,0.4995
2016-08-04,0.49
2016-08-05,0.465
2016-08-08,0.452
2016-08-09,0.4525
2016-08-10,0.4525
2016-08-11,0.46775
2016-08-12,0.4675
2016-08-15,0.4745
2016-08-16,0.4875
2016-08-17,0.49
2016-08-18,0.49
2016-08-19,0.4813
2016-08-22,0.4758
2016-08-23,0.48
2016-08-24,0.48
2016-08-25,0.492
2016-08-26,0.4925
2016-08-29,0.487
2016-08-30,0.49
2016-08-31,0.49125
2016-09-01,0.4853
2016-09-02,0.4975
2016-09-06,0.4895
2016-09-07,0.4743
2016-09-08,0.4788
2016-09-09,0.485
2016-09-12,0.4855
2016-09-13,0.4875
2016-09-14,0.4783
2016-09-15,0.4825
2016-09-16,0.477
2016-09-19,0.486
2016-09-20,0.4785
2016-09-21,0.48
2016-09-22,0.4803
2016-09-23,0.445
2016-09-26,0.445
2016-09-27,0.434
2016-09-28,0.449
2016-09-29,0.437
2016-09-30,0.4565
2016-10-03,0.4625
2016-10-04,0.466
2016-10-05,0.4738
2016-10-06,0.471
2016-10-07,0.4825
2016-10-11,0.488
2016-10-12,0.48975
2016-10-13,0.495
2016-10-14,0.4995
2016-10-17,0.4825
2016-10-18,0.484
2016-10-19,0.469
2016-10-20,0.4587
2016-10-21,0.4395
2016-10-24,0.4525
2016-10-25,0.4575
2016-10-26,0.46225
2016-10-27,0.4715
2016-10-28,0.4625
2016-10-31,0.46
2016-11-01,0.4595
2016-11-02,0.4585
2016-11-03,0.46
2016-11-04,0.448
2016-11-07,0.465
2016-11-08,0.4675
2016-11-09,0.47
2016-11-10,0.482
2016-11-11,0.486
2016-11-14,0.495
2016-11-15,0.4885
2016-11-16,0.4975
2016-11-17,0.495
2016-11-18,0.4925
2016-11-21,0.4925
2016-11-22,0.48
2016-11-23,0.495
2016-11-24,0.4945
2016-11-25,0.485
2016-11-28,0.4875
2016-11-29,0.477
2016-11-30,0.5
2016-12-01,0.5115
2016-12-02,0.5125
2016-12-05,0.5112
2016-12-06,0.5012
2016-12-07,0.5005
2016-12-08,0.505
2016-12-09,0.51
2016-12-12,0.51
2016-12-13,0.5125
2016-12-14,0.532
2016-12-15,0.5455
2016-12-16,0.551
2016-12-19,0.534
2016-12-20,0.547
2016-12-21,0.544
2016-12-22,0.534
2016-12-23,0.525
2016-12-26,0.525
2016-12-27,0.525
2016-12-28,0.5215
2016-12-29,0.515
2016-12-30,0.522
2017-01-02,0.512
2017-01-03,0.517
2017-01-04,0.518
2017-01-05,0.5225
2017-01-06,0.5275
2017-01-09,0.5275
2017-01-10,0.5315
2017-01-11,0.53
2017-01-12,0.5263
2017-01-13,0.5347
2017-01-16,0.535
2017-01-17,0.5195
