Date,Value
2016-01-01,-196.25
2016-01-04,-195.5
2016-01-05,-195.0
2016-01-06,-193.05
2016-01-07,-189.0
2016-01-08,-191.75
2016-01-11,-192.98
2016-01-12,-192.5
2016-01-13,-195.51
2016-01-14,-192.5
2016-01-15,-190.51
2016-01-18,-191.0
2016-01-19,-192.35
2016-01-20,-192.32
2016-01-21,-194.25
2016-01-22,-198.4
2016-01-25,-197.5
2016-01-26,-197.5
2016-01-27,-191.39
2016-01-28,-188.74
2016-01-29,-193.78
2016-02-01,-192.0
2016-02-02,-188.75
2016-02-03,-186.75
2016-02-04,-181.5
2016-02-05,-182.5
2016-02-08,-187.0
2016-02-09,-189.64
2016-02-10,-186.66
2016-02-11,-191.0
2016-02-12,-190.07
2016-02-15,-193.0
2016-02-16,-194.0
2016-02-17,-196.2
2016-02-18,-197.0
2016-02-19,-198.5
2016-02-22,-204.5
2016-02-23,-208.25
2016-02-24,-210.25
2016-02-25,-208.75
2016-02-26,-210.37
2016-02-29,-211.92
2016-03-01,-212.07
2016-03-02,-209.86
2016-03-03,-207.25
2016-03-04,-206.0
2016-03-07,-206.0
2016-03-08,-202.16
2016-03-09,-203.0
2016-03-10,-190.04
2016-03-11,-188.64
2016-03-14,-188.21
2016-03-15,-189.28
2016-03-16,-182.78
2016-03-17,-179.0
2016-03-18,-179.0
2016-03-21,-182.5
2016-03-22,-187.77
2016-03-23,-185.0
2016-03-24,-185.28
2016-03-25,-185.75
2016-03-28,-184.87
2016-03-29,-180.33
2016-03-30,-179.0
2016-03-31,-177.5
2016-04-01,-178.0
2016-04-04,-178.33
2016-04-05,-177.25
2016-04-06,-178.5
2016-04-07,-178.27
2016-04-08,-179.49
2016-04-11,-179.99
2016-04-12,-182.4
2016-04-13,-182.61
2016-04-14,-181.88
2016-04-15,-181.0
2016-04-18,-180.0
2016-04-19,-180.75
2016-04-20,-185.0
2016-04-21,-184.66
2016-04-22,-184.25
2016-04-25,-184.37
2016-04-26,-182.91
2016-04-27,-181.5
2016-04-28,-179.27
2016-04-29,-179.25
2016-05-02,-177.61
2016-05-03,-178.0
2016-05-04,-178.0
2016-05-05,-180.0
2016-05-06,-181.0
2016-05-09,-177.89
2016-05-10,-181.93
2016-05-11,-180.0
2016-05-12,-182.5
2016-05-13,-181.94
2016-05-16,-184.13
2016-05-17,-187.01
2016-05-18,-194.47
2016-05-19,-194.94
2016-05-20,-193.25
2016-05-23,-194.17
2016-05-24,-194.5
2016-05-25,-194.5
2016-05-26,-191.01
2016-05-27,-197.07
2016-05-30,-196.96
2016-05-31,-194.94
2016-06-01,-197.0
2016-06-02,-199.5
2016-06-03,-190.0
2016-06-06,-193.5
2016-06-07,-192.5
2016-06-08,-197.0
2016-06-09,-197.76
2016-06-10,-195.75
2016-06-13,-199.75
2016-06-14,-206.06
2016-06-15,-204.5
2016-06-16,-207.25
2016-06-17,-202.0
2016-06-20,-198.0
2016-06-21,-199.5
2016-06-22,-202.24
2016-06-23,-196.99
2016-06-24,-216.69
2016-06-27,-208.81
2016-06-28,-205.5
