Date,Open,High,Low,Close
2016-01-01,6.5686,6.58,6.5526,6.5697
2016-01-04,6.5727,6.6348,6.5634,6.6301
2016-01-05,6.6301,6.6544,6.6263,6.6449
2016-01-06,6.6449,6.7319,6.6366,6.6964
2016-01-07,6.6964,6.7618,6.664,6.6823
2016-01-08,6.6822,6.692,6.6525,6.6831
2016-01-11,6.6824,6.7078,6.5842,6.5855
2016-01-12,6.5854,6.6077,6.5662,6.578
2016-01-13,6.578,6.5828,6.5604,6.5672
2016-01-14,6.5672,6.6255,6.5658,6.6021
2016-01-15,6.6021,6.6204,6.5991,6.6139
2016-01-18,6.6171,6.6171,6.573,6.5848
2016-01-19,6.5848,6.609,6.5833,6.5906
2016-01-20,6.5906,6.6125,6.5882,6.6032
2016-01-21,6.6033,6.6193,6.6001,6.6034
2016-01-22,6.6033,6.6174,6.6023,6.6136
2016-01-25,6.6204,6.6311,6.6032,6.6095
2016-01-26,6.6094,6.6203,6.6076,6.6119
2016-01-27,6.6118,6.6197,6.6056,6.6178
2016-01-28,6.6178,6.619,6.6092,6.615
2016-01-29,6.615,6.6319,6.5918,6.5936
2016-02-01,6.596,6.621,6.5933,6.6203
2016-02-02,6.6203,6.6302,6.6136,6.6276
2016-02-03,6.6276,6.6512,6.5982,6.6106
2016-02-04,6.6106,6.6188,6.5626,6.5756
2016-02-05,6.5756,6.5844,6.5578,6.5672
2016-02-08,6.58,6.5867,6.5682,6.5727
2016-02-09,6.5727,6.5825,6.5634,6.5655
2016-02-10,6.5655,6.5678,6.5278,6.546
2016-02-11,6.546,6.5504,6.5264,6.5295
2016-02-12,6.5295,6.5487,6.4991,6.5084
2016-02-15,6.5085,6.5354,6.4866,6.5
2016-02-16,6.4998,6.5264,6.4988,6.5192
2016-02-17,6.5192,6.5384,6.5174,6.5249
2016-02-18,6.5249,6.5325,6.5164,6.5228
2016-02-19,6.5229,6.5296,6.5213,6.5244
2016-02-22,6.5245,6.5313,6.521,6.5282
2016-02-23,6.5282,6.5379,6.5256,6.5336
2016-02-24,6.5336,6.5436,6.5319,6.535
2016-02-25,6.535,6.5452,6.5329,6.5352
2016-02-26,6.5352,6.5482,6.5317,6.5462
2016-02-29,6.5427,6.5592,6.5425,6.5521
2016-03-01,6.5521,6.5559,6.5404,6.5485
2016-03-02,6.5485,6.5559,6.5463,6.5468
2016-03-03,6.5468,6.5497,6.5204,6.5223
2016-03-04,6.5223,6.5298,6.5002,6.5028
2016-03-07,6.5031,6.5247,6.4974,6.5098
2016-03-08,6.5098,6.5165,6.5062,6.5083
2016-03-09,6.5083,6.5197,6.5075,6.5119
2016-03-10,6.5119,6.527,6.502,6.5048
2016-03-11,6.5048,6.5075,6.4719,6.4819
2016-03-14,6.4845,6.4969,6.48,6.4939
2016-03-15,6.4939,6.5126,6.4912,6.5118
2016-03-16,6.5117,6.5255,6.4801,6.4853
2016-03-17,6.4853,6.4988,6.4497,6.4561
2016-03-18,6.4561,6.4784,6.4443,6.4645
2016-03-21,6.4653,6.4856,6.4606,6.4854
2016-03-22,6.4854,6.4978,6.4826,6.4939
2016-03-23,6.4939,6.5099,6.4892,6.5071
2016-03-24,6.5071,6.5247,6.5057,6.5232
2016-03-25,6.5231,6.5293,6.5207,6.5258
2016-03-28,6.5262,6.5289,6.5156,6.5175
2016-03-29,6.5175,6.5201,6.4919,6.4929
2016-03-30,6.4929,6.5027,6.4725,6.4766
2016-03-31,6.4766,6.4806,6.4572,6.4639
2016-04-01,6.4639,6.4843,6.4625,6.4714
2016-04-04,6.4717,6.4825,6.4666,6.472
2016-04-05,6.472,6.4869,6.4688,6.4854
2016-04-06,6.4854,6.494,6.4792,6.4822
2016-04-07,6.4822,6.4908,6.4747,6.4865
2016-04-08,6.4865,6.4932,6.4778,6.479
2016-04-11,6.4827,6.4856,6.4679,6.4691
2016-04-12,6.4691,6.4856,6.4677,6.474
2016-04-13,6.4745,6.4861,6.4712,6.4848
2016-04-14,6.4848,6.5005,6.4832,6.4928
2016-04-15,6.4928,6.4988,6.4812,6.486
2016-04-18,6.4869,6.5005,6.4811,6.4841
2016-04-19,6.4841,6.4857,6.4677,6.4686
2016-04-20,6.4686,6.4824,6.4675,6.4817
2016-04-21,6.4817,6.4897,6.4764,6.4877
2016-04-22,6.4877,6.5074,6.4837,6.5043
2016-04-25,6.5036,6.5169,6.5017,6.5062
2016-04-26,6.5062,6.5093,6.4973,6.5027
