Date,Value
2016-01-01,2273.75
2016-01-04,2247.5
2016-01-05,2280.0
2016-01-06,2200.0
2016-01-07,2413.75
2016-01-08,2525.0
2016-01-11,3375.0
2016-01-12,3025.0
2016-01-13,2762.5
2016-01-14,3114.38
2016-01-15,3110.0
2016-01-18,3485.25
2016-01-19,2975.0
2016-01-20,2776.86
2016-01-21,3011.25
2016-01-22,2750.0
2016-01-25,2465.0
2016-01-26,2667.5
2016-01-27,2660.0
2016-01-28,2555.0
2016-01-29,2910.0
2016-02-01,3035.0
2016-02-02,3125.0
2016-02-03,2825.0
2016-02-04,2735.0
2016-02-05,2665.0
2016-02-08,2725.0
2016-02-09,2575.0
2016-02-10,2445.0
2016-02-11,2245.0
2016-02-12,2350.0
2016-02-15,2275.0
2016-02-16,2315.0
2016-02-17,2465.0
2016-02-18,2655.0
2016-02-19,2545.0
2016-02-22,2445.0
2016-02-23,2420.0
2016-02-24,2325.0
2016-02-25,2265.0
2016-02-26,2255.0
2016-02-29,1959.38
2016-03-01,2000.0
2016-03-02,2195.0
2016-03-03,2060.0
2016-03-04,1870.0
2016-03-07,1945.0
2016-03-08,1950.01
2016-03-09,2025.0
2016-03-10,2005.0
2016-03-11,1775.01
2016-03-14,1715.0
2016-03-15,1710.0
2016-03-16,1675.0
2016-03-17,1340.0
2016-03-18,1400.0
2016-03-21,1507.5
2016-03-22,1510.0
2016-03-23,1655.0
2016-03-24,1615.0
2016-03-25,1630.0
2016-03-28,1565.0
2016-03-29,1330.0
2016-03-30,1340.0
2016-03-31,1400.0
2016-04-01,1555.0
2016-04-04,1530.0
2016-04-05,1655.0
2016-04-06,1680.0
2016-04-07,1655.0
2016-04-08,1570.0
2016-04-11,1442.5
2016-04-12,1470.0
2016-04-13,1560.0
2016-04-14,1565.0
2016-04-15,1545.0
2016-04-18,1485.0
2016-04-19,1415.0
2016-04-20,1506.33
2016-04-21,1530.0
2016-04-22,1570.0
2016-04-25,1645.0
2016-04-26,1550.0
2016-04-27,1565.0
2016-04-28,1520.0
2016-04-29,1520.0
2016-05-02,1520.0
2016-05-03,1490.0
2016-05-04,1565.0
2016-05-05,1520.0
2016-05-06,1497.5
2016-05-09,1515.0
2016-05-10,1490.0
2016-05-11,1480.0
2016-05-12,1585.0
2016-05-13,1665.0
2016-05-16,1605.0
2016-05-17,1588.24
2016-05-18,1735.0
2016-05-19,1680.19
2016-05-20,1625.0
2016-05-23,1615.01
2016-05-24,1630.0
2016-05-25,1650.0
2016-05-26,1625.0
2016-05-27,1620.0
2016-05-30,1572.5
2016-05-31,1525.0
2016-06-01,1510.0
2016-06-02,1435.0
2016-06-03,1310.0
2016-06-06,1365.0
2016-06-07,1301.25
2016-06-08,1245.0
2016-06-09,1307.5
2016-06-10,1343.75
2016-06-13,1310.0
2016-06-14,1360.0
2016-06-15,1320.0
2016-06-16,1415.0
2016-06-17,1417.5
2016-06-20,1340.0
2016-06-21,1330.0
2016-06-22,1322.5
2016-06-23,1290.0
2016-06-24,1400.0
2016-06-27,1295.0
2016-06-28,1270.0
2016-06-29,1307.5
2016-06-30,1365.0
2016-07-01,1367.5
2016-07-04,1376.0
2016-07-05,1347.5
2016-07-06,1305.0
2016-07-07,1315.0
2016-07-08,1285.0
2016-07-11,1360.0
2016-07-12,1390.0
2016-07-13,1445.0
2016-07-14,1360.0
2016-07-15,1360.0
2016-07-18,1385.0
2016-07-19,1375.0
2016-07-20,1375.0
2016-07-21,1370.0
2016-07-22,1390.0
2016-07-25,1345.0
2016-07-26,1318.75
2016-07-27,1305.0
2016-07-28,1315.0
2016-07-29,1277.5
2016-08-01,1257.5
2016-08-02,1225.0
2016-08-03,1130.0
2016-08-04,1090.0
2016-08-05,1115.0
2016-08-08,1047.5
2016-08-09,1032.5
2016-08-10,1037.5
2016-08-11,1077.5
2016-08-12,1085.0
2016-08-15,1075.0
2016-08-16,1060.0
2016-08-17,1110.0
2016-08-18,1117.5
2016-08-19,1187.5
2016-08-22,1160.0
2016-08-23,1170.0
2016-08-24,1245.0
2016-08-25,1235.0
2016-08-26,1245.0
2016-08-29,1240.0
2016-08-30,1230.0
2016-08-31,1240.0
2016-09-01,1220.0
2016-09-02,1260.0
2016-09-05,1290.0
2016-09-06,1250.0
2016-09-07,1375.0
2016-09-08,1435.0
2016-09-09,1657.5
2016-09-12,1695.0
2016-09-13,1860.0
2016-09-14,1770.0
2016-09-15,1850.0
2016-09-16,1965.0
2016-09-19,1790.0
2016-09-20,1700.0
2016-09-21,1605.0
2016-09-22,1550.0
2016-09-23,1660.0
2016-09-26,1535.0
2016-09-27,1290.0
2016-09-28,1240.0
2016-09-29,1410.0
2016-09-30,1380.0
2016-10-03,1385.0
2016-10-04,1470.0
2016-10-05,1530.0
2016-10-06,1565.0
2016-10-07,1490.0
2016-10-10,1485.0
2016-10-11,1685.0
2016-10-12,1625.0
2016-10-13,1625.0
2016-10-14,1560.0
2016-10-17,1640.0
2016-10-18,1550.0
2016-10-19,1450.0
2016-10-20,1485.0
2016-10-21,1560.0
2016-10-24,1505.0
2016-10-25,1480.0
2016-10-26,1560.0
2016-10-27,1625.0
2016-10-28,1625.0
2016-10-31,1585.0
2016-11-01,1585.0
2016-11-02,1530.0
2016-11-03,1534.7
2016-11-04,1500.0
2016-11-07,1585.0
2016-11-08,1575.0
2016-11-09,1580.5
2016-11-10,1760.0
2016-11-11,1882.5
2016-11-14,1855.5
2016-11-15,1710.0
2016-11-16,1825.0
2016-11-17,1805.5
2016-11-18,1775.0
2016-11-21,1727.5
2016-11-22,1690.0
2016-11-23,1815.0
2016-11-24,1732.5
2016-11-25,1790.0
2016-11-28,1695.0
2016-11-29,1788.47
2016-11-30,1860.0
2016-12-01,2050.0
2016-12-02,2100.0
2016-12-05,2255.0
2016-12-06,2165.0
2016-12-07,2235.5
2016-12-08,2249.17
2016-12-09,2575.0
2016-12-12,2675.0
2016-12-13,2875.0
2016-12-14,2997.51
2016-12-15,3177.5
2016-12-16,3130.0
2016-12-19,3375.0
2016-12-20,2965.0
2016-12-21,2915.0
2016-12-22,3015.0
2016-12-23,3110.0
2016-12-27,3131.67
2016-12-28,3255.0
2016-12-29,3360.0
2016-12-30,3602.5
2017-01-02,3610.0
2017-01-03,3425.0
2017-01-04,3480.0
2017-01-05,3662.5
2017-01-06,3415.0
2017-01-09,3235.63
2017-01-10,2875.0
2017-01-11,2825.0
2017-01-12,2946.0
2017-01-13,2900.0
2017-01-16,2855.0
2017-01-17,2304.0
2017-01-18,2627.5
2017-01-19,2545.0
2017-01-20,2590.0
2017-01-23,2560.0
2017-01-24,2900.0
2017-01-25,2765.0
2017-01-26,2820.0
2017-01-27,2990.0
2017-01-30,2940.0
2017-01-31,2790.0
2017-02-01,2820.0
2017-02-02,2657.5
2017-02-03,2575.0
2017-02-06,2310.0
2017-02-07,2410.0
2017-02-08,2185.0
2017-02-09,2337.5
2017-02-10,2389.17
2017-02-13,2290.5
2017-02-14,2152.5
2017-02-15,2215.0
2017-02-16,2315.0
2017-02-17,2420.0
2017-02-20,2275.0
2017-02-21,2340.0
2017-02-22,2330.0
2017-02-23,2220.0
2017-02-24,2222.5
2017-02-27,2142.5
2017-02-28,1997.5
2017-03-01,2117.5
2017-03-02,2175.0
2017-03-03,2300.0
2017-03-06,2183.04
2017-03-07,2197.5
2017-03-08,2313.75
2017-03-09,2545.0
2017-03-10,2360.0
2017-03-13,2269.5
2017-03-14,2307.75
2017-03-15,2105.25
2017-03-16,2035.0
2017-03-17,2040.0
2017-03-20,2025.75
2017-03-21,2035.0
2017-03-22,1908.0
2017-03-23,1890.0
2017-03-24,1940.0
2017-03-27,1775.25
2017-03-28,1859.0
2017-03-29,1883.75
2017-03-30,1880.0
2017-03-31,1885.0
2017-04-03,1870.0
2017-04-04,1885.0
2017-04-05,1835.5
2017-04-06,1835.0
2017-04-07,1850.0
2017-04-10,1856.0
2017-04-11,1833.0
2017-04-12,1725.0
2017-04-13,1715.0
2017-04-14,1720.0
2017-04-17,1710.0
2017-04-18,1705.0
2017-04-19,1730.0
2017-04-20,1688.5
2017-04-21,1710.0
2017-04-24,1689.65
2017-04-25,1650.0
2017-04-26,1690.0
2017-04-27,1795.0
2017-04-28,1855.0
2017-05-01,1826.25
2017-05-02,1965.0
2017-05-03,1965.0
2017-05-04,1900.0
2017-05-05,1925.0
2017-05-08,1985.0
2017-05-09,1967.5
2017-05-10,1881.5
2017-05-11,1865.0
2017-05-12,1815.0
2017-05-15,1752.0
2017-05-16,1737.55
2017-05-17,1765.0
2017-05-18,1813.17
2017-05-19,1768.09
2017-05-22,1760.0
2017-05-23,1844.75
2017-05-24,1835.0
2017-05-25,1820.0
2017-05-26,1932.5
2017-05-29,1948.37
2017-05-30,1906.0
2017-05-31,2167.5
2017-06-01,2090.0
2017-06-02,1870.0
2017-06-05,1825.0
2017-06-06,1890.0
2017-06-07,1820.5
2017-06-08,1820.0
2017-06-09,1830.0
2017-06-12,1825.0
2017-06-13,1867.5
2017-06-14,1860.0
2017-06-15,1850.0
2017-06-16,1875.0
2017-06-19,1735.0
2017-06-20,1780.0
2017-06-21,1730.25
2017-06-22,1685.0
2017-06-23,1600.65
2017-06-26,1580.0
2017-06-27,1685.0
2017-06-28,1745.0
2017-06-29,1745.0
2017-06-30,1708.5
2017-07-03,1760.0
2017-07-04,1692.5
2017-07-05,1670.0
2017-07-06,1680.0
2017-07-07,1670.0
2017-07-10,1630.0
2017-07-11,1595.0
2017-07-12,1550.0
2017-07-13,1554.0
2017-07-14,1435.0
2017-07-17,1414.25
2017-07-18,1317.5
2017-07-19,1425.0
2017-07-20,1405.0
2017-07-21,1427.5
2017-07-24,1424.0
2017-07-25,1410.0
2017-07-26,1360.25
2017-07-27,1350.0
2017-07-28,1362.75
2017-07-31,1390.0
2017-08-01,1401.5
2017-08-02,1434.0
2017-08-03,1510.0
2017-08-04,1532.22
2017-08-07,1500.0
2017-08-08,1465.0
2017-08-09,1435.0
2017-08-10,1345.0
2017-08-11,1400.5
2017-08-14,1470.0
2017-08-15,1491.5
2017-08-16,1575.0
2017-08-17,1570.0
2017-08-18,1466.5
2017-08-21,1412.5
2017-08-22,1485.0
2017-08-23,1500.0
2017-08-24,1528.25
2017-08-25,1545.0
2017-08-28,1473.0
2017-08-29,1470.0
2017-08-30,1466.75
2017-08-31,1470.0
2017-09-01,1395.5
2017-09-04,1348.51
2017-09-05,1390.5
2017-09-06,1375.0
2017-09-07,1265.0
2017-09-08,1300.0
2017-09-11,1268.5
2017-09-12,1315.0
2017-09-13,1380.0
2017-09-14,1379.75
2017-09-15,1334.88
2017-09-18,1426.63
2017-09-19,1440.0
2017-09-20,1580.0
2017-09-21,1495.0
2017-09-22,1431.0
2017-09-25,1505.0
2017-09-26,1505.0
2017-09-27,1587.25
2017-09-28,1560.0
