Date,Open,High,Low,Close
2016-01-04,6.507,6.5382,6.507,6.5335
2016-01-05,6.5241,6.5243,6.5157,6.5159
2016-01-06,6.5295,6.5616,6.5289,6.5559
2016-01-07,6.5756,6.5953,6.5756,6.5929
2016-01-08,6.5673,6.5962,6.5671,6.5948
2016-01-11,6.5913,6.5913,6.571,6.5711
2016-01-12,6.5717,6.5782,6.5708,6.5729
2016-01-13,6.5725,6.5797,6.5725,6.5754
2016-01-14,6.5777,6.5915,6.5777,6.59
2016-01-15,6.5852,6.5875,6.5844,6.5849
2016-01-18,6.582,6.5824,6.5775,6.5788
2016-01-19,6.5767,6.5796,6.5767,6.5786
2016-01-20,6.5778,6.5806,6.5778,6.5784
2016-01-21,6.5782,6.5804,6.5782,6.58
2016-01-22,6.579,6.5798,6.5786,6.5788
2016-01-25,6.5786,6.5798,6.5785,6.5793
2016-01-26,6.5788,6.5841,6.5788,6.5826
2016-01-27,6.5785,6.5814,6.5771,6.578
2016-01-28,6.5782,6.5784,6.5747,6.5753
2016-01-29,6.5747,6.5788,6.574,6.576
2016-02-01,6.576,6.5793,6.576,6.5784
2016-02-02,6.5786,6.5802,6.5784,6.5798
2016-02-03,6.58,6.5803,6.5759,6.577
2016-02-04,6.5768,6.5784,6.5671,6.5696
2016-02-05,6.5669,6.5752,6.5666,6.5743
2016-02-15,6.5355,6.5355,6.4893,6.4962
2016-02-16,6.5008,6.5169,6.5007,6.5169
2016-02-17,6.524,6.529,6.5233,6.5285
2016-02-18,6.5193,6.5199,6.5156,6.5182
2016-02-19,6.5188,6.5226,6.5187,6.5223
2016-02-22,6.5178,6.522,6.5177,6.5218
2016-02-23,6.528,6.5293,6.5257,6.5272
2016-02-24,6.5313,6.5383,6.5305,6.5317
2016-02-25,6.5342,6.5344,6.5321,6.5335
2016-02-26,6.5342,6.5405,6.5342,6.5404
2016-02-29,6.5471,6.5538,6.5468,6.552
2016-03-01,6.5451,6.5521,6.5406,6.5521
2016-03-02,6.5522,6.554,6.5501,6.551
2016-03-03,6.5427,6.5444,6.5332,6.5347
2016-03-04,6.5295,6.5312,6.5054,6.508
2016-03-07,6.507,6.5198,6.507,6.5168
2016-03-08,6.5104,6.5104,6.5021,6.5047
2016-03-09,6.51,6.5154,6.51,6.513
2016-03-10,6.5147,6.525,6.5085,6.5085
2016-03-11,6.5084,6.5084,6.4875,6.4945
2016-03-14,6.4927,6.5,6.4922,6.5
2016-03-15,6.5071,6.516,6.5044,6.5145
2016-03-16,6.5195,6.5261,6.5164,6.522
2016-03-17,6.4962,6.4999,6.4748,6.4773
2016-03-18,6.4634,6.483,6.4598,6.4716
2016-03-21,6.4824,6.4866,6.4768,6.4845
2016-03-22,6.4966,6.4978,6.4875,6.4902
2016-03-23,6.4892,6.5098,6.486,6.5066
2016-03-24,6.5125,6.5171,6.5079,6.5147
2016-03-25,6.5197,6.5207,6.5109,6.516
2016-03-28,6.5194,6.5208,6.5075,6.5075
2016-03-29,6.5089,6.5117,6.5074,6.5078
2016-03-30,6.488,6.4885,6.4651,6.4683
2016-03-31,6.4667,6.4682,6.4528,6.4536
2016-04-01,6.4623,6.4862,6.4618,6.4818
2016-04-05,6.4682,6.4785,6.4682,6.4771
2016-04-06,6.4779,6.4884,6.4756,6.4809
2016-04-07,6.473,6.4762,6.4623,6.4625
2016-04-08,6.4777,6.4804,6.4636,6.4636
2016-04-11,6.4702,6.4733,6.4578,6.4592
2016-04-12,6.4616,6.473,6.4567,6.4645
