Date,Open,High,Low,Close
2016-01-01,98.694,98.694,98.683,98.683
2016-01-04,98.632,99.182,98.049,98.869
2016-01-05,98.843,99.634,98.747,99.404
2016-01-06,99.41,99.577,99.108,99.181
2016-01-07,99.252,99.297,98.169,98.219
2016-01-08,98.367,99.183,98.333,98.54
2016-01-11,98.27,98.895,98.079,98.725
2016-01-12,98.852,99.276,98.573,98.974
2016-01-13,99.084,99.333,98.861,98.933
2016-01-14,98.902,99.257,98.59,99.089
2016-01-15,99.093,99.121,98.378,98.956
2016-01-18,98.956,99.2,98.863,98.956
2016-01-19,99.177,99.31,98.864,98.991
2016-01-20,99.036,99.185,98.626,99.091
2016-01-21,99.212,99.799,98.909,99.056
2016-01-22,99.237,99.592,99.113,99.574
2016-01-25,99.545,99.588,99.231,99.36
2016-01-26,99.341,99.455,98.996,99.087
2016-01-27,99.075,99.163,98.711,98.902
2016-01-28,98.932,99.105,98.425,98.51
2016-01-29,98.657,99.829,98.576,99.606
2016-02-01,99.604,99.704,98.93,99.009
2016-02-02,99.0,99.086,98.751,98.872
2016-02-03,98.819,98.938,96.885,97.288
2016-02-04,97.25,97.465,96.259,96.474
2016-02-05,96.572,97.265,96.316,97.031
2016-02-08,97.043,97.476,96.542,96.57
2016-02-09,96.646,96.825,95.663,96.071
2016-02-10,96.008,96.72,95.756,95.888
2016-02-11,95.655,95.858,95.236,95.562
2016-02-12,95.648,96.215,95.492,95.94
2016-02-15,96.088,96.884,96.038,95.94
2016-02-16,96.667,96.99,96.382,96.868
2016-02-17,96.976,97.1,96.626,96.786
2016-02-18,96.876,97.087,96.688,96.951
2016-02-19,96.787,97.17,96.561,96.6
2016-02-22,96.775,97.6,96.713,97.379
2016-02-23,97.34,97.578,97.136,97.481
2016-02-24,97.476,97.916,97.23,97.458
2016-02-25,97.491,97.721,97.223,97.287
2016-02-26,97.352,98.26,97.098,98.148
2016-02-29,98.155,98.373,97.796,98.211
2016-03-01,98.156,98.57,98.092,98.352
2016-03-02,98.31,98.582,98.121,98.214
2016-03-03,98.206,98.35,97.46,97.592
2016-03-04,97.654,98.03,97.019,97.34
2016-03-07,97.324,97.701,97.038,97.071
2016-03-08,97.063,97.269,96.887,97.209
2016-03-09,97.227,97.569,96.931,97.173
2016-03-10,97.291,98.422,95.939,96.066
2016-03-11,96.169,96.72,95.938,96.172
2016-03-14,96.288,96.713,96.089,96.624
2016-03-15,96.603,96.869,96.466,96.633
2016-03-16,96.649,97.064,95.539,95.89
2016-03-17,95.756,95.826,94.65,94.76
2016-03-18,94.765,95.168,94.578,95.086
2016-03-21,95.105,95.414,95.002,95.288
2016-03-22,95.436,95.747,95.257,95.648
2016-03-23,95.606,96.23,95.593,96.046
2016-03-24,96.05,96.364,96.041,96.142
2016-03-25,96.159,96.358,96.15,96.273
2016-03-28,96.298,96.399,95.836,95.943
2016-03-29,95.942,96.222,95.089,95.16
2016-03-30,95.201,95.222,94.588,94.841
2016-03-31,94.845,95.031,94.319,94.586
2016-04-01,94.636,95.107,94.334,94.619
2016-04-04,94.589,94.829,94.407,94.51
2016-04-05,94.579,94.977,94.447,94.631
2016-04-06,94.603,95.066,94.239,94.43
2016-04-07,94.486,94.666,94.015,94.482
2016-04-08,94.526,94.677,94.093,94.235
2016-04-11,94.165,94.341,93.748,93.95
2016-04-12,93.992,94.393,93.627,93.959
2016-04-13,94.083,94.853,94.002,94.744
2016-04-14,94.84,95.2,94.676,94.902
2016-04-15,94.931,95.052,94.506,94.696
2016-04-18,94.668,94.827,94.384,94.49
2016-04-19,94.509,94.546,93.926,93.976
2016-04-20,94.139,94.593,93.936,94.492
2016-04-21,94.525,94.7,93.923,94.599
2016-04-22,94.614,95.196,94.468,95.116
2016-04-25,95.098,95.11,94.679,94.842
2016-04-26,94.767,94.811,94.205,94.573
2016-04-27,94.521,94.802,94.148,94.387
2016-04-28,94.406,94.582,93.685,93.761
2016-04-29,93.755,93.775,93.007,93.082
2016-05-02,92.986,93.095,92.537,92.626
2016-05-03,92.619,93.109,91.919,92.944
2016-05-04,93.01,93.361,92.85,93.179
2016-05-05,93.228,93.862,93.17,93.78
2016-05-06,93.734,93.962,93.277,93.888
2016-05-09,93.912,94.204,93.803,94.128
2016-05-10,94.106,94.356,94.031,94.29
2016-05-11,94.246,94.25,93.684,93.823
2016-05-12,93.829,94.191,93.799,94.15
2016-05-13,94.178,94.845,94.117,94.608
2016-05-16,94.617,94.682,94.398,94.572
2016-05-17,94.552,94.708,94.329,94.548
2016-05-18,94.58,95.27,94.528,95.08
2016-05-19,95.167,95.502,95.123,95.287
2016-05-20,95.288,95.461,95.174,95.334
2016-05-23,95.319,95.477,95.104,95.231
2016-05-24,95.301,95.66,95.202,95.571
2016-05-25,95.652,95.678,95.33,95.354
2016-05-26,95.41,95.436,94.938,95.168
2016-05-27,95.153,95.779,95.082,95.521
2016-05-30,95.749,95.968,95.628,95.521
