Date,Value
2016-01-04,-0.365
2016-01-05,-0.38
2016-01-06,-0.388
2016-01-07,-0.389
2016-01-08,-0.3935
2016-01-11,-0.395
2016-01-12,-0.3995
2016-01-13,-0.39325
2016-01-14,-0.391
2016-01-15,-0.398
2016-01-18,-0.394
2016-01-19,-0.4
2016-01-20,-0.418
2016-01-21,-0.453
2016-01-22,-0.446
2016-01-25,-0.452
2016-01-26,-0.459
2016-01-27,-0.447
2016-01-28,-0.452
2016-01-29,-0.483
2016-02-01,-0.477
2016-02-02,-0.486
2016-02-03,-0.496
2016-02-04,-0.493
2016-02-05,-0.496
2016-02-08,-0.509
2016-02-09,-0.507
2016-02-10,-0.498
2016-02-11,-0.52005
2016-02-12,-0.491
2016-02-15,-0.501
2016-02-16,-0.503
2016-02-17,-0.498
2016-02-18,-0.513
2016-02-19,-0.518
2016-02-22,-0.513
2016-02-23,-0.511
2016-02-24,-0.5
2016-02-25,-0.517
2016-02-26,-0.526
2016-02-29,-0.54025
2016-03-01,-0.526
2016-03-02,-0.518
2016-03-03,-0.534
2016-03-04,-0.507
2016-03-07,-0.506
2016-03-08,-0.516
2016-03-09,-0.502
2016-03-10,-0.455
2016-03-11,-0.459
2016-03-14,-0.457
2016-03-15,-0.454
2016-03-16,-0.458
2016-03-17,-0.461
2016-03-18,-0.467
2016-03-21,-0.467
2016-03-22,-0.467
2016-03-23,-0.471
2016-03-24,-0.468
2016-03-29,-0.472
2016-03-30,-0.472
2016-03-31,-0.464
2016-04-01,-0.464
2016-04-04,-0.462
2016-04-05,-0.467
2016-04-06,-0.472
2016-04-07,-0.479
2016-04-08,-0.481
2016-04-11,-0.4865
2016-04-12,-0.486
2016-04-13,-0.487
2016-04-14,-0.478
2016-04-15,-0.48
2016-04-18,-0.472
2016-04-19,-0.473
2016-04-20,-0.47375
2016-04-21,-0.467
2016-04-22,-0.475
2016-04-25,-0.473
2016-04-26,-0.468
2016-04-27,-0.468
2016-04-28,-0.468
2016-04-29,-0.463
2016-05-02,-0.457
2016-05-03,-0.466
2016-05-04,-0.468
