Date,Value
2016-01-04,-0.3245
2016-01-05,-0.329
2016-01-06,-0.334
2016-01-07,-0.3445
2016-01-08,-0.344
2016-01-11,-0.345
2016-01-12,-0.344
2016-01-13,-0.3405
2016-01-14,-0.339
2016-01-15,-0.344
2016-01-18,-0.343
2016-01-19,-0.345
2016-01-20,-0.354
2016-01-21,-0.37
2016-01-22,-0.3675
2016-01-25,-0.374
2016-01-26,-0.377
2016-01-27,-0.3725
2016-01-28,-0.373
2016-01-29,-0.384
2016-02-01,-0.38
2016-02-02,-0.382
2016-02-03,-0.387
2016-02-04,-0.392
2016-02-05,-0.3945
2016-02-08,-0.402
2016-02-09,-0.407
2016-02-10,-0.397
2016-02-11,-0.409
2016-02-12,-0.40125
2016-02-15,-0.4115
2016-02-16,-0.414
2016-02-17,-0.4135
2016-02-18,-0.428
2016-02-19,-0.4285
2016-02-22,-0.424
2016-02-23,-0.422
2016-02-24,-0.422
2016-02-25,-0.43
2016-02-26,-0.433
2016-02-29,-0.444
2016-03-01,-0.43825
2016-03-02,-0.4385
2016-03-03,-0.44475
2016-03-04,-0.439
2016-03-07,-0.44025
2016-03-08,-0.443
2016-03-09,-0.443
2016-03-10,-0.422
2016-03-11,-0.425
2016-03-14,-0.42575
2016-03-15,-0.424
2016-03-16,-0.426
2016-03-17,-0.427
2016-03-18,-0.4305
2016-03-21,-0.43
2016-03-22,-0.43
2016-03-23,-0.4315
2016-03-24,-0.4315
2016-03-29,-0.4325
2016-03-30,-0.433
2016-03-31,-0.431
2016-04-01,-0.432
2016-04-04,-0.4295
2016-04-05,-0.428
2016-04-06,-0.429
2016-04-07,-0.432
2016-04-08,-0.43
2016-04-11,-0.4325
2016-04-12,-0.4325
2016-04-13,-0.434
2016-04-14,-0.433
2016-04-15,-0.4335
2016-04-18,-0.431
2016-04-19,-0.432
2016-04-20,-0.4325
2016-04-21,-0.43
2016-04-22,-0.4325
2016-04-25,-0.431
2016-04-26,-0.428
2016-04-27,-0.429
2016-04-28,-0.43
2016-04-29,-0.43
2016-05-02,-0.43
2016-05-03,-0.43
2016-05-04,-0.43
2016-05-05,-0.43
2016-05-06,-0.431
2016-05-09,-0.43
2016-05-10,-0.429
2016-05-11,-0.429
2016-05-12,-0.428
2016-05-13,-0.429
2016-05-16,-0.427
2016-05-17,-0.428
2016-05-18,-0.4285
2016-05-19,-0.428
2016-05-20,-0.427
2016-05-23,-0.427
2016-05-24,-0.428
2016-05-25,-0.4275
2016-05-26,-0.428
2016-05-27,-0.42875
2016-05-30,-0.429
2016-05-31,-0.428
2016-06-01,-0.4295
2016-06-02,-0.429
2016-06-03,-0.429
2016-06-06,-0.431
2016-06-07,-0.431
2016-06-08,-0.433
2016-06-09,-0.433
2016-06-10,-0.433
2016-06-13,-0.433
2016-06-14,-0.434
2016-06-15,-0.435
2016-06-16,-0.437
2016-06-17,-0.4355
2016-06-20,-0.4335
2016-06-21,-0.4335
2016-06-22,-0.4355
2016-06-23,-0.435
2016-06-24,-0.464
2016-06-27,-0.453
2016-06-28,-0.44635
2016-06-29,-0.442
2016-06-30,-0.442
2016-07-01,-0.445
2016-07-04,-0.448
2016-07-05,-0.448
2016-07-06,-0.44975
2016-07-07,-0.448
2016-07-08,-0.449
2016-07-11,-0.45
2016-07-12,-0.448
2016-07-13,-0.44925
2016-07-14,-0.441
2016-07-15,-0.4375
2016-07-18,-0.44
2016-07-19,-0.442
2016-07-20,-0.441
2016-07-21,-0.437
2016-07-22,-0.437
2016-07-25,-0.438
2016-07-26,-0.4375
2016-07-27,-0.439
2016-07-28,-0.439
2016-07-29,-0.4392
2016-08-01,-0.43925
2016-08-02,-0.437
2016-08-03,-0.4356
2016-08-04,-0.43475
2016-08-05,-0.435
2016-08-08,-0.436
2016-08-09,-0.4365
2016-08-10,-0.4375
2016-08-11,-0.435
2016-08-12,-0.436
2016-08-15,-0.437
2016-08-16,-0.437
2016-08-17,-0.438
2016-08-18,-0.438
2016-08-19,-0.4381
2016-08-22,-0.4391
2016-08-23,-0.439
2016-08-24,-0.439
2016-08-25,-0.438
2016-08-26,-0.439
2016-08-29,-0.4385
2016-08-30,-0.436
2016-08-31,-0.436
2016-09-01,-0.4355
2016-09-02,-0.436
2016-09-05,-0.436
2016-09-06,-0.437
2016-09-07,-0.438
2016-09-08,-0.4335
2016-09-09,-0.433
2016-09-12,-0.432
2016-09-13,-0.43075
2016-09-14,-0.429
2016-09-15,-0.43
2016-09-16,-0.43
2016-09-19,-0.431
2016-09-20,-0.433
2016-09-21,-0.433
2016-09-22,-0.4325
2016-09-23,-0.4335
2016-09-26,-0.43575
2016-09-27,-0.4375
2016-09-28,-0.4375
2016-09-29,-0.434
2016-09-30,-0.435
2016-10-03,-0.43475
2016-10-04,-0.43475
2016-10-05,-0.4335
2016-10-06,-0.434
2016-10-07,-0.433
2016-10-10,-0.434
2016-10-11,-0.433
2016-10-12,-0.435
2016-10-13,-0.435
2016-10-14,-0.435
2016-10-17,-0.436
2016-10-18,-0.437
2016-10-19,-0.438
2016-10-20,-0.4385
2016-10-21,-0.4375
2016-10-24,-0.438
2016-10-25,-0.437
2016-10-26,-0.435
2016-10-27,-0.437
2016-10-28,-0.436
2016-10-31,-0.435
2016-11-01,-0.436
2016-11-02,-0.434
2016-11-03,-0.435
2016-11-04,-0.435
2016-11-07,-0.434
2016-11-08,-0.434
2016-11-09,-0.4338
2016-11-10,-0.435
2016-11-11,-0.432
2016-11-14,-0.434
2016-11-15,-0.433
2016-11-16,-0.4324
2016-11-17,-0.4325
2016-11-18,-0.4335
2016-11-21,-0.433
2016-11-22,-0.4335
2016-11-23,-0.43375
2016-11-24,-0.433
2016-11-25,-0.432
2016-11-28,-0.4325
2016-11-29,-0.4345
2016-11-30,-0.435
2016-12-01,-0.437
2016-12-02,-0.4365
2016-12-05,-0.4359
2016-12-06,-0.435
2016-12-07,-0.435
2016-12-08,-0.435
2016-12-09,-0.43475
2016-12-12,-0.433
2016-12-13,-0.433
2016-12-14,-0.433
2016-12-15,-0.43175
2016-12-16,-0.431
2016-12-19,-0.4315
2016-12-20,-0.43075
2016-12-21,-0.43025
2016-12-22,-0.432
2016-12-23,-0.43125
2016-12-27,-0.4325
2016-12-28,-0.432
2016-12-29,-0.432
2016-12-30,-0.432
2017-01-02,-0.43125
2017-01-03,-0.433
2017-01-04,-0.4325
2017-01-05,-0.43375
2017-01-06,-0.434
2017-01-09,-0.434
2017-01-10,-0.436
2017-01-11,-0.4385
2017-01-12,-0.437
2017-01-13,-0.437
2017-01-16,-0.438
2017-01-17,-0.439
2017-01-18,-0.4385
2017-01-19,-0.438
2017-01-20,-0.437
2017-01-23,-0.439
2017-01-24,-0.438
