Date,Value
2016-01-04,-0.345
2016-01-05,-0.351
2016-01-06,-0.358
2016-01-07,-0.365
2016-01-08,-0.367
2016-01-11,-0.368
2016-01-12,-0.369
2016-01-13,-0.3655
2016-01-14,-0.363
2016-01-15,-0.37
2016-01-18,-0.366
2016-01-19,-0.37
2016-01-20,-0.387
2016-01-21,-0.411
2016-01-22,-0.407
2016-01-25,-0.415
2016-01-26,-0.42
2016-01-27,-0.415
2016-01-28,-0.415
2016-01-29,-0.434
2016-02-01,-0.426
2016-02-02,-0.4305
2016-02-03,-0.44
2016-02-04,-0.442
2016-02-05,-0.445
2016-02-08,-0.452
2016-02-09,-0.46
2016-02-10,-0.445
2016-02-11,-0.463
2016-02-12,-0.45
2016-02-15,-0.46
2016-02-16,-0.46
2016-02-17,-0.459
2016-02-18,-0.472
2016-02-19,-0.475
2016-02-22,-0.467
2016-02-23,-0.463
2016-02-24,-0.459
2016-02-25,-0.47
2016-02-26,-0.477
2016-02-29,-0.486
2016-03-01,-0.479
2016-03-02,-0.473
2016-03-03,-0.48
2016-03-04,-0.467
2016-03-07,-0.47
2016-03-08,-0.472
2016-03-09,-0.466
2016-03-10,-0.434
2016-03-11,-0.435
2016-03-14,-0.435
2016-03-15,-0.433
2016-03-16,-0.436
2016-03-17,-0.438
2016-03-18,-0.443
2016-03-21,-0.4435
2016-03-22,-0.444
2016-03-23,-0.446
2016-03-24,-0.445
2016-03-29,-0.4465
2016-03-30,-0.4475
2016-03-31,-0.442
2016-04-01,-0.442
2016-04-04,-0.441
2016-04-05,-0.4415
2016-04-06,-0.445
2016-04-07,-0.449
2016-04-08,-0.447
2016-04-11,-0.4505
2016-04-12,-0.4495
2016-04-13,-0.45
2016-04-14,-0.448
2016-04-15,-0.449
2016-04-18,-0.4435
2016-04-19,-0.4445
2016-04-20,-0.445
2016-04-21,-0.442
2016-04-22,-0.446
2016-04-25,-0.444
2016-04-26,-0.442
2016-04-27,-0.442
2016-04-28,-0.443
2016-04-29,-0.44
2016-05-02,-0.441
2016-05-03,-0.444
2016-05-04,-0.4435
2016-05-05,-0.445
2016-05-06,-0.446
2016-05-09,-0.446
2016-05-10,-0.445
2016-05-11,-0.444
2016-05-12,-0.441
2016-05-13,-0.443
2016-05-16,-0.442
2016-05-17,-0.441
2016-05-18,-0.4395
2016-05-19,-0.439
2016-05-20,-0.438
2016-05-23,-0.4385
2016-05-24,-0.439
2016-05-25,-0.4405
2016-05-26,-0.443
2016-05-27,-0.443
2016-05-30,-0.4425
2016-05-31,-0.4425
2016-06-01,-0.4445
2016-06-02,-0.443
2016-06-03,-0.443
2016-06-06,-0.44565
2016-06-07,-0.4465
2016-06-08,-0.447
2016-06-09,-0.4495
2016-06-10,-0.449
2016-06-13,-0.451
2016-06-14,-0.459
2016-06-15,-0.458
2016-06-16,-0.46
2016-06-17,-0.459
2016-06-20,-0.4495
2016-06-21,-0.448
2016-06-22,-0.452
2016-06-23,-0.451
2016-06-24,-0.494
2016-06-27,-0.482
2016-06-28,-0.474
2016-06-29,-0.475
2016-06-30,-0.472
2016-07-01,-0.478
2016-07-04,-0.485
2016-07-05,-0.486
2016-07-06,-0.485
2016-07-07,-0.485
2016-07-08,-0.483
2016-07-11,-0.4825
2016-07-12,-0.478
2016-07-13,-0.48
2016-07-14,-0.469
2016-07-15,-0.467
2016-07-18,-0.467
2016-07-19,-0.468
2016-07-20,-0.463
2016-07-21,-0.459
2016-07-22,-0.459
2016-07-25,-0.459
2016-07-26,-0.458
2016-07-27,-0.459
2016-07-28,-0.459
2016-07-29,-0.459
2016-08-01,-0.459
2016-08-02,-0.4565
2016-08-03,-0.45
2016-08-04,-0.454
2016-08-05,-0.4535
2016-08-08,-0.454
2016-08-09,-0.457
2016-08-10,-0.458
2016-08-11,-0.455
2016-08-12,-0.455
2016-08-15,-0.455
2016-08-16,-0.455
2016-08-17,-0.455
2016-08-18,-0.456
2016-08-19,-0.455
2016-08-22,-0.455
2016-08-23,-0.456
2016-08-24,-0.453
2016-08-25,-0.452
2016-08-26,-0.452
2016-08-29,-0.453
2016-08-30,-0.452
2016-08-31,-0.453
2016-09-01,-0.454
2016-09-02,-0.453
2016-09-05,-0.4535
2016-09-06,-0.459
2016-09-07,-0.459
2016-09-08,-0.45
2016-09-09,-0.448
2016-09-12,-0.447
2016-09-13,-0.443
2016-09-14,-0.443
2016-09-15,-0.443
2016-09-16,-0.443
2016-09-19,-0.443
2016-09-20,-0.445
2016-09-21,-0.445
2016-09-22,-0.445
2016-09-23,-0.447
2016-09-26,-0.449
2016-09-27,-0.452
2016-09-28,-0.452
2016-09-29,-0.441
2016-09-30,-0.448
2016-10-03,-0.449
2016-10-04,-0.449
2016-10-05,-0.446
2016-10-06,-0.447
2016-10-07,-0.445
2016-10-10,-0.443
2016-10-11,-0.446
2016-10-12,-0.447
2016-10-13,-0.444
2016-10-14,-0.445
2016-10-17,-0.447
2016-10-18,-0.447
2016-10-19,-0.4485
2016-10-20,-0.448
2016-10-21,-0.4455
2016-10-24,-0.444
2016-10-25,-0.4435
2016-10-26,-0.442
2016-10-27,-0.442
2016-10-28,-0.4405
2016-10-31,-0.442
2016-11-01,-0.439
2016-11-02,-0.438
2016-11-03,-0.4375
2016-11-04,-0.437
2016-11-07,-0.436
2016-11-08,-0.435
2016-11-09,-0.436
2016-11-10,-0.435
2016-11-11,-0.435
2016-11-14,-0.436
2016-11-15,-0.4355
2016-11-16,-0.4365
2016-11-17,-0.436
2016-11-18,-0.4367
2016-11-21,-0.436
2016-11-22,-0.436
