Date,Value
2016-01-04,-0.357
2016-01-05,-0.369
2016-01-06,-0.377
2016-01-07,-0.381
2016-01-08,-0.383
2016-01-11,-0.384
2016-01-12,-0.387
2016-01-13,-0.383
2016-01-14,-0.38
2016-01-15,-0.385
2016-01-18,-0.382
2016-01-19,-0.387
2016-01-20,-0.404
2016-01-21,-0.437
2016-01-22,-0.432
2016-01-25,-0.438
2016-01-26,-0.442
2016-01-27,-0.437
2016-01-28,-0.437
2016-01-29,-0.463
2016-02-01,-0.457
2016-02-02,-0.464
2016-02-03,-0.477
2016-02-04,-0.473
2016-02-05,-0.477
2016-02-08,-0.484
2016-02-09,-0.487
2016-02-10,-0.478
2016-02-11,-0.497
2016-02-12,-0.475
2016-02-15,-0.485
2016-02-16,-0.487
2016-02-17,-0.484
2016-02-18,-0.496
2016-02-19,-0.501
2016-02-22,-0.493
2016-02-23,-0.49
2016-02-24,-0.483
2016-02-25,-0.497
2016-02-26,-0.505
2016-02-29,-0.518
2016-03-01,-0.506
2016-03-02,-0.498
2016-03-03,-0.51
2016-03-04,-0.49
2016-03-07,-0.494
2016-03-08,-0.497
2016-03-09,-0.486
2016-03-10,-0.446
2016-03-11,-0.448
2016-03-14,-0.447
2016-03-15,-0.443
2016-03-16,-0.448
2016-03-17,-0.451
2016-03-18,-0.456
2016-03-21,-0.456
2016-03-22,-0.457
2016-03-23,-0.46
2016-03-24,-0.458
2016-03-29,-0.4605
2016-03-30,-0.46
2016-03-31,-0.454
2016-04-01,-0.453
2016-04-04,-0.45275
2016-04-05,-0.455
2016-04-06,-0.46
2016-04-07,-0.464
2016-04-08,-0.466
2016-04-11,-0.4695
2016-04-12,-0.469
2016-04-13,-0.467
2016-04-14,-0.463
2016-04-15,-0.466
2016-04-18,-0.458
2016-04-19,-0.459
2016-04-20,-0.459
2016-04-21,-0.455
2016-04-22,-0.4615
2016-04-25,-0.458
2016-04-26,-0.456
2016-04-27,-0.456
2016-04-28,-0.456
2016-04-29,-0.452
2016-05-02,-0.45
2016-05-03,-0.4565
2016-05-04,-0.457
2016-05-05,-0.46
2016-05-06,-0.463
2016-05-09,-0.462
2016-05-10,-0.46
2016-05-11,-0.459
2016-05-12,-0.455
2016-05-13,-0.457
2016-05-16,-0.45625
2016-05-17,-0.453
2016-05-18,-0.45105
2016-05-19,-0.451
2016-05-20,-0.449
2016-05-23,-0.451
2016-05-24,-0.452
2016-05-25,-0.453
2016-05-26,-0.456
2016-05-27,-0.456
2016-05-30,-0.454
2016-05-31,-0.456
2016-06-01,-0.45755
2016-06-02,-0.454
2016-06-03,-0.456
2016-06-06,-0.458
2016-06-07,-0.4585
2016-06-08,-0.456
2016-06-09,-0.461
2016-06-10,-0.462
2016-06-13,-0.464
2016-06-14,-0.474
2016-06-15,-0.475
2016-06-16,-0.478
2016-06-17,-0.48
2016-06-20,-0.468
2016-06-21,-0.464
2016-06-22,-0.468
2016-06-23,-0.465
2016-06-24,-0.515
2016-06-27,-0.5
2016-06-28,-0.498
2016-06-29,-0.5
2016-06-30,-0.492
2016-07-01,-0.501
2016-07-04,-0.512
2016-07-05,-0.511
2016-07-06,-0.513
2016-07-07,-0.512
2016-07-08,-0.5115
2016-07-11,-0.5105
2016-07-12,-0.504
2016-07-13,-0.504
2016-07-14,-0.491
2016-07-15,-0.4875
2016-07-18,-0.4875
2016-07-19,-0.487
2016-07-20,-0.481
2016-07-21,-0.477
2016-07-22,-0.475
2016-07-25,-0.473
2016-07-26,-0.472
2016-07-27,-0.473
2016-07-28,-0.473
2016-07-29,-0.473
2016-08-01,-0.474
2016-08-02,-0.4681
2016-08-03,-0.463
2016-08-04,-0.47
2016-08-05,-0.47
2016-08-08,-0.471
2016-08-09,-0.472
2016-08-10,-0.475
2016-08-11,-0.471
2016-08-12,-0.474
2016-08-15,-0.472
2016-08-16,-0.471
2016-08-17,-0.469
2016-08-18,-0.4705
2016-08-19,-0.469
2016-08-22,-0.469
2016-08-23,-0.469
2016-08-24,-0.4645
2016-08-25,-0.462
2016-08-26,-0.463
2016-08-29,-0.466
2016-08-30,-0.465
2016-08-31,-0.467
2016-09-01,-0.467
2016-09-02,-0.4665
2016-09-05,-0.4689
2016-09-06,-0.477
2016-09-07,-0.476
2016-09-08,-0.465
2016-09-09,-0.461
2016-09-12,-0.459
2016-09-13,-0.454
2016-09-14,-0.458
2016-09-15,-0.456
2016-09-16,-0.458
2016-09-19,-0.456
2016-09-20,-0.459
2016-09-21,-0.457
2016-09-22,-0.4585
2016-09-23,-0.4595
2016-09-26,-0.465
2016-09-27,-0.467
2016-09-28,-0.466
2016-09-29,-0.4525
2016-09-30,-0.461
2016-10-03,-0.4615
2016-10-04,-0.461
2016-10-05,-0.459
2016-10-06,-0.45875
2016-10-07,-0.455
2016-10-10,-0.452
2016-10-11,-0.457
2016-10-12,-0.456
2016-10-13,-0.455
2016-10-14,-0.455
2016-10-17,-0.456
2016-10-18,-0.4555
2016-10-19,-0.458
2016-10-20,-0.456
2016-10-21,-0.4515
2016-10-24,-0.4505
2016-10-25,-0.449
2016-10-26,-0.446
2016-10-27,-0.444
2016-10-28,-0.4405
2016-10-31,-0.443
2016-11-01,-0.441
2016-11-02,-0.439
2016-11-03,-0.437
2016-11-04,-0.437
2016-11-07,-0.437
2016-11-08,-0.434
2016-11-09,-0.436
2016-11-10,-0.434
2016-11-11,-0.434
2016-11-14,-0.436
2016-11-15,-0.436
2016-11-16,-0.438
2016-11-17,-0.4385
2016-11-18,-0.439
2016-11-21,-0.438
2016-11-22,-0.43825
2016-11-23,-0.4365
2016-11-24,-0.437
2016-11-25,-0.433
2016-11-28,-0.435
2016-11-29,-0.436
2016-11-30,-0.434
2016-12-01,-0.433
2016-12-02,-0.437
2016-12-05,-0.437
2016-12-06,-0.431
2016-12-07,-0.432
2016-12-08,-0.435
2016-12-09,-0.436
2016-12-12,-0.434
2016-12-13,-0.433
2016-12-14,-0.431
2016-12-15,-0.427
2016-12-16,-0.424
2016-12-19,-0.426
2016-12-20,-0.425
2016-12-21,-0.425
2016-12-22,-0.424
2016-12-23,-0.424
2016-12-27,-0.425
2016-12-28,-0.428
2016-12-29,-0.432
2016-12-30,-0.43
2017-01-02,-0.435
2017-01-03,-0.43
2017-01-04,-0.431
2017-01-05,-0.433
2017-01-06,-0.4325
2017-01-09,-0.434
2017-01-10,-0.4368
2017-01-11,-0.44
2017-01-12,-0.44
2017-01-13,-0.441
2017-01-16,-0.443
2017-01-17,-0.443
2017-01-18,-0.439
2017-01-19,-0.438
2017-01-20,-0.435
2017-01-23,-0.437
2017-01-24,-0.439
2017-01-25,-0.435
2017-01-26,-0.432
2017-01-27,-0.432
2017-01-30,-0.434
2017-01-31,-0.433
2017-02-01,-0.433
2017-02-02,-0.433
2017-02-03,-0.428
2017-02-06,-0.43
2017-02-07,-0.42725
2017-02-08,-0.429
2017-02-09,-0.4285
2017-02-10,-0.42825
2017-02-13,-0.427
2017-02-14,-0.429
2017-02-15,-0.428
2017-02-16,-0.427
2017-02-17,-0.432
2017-02-20,-0.433
2017-02-21,-0.436
2017-02-22,-0.429
2017-02-23,-0.44
2017-02-24,-0.44
2017-02-27,-0.4385
2017-02-28,-0.438
2017-03-01,-0.438
2017-03-02,-0.435
2017-03-03,-0.426
2017-03-06,-0.422
2017-03-07,-0.426
2017-03-08,-0.427
2017-03-09,-0.425
2017-03-10,-0.418
2017-03-13,-0.423
2017-03-14,-0.425
2017-03-15,-0.424
2017-03-16,-0.411
2017-03-17,-0.416
2017-03-20,-0.4152
2017-03-21,-0.413
2017-03-22,-0.415
2017-03-23,-0.412
2017-03-24,-0.411
2017-03-27,-0.417
2017-03-28,-0.418
2017-03-29,-0.424
2017-03-30,-0.4235
2017-03-31,-0.428
2017-04-03,-0.4326
2017-04-04,-0.4323
2017-04-05,-0.433
2017-04-06,-0.433
2017-04-07,-0.4326
2017-04-10,-0.436
2017-04-11,-0.43975
2017-04-12,-0.442
2017-04-13,-0.4445
2017-04-18,-0.447
2017-04-19,-0.4475
2017-04-20,-0.444
2017-04-21,-0.441
2017-04-24,-0.433
2017-04-25,-0.43
2017-04-26,-0.433
2017-04-27,-0.435
2017-04-28,-0.438
2017-05-02,-0.443
2017-05-03,-0.44
2017-05-04,-0.436
2017-05-05,-0.433
2017-05-08,-0.431
2017-05-09,-0.433
2017-05-10,-0.433
2017-05-11,-0.4345
2017-05-12,-0.436
2017-05-15,-0.4365
2017-05-16,-0.43425
2017-05-17,-0.438
2017-05-18,-0.434
2017-05-19,-0.432
2017-05-22,-0.431
2017-05-23,-0.433
2017-05-24,-0.43425
2017-05-25,-0.4355
2017-05-26,-0.438
2017-05-29,-0.44
2017-05-30,-0.4389
2017-05-31,-0.438
2017-06-01,-0.441
2017-06-02,-0.439
2017-06-05,-0.439
2017-06-06,-0.438
2017-06-07,-0.44
2017-06-08,-0.442
2017-06-09,-0.442
2017-06-12,-0.4427
2017-06-13,-0.4423
2017-06-14,-0.442
2017-06-15,-0.439
2017-06-16,-0.4395
2017-06-19,-0.437
2017-06-20,-0.441
2017-06-21,-0.4385
2017-06-22,-0.438
2017-06-23,-0.438
2017-06-26,-0.438
2017-06-27,-0.432
2017-06-28,-0.434
2017-06-29,-0.429
2017-06-30,-0.429
2017-07-03,-0.431
2017-07-04,-0.431
2017-07-05,-0.432
2017-07-06,-0.429
2017-07-07,-0.429
2017-07-10,-0.429
2017-07-11,-0.43
2017-07-12,-0.4305
2017-07-13,-0.432
2017-07-14,-0.431
2017-07-17,-0.433
2017-07-18,-0.435
2017-07-19,-0.436
2017-07-20,-0.437
2017-07-21,-0.43875
2017-07-24,-0.43825
2017-07-25,-0.436
2017-07-26,-0.437
2017-07-27,-0.437
2017-07-28,-0.436
2017-07-31,-0.4355
2017-08-01,-0.4375
2017-08-02,-0.4375
2017-08-03,-0.437
2017-08-04,-0.437
2017-08-07,-0.437
2017-08-08,-0.436
2017-08-09,-0.437
2017-08-10,-0.4385
2017-08-11,-0.44
2017-08-14,-0.439
2017-08-15,-0.4394
2017-08-16,-0.439
2017-08-17,-0.439
2017-08-18,-0.439
2017-08-21,-0.43975
2017-08-22,-0.44
2017-08-23,-0.43975
2017-08-24,-0.43975
2017-08-25,-0.4395
2017-08-28,-0.4395
2017-08-29,-0.4415
2017-08-30,-0.4415
2017-08-31,-0.4425
2017-09-01,-0.44275
2017-09-04,-0.443
2017-09-05,-0.44475
2017-09-06,-0.443
2017-09-07,-0.446
2017-09-08,-0.4447
2017-09-11,-0.446
2017-09-12,-0.4435
2017-09-13,-0.443
2017-09-14,-0.44125
2017-09-15,-0.441
2017-09-18,-0.44
2017-09-19,-0.4395
2017-09-20,-0.44
2017-09-21,-0.4395
2017-09-22,-0.4377
2017-09-25,-0.43875
2017-09-26,-0.438
2017-09-27,-0.4375
2017-09-28,-0.438
2017-09-29,-0.4372
2017-10-02,-0.437
2017-10-03,-0.437
2017-10-04,-0.43725
2017-10-05,-0.4368
2017-10-06,-0.436
2017-10-09,-0.4377
2017-10-10,-0.4375
2017-10-11,-0.436
2017-10-12,-0.4377
2017-10-13,-0.438
2017-10-16,-0.4397
2017-10-17,-0.439
2017-10-18,-0.44
2017-10-19,-0.43925
2017-10-20,-0.439
2017-10-23,-0.44
2017-10-24,-0.4395
2017-10-25,-0.4385
2017-10-26,-0.44
2017-10-27,-0.4413
2017-10-30,-0.441
2017-10-31,-0.441
2017-11-01,-0.44
2017-11-02,-0.44
2017-11-03,-0.44025
2017-11-06,-0.4405
2017-11-07,-0.4415
2017-11-08,-0.4405
2017-11-09,-0.4404
2017-11-10,-0.4395
2017-11-13,-0.44
2017-11-14,-0.44
2017-11-15,-0.4395
2017-11-16,-0.4395
2017-11-17,-0.44025
2017-11-20,-0.44
2017-11-21,-0.439
2017-11-22,-0.439
2017-11-23,-0.4386
2017-11-24,-0.439
