Date,Value
2016-01-01,57.86
2016-01-04,58.34
2016-01-05,58.2
2016-01-06,58.7
2016-01-07,59.86
2016-01-08,59.65
2016-01-11,59.8
2016-01-12,60.25
2016-01-13,60.4
2016-01-14,60.09
2016-01-15,59.35
2016-01-18,59.25
2016-01-19,60.74
2016-01-20,60.3
2016-01-21,61.3
2016-01-22,61.01
2016-01-25,62.47
2016-01-26,62.67
2016-01-27,61.9
2016-01-28,60.57
2016-01-29,60.77
2016-02-01,61.16
2016-02-02,60.52
2016-02-03,61.33
2016-02-04,61.86
2016-02-05,62.71
2016-02-08,63.7
2016-02-09,65.8
2016-02-10,65.1
2016-02-11,65.3
2016-02-12,63.65
2016-02-15,63.3
2016-02-16,63.74
2016-02-17,64.14
2016-02-18,64.01
2016-02-19,64.79
2016-02-22,64.51
2016-02-23,65.2
2016-02-24,65.31
2016-02-25,66.12
2016-02-26,68.08
2016-02-29,68.81
2016-03-01,70.26
2016-03-02,69.95
2016-03-03,70.02
2016-03-04,70.0
2016-03-07,70.51
2016-03-08,70.49
2016-03-09,69.81
2016-03-10,67.57
2016-03-11,68.15
2016-03-14,68.55
2016-03-15,69.36
2016-03-16,67.46
2016-03-17,66.83
2016-03-18,66.75
2016-03-21,67.89
2016-03-22,69.2
2016-03-23,67.35
2016-03-24,67.85
2016-03-25,67.78
2016-03-28,67.59
2016-03-29,67.3
2016-03-30,68.5
2016-03-31,69.19
2016-04-01,69.08
2016-04-04,68.15
2016-04-05,67.42
2016-04-06,68.51
2016-04-07,66.76
2016-04-08,67.35
2016-04-11,68.02
2016-04-12,68.7
2016-04-13,68.83
2016-04-14,67.74
2016-04-15,67.51
2016-04-18,67.68
2016-04-19,68.3
2016-04-20,69.7
2016-04-21,69.05
2016-04-22,68.97
2016-04-25,69.31
2016-04-26,69.8
2016-04-27,69.65
2016-04-28,69.3
2016-04-29,69.79
2016-05-02,70.4
2016-05-03,71.04
2016-05-04,70.75
2016-05-05,69.56
2016-05-06,69.48
2016-05-09,69.89
2016-05-10,69.51
2016-05-11,68.73
2016-05-12,68.56
2016-05-13,68.5
2016-05-16,68.55
2016-05-17,70.07
2016-05-18,72.09
2016-05-19,72.67
2016-05-20,73.12
2016-05-23,73.37
2016-05-24,74.6
2016-05-25,73.65
2016-05-26,72.92
2016-05-27,74.64
2016-05-30,74.85
2016-05-31,74.26
2016-06-01,76.3
2016-06-02,76.46
2016-06-03,73.05
2016-06-06,74.3
2016-06-07,73.87
2016-06-08,74.05
2016-06-09,72.85
2016-06-10,72.0
2016-06-13,73.53
2016-06-14,75.69
2016-06-15,75.24
2016-06-16,75.74
2016-06-17,75.57
2016-06-20,75.08
