Date,Value
2016-01-01,-2.5275
2016-01-04,-2.42
2016-01-05,-2.415
2016-01-06,-2.33
2016-01-07,-2.11
2016-01-08,-2.06
2016-01-11,-1.97
2016-01-12,-1.9275
2016-01-13,-1.9
2016-01-14,-1.75
2016-01-15,-1.425
2016-01-18,-1.37
2016-01-19,-1.305
2016-01-20,-0.955
2016-01-21,-1.01
2016-01-22,-1.075
2016-01-25,-1.07
2016-01-26,-1.05
2016-01-27,-0.93
2016-01-28,-0.83
2016-01-29,-0.91
2016-02-01,-0.925
2016-02-02,-0.855
2016-02-03,-0.7
2016-02-04,-0.5
2016-02-05,-0.71
2016-02-08,-0.87
2016-02-09,-1.07
2016-02-10,-1.985
2016-02-11,-2.25
2016-02-12,-2.085
2016-02-15,-2.0675
2016-02-16,-2.0875
2016-02-17,-2.04
2016-02-18,-1.79
2016-02-19,-1.845
2016-02-22,-2.18
2016-02-23,-2.365
2016-02-24,-2.62
2016-02-25,-2.7325
2016-02-26,-2.805
2016-02-29,-2.865
2016-03-01,-2.89
2016-03-02,-2.7775
2016-03-03,-2.765
2016-03-04,-2.77
2016-03-07,-2.85
2016-03-08,-2.345
2016-03-09,-2.375
2016-03-10,-2.285
2016-03-11,-2.27
2016-03-14,-2.305
2016-03-15,-2.35
2016-03-16,-2.34
2016-03-17,-2.18
2016-03-18,-2.0725
2016-03-21,-2.0125
2016-03-22,-2.115
2016-03-23,-2.135
2016-03-24,-2.22
2016-03-25,-2.26
2016-03-28,-2.245
2016-03-29,-2.27
2016-03-30,-2.22
2016-03-31,-2.23
2016-04-01,-2.23
2016-04-04,-2.285
2016-04-05,-2.4325
2016-04-06,-2.57
2016-04-07,-2.725
2016-04-08,-2.795
2016-04-11,-2.79
2016-04-12,-2.835
2016-04-13,-2.885
2016-04-14,-2.96
2016-04-15,-2.965
2016-04-18,-2.9825
2016-04-19,-2.8775
2016-04-20,-2.8375
2016-04-21,-2.83
2016-04-22,-2.93
2016-04-25,-2.825
2016-04-26,-2.74
2016-04-27,-2.64
2016-04-28,-2.705
2016-04-29,-2.745
2016-05-02,-2.68
2016-05-03,-2.46
2016-05-04,-2.4575
2016-05-05,-2.47
2016-05-06,-2.535
2016-05-09,-2.53
2016-05-10,-2.53
2016-05-11,-2.52
2016-05-12,-2.55
2016-05-13,-2.725
2016-05-16,-2.83
2016-05-17,-2.83
2016-05-18,-2.755
2016-05-19,-2.705
2016-05-20,-2.715
2016-05-23,-2.68
2016-05-24,-2.57
2016-05-25,-2.26
2016-05-26,-2.145
2016-05-27,-2.135
2016-05-30,-2.125
2016-05-31,-2.1425
2016-06-01,-2.25
2016-06-02,-2.11
2016-06-03,-2.04
2016-06-06,-2.1075
2016-06-07,-2.11
2016-06-08,-2.135
2016-06-09,-2.55
2016-06-10,-3.03
2016-06-13,-3.345
2016-06-14,-3.845
2016-06-15,-3.72
2016-06-16,-3.685
2016-06-17,-3.67
2016-06-20,-3.235
2016-06-21,-3.2825
2016-06-22,-3.545
2016-06-23,-2.81
2016-06-24,-4.125
2016-06-27,-4.225
2016-06-28,-3.395
2016-06-29,-3.065
2016-06-30,-2.99
2016-07-01,-2.99
2016-07-04,-2.885
2016-07-05,-2.78
2016-07-06,-2.93
2016-07-07,-2.855
2016-07-08,-2.795
2016-07-11,-2.705
2016-07-12,-2.57
2016-07-13,-2.505
2016-07-14,-2.505
2016-07-15,-2.54
2016-07-18,-2.525
2016-07-19,-2.56
2016-07-20,-2.59
2016-07-21,-2.575
2016-07-22,-2.59
2016-07-25,-2.525
2016-07-26,-2.54
2016-07-27,-2.3
2016-07-28,-2.115
2016-07-29,-2.09
2016-08-01,-2.06
2016-08-02,-2.1025
2016-08-03,-2.1125
2016-08-04,-2.1225
2016-08-05,-2.2
2016-08-08,-2.1675
2016-08-09,-2.1625
2016-08-10,-2.16
2016-08-11,-2.105
2016-08-12,-2.1375
2016-08-15,-2.1325
2016-08-16,-2.1775
2016-08-17,-2.175
2016-08-18,-2.1375
2016-08-19,-2.125
2016-08-22,-2.1175
2016-08-23,-2.11
2016-08-24,-2.19
2016-08-25,-2.335
