Date,Value
2016-01-01,7.8475
2016-01-04,10.255
2016-01-05,10.105
2016-01-06,10.195
2016-01-07,11.03
2016-01-08,9.585
2016-01-11,9.5675
2016-01-12,8.91
2016-01-13,8.095
2016-01-14,11.11
2016-01-15,11.6325
2016-01-18,10.38
2016-01-19,10.405
2016-01-20,10.8775
2016-01-21,10.555
2016-01-22,10.0625
2016-01-25,9.66
2016-01-26,9.06
2016-01-27,8.5575
2016-01-28,8.325
2016-01-29,9.845
2016-02-01,8.845
2016-02-02,8.66
2016-02-03,11.095
2016-02-04,11.225
2016-02-05,9.4275
2016-02-08,10.9825
2016-02-09,11.7675
2016-02-10,11.43
2016-02-11,12.54
2016-02-12,11.08
2016-02-15,9.8625
2016-02-16,10.055
2016-02-17,9.92
2016-02-18,9.515
2016-02-19,9.4225
2016-02-22,9.515
2016-02-23,8.7475
2016-02-24,9.5425
2016-02-25,8.9275
2016-02-26,10.5875
2016-02-29,10.61
2016-03-01,9.805
2016-03-02,10.035
2016-03-03,15.0675
2016-03-04,15.3975
2016-03-07,15.9025
2016-03-08,15.6775
2016-03-09,15.9375
2016-03-10,13.795
2016-03-11,12.09
2016-03-14,10.735
2016-03-15,10.6675
2016-03-16,9.725
2016-03-17,9.05
2016-03-18,8.05
2016-03-21,6.9275
2016-03-22,6.8275
2016-03-23,6.8325
2016-03-24,7.3375
2016-03-25,8.2275
2016-03-28,9.1325
2016-03-29,8.6275
2016-03-30,8.77
2016-03-31,9.7375
2016-04-01,7.865
2016-04-04,7.595
2016-04-05,7.7825
2016-04-06,8.115
2016-04-07,8.95
2016-04-08,7.91
2016-04-11,7.9025
2016-04-12,7.9325
2016-04-13,8.0125
2016-04-14,10.1675
2016-04-15,9.625
2016-04-18,8.9625
2016-04-19,8.5675
2016-04-20,8.495
2016-04-21,8.88
2016-04-22,8.535
2016-04-25,8.4025
2016-04-26,8.5225
2016-04-27,7.6325
2016-04-28,6.92
2016-04-29,8.435
2016-05-02,9.5675
2016-05-03,9.795
2016-05-04,9.395
2016-05-05,9.455
2016-05-06,7.5975
2016-05-09,6.86
2016-05-10,6.84
2016-05-11,6.7175
2016-05-12,6.65
2016-05-13,7.2375
2016-05-16,6.9125
2016-05-17,6.69
2016-05-18,7.5
2016-05-19,7.505
2016-05-20,6.8
2016-05-23,6.46
2016-05-24,6.6275
2016-05-25,6.335
2016-05-26,7.865
2016-05-27,8.52
2016-05-30,8.965
2016-05-31,9.7825
2016-06-01,10.085
2016-06-02,8.875
2016-06-03,7.58
2016-06-06,7.1625
2016-06-07,6.49
2016-06-08,6.805
2016-06-09,10.005
2016-06-10,11.535
2016-06-13,10.515
2016-06-14,10.955
2016-06-15,8.505
2016-06-16,10.13
2016-06-17,19.1225
2016-06-20,16.1325
2016-06-21,16.5375
2016-06-22,16.73
2016-06-23,15.46
2016-06-24,14.79
2016-06-27,12.4375
2016-06-28,9.8275
2016-06-29,9.18
2016-06-30,9.2875
2016-07-01,9.41
2016-07-04,8.665
2016-07-05,9.71
2016-07-06,9.71
2016-07-07,9.2925
2016-07-08,8.215
2016-07-11,7.7475
2016-07-12,7.3325
2016-07-13,7.62
2016-07-14,9.4275
2016-07-15,9.795
