Date,Value
2016-01-01,10.045
2016-01-04,9.985
2016-01-05,10.055
2016-01-06,10.05
2016-01-07,10.145
2016-01-08,10.245
2016-01-11,10.2425
2016-01-12,10.1475
2016-01-13,10.0975
2016-01-14,10.1175
2016-01-15,10.26
2016-01-18,10.215
2016-01-19,10.15
2016-01-20,10.2075
2016-01-21,10.28
2016-01-22,10.28
2016-01-25,10.315
2016-01-26,10.305
2016-01-27,10.32
2016-01-28,10.305
2016-01-29,10.39
2016-02-01,10.28
2016-02-02,10.325
2016-02-03,10.6125
2016-02-04,10.48
2016-02-05,10.3325
2016-02-08,10.86
2016-02-09,10.725
2016-02-10,10.7575
2016-02-11,10.7625
2016-02-12,10.595
2016-02-15,10.5475
2016-02-16,10.6575
2016-02-17,10.6275
2016-02-18,10.595
2016-02-19,10.81
2016-02-22,11.0375
2016-02-23,10.9775
2016-02-24,11.4825
2016-02-25,11.315
2016-02-26,11.375
2016-02-29,11.545
2016-03-01,11.5
2016-03-02,11.35
2016-03-03,11.3725
2016-03-04,11.2825
2016-03-07,11.24
2016-03-08,10.8775
2016-03-09,10.855
2016-03-10,10.67
2016-03-11,10.445
2016-03-14,10.06
2016-03-15,10.2975
2016-03-16,10.205
2016-03-17,9.98
2016-03-18,9.9375
2016-03-21,9.8225
2016-03-22,9.8975
2016-03-23,10.215
2016-03-24,10.235
2016-03-25,10.23
2016-03-28,10.2925
2016-03-29,10.065
2016-03-30,9.68
2016-03-31,9.845
2016-04-01,9.88
2016-04-04,9.89
2016-04-05,10.1775
2016-04-06,10.425
2016-04-07,10.5075
2016-04-08,10.3275
2016-04-11,10.265
2016-04-12,10.2375
2016-04-13,10.245
2016-04-14,10.205
2016-04-15,10.13
2016-04-18,10.045
2016-04-19,9.725
2016-04-20,9.7425
2016-04-21,9.735
2016-04-22,9.82
2016-04-25,9.685
2016-04-26,9.4125
2016-04-27,9.5775
2016-04-28,9.38
2016-04-29,9.475
2016-05-02,9.5475
2016-05-03,9.615
2016-05-04,9.635
2016-05-05,9.81
2016-05-06,9.735
2016-05-09,9.7075
2016-05-10,9.65
2016-05-11,9.535
2016-05-12,9.6
2016-05-13,9.7825
2016-05-16,9.9125
2016-05-17,9.815
2016-05-18,9.83
2016-05-19,9.91
2016-05-20,9.8025
2016-05-23,9.72
2016-05-24,9.6525
2016-05-25,9.5825
2016-05-26,9.3975
2016-05-27,9.3675
2016-05-30,9.44
2016-05-31,9.4125
2016-06-01,9.5375
2016-06-02,9.25
2016-06-03,8.885
2016-06-06,9.0925
2016-06-07,9.0325
2016-06-08,9.1
2016-06-09,9.415
2016-06-10,10.1575
2016-06-13,10.235
