Date,Value
2016-01-01,9.5825
2016-01-04,9.85
2016-01-05,9.8775
2016-01-06,9.9725
2016-01-07,10.135
2016-01-08,10.2225
2016-01-11,10.3275
2016-01-12,10.0625
2016-01-13,9.765
2016-01-14,10.115
2016-01-15,10.3675
2016-01-18,10.295
2016-01-19,10.1425
2016-01-20,10.31
2016-01-21,10.28
2016-01-22,10.0425
2016-01-25,10.13
2016-01-26,10.075
2016-01-27,9.895
2016-01-28,9.8325
2016-01-29,10.0275
2016-02-01,9.825
2016-02-02,9.8875
2016-02-03,10.6125
2016-02-04,10.505
2016-02-05,10.2925
2016-02-08,11.28
2016-02-09,11.405
2016-02-10,11.6
2016-02-11,11.805
2016-02-12,11.365
2016-02-15,11.1325
2016-02-16,11.14
2016-02-17,11.025
2016-02-18,10.8075
2016-02-19,11.1175
2016-02-22,11.38
2016-02-23,11.1375
2016-02-24,11.4425
2016-02-25,10.94
2016-02-26,11.215
2016-02-29,11.4975
2016-03-01,11.185
2016-03-02,10.9
2016-03-03,10.965
2016-03-04,10.8525
2016-03-07,10.9875
2016-03-08,10.955
2016-03-09,10.91
2016-03-10,10.52
2016-03-11,10.03
2016-03-14,9.5125
2016-03-15,9.68
2016-03-16,9.49
2016-03-17,9.185
2016-03-18,8.93
2016-03-21,8.9725
2016-03-22,8.905
2016-03-23,8.99
2016-03-24,8.96
2016-03-25,8.9225
2016-03-28,9.1075
2016-03-29,8.7
2016-03-30,8.265
2016-03-31,8.8275
2016-04-01,8.8025
2016-04-04,8.865
2016-04-05,9.225
2016-04-06,9.34
2016-04-07,9.5775
2016-04-08,9.2025
2016-04-11,9.2
2016-04-12,9.0825
2016-04-13,8.9375
2016-04-14,9.3825
2016-04-15,9.1725
2016-04-18,8.9825
2016-04-19,8.7675
2016-04-20,8.68
2016-04-21,8.695
2016-04-22,8.7525
2016-04-25,8.7775
2016-04-26,9.5775
2016-04-27,9.6725
2016-04-28,9.54
2016-04-29,9.71
2016-05-02,10.265
2016-05-03,10.4075
2016-05-04,10.3125
2016-05-05,10.565
2016-05-06,10.2275
2016-05-09,10.1675
2016-05-10,9.995
2016-05-11,9.7675
2016-05-12,9.705
2016-05-13,10.0625
2016-05-16,10.3325
2016-05-17,10.1525
2016-05-18,9.99
2016-05-19,10.075
2016-05-20,9.8675
2016-05-23,9.68
2016-05-24,9.44
2016-05-25,8.865
2016-05-26,8.675
2016-05-27,8.585
2016-05-30,8.99
2016-05-31,9.22
2016-06-01,9.365
2016-06-02,9.095
2016-06-03,8.69
2016-06-06,9.0875
2016-06-07,9.06
2016-06-08,9.095
2016-06-09,9.81
2016-06-10,11.03
2016-06-13,11.3375
2016-06-14,12.19
2016-06-15,10.6275
2016-06-16,11.045
2016-06-17,10.83
2016-06-20,10.005
2016-06-21,10.09
2016-06-22,10.1725
2016-06-23,9.7575
2016-06-24,11.905
2016-06-27,11.73
2016-06-28,10.2175
2016-06-29,9.31
2016-06-30,9.6525
2016-07-01,9.2325
2016-07-04,9.1375
2016-07-05,9.41
2016-07-06,9.425
2016-07-07,9.39
2016-07-08,9.0225
2016-07-11,8.9125
2016-07-12,8.4525
2016-07-13,8.41
2016-07-14,8.145
2016-07-15,8.27
2016-07-18,8.265
2016-07-19,8.45
2016-07-20,8.4825
2016-07-21,8.5875
2016-07-22,8.52
2016-07-25,8.615
2016-07-26,8.205
2016-07-27,7.865
2016-07-28,7.755
2016-07-29,7.79
2016-08-01,7.5075
2016-08-02,7.5975
2016-08-03,7.4175
2016-08-04,7.7175
2016-08-05,7.665
2016-08-08,7.6
2016-08-09,7.495
2016-08-10,7.335
2016-08-11,7.225
2016-08-12,7.0975
2016-08-15,7.1125
2016-08-16,7.4925
2016-08-17,7.42
2016-08-18,7.59
2016-08-19,7.59
2016-08-22,7.655
2016-08-23,7.6575
2016-08-24,7.8375
2016-08-25,7.72
2016-08-26,7.71
2016-08-29,8.0125
2016-08-30,8.08
2016-08-31,8.025
2016-09-01,7.985
2016-09-02,7.6525
2016-09-05,7.69
2016-09-06,7.6875
2016-09-07,7.365
2016-09-08,7.8225
2016-09-09,8.02
2016-09-12,8.185
2016-09-13,8.01
2016-09-14,8.045
2016-09-15,7.865
2016-09-16,7.9125
2016-09-19,8.035
2016-09-20,7.96
2016-09-21,7.88
2016-09-22,7.395
2016-09-23,7.3175
2016-09-26,7.53
2016-09-27,7.455
2016-09-28,7.45
2016-09-29,7.4875
2016-09-30,7.645
2016-10-03,7.4275
2016-10-04,7.8175
2016-10-05,8.0375
2016-10-06,8.5075
2016-10-07,8.61
2016-10-10,8.335
2016-10-11,8.9175
2016-10-12,8.8075
2016-10-13,8.9525
2016-10-14,8.7975
2016-10-17,8.92
2016-10-18,8.7625
2016-10-19,8.505
2016-10-20,8.4125
2016-10-21,8.67
2016-10-24,8.5825
2016-10-25,8.5775
2016-10-26,8.3525
2016-10-27,8.1625
2016-10-28,8.1775
2016-10-31,8.2525
2016-11-01,8.43
2016-11-02,8.8975
2016-11-03,8.72
2016-11-04,9.1575
2016-11-07,8.2925
2016-11-08,8.13
2016-11-09,8.4475
2016-11-10,8.665
2016-11-11,9.0175
2016-11-14,9.7625
2016-11-15,9.1225
2016-11-16,9.4325
2016-11-17,9.495
2016-11-18,10.3425
2016-11-21,9.88
2016-11-22,9.385
2016-11-23,9.92
2016-11-24,9.8625
2016-11-25,9.5225
2016-11-28,9.71
2016-11-29,9.8825
2016-11-30,10.53
2016-12-01,10.4125
2016-12-02,10.3225
2016-12-05,9.7025
2016-12-06,9.705
2016-12-07,9.505
2016-12-08,9.515
2016-12-09,9.885
2016-12-12,9.9125
2016-12-13,9.555
2016-12-14,9.81
2016-12-15,10.745
2016-12-16,10.73
2016-12-19,10.74
2016-12-20,10.455
2016-12-21,10.105
2016-12-22,10.035
2016-12-23,10.2525
2016-12-26,10.3825
2016-12-27,10.5525
2016-12-28,10.61
2016-12-29,10.17
