Date,Value
2016-01-01,2.013
2016-01-04,1.981
2016-01-05,1.987
2016-01-06,1.988
2016-01-07,1.949
2016-01-08,2.003
2016-01-11,1.979
2016-01-12,2.002
2016-01-13,2.0
2016-01-14,1.949
2016-01-15,1.953
2016-01-18,1.924
2016-01-19,1.935
2016-01-20,1.906
2016-01-21,1.933
2016-01-22,1.955
2016-01-25,1.953
2016-01-26,1.922
2016-01-27,1.942
2016-01-28,1.938
2016-01-29,1.893
2016-02-01,1.881
2016-02-02,1.878
2016-02-03,1.818
2016-02-04,1.857
2016-02-05,1.849
2016-02-08,1.868
2016-02-09,1.749
2016-02-10,1.765
2016-02-11,1.756
2016-02-12,1.8
2016-02-15,1.864
2016-02-16,1.884
2016-02-17,1.861
2016-02-18,1.88
2016-02-19,1.811
2016-02-22,1.837
2016-02-23,1.807
2016-02-24,1.797
2016-02-25,1.781
2016-02-26,1.763
2016-02-29,1.769
2016-03-01,1.733
2016-03-02,1.851
2016-03-03,1.91
2016-03-04,1.928
2016-03-07,1.953
2016-03-08,1.955
2016-03-09,1.972
2016-03-10,1.967
2016-03-11,2.023
2016-03-14,2.054
2016-03-15,2.021
2016-03-16,2.006
2016-03-17,1.94
2016-03-18,1.938
2016-03-21,1.933
2016-03-22,1.969
2016-03-23,2.0
2016-03-24,1.96
2016-03-25,1.963
2016-03-28,1.963
2016-03-29,1.959
2016-03-30,1.905
2016-03-31,1.897
2016-04-01,1.938
2016-04-04,1.868
2016-04-05,1.865
2016-04-06,1.859
2016-04-07,1.858
2016-04-08,1.824
2016-04-11,1.828
2016-04-12,1.876
2016-04-13,1.91
2016-04-14,1.953
2016-04-15,1.989
2016-04-18,1.943
2016-04-19,1.999
2016-04-20,1.976
2016-04-21,2.019
2016-04-22,2.044
2016-04-25,2.044
2016-04-26,2.056
2016-04-27,1.936
2016-04-28,1.869
2016-04-29,1.86
2016-05-02,1.87
2016-05-03,1.738
2016-05-04,1.719
2016-05-05,1.686
2016-05-06,1.577
2016-05-09,1.57
2016-05-10,1.584
2016-05-11,1.595
2016-05-12,1.577
2016-05-13,1.578
2016-05-16,1.56
2016-05-17,1.628
2016-05-18,1.619
2016-05-19,1.643
2016-05-20,1.625
2016-05-23,1.634
2016-05-24,1.624
2016-05-25,1.637
2016-05-26,1.617
2016-05-27,1.618
2016-05-30,1.638
2016-05-31,1.668
2016-06-01,1.666
2016-06-02,1.638
2016-06-03,1.618
2016-06-06,1.562
2016-06-07,1.639
2016-06-08,1.607
2016-06-09,1.6
2016-06-10,1.625
2016-06-13,1.631
2016-06-14,1.598
2016-06-15,1.606
2016-06-16,1.563
2016-06-17,1.607
2016-06-20,1.631
2016-06-21,1.668
2016-06-22,1.717
2016-06-23,1.739
2016-06-24,1.545
2016-06-27,1.587
2016-06-28,1.561
2016-06-29,1.588
2016-06-30,1.586
2016-07-01,1.563
2016-07-04,1.616
2016-07-05,1.591
2016-07-06,1.555
2016-07-07,1.558
2016-07-08,1.579
2016-07-11,1.6
2016-07-12,1.625
2016-07-13,1.63
2016-07-14,1.619
2016-07-15,1.623
2016-07-18,1.611
2016-07-19,1.553
2016-07-20,1.545
2016-07-21,1.527
2016-07-22,1.519
2016-07-25,1.527
2016-07-26,1.549
2016-07-27,1.576
2016-07-28,1.524
2016-07-29,1.509
2016-08-01,1.509
2016-08-02,1.425
2016-08-03,1.471
2016-08-04,1.476
2016-08-05,1.466
2016-08-08,1.491
2016-08-09,1.47
2016-08-10,1.432
2016-08-11,1.43
2016-08-12,1.455
2016-08-15,1.434
2016-08-16,1.421
2016-08-17,1.438
2016-08-18,1.426
2016-08-19,1.414
2016-08-22,1.447
2016-08-23,1.416
2016-08-24,1.413
2016-08-25,1.427
2016-08-26,1.437
2016-08-29,1.466
2016-08-30,1.449
2016-08-31,1.437
2016-09-01,1.459
2016-09-02,1.48
2016-09-05,1.493
2016-09-06,1.503
2016-09-07,1.469
2016-09-08,1.503
2016-09-09,1.547
2016-09-12,1.593
2016-09-13,1.581
2016-09-14,1.584
2016-09-15,1.592
2016-09-16,1.573
2016-09-19,1.616
2016-09-20,1.627
2016-09-21,1.621
2016-09-22,1.592
2016-09-23,1.605
2016-09-26,1.597
2016-09-27,1.606
2016-09-28,1.576
2016-09-29,1.585
2016-09-30,1.547
2016-10-03,1.547
2016-10-04,1.605
2016-10-05,1.636
2016-10-06,1.654
2016-10-07,1.672
2016-10-10,1.684
2016-10-11,1.711
2016-10-12,1.748
2016-10-13,1.713
2016-10-14,1.738
2016-10-17,1.736
2016-10-18,1.73
2016-10-19,1.707
2016-10-20,1.657
2016-10-21,1.664
2016-10-24,1.64
2016-10-25,1.66
2016-10-26,1.686
2016-10-27,1.698
2016-10-28,1.683
2016-10-31,1.642
2016-11-01,1.674
2016-11-02,1.643
2016-11-03,1.631
2016-11-04,1.646
2016-11-07,1.656
2016-11-08,1.656
2016-11-09,1.571
2016-11-10,1.678
2016-11-11,1.705
2016-11-14,1.755
2016-11-15,1.767
2016-11-16,1.748
2016-11-17,1.708
2016-11-18,1.738
2016-11-21,1.728
2016-11-22,1.725
2016-11-23,1.738
2016-11-24,1.767
2016-11-25,1.762
2016-11-28,1.736
2016-11-29,1.757
2016-11-30,1.761
2016-12-01,1.793
2016-12-02,1.809
2016-12-05,1.776
2016-12-06,1.779
2016-12-07,1.74
2016-12-08,1.739
2016-12-09,1.772
2016-12-12,1.796
2016-12-13,1.774
2016-12-14,1.76
2016-12-15,1.821
2016-12-16,1.804
2016-12-19,1.847
2016-12-20,1.866
2016-12-21,1.874
2016-12-22,1.886
2016-12-23,1.906
2016-12-26,1.906
2016-12-27,1.906
2016-12-28,1.906
2016-12-29,1.857
2016-12-30,1.828
2017-01-02,1.913
2017-01-03,1.898
2017-01-04,1.922
2017-01-05,1.889
2017-01-06,1.845
2017-01-09,1.901
2017-01-10,1.861
2017-01-11,1.862
2017-01-12,1.82
2017-01-13,1.852
2017-01-16,1.848
2017-01-17,1.857
2017-01-18,1.857
2017-01-19,1.889
2017-01-20,1.894
2017-01-23,1.878
2017-01-24,1.837
