Date,Open,High,Low,Close
2016-01-01,1.4736,1.476,1.4736,1.4746
2016-01-04,1.4747,1.4816,1.4663,1.4716
2016-01-05,1.4716,1.4726,1.4638,1.4675
2016-01-06,1.4675,1.4682,1.4602,1.463
2016-01-07,1.463,1.4641,1.4534,1.4618
2016-01-08,1.4618,1.4645,1.4507,1.4517
2016-01-11,1.4532,1.4604,1.4494,1.4543
2016-01-12,1.4543,1.456,1.4352,1.4448
2016-01-13,1.4448,1.4476,1.438,1.4407
2016-01-14,1.4407,1.4445,1.436,1.4413
2016-01-15,1.4413,1.4428,1.4252,1.4258
2016-01-18,1.4263,1.4323,1.4237,1.4243
2016-01-19,1.4243,1.434,1.413,1.4158
2016-01-20,1.4158,1.4219,1.4126,1.4192
2016-01-21,1.4192,1.4249,1.408,1.4221
2016-01-22,1.4221,1.4363,1.4205,1.4265
2016-01-25,1.4276,1.4332,1.4224,1.4249
2016-01-26,1.4249,1.4367,1.4174,1.435
2016-01-27,1.435,1.4355,1.423,1.4234
2016-01-28,1.4234,1.4408,1.4233,1.4362
2016-01-29,1.4362,1.4413,1.415,1.4244
2016-02-01,1.4251,1.4445,1.4229,1.4433
2016-02-02,1.4433,1.4446,1.4327,1.441
2016-02-03,1.441,1.4649,1.4384,1.4603
2016-02-04,1.4603,1.4668,1.453,1.4589
2016-02-05,1.4589,1.4592,1.4452,1.4503
2016-02-08,1.4499,1.4547,1.4352,1.4433
2016-02-09,1.4433,1.4516,1.4379,1.4472
2016-02-10,1.4472,1.4578,1.4446,1.4522
2016-02-11,1.4522,1.4564,1.4384,1.4477
2016-02-12,1.4477,1.457,1.4444,1.4503
2016-02-15,1.4501,1.4567,1.4414,1.4435
2016-02-16,1.4435,1.4516,1.4277,1.4306
2016-02-17,1.4306,1.4339,1.4235,1.4294
2016-02-18,1.4294,1.4394,1.4257,1.4337
2016-02-19,1.4337,1.4409,1.4247,1.4406
2016-02-22,1.4331,1.4332,1.4058,1.415
2016-02-23,1.415,1.4156,1.4008,1.4022
2016-02-24,1.4022,1.4028,1.3879,1.3927
2016-02-25,1.3927,1.3997,1.39,1.3962
2016-02-26,1.3962,1.4043,1.3854,1.3871
2016-02-29,1.3872,1.3946,1.3836,1.3917
2016-03-01,1.3917,1.4018,1.3905,1.3952
2016-03-02,1.3952,1.4093,1.3915,1.4078
2016-03-03,1.4078,1.4194,1.4033,1.4178
2016-03-04,1.4178,1.4248,1.4108,1.4229
2016-03-07,1.4226,1.4284,1.4134,1.4265
2016-03-08,1.4265,1.4276,1.4174,1.4215
2016-03-09,1.4215,1.4241,1.4178,1.4217
