Date,Value
2016-01-01,0.96
2016-01-04,0.635
2016-01-05,0.6375
2016-01-06,0.5825
2016-01-07,0.7575
2016-01-08,0.83
2016-01-11,0.7525
2016-01-12,0.6225
2016-01-13,0.8275
2016-01-14,0.725
2016-01-15,0.6125
2016-01-18,0.65
2016-01-19,0.6175
2016-01-20,1.1675
2016-01-21,0.6025
2016-01-22,0.6075
2016-01-25,0.6375
2016-01-26,0.5975
2016-01-27,0.615
2016-01-28,0.6125
2016-01-29,0.6275
2016-02-01,0.5575
2016-02-02,0.5925
2016-02-03,0.61
2016-02-04,0.6075
2016-02-05,0.605
2016-02-08,0.6875
2016-02-09,0.6875
2016-02-10,0.675
2016-02-11,0.705
2016-02-12,0.63
2016-02-15,0.6475
2016-02-16,0.65
2016-02-17,0.545
2016-02-18,0.6275
2016-02-19,0.5575
2016-02-22,0.735
2016-02-23,0.595
2016-02-24,0.61
2016-02-25,0.665
2016-02-26,0.545
2016-02-29,0.76
2016-03-01,0.78
2016-03-02,1.0875
2016-03-03,1.1025
2016-03-04,0.82
2016-03-07,0.8
2016-03-08,0.715
2016-03-09,0.9
2016-03-10,1.0925
2016-03-11,0.8975
2016-03-14,1.0225
2016-03-15,0.8425
2016-03-16,1.09
2016-03-17,0.7125
2016-03-18,0.9975
2016-03-21,0.7425
2016-03-22,0.8725
2016-03-23,0.845
2016-03-24,0.8925
2016-03-25,0.8175
2016-03-28,0.88
2016-03-29,1.04
2016-03-30,0.7675
2016-03-31,0.965
2016-04-01,0.8475
2016-04-04,1.1025
2016-04-05,0.74
2016-04-06,0.99
2016-04-07,1.0325
2016-04-08,1.275
2016-04-11,0.985
2016-04-12,0.825
2016-04-13,0.805
2016-04-14,0.805
2016-04-15,0.84
2016-04-18,0.87
2016-04-19,0.5675
2016-04-20,0.5525
2016-04-21,0.5425
2016-04-22,0.5425
2016-04-25,0.54
2016-04-26,0.5325
2016-04-27,0.5275
2016-04-28,0.55
2016-04-29,0.765
2016-05-02,0.745
2016-05-03,0.6875
2016-05-04,0.69
2016-05-05,0.64
2016-05-06,0.745
2016-05-09,0.745
2016-05-10,0.7
2016-05-11,0.69
2016-05-12,0.7
2016-05-13,0.7975
2016-05-16,0.85
2016-05-17,0.785
2016-05-18,0.7175
2016-05-19,0.7475
2016-05-20,0.755
2016-05-23,0.6675
2016-05-24,0.73
2016-05-25,0.725
2016-05-26,0.59
2016-05-27,0.45
2016-05-30,0.445
2016-05-31,0.545
2016-06-01,0.605
2016-06-02,0.63
2016-06-03,0.645
2016-06-06,0.7325
2016-06-07,0.8175
2016-06-08,0.765
2016-06-09,0.75
2016-06-10,0.78
2016-06-13,1.425
2016-06-14,1.505
2016-06-15,2.49
2016-06-16,2.61
2016-06-17,4.095
2016-06-20,4.0175
2016-06-21,6.1175
2016-06-22,8.43
2016-06-23,7.2875
2016-06-24,3.6075
2016-06-27,4.495
2016-06-28,3.5125
2016-06-29,2.13
2016-06-30,1.37
