Date,Value
2016-01-01,-4.565
2016-01-04,-4.5875
2016-01-05,-4.2775
2016-01-06,-4.1275
2016-01-07,-4.09
2016-01-08,-3.9525
2016-01-11,-3.935
2016-01-12,-3.9825
2016-01-13,-3.9625
2016-01-14,-3.9325
2016-01-15,-3.955
2016-01-18,-3.9225
2016-01-19,-3.9275
2016-01-20,-3.9525
2016-01-21,-4.06
2016-01-22,-4.035
2016-01-25,-4.03
2016-01-26,-4.1625
2016-01-27,-4.09
2016-01-28,-4.13
2016-01-29,-4.165
2016-02-01,-4.1875
2016-02-02,-4.1125
2016-02-03,-4.0975
2016-02-04,-4.07
2016-02-05,-4.18
2016-02-08,-4.335
2016-02-09,-4.295
2016-02-10,-4.2825
2016-02-11,-4.9375
2016-02-12,-4.9175
2016-02-15,-5.0
2016-02-16,-5.2075
2016-02-17,-5.155
2016-02-18,-5.25
2016-02-19,-5.04
2016-02-22,-5.9975
2016-02-23,-6.335
2016-02-24,-6.4825
2016-02-25,-6.495
2016-02-26,-6.445
2016-02-29,-6.55
2016-03-01,-6.48
2016-03-02,-6.425
2016-03-03,-6.37
2016-03-04,-6.26
2016-03-07,-6.24
2016-03-08,-6.2225
2016-03-09,-6.3275
2016-03-10,-6.43
2016-03-11,-6.41
2016-03-14,-6.535
2016-03-15,-6.51
2016-03-16,-6.645
2016-03-17,-6.625
2016-03-18,-6.635
2016-03-21,-6.74
2016-03-22,-6.91
2016-03-23,-7.3025
2016-03-24,-7.365
2016-03-25,-7.33
2016-03-28,-7.3
2016-03-29,-7.3
2016-03-30,-7.36
2016-03-31,-7.44
2016-04-01,-7.48
2016-04-04,-7.5125
2016-04-05,-7.585
2016-04-06,-7.8375
2016-04-07,-7.8925
2016-04-08,-7.875
2016-04-11,-7.8875
2016-04-12,-7.8875
2016-04-13,-7.6975
2016-04-14,-7.7525
2016-04-15,-7.745
2016-04-18,-7.6975
2016-04-19,-7.635
2016-04-20,-7.625
2016-04-21,-7.48
2016-04-22,-7.19
2016-04-25,-6.66
2016-04-26,-6.2275
2016-04-27,-6.145
2016-04-28,-6.1625
2016-04-29,-6.055
2016-05-02,-5.955
2016-05-03,-6.11
2016-05-04,-6.23
2016-05-05,-6.2775
2016-05-06,-6.3825
2016-05-09,-6.475
2016-05-10,-6.545
2016-05-11,-6.405
2016-05-12,-6.47
2016-05-13,-6.9325
2016-05-16,-7.0175
2016-05-17,-6.635
2016-05-18,-6.2575
2016-05-19,-6.045
2016-05-20,-5.845
2016-05-23,-5.82
2016-05-24,-5.5475
2016-05-25,-5.1475
2016-05-26,-5.14
2016-05-27,-4.98
2016-05-30,-4.885
2016-05-31,-5.22
2016-06-01,-5.22
2016-06-02,-5.58
2016-06-03,-5.2625
2016-06-06,-5.495
2016-06-07,-5.75
2016-06-08,-5.7775
2016-06-09,-5.785
2016-06-10,-5.7725
2016-06-13,-6.0875
2016-06-14,-6.3325
2016-06-15,-5.68
2016-06-16,-5.73
2016-06-17,-5.215
2016-06-20,-4.585
2016-06-21,-4.7925
2016-06-22,-4.9225
2016-06-23,-3.55
2016-06-24,-4.845
2016-06-27,-5.685
2016-06-28,-5.195
2016-06-29,-4.375
2016-06-30,-4.8125
2016-07-01,-4.71
2016-07-04,-4.8
2016-07-05,-4.665
2016-07-06,-5.11
2016-07-07,-4.69
2016-07-08,-4.6025
2016-07-11,-4.45
2016-07-12,-4.2125
2016-07-13,-4.25
2016-07-14,-4.245
2016-07-15,-4.2925
2016-07-18,-4.3375
2016-07-19,-4.39
2016-07-20,-4.395
2016-07-21,-4.285
2016-07-22,-4.095
2016-07-25,-3.9975
2016-07-26,-3.6
2016-07-27,-2.74
2016-07-28,-2.765
2016-07-29,-2.77
2016-08-01,-2.79
2016-08-02,-2.825
