Date,Value
2016-01-01,-2.145
2016-01-04,-2.095
2016-01-05,-1.915
2016-01-06,-1.625
2016-01-07,-1.5225
2016-01-08,-1.495
2016-01-11,-1.495
2016-01-12,-1.6075
2016-01-13,-1.5775
2016-01-14,-1.615
2016-01-15,-1.635
2016-01-18,-1.68
2016-01-19,-1.67
2016-01-20,-1.7225
2016-01-21,-1.65
2016-01-22,-1.6675
2016-01-25,-1.67
2016-01-26,-1.6325
2016-01-27,-1.59
2016-01-28,-1.58
2016-01-29,-1.6225
2016-02-01,-1.56
2016-02-02,-1.59
2016-02-03,-1.565
2016-02-04,-1.53
2016-02-05,-1.555
2016-02-08,-1.64
2016-02-09,-1.67
2016-02-10,-1.675
2016-02-11,-2.235
2016-02-12,-2.2075
2016-02-15,-2.23
2016-02-16,-2.095
2016-02-17,-2.135
2016-02-18,-2.095
2016-02-19,-2.2
2016-02-22,-2.57
2016-02-23,-2.635
2016-02-24,-2.935
2016-02-25,-2.985
2016-02-26,-3.045
2016-02-29,-2.88
2016-03-01,-2.87
2016-03-02,-2.7
2016-03-03,-2.51
2016-03-04,-2.625
2016-03-07,-2.625
2016-03-08,-2.6025
2016-03-09,-2.5425
2016-03-10,-2.505
2016-03-11,-2.55
2016-03-14,-2.575
2016-03-15,-2.99
2016-03-16,-3.125
2016-03-17,-3.215
2016-03-18,-3.215
2016-03-21,-3.45
2016-03-22,-3.68
2016-03-23,-7.965
2016-03-24,-8.15
2016-03-25,-8.1
2016-03-28,-7.45
2016-03-29,-8.1275
2016-03-30,-8.3025
2016-03-31,-8.18
2016-04-01,-8.285
2016-04-04,-8.385
2016-04-05,-8.285
2016-04-06,-8.475
2016-04-07,-8.565
2016-04-08,-8.4325
2016-04-11,-8.6625
2016-04-12,-8.595
2016-04-13,-8.49
2016-04-14,-8.41
2016-04-15,-8.5775
2016-04-18,-8.58
2016-04-19,-8.245
2016-04-20,-8.1775
2016-04-21,-8.0475
2016-04-22,-7.96
2016-04-25,-7.07
2016-04-26,-6.675
2016-04-27,-6.6725
2016-04-28,-6.6775
2016-04-29,-6.605
2016-05-02,-6.565
2016-05-03,-6.7175
2016-05-04,-6.965
2016-05-05,-7.025
2016-05-06,-7.425
2016-05-09,-7.6025
2016-05-10,-7.66
2016-05-11,-7.535
2016-05-12,-7.8275
2016-05-13,-8.515
2016-05-16,-9.1125
2016-05-17,-9.09
2016-05-18,-8.56
2016-05-19,-8.6075
2016-05-20,-8.5875
2016-05-23,-8.58
2016-05-24,-8.3325
2016-05-25,-7.97
2016-05-26,-7.87
2016-05-27,-7.86
2016-05-30,-7.835
2016-05-31,-8.1
2016-06-01,-8.1
2016-06-02,-8.55
2016-06-03,-8.89
2016-06-06,-9.57
2016-06-07,-10.055
2016-06-08,-10.0225
2016-06-09,-9.9775
2016-06-10,-10.79
2016-06-13,-11.1225
2016-06-14,-11.4375
2016-06-15,-10.12
2016-06-16,-10.0275
2016-06-17,-9.5375
2016-06-20,-8.5675
2016-06-21,-8.94
2016-06-22,-9.3725
2016-06-23,-7.17
2016-06-24,-6.2125
2016-06-27,-5.9075
2016-06-28,-4.7825
2016-06-29,-4.0375
2016-06-30,-4.24
2016-07-01,-4.0975
2016-07-04,-4.1225
2016-07-05,-3.9925
2016-07-06,-4.3075
2016-07-07,-3.965
2016-07-08,-3.7175
2016-07-11,-3.4475
2016-07-12,-2.865
2016-07-13,-2.8975
2016-07-14,-2.855
2016-07-15,-3.0025
2016-07-18,-3.0075
2016-07-19,-3.025
2016-07-20,-3.01
2016-07-21,-2.965
2016-07-22,-2.8
2016-07-25,-2.3825
2016-07-26,-1.985
2016-07-27,-1.44
2016-07-28,-1.51
2016-07-29,-1.5025
2016-08-01,-1.48
2016-08-02,-1.5
2016-08-03,-1.585
2016-08-04,-1.84
2016-08-05,-1.8
2016-08-08,-1.68
2016-08-09,-1.59
2016-08-10,-1.585
2016-08-11,-1.68
2016-08-12,-1.655
2016-08-15,-1.5925
2016-08-16,-1.5725
2016-08-17,-1.4625
2016-08-18,-1.46
2016-08-19,-1.47
2016-08-22,-1.4575
2016-08-23,-1.44
2016-08-24,-1.475
2016-08-25,-1.46
2016-08-26,-1.51
2016-08-29,-1.495
2016-08-30,-1.4975
2016-08-31,-1.4625
2016-09-01,-1.455
2016-09-02,-1.4825
2016-09-05,-1.485
2016-09-06,-1.525
2016-09-07,-1.4625
2016-09-08,-1.46
2016-09-09,-1.47
2016-09-12,-1.495
2016-09-13,-1.515
2016-09-14,-1.56
2016-09-15,-1.56
2016-09-16,-1.895
2016-09-19,-1.84
2016-09-20,-1.87
2016-09-21,-1.985
2016-09-22,-1.9075
2016-09-23,-2.2075
2016-09-26,-2.33
2016-09-27,-2.3175
2016-09-28,-2.33
2016-09-29,-2.29
2016-09-30,-2.355
2016-10-03,-2.395
2016-10-04,-2.535
2016-10-05,-2.54
2016-10-06,-2.325
2016-10-07,-2.86
2016-10-10,-2.785
2016-10-11,-3.54
2016-10-12,-3.6
2016-10-13,-3.6175
2016-10-14,-3.59
2016-10-17,-3.615
2016-10-18,-3.52
2016-10-19,-3.375
2016-10-20,-3.2625
2016-10-21,-3.1975
2016-10-24,-3.215
