Date,Value
2016-01-01,-0.2725
2016-01-04,-0.2325
2016-01-05,-0.17
2016-01-06,-0.1075
2016-01-07,-0.2275
2016-01-08,-0.0075
2016-01-11,0.0075
2016-01-12,-0.225
2016-01-13,-0.185
2016-01-14,-0.1925
2016-01-15,-0.1725
2016-01-18,-0.145
2016-01-19,-0.23
2016-01-20,-0.235
2016-01-21,-0.2225
2016-01-22,-0.1975
2016-01-25,-0.2125
2016-01-26,-0.1475
2016-01-27,-0.1175
2016-01-28,-0.0725
2016-01-29,-0.0925
2016-02-01,-0.065
2016-02-02,-0.09
2016-02-03,-0.0875
2016-02-04,-0.0675
2016-02-05,-0.0675
2016-02-08,-0.23
2016-02-09,-0.2325
2016-02-10,-0.225
2016-02-11,-0.3
2016-02-12,-0.27
2016-02-15,-0.275
2016-02-16,-0.29
2016-02-17,-0.28
2016-02-18,-0.2425
2016-02-19,-0.2925
2016-02-22,-0.555
2016-02-23,-0.665
2016-02-24,-0.565
2016-02-25,-0.66
2016-02-26,-0.685
2016-02-29,-0.65
2016-03-01,-0.6625
2016-03-02,-0.3825
2016-03-03,-0.2725
2016-03-04,-0.4575
2016-03-07,-0.4375
2016-03-08,-0.405
2016-03-09,-0.405
2016-03-10,-0.3075
2016-03-11,-0.32
2016-03-14,-0.2975
2016-03-15,-0.59
2016-03-16,-0.5675
2016-03-17,-0.4025
2016-03-18,-0.34
2016-03-21,-0.4475
2016-03-22,-0.5
2016-03-23,-0.61
2016-03-24,-0.585
2016-03-25,-0.6725
2016-03-28,-0.5625
2016-03-29,-0.53
2016-03-30,-0.4875
2016-03-31,-0.5025
2016-04-01,-0.5
2016-04-04,-0.5025
2016-04-05,-0.48
2016-04-06,-0.495
2016-04-07,-0.485
2016-04-08,-0.3475
2016-04-11,-0.355
2016-04-12,-0.32
2016-04-13,-0.35
2016-04-14,-0.3175
2016-04-15,-0.3125
2016-04-18,-0.26
2016-04-19,-0.1725
2016-04-20,-0.17
2016-04-21,-0.175
2016-04-22,-0.1725
2016-04-25,-0.12
2016-04-26,-0.1075
2016-04-27,-0.1125
2016-04-28,-0.14
2016-04-29,-0.0725
2016-05-02,-0.1275
2016-05-03,-0.2825
2016-05-04,-0.3525
2016-05-05,-0.42
2016-05-06,-0.41
2016-05-09,-0.4725
2016-05-10,-0.4825
2016-05-11,-0.4725
2016-05-12,-0.485
2016-05-13,-0.605
2016-05-16,-0.545
2016-05-17,-0.5125
2016-05-18,-0.4425
2016-05-19,-0.44
2016-05-20,-0.54
2016-05-23,-0.56
2016-05-24,-0.535
2016-05-25,-0.5425
2016-05-26,-0.5375
2016-05-27,-0.5625
2016-05-30,-0.5475
2016-05-31,-0.6
2016-06-01,-0.8
2016-06-02,-0.8
2016-06-03,-0.9275
2016-06-06,-1.0775
2016-06-07,-1.16
2016-06-08,-1.4875
2016-06-09,-1.045
2016-06-10,-1.3225
2016-06-13,-1.8
2016-06-14,-1.81
