Date,Value
2016-01-01,10.34
2016-01-04,10.5
2016-01-05,10.075
2016-01-06,9.85
2016-01-07,9.935
2016-01-08,9.9325
2016-01-11,10.025
2016-01-12,10.1675
2016-01-13,10.1
2016-01-14,10.105
2016-01-15,10.29
2016-01-18,10.2275
2016-01-19,10.25
2016-01-20,10.2
2016-01-21,10.1225
2016-01-22,9.925
2016-01-25,9.765
2016-01-26,9.88
2016-01-27,9.835
2016-01-28,9.8875
2016-01-29,10.01
2016-02-01,9.975
2016-02-02,10.13
2016-02-03,10.285
2016-02-04,10.19
2016-02-05,10.21
2016-02-08,10.66
2016-02-09,10.85
2016-02-10,10.67
2016-02-11,11.3025
2016-02-12,10.93
2016-02-15,10.92
2016-02-16,11.1325
2016-02-17,11.175
2016-02-18,11.155
2016-02-19,11.245
2016-02-22,11.9225
2016-02-23,12.37
2016-02-24,13.075
2016-02-25,12.79
2016-02-26,12.715
2016-02-29,12.63
2016-03-01,12.575
2016-03-02,12.51
2016-03-03,12.385
2016-03-04,12.365
2016-03-07,12.325
2016-03-08,12.2775
2016-03-09,12.2875
2016-03-10,12.39
2016-03-11,11.885
2016-03-14,11.875
2016-03-15,12.1
2016-03-16,12.195
2016-03-17,12.155
2016-03-18,12.165
2016-03-21,12.205
2016-03-22,12.465
2016-03-23,12.9575
2016-03-24,12.95
2016-03-25,12.925
2016-03-28,12.835
2016-03-29,12.77
2016-03-30,12.6475
2016-03-31,12.63
2016-04-01,12.6575
2016-04-04,12.6475
2016-04-05,12.875
2016-04-06,13.1125
2016-04-07,13.3175
2016-04-08,13.035
2016-04-11,12.9825
2016-04-12,13.0175
2016-04-13,13.0175
2016-04-14,12.9675
2016-04-15,12.81
2016-04-18,12.7275
2016-04-19,12.395
2016-04-20,12.295
2016-04-21,12.135
2016-04-22,12.1075
2016-04-25,11.5875
2016-04-26,10.98
2016-04-27,11.015
2016-04-28,10.82
2016-04-29,10.5925
2016-05-02,10.72
2016-05-03,10.905
2016-05-04,11.01
2016-05-05,10.9825
2016-05-06,11.0025
2016-05-09,10.97
2016-05-10,11.0025
2016-05-11,11.1375
2016-05-12,11.26
2016-05-13,11.7225
2016-05-16,11.73
2016-05-17,11.3925
2016-05-18,10.8525
2016-05-19,10.9775
2016-05-20,10.945
2016-05-23,10.9225
2016-05-24,10.34
2016-05-25,10.22
2016-05-26,10.14
2016-05-27,10.1325
2016-05-30,10.07
2016-05-31,10.4
2016-06-01,11.0
2016-06-02,11.0
2016-06-03,10.9825
2016-06-06,11.2775
2016-06-07,11.2375
2016-06-08,11.0825
2016-06-09,10.9025
2016-06-10,11.185
2016-06-13,12.155
2016-06-14,12.69
2016-06-15,12.26
2016-06-16,12.41
2016-06-17,11.655
2016-06-20,10.4625
2016-06-21,10.5875
2016-06-22,11.12
2016-06-23,10.0325
2016-06-24,12.555
2016-06-27,13.34
2016-06-28,12.555
2016-06-29,12.04
2016-06-30,12.7325
2016-07-01,12.6775
2016-07-04,12.62
2016-07-05,13.035
2016-07-06,13.315
2016-07-07,12.7975
2016-07-08,12.57
2016-07-11,12.13
2016-07-12,11.59
2016-07-13,11.6625
2016-07-14,11.36
2016-07-15,11.715
2016-07-18,11.7025
2016-07-19,11.8075
2016-07-20,11.795
2016-07-21,11.74
2016-07-22,11.64
2016-07-25,11.475
2016-07-26,11.16
2016-07-27,10.61
2016-07-28,10.255
2016-07-29,10.0025
2016-08-01,9.925
2016-08-02,9.8
2016-08-03,9.775
2016-08-04,9.84
2016-08-05,9.73
2016-08-08,9.68
2016-08-09,9.695
2016-08-10,9.7725
2016-08-11,10.055
2016-08-12,10.19
2016-08-15,10.395
2016-08-16,10.335
2016-08-17,10.3725
2016-08-18,10.245
2016-08-19,10.3
2016-08-22,10.3425
2016-08-23,10.3
2016-08-24,10.28
2016-08-25,10.2575
2016-08-26,10.255
2016-08-29,10.3075
2016-08-30,10.31
2016-08-31,10.3075
2016-09-01,10.22
2016-09-02,10.0425
2016-09-05,9.7775
2016-09-06,9.565
2016-09-07,9.47
2016-09-08,9.4175
2016-09-09,9.395
2016-09-12,9.5225
2016-09-13,9.6875
2016-09-14,9.685
2016-09-15,9.6775
2016-09-16,9.955
2016-09-19,10.005
2016-09-20,10.2725
2016-09-21,10.2125
2016-09-22,10.1625
2016-09-23,10.415
2016-09-26,10.69
2016-09-27,10.635
2016-09-28,10.68
2016-09-29,10.63
2016-09-30,10.595
2016-10-03,10.7
2016-10-04,10.97
2016-10-05,10.9
2016-10-06,10.885
2016-10-07,11.375
2016-10-10,11.31
2016-10-11,12.485
2016-10-12,12.23
2016-10-13,12.265
2016-10-14,12.195
2016-10-17,12.3875
2016-10-18,12.275
2016-10-19,12.095
2016-10-20,11.99
2016-10-21,12.0225
2016-10-24,11.96
2016-10-25,11.99
2016-10-26,11.92
2016-10-27,11.8775
2016-10-28,11.8675
2016-10-31,11.9225
2016-11-01,12.0
2016-11-02,12.1
2016-11-03,12.01
2016-11-04,11.96
2016-11-07,11.735
2016-11-08,11.54
2016-11-09,11.4775
2016-11-10,11.5525
2016-11-11,11.675
2016-11-14,11.7825
2016-11-15,11.67
2016-11-16,11.6675
2016-11-17,11.6225
2016-11-18,11.6125
2016-11-21,11.5975
2016-11-22,11.53
2016-11-23,11.4575
2016-11-24,11.4225
2016-11-25,11.395
2016-11-28,11.2825
2016-11-29,11.29
2016-11-30,11.39
2016-12-01,11.255
2016-12-02,11.175
2016-12-05,11.1825
2016-12-06,11.0075
2016-12-07,11.055
2016-12-08,11.0175
2016-12-09,11.13
2016-12-12,11.08
2016-12-13,10.96
2016-12-14,10.915
2016-12-15,11.12
2016-12-16,11.09
2016-12-19,11.155
2016-12-20,11.19
2016-12-21,11.11
2016-12-22,11.045
2016-12-23,11.105
2016-12-26,11.155
2016-12-27,11.195
2016-12-28,11.305
2016-12-29,11.295
2016-12-30,11.275
2017-01-02,11.305
2017-01-03,11.2575
2017-01-04,11.2
2017-01-05,11.2025
2017-01-06,11.1675
2017-01-09,11.345
2017-01-10,11.415
2017-01-11,11.6
2017-01-12,11.425
2017-01-13,11.585
2017-01-16,11.7525
2017-01-17,11.335
2017-01-18,11.21
2017-01-19,11.145
2017-01-20,11.0825
2017-01-23,10.87
2017-01-24,10.82
2017-01-25,10.735
2017-01-26,10.815
2017-01-27,10.8475
2017-01-30,10.9025
2017-01-31,10.885
2017-02-01,10.895
2017-02-02,10.8775
2017-02-03,10.7825
2017-02-06,11.24
2017-02-07,11.205
2017-02-08,11.18
2017-02-09,11.0725
2017-02-10,11.04
2017-02-13,10.9875
2017-02-14,10.9625
2017-02-15,10.8025
2017-02-16,10.7275
2017-02-17,10.7475
2017-02-20,10.67
2017-02-21,10.67
2017-02-22,10.6275
2017-02-23,10.5725
2017-02-24,10.485
2017-02-27,10.415
2017-02-28,10.2175
2017-03-01,10.1375
2017-03-02,10.2225
2017-03-03,10.09
2017-03-06,9.99
2017-03-07,10.1525
2017-03-08,10.16
2017-03-09,10.2425
2017-03-10,10.405
2017-03-13,10.39
2017-03-14,10.435
2017-03-15,10.0975
2017-03-16,9.6575
2017-03-17,9.715
2017-03-20,9.635
2017-03-21,9.6475
2017-03-22,9.77
2017-03-23,9.765
2017-03-24,9.705
2017-03-27,9.635
2017-03-28,9.5775
2017-03-29,9.565
2017-03-30,9.5175
2017-03-31,9.42
2017-04-03,9.34
2017-04-04,9.395
2017-04-05,9.36
2017-04-06,9.2775
2017-04-07,9.235
