Date,Value
2016-01-01,8.69
2016-01-04,8.78
2016-01-05,8.475
2016-01-06,8.095
2016-01-07,8.2325
2016-01-08,7.9975
2016-01-11,8.09
2016-01-12,8.36
2016-01-13,8.1925
2016-01-14,8.38
2016-01-15,8.685
2016-01-18,8.565
2016-01-19,8.79
2016-01-20,8.8475
2016-01-21,8.85
2016-01-22,8.6675
2016-01-25,8.4825
2016-01-26,8.575
2016-01-27,8.4575
2016-01-28,8.6875
2016-01-29,8.915
2016-02-01,9.05
2016-02-02,9.17
2016-02-03,9.3
2016-02-04,9.2
2016-02-05,9.2
2016-02-08,10.03
2016-02-09,9.95
2016-02-10,9.905
2016-02-11,10.91
2016-02-12,10.28
2016-02-15,10.21
2016-02-16,10.31
2016-02-17,10.41
2016-02-18,10.37
2016-02-19,10.39
2016-02-22,11.175
2016-02-23,11.2475
2016-02-24,11.885
2016-02-25,11.52
2016-02-26,11.54
2016-02-29,11.23
2016-03-01,11.04
2016-03-02,10.735
2016-03-03,10.93
2016-03-04,10.59
2016-03-07,10.59
2016-03-08,10.495
2016-03-09,10.45
2016-03-10,10.59
2016-03-11,9.92
2016-03-14,9.855
2016-03-15,10.35
2016-03-16,10.6375
2016-03-17,10.6875
2016-03-18,10.87
2016-03-21,11.02
2016-03-22,11.825
2016-03-23,14.82
2016-03-24,14.905
2016-03-25,15.04
2016-03-28,15.175
2016-03-29,14.92
2016-03-30,14.975
2016-03-31,15.17
2016-04-01,15.2425
2016-04-04,15.135
2016-04-05,15.57
2016-04-06,15.89
2016-04-07,16.2325
2016-04-08,16.1375
2016-04-11,16.0375
2016-04-12,16.2675
2016-04-13,16.24
2016-04-14,16.285
2016-04-15,15.8625
2016-04-18,15.735
2016-04-19,15.3325
2016-04-20,15.055
2016-04-21,14.8025
2016-04-22,14.83
2016-04-25,13.8275
2016-04-26,12.785
2016-04-27,12.93
2016-04-28,12.705
2016-04-29,12.765
2016-05-02,12.875
2016-05-03,13.115
2016-05-04,13.6
2016-05-05,13.615
2016-05-06,13.6775
2016-05-09,13.81
2016-05-10,14.0625
2016-05-11,14.2175
2016-05-12,14.46
2016-05-13,15.3625
2016-05-16,15.415
2016-05-17,14.845
2016-05-18,13.72
2016-05-19,13.785
2016-05-20,13.7825
2016-05-23,13.8625
2016-05-24,12.7575
2016-05-25,12.455
2016-05-26,12.4375
2016-05-27,12.35
2016-05-30,12.425
2016-05-31,13.5
2016-06-01,14.5
2016-06-02,14.75
2016-06-03,14.4525
2016-06-06,15.1575
2016-06-07,15.1475
2016-06-08,15.0775
2016-06-09,14.9725
2016-06-10,15.735
2016-06-13,18.06
2016-06-14,18.56
2016-06-15,17.665
2016-06-16,17.87
2016-06-17,16.515
2016-06-20,13.92
2016-06-21,14.365
2016-06-22,15.2
2016-06-23,12.7725
2016-06-24,15.725
2016-06-27,16.2975
2016-06-28,14.3775
2016-06-29,13.025
2016-06-30,14.205
2016-07-01,13.965
2016-07-04,13.95
2016-07-05,14.4225
2016-07-06,14.6975
2016-07-07,13.92
2016-07-08,13.16
2016-07-11,12.5825
2016-07-12,12.0675
2016-07-13,12.4025
2016-07-14,11.9475
2016-07-15,12.635
