Date,Value
2016-01-01,0.731
2016-01-04,0.733
2016-01-05,0.711
2016-01-06,0.667
2016-01-07,0.661
2016-01-08,0.644
2016-01-11,0.639
2016-01-12,0.581
2016-01-13,0.534
2016-01-14,0.613
2016-01-15,0.56
2016-01-18,0.574
2016-01-19,0.581
2016-01-20,0.638
2016-01-21,0.728
2016-01-22,0.762
2016-01-25,0.691
2016-01-26,0.707
2016-01-27,0.686
2016-01-28,0.685
2016-01-29,0.68
2016-02-01,0.668
2016-02-02,0.586
2016-02-03,0.613
2016-02-04,0.595
2016-02-05,0.577
2016-02-08,0.509
2016-02-09,0.511
2016-02-10,0.488
2016-02-11,0.509
2016-02-12,0.595
2016-02-15,0.595
2016-02-16,0.63
2016-02-17,0.658
2016-02-18,0.587
2016-02-19,0.599
2016-02-22,0.602
2016-02-23,0.604
2016-02-24,0.642
2016-02-25,0.633
2016-02-26,0.675
2016-02-29,0.671
2016-03-01,0.707
2016-03-02,0.717
2016-03-03,0.686
2016-03-04,0.694
2016-03-07,0.717
2016-03-08,0.641
2016-03-09,0.696
2016-03-10,0.743
2016-03-11,0.811
2016-03-14,0.781
2016-03-15,0.775
2016-03-16,0.719
2016-03-17,0.713
2016-03-18,0.713
2016-03-21,0.731
2016-03-22,0.775
2016-03-23,0.71
2016-03-24,0.724
2016-03-25,0.724
2016-03-28,0.713
2016-03-29,0.644
2016-03-30,0.673
2016-03-31,0.678
2016-04-01,0.697
2016-04-04,0.693
2016-04-05,0.655
2016-04-06,0.693
2016-04-07,0.652
2016-04-08,0.715
2016-04-11,0.713
2016-04-12,0.769
2016-04-13,0.736
2016-04-14,0.781
2016-04-15,0.756
2016-04-18,0.774
2016-04-19,0.795
2016-04-20,0.804
2016-04-21,0.824
2016-04-22,0.895
2016-04-25,0.924
2016-04-26,0.934
2016-04-27,0.882
2016-04-28,0.853
2016-04-29,0.88
2016-05-02,0.884
2016-05-03,0.812
2016-05-04,0.757
2016-05-05,0.73
2016-05-06,0.732
2016-05-09,0.688
2016-05-10,0.683
2016-05-11,0.683
2016-05-12,0.707
2016-05-13,0.677
2016-05-16,0.699
2016-05-17,0.718
2016-05-18,0.783
2016-05-19,0.761
2016-05-20,0.754
2016-05-23,0.757
2016-05-24,0.772
2016-05-25,0.792
2016-05-26,0.756
2016-05-27,0.777
2016-05-30,0.788
2016-05-31,0.741
2016-06-01,0.717
2016-06-02,0.683
2016-06-03,0.604
2016-06-06,0.653
2016-06-07,0.639
2016-06-08,0.621
2016-06-09,0.625
2016-06-10,0.581
2016-06-13,0.564
2016-06-14,0.571
2016-06-15,0.53
2016-06-16,0.575
2016-06-17,0.585
2016-06-20,0.667
2016-06-21,0.71
2016-06-22,0.696
2016-06-23,0.743
2016-06-24,0.636
2016-06-27,0.559
2016-06-28,0.575
2016-06-29,0.631
2016-06-30,0.573
2016-07-01,0.573
2016-07-04,0.568
2016-07-05,0.546
2016-07-06,0.538
2016-07-07,0.529
2016-07-08,0.518
2016-07-11,0.536
2016-07-12,0.593
2016-07-13,0.555
2016-07-14,0.617
2016-07-15,0.647
2016-07-18,0.65
2016-07-19,0.631
2016-07-20,0.681
2016-07-21,0.647
2016-07-22,0.646
2016-07-25,0.654
2016-07-26,0.678
2016-07-27,0.647
2016-07-28,0.656
2016-07-29,0.598
2016-08-01,0.598
2016-08-02,0.642
2016-08-03,0.654
2016-08-04,0.609
2016-08-05,0.615
2016-08-08,0.606
2016-08-09,0.588
2016-08-10,0.574
2016-08-11,0.613
