Date,Value
2016-01-01,0.629
2016-01-04,0.566
2016-01-05,0.54
2016-01-06,0.503
2016-01-07,0.539
2016-01-08,0.514
2016-01-11,0.541
2016-01-12,0.533
2016-01-13,0.567
2016-01-14,0.574
2016-01-15,0.54
2016-01-18,0.537
2016-01-19,0.549
2016-01-20,0.482
2016-01-21,0.451
2016-01-22,0.484
2016-01-25,0.471
2016-01-26,0.446
2016-01-27,0.443
2016-01-28,0.404
2016-01-29,0.325
2016-02-01,0.351
2016-02-02,0.307
2016-02-03,0.275
2016-02-04,0.303
2016-02-05,0.296
2016-02-08,0.218
2016-02-09,0.233
2016-02-10,0.242
2016-02-11,0.188
2016-02-12,0.261
2016-02-15,0.237
2016-02-16,0.266
2016-02-17,0.269
2016-02-18,0.218
2016-02-19,0.202
2016-02-22,0.176
2016-02-23,0.183
2016-02-24,0.154
2016-02-25,0.138
2016-02-26,0.147
2016-02-29,0.107
2016-03-01,0.146
2016-03-02,0.206
2016-03-03,0.169
2016-03-04,0.238
2016-03-07,0.224
2016-03-08,0.182
2016-03-09,0.24
2016-03-10,0.306
2016-03-11,0.271
2016-03-14,0.279
2016-03-15,0.316
2016-03-16,0.311
2016-03-17,0.23
2016-03-18,0.212
2016-03-21,0.23
2016-03-22,0.211
2016-03-23,0.194
2016-03-24,0.18
2016-03-25,0.18
2016-03-28,0.18
2016-03-29,0.137
2016-03-30,0.156
2016-03-31,0.153
2016-04-01,0.134
2016-04-04,0.131
2016-04-05,0.098
2016-04-06,0.119
2016-04-07,0.089
2016-04-08,0.095
2016-04-11,0.111
2016-04-12,0.165
2016-04-13,0.128
2016-04-14,0.167
2016-04-15,0.127
2016-04-18,0.161
2016-04-19,0.169
2016-04-20,0.153
2016-04-21,0.239
2016-04-22,0.231
2016-04-25,0.264
2016-04-26,0.299
2016-04-27,0.286
2016-04-28,0.257
2016-04-29,0.271
2016-05-02,0.267
2016-05-03,0.2
2016-05-04,0.204
2016-05-05,0.161
2016-05-06,0.144
2016-05-09,0.126
2016-05-10,0.124
2016-05-11,0.126
2016-05-12,0.154
2016-05-13,0.124
2016-05-16,0.143
2016-05-17,0.132
2016-05-18,0.168
2016-05-19,0.17
2016-05-20,0.165
2016-05-23,0.176
