Date,Value
2016-01-01,8.817
2016-01-04,8.876
2016-01-05,8.872
2016-01-06,8.861
2016-01-07,8.88
2016-01-08,8.872
2016-01-11,8.832
2016-01-12,8.712
2016-01-13,8.587
2016-01-14,8.512
2016-01-15,8.51
2016-01-18,8.586
2016-01-19,8.576
2016-01-20,8.579
2016-01-21,8.495
2016-01-22,8.362
2016-01-25,8.361
2016-01-26,8.415
2016-01-27,8.359
2016-01-28,8.355
2016-01-29,8.243
2016-02-01,8.047
2016-02-02,8.027
2016-02-03,8.121
2016-02-04,8.051
2016-02-05,7.98
2016-02-09,7.997
2016-02-10,7.924
2016-02-11,7.88
2016-02-12,7.885
2016-02-15,7.852
2016-02-16,7.814
2016-02-17,7.854
2016-02-18,7.834
2016-02-19,7.856
2016-02-22,7.874
2016-02-23,7.869
2016-02-24,7.963
2016-02-25,7.964
2016-02-26,7.98
2016-02-29,7.966
2016-03-01,7.964
2016-03-02,7.85
2016-03-03,7.816
2016-03-04,7.703
2016-03-07,7.602
2016-03-08,7.683
2016-03-09,7.653
2016-03-10,7.549
2016-03-11,7.419
2016-03-14,7.358
2016-03-15,7.388
2016-03-16,7.41
2016-03-17,7.319
2016-03-18,7.355
2016-03-21,7.387
2016-03-22,7.461
2016-03-23,7.443
2016-03-24,7.479
2016-03-25,7.473
2016-03-28,7.502
2016-03-29,7.495
2016-03-30,7.46
2016-03-31,7.381
2016-04-01,7.348
2016-04-04,7.36
2016-04-05,7.398
2016-04-06,7.378
2016-04-07,7.375
2016-04-08,7.372
2016-04-11,7.345
2016-04-12,7.312
2016-04-13,7.299
2016-04-14,7.311
2016-04-15,7.277
2016-04-18,7.319
2016-04-19,7.281
2016-04-20,7.242
2016-04-21,7.257
2016-04-22,7.328
2016-04-25,7.354
2016-04-26,7.362
2016-04-27,7.344
2016-04-28,7.436
2016-04-29,7.461
2016-05-02,7.461
2016-05-03,7.433
2016-05-04,7.473
2016-05-05,7.481
2016-05-09,7.501
2016-05-10,7.524
2016-05-11,7.531
2016-05-12,7.557
2016-05-13,7.442
2016-05-16,7.459
2016-05-17,7.406
2016-05-18,7.493
2016-05-19,7.575
2016-05-20,7.582
2016-05-23,7.611
2016-05-24,7.64
2016-05-25,7.61
2016-05-26,7.567
2016-05-27,7.553
2016-05-30,7.607
2016-05-31,7.581
2016-06-01,7.553
2016-06-02,7.6
2016-06-03,7.563
2016-06-06,7.514
2016-06-07,7.442
2016-06-08,7.457
2016-06-09,7.408
2016-06-10,7.482
2016-06-13,7.476
2016-06-14,7.474
2016-06-15,7.479
2016-06-16,7.475
2016-06-17,7.462
2016-06-20,7.484
2016-06-21,7.499
2016-06-22,7.484
2016-06-23,7.472
2016-06-24,7.604
2016-06-27,7.54
