Date,Value
2016-01-01,7.73
2016-01-04,7.724
2016-01-05,7.74
2016-01-06,7.737
2016-01-07,7.737
2016-01-08,7.744
2016-01-11,7.754
2016-01-12,7.759
2016-01-13,7.767
2016-01-14,7.791
2016-01-15,7.812
2016-01-18,7.813
2016-01-19,7.78
2016-01-20,7.797
2016-01-21,7.749
2016-01-22,7.778
2016-01-25,7.805
2016-01-26,7.805
2016-01-27,7.788
2016-01-28,7.805
2016-01-29,7.783
2016-02-01,7.792
2016-02-02,7.849
2016-02-03,7.851
2016-02-04,7.838
2016-02-05,7.821
2016-02-08,7.839
2016-02-09,7.838
2016-02-10,7.817
2016-02-11,7.719
2016-02-12,7.724
2016-02-15,7.754
2016-02-16,7.783
2016-02-17,7.789
2016-02-18,7.739
2016-02-19,7.739
2016-02-22,7.773
2016-02-23,7.822
2016-02-24,7.825
2016-02-25,7.876
2016-02-26,7.783
2016-02-29,7.626
2016-03-01,7.608
2016-03-02,7.623
2016-03-03,7.662
2016-03-04,7.641
2016-03-08,7.642
2016-03-09,7.65
2016-03-10,7.636
2016-03-11,7.627
2016-03-14,7.605
2016-03-15,7.582
2016-03-16,7.574
2016-03-17,7.522
2016-03-18,7.52
2016-03-21,7.503
2016-03-22,7.506
2016-03-23,7.51
2016-03-28,7.498
2016-03-29,7.514
2016-03-30,7.495
2016-03-31,7.465
2016-04-01,7.465
2016-04-04,7.415
2016-04-05,7.461
2016-04-06,7.46
2016-04-07,7.446
2016-04-08,7.448
2016-04-11,7.418
2016-04-12,7.416
2016-04-13,7.438
2016-04-14,7.435
2016-04-18,7.417
2016-04-19,7.417
2016-04-20,7.438
2016-04-21,7.476
2016-04-22,7.458
2016-04-25,7.468
2016-04-26,7.472
2016-04-27,7.461
2016-04-28,7.441
2016-04-29,7.436
2016-05-02,7.441
2016-05-03,7.442
2016-05-04,7.432
2016-05-05,7.435
2016-05-06,7.433
2016-05-09,7.425
2016-05-10,7.427
2016-05-11,7.427
2016-05-12,7.424
2016-05-13,7.449
2016-05-16,7.454
2016-05-17,7.453
2016-05-18,7.474
2016-05-19,7.471
2016-05-20,7.478
2016-05-23,7.466
2016-05-24,7.465
2016-05-25,7.464
2016-05-26,7.469
2016-05-27,7.471
2016-05-30,7.461
2016-05-31,7.472
2016-06-01,7.488
2016-06-02,7.484
2016-06-03,7.489
2016-06-06,7.473
2016-06-07,7.483
2016-06-08,7.49
2016-06-09,7.487
2016-06-10,7.492
2016-06-13,7.524
2016-06-14,7.519
2016-06-15,7.517
2016-06-16,7.507
2016-06-17,7.502
2016-06-20,7.496
2016-06-21,7.501
2016-06-22,7.476
2016-06-23,7.481
2016-06-24,7.476
2016-06-27,7.458
2016-06-28,7.452
2016-06-29,7.444
2016-06-30,7.45
2016-07-01,7.419
2016-07-04,7.425
2016-07-05,7.39
2016-07-07,7.382
2016-07-08,7.385
2016-07-11,7.385
2016-07-12,7.337
2016-07-13,7.284
2016-07-14,7.285
2016-07-15,7.272
2016-07-18,7.295
2016-07-19,7.28
2016-07-20,7.272
2016-07-21,7.264
2016-07-22,7.251
2016-07-25,7.248
2016-07-26,7.251
2016-07-27,7.252
2016-07-28,7.191
2016-07-29,7.167
2016-08-01,7.139
2016-08-02,7.177
2016-08-03,7.195
2016-08-04,7.171
2016-08-05,7.168
2016-08-08,7.173
2016-08-09,7.124
2016-08-10,7.101
2016-08-11,7.083
2016-08-12,7.103
2016-08-16,7.105
2016-08-17,7.106
2016-08-18,7.143
2016-08-19,7.102
2016-08-22,7.161
2016-08-23,7.159
2016-08-24,7.135
2016-08-25,7.123
2016-08-26,7.129
2016-08-29,7.123
2016-08-30,7.11
2016-08-31,7.109
2016-09-01,7.121
2016-09-02,7.118
2016-09-06,7.098
2016-09-07,7.056
2016-09-08,7.045
2016-09-12,6.848
2016-09-14,6.873
2016-09-15,6.883
2016-09-16,6.868
2016-09-19,6.88
2016-09-20,6.888
2016-09-21,6.85
2016-09-22,6.81
2016-09-23,6.804
2016-09-26,6.789
2016-09-27,6.793
2016-09-28,6.783
2016-09-29,6.863
2016-09-30,6.817
2016-10-03,6.773
2016-10-04,6.732
2016-10-05,6.674
2016-10-06,6.696
2016-10-07,6.735
2016-10-10,6.715
2016-10-11,6.716
2016-10-13,6.732
2016-10-14,6.754
2016-10-17,6.748
2016-10-18,6.722
2016-10-19,6.732
2016-10-20,6.76
2016-10-21,6.761
2016-10-24,6.76
2016-10-25,6.774
2016-10-26,6.774
2016-10-27,6.793
2016-10-28,6.794
2016-11-01,6.819
2016-11-02,6.815
2016-11-03,6.822
2016-11-04,6.841
2016-11-07,6.835
2016-11-08,6.798
2016-11-09,6.668
2016-11-10,6.661
2016-11-11,6.726
2016-11-15,6.534
2016-11-16,6.445
2016-11-17,6.42
2016-11-18,6.429
2016-11-21,6.311
2016-11-22,6.31
2016-11-23,6.281
2016-11-24,6.187
2016-11-25,6.233
2016-11-28,6.327
2016-11-29,6.319
2016-11-30,6.247
2016-12-01,6.215
2016-12-02,6.243
2016-12-05,6.217
2016-12-06,6.203
2016-12-07,6.408
2016-12-08,6.399
2016-12-09,6.441
2016-12-13,6.419
2016-12-14,6.406
2016-12-15,6.522
2016-12-16,6.506
2016-12-19,6.51
2016-12-20,6.48
2016-12-21,6.463
2016-12-22,6.529
2016-12-23,6.544
2016-12-26,6.574
2016-12-27,6.615
2016-12-28,6.585
2016-12-29,6.523
2016-12-30,6.515
2017-01-02,6.409
2017-01-03,6.445
2017-01-04,6.382
2017-01-05,6.387
2017-01-06,6.389
2017-01-09,6.397
2017-01-10,6.398
2017-01-11,6.394
2017-01-12,6.373
2017-01-13,6.417
2017-01-16,6.441
2017-01-17,6.422
2017-01-18,6.454
2017-01-19,6.476
2017-01-20,6.465
2017-01-23,6.453
2017-01-24,6.441
2017-01-25,6.425
2017-01-27,6.402
2017-01-30,6.406
2017-01-31,6.407
2017-02-01,6.431
2017-02-02,6.401
2017-02-03,6.409
2017-02-06,6.414
2017-02-07,6.431
2017-02-08,6.739
2017-02-09,6.857
2017-02-10,6.805
2017-02-13,6.828
2017-02-14,6.875
2017-02-15,6.862
2017-02-16,6.846
2017-02-17,6.852
2017-02-20,6.903
2017-02-22,6.939
2017-02-23,6.916
2017-02-27,6.879
2017-02-28,6.871
2017-03-01,6.928
2017-03-02,6.845
2017-03-03,6.784
2017-03-06,6.878
2017-03-07,6.834
2017-03-08,6.859
2017-03-09,6.861
2017-03-10,6.904
2017-03-14,6.903
2017-03-15,6.829
2017-03-16,6.841
2017-03-17,6.863
2017-03-20,6.893
2017-03-21,6.887
2017-03-22,6.817
2017-03-23,6.829
2017-03-24,6.831
2017-03-27,6.711
2017-03-29,6.749
2017-03-30,6.698
2017-03-31,6.68
2017-04-03,6.651
2017-04-05,6.651
2017-04-06,6.769
2017-04-07,6.821
2017-04-10,6.865
2017-04-11,6.81
2017-04-12,6.782
2017-04-13,6.822
2017-04-17,6.847
2017-04-18,6.864
2017-04-19,6.856
2017-04-20,6.877
2017-04-21,6.924
2017-04-24,6.942
2017-04-25,6.937
2017-04-26,6.952
2017-04-27,6.943
2017-04-28,6.963
2017-05-02,6.987
2017-05-03,6.954
2017-05-04,6.968
2017-05-05,6.943
2017-05-08,6.93
2017-05-09,6.943
2017-05-11,6.942
2017-05-12,6.912
