Date,Value
2016-01-01,-0.009
2016-01-04,-0.009
2016-01-05,-0.015
2016-01-06,-0.014
2016-01-07,-0.004
2016-01-08,-0.016
2016-01-11,-0.016
2016-01-12,-0.022
2016-01-13,-0.031
2016-01-14,-0.021
2016-01-15,-0.019
2016-01-18,-0.026
2016-01-19,-0.022
2016-01-20,-0.007
2016-01-21,-0.003
2016-01-22,-0.016
2016-01-25,-0.022
2016-01-26,-0.013
2016-01-27,-0.01
2016-01-28,-0.031
2016-01-29,-0.072
2016-02-01,-0.158
2016-02-02,-0.145
2016-02-03,-0.174
2016-02-04,-0.17
2016-02-05,-0.191
2016-02-08,-0.188
2016-02-09,-0.24
2016-02-10,-0.217
2016-02-11,-0.217
2016-02-12,-0.155
2016-02-15,-0.138
2016-02-16,-0.163
2016-02-17,-0.142
2016-02-18,-0.185
2016-02-19,-0.195
2016-02-22,-0.207
2016-02-23,-0.197
2016-02-24,-0.217
2016-02-25,-0.22
2016-02-26,-0.226
2016-02-29,-0.235
2016-03-01,-0.217
2016-03-02,-0.209
2016-03-03,-0.185
2016-03-04,-0.201
2016-03-07,-0.21
2016-03-08,-0.232
2016-03-09,-0.157
2016-03-10,-0.167
2016-03-11,-0.155
2016-03-14,-0.17
2016-03-15,-0.145
2016-03-16,-0.182
2016-03-17,-0.208
2016-03-18,-0.234
2016-03-21,-0.234
2016-03-22,-0.205
2016-03-23,-0.233
2016-03-24,-0.211
2016-03-25,-0.24
2016-03-28,-0.223
2016-03-29,-0.218
2016-03-30,-0.224
2016-03-31,-0.184
2016-04-01,-0.223
2016-04-04,-0.225
2016-04-05,-0.218
2016-04-06,-0.229
2016-04-07,-0.24
2016-04-08,-0.252
2016-04-11,-0.244
2016-04-12,-0.251
2016-04-13,-0.24
2016-04-14,-0.262
2016-04-15,-0.248
2016-04-18,-0.251
2016-04-19,-0.264
2016-04-20,-0.263
2016-04-21,-0.257
2016-04-22,-0.281
2016-04-25,-0.256
2016-04-26,-0.263
2016-04-27,-0.233
2016-04-28,-0.236
2016-04-29,-0.236
2016-05-02,-0.239
2016-05-03,-0.239
2016-05-04,-0.239
2016-05-05,-0.239
2016-05-06,-0.248
2016-05-09,-0.241
2016-05-10,-0.244
2016-05-11,-0.235
2016-05-12,-0.253
2016-05-13,-0.25
2016-05-16,-0.245
2016-05-17,-0.24
2016-05-18,-0.24
2016-05-19,-0.225
2016-05-20,-0.244
2016-05-23,-0.233
2016-05-24,-0.234
2016-05-25,-0.226
2016-05-26,-0.225
2016-05-27,-0.237
2016-05-30,-0.23
2016-05-31,-0.233
2016-06-01,-0.24
2016-06-02,-0.234
2016-06-03,-0.23
2016-06-06,-0.239
2016-06-07,-0.239
2016-06-08,-0.239
2016-06-09,-0.244
2016-06-10,-0.269
2016-06-13,-0.265
2016-06-14,-0.273
2016-06-15,-0.277
2016-06-16,-0.27
2016-06-17,-0.249
2016-06-20,-0.246
2016-06-21,-0.243
2016-06-22,-0.23
2016-06-23,-0.225
2016-06-24,-0.27
2016-06-27,-0.28
2016-06-28,-0.296
2016-06-29,-0.297
2016-06-30,-0.295
2016-07-01,-0.328
2016-07-04,-0.324
2016-07-05,-0.325
2016-07-06,-0.33
2016-07-07,-0.341
2016-07-08,-0.351
2016-07-11,-0.346
2016-07-12,-0.346
2016-07-13,-0.351
2016-07-14,-0.345
2016-07-15,-0.33
2016-07-18,-0.33
2016-07-19,-0.319
2016-07-20,-0.322
2016-07-21,-0.316
2016-07-22,-0.326
