Date,Value
2016-02-18,1.136
2016-02-19,1.127
2016-02-22,1.116
2016-02-23,1.131
2016-02-24,1.088
2016-02-25,1.085
2016-02-26,1.086
2016-02-29,1.039
2016-03-01,1.039
2016-03-02,1.064
2016-03-03,1.049
2016-03-04,1.069
2016-03-07,1.058
2016-03-08,1.045
2016-03-09,1.084
2016-03-10,1.081
2016-03-11,1.101
2016-03-14,1.096
2016-03-15,1.09
2016-03-16,1.08
2016-03-17,0.968
2016-03-18,0.977
2016-03-21,0.976
2016-03-22,0.967
2016-03-23,0.966
2016-03-24,0.932
2016-03-25,0.932
2016-03-28,0.932
2016-03-29,0.903
2016-03-30,0.899
2016-03-31,0.892
2016-04-01,0.884
2016-04-04,0.903
2016-04-05,0.886
2016-04-06,0.893
2016-04-07,0.882
2016-04-08,0.913
2016-04-11,0.935
2016-04-12,0.954
2016-04-13,0.964
2016-04-14,0.995
2016-04-15,0.967
2016-04-18,0.988
2016-04-19,1.002
2016-04-20,1.01
2016-04-21,1.053
2016-04-22,1.057
2016-04-25,1.087
2016-04-26,1.132
2016-04-27,1.149
2016-04-28,1.13
2016-04-29,1.181
2016-05-02,1.172
2016-05-03,1.137
2016-05-04,1.129
2016-05-05,1.129
2016-05-06,1.098
2016-05-09,1.086
2016-05-10,1.074
2016-05-11,1.07
2016-05-12,1.1
2016-05-13,1.108
2016-05-16,1.122
2016-05-17,1.111
2016-05-18,1.129
2016-05-19,1.114
2016-05-20,1.131
2016-05-23,1.137
2016-05-24,1.139
2016-05-25,1.135
2016-05-26,1.135
2016-05-27,1.122
2016-05-30,1.121
2016-05-31,1.094
2016-06-01,1.062
2016-06-02,1.038
2016-06-03,0.998
2016-06-06,0.999
2016-06-07,0.987
2016-06-08,0.948
2016-06-09,0.936
2016-06-10,0.932
2016-06-13,0.915
2016-06-14,0.894
2016-06-15,0.905
2016-06-16,0.889
2016-06-17,0.896
2016-06-20,0.917
2016-06-21,0.917
2016-06-22,0.953
2016-06-23,0.985
2016-06-24,0.884
2016-06-27,0.838
2016-06-28,0.835
2016-06-29,0.811
2016-06-30,0.786
2016-07-01,0.755
2016-07-04,0.743
2016-07-05,0.709
2016-07-06,0.68
2016-07-07,0.693
2016-07-08,0.674
2016-07-11,0.672
2016-07-12,0.699
2016-07-13,0.685
2016-07-14,0.715
2016-07-15,0.737
2016-07-18,0.724
2016-07-19,0.71
2016-07-20,0.718
2016-07-21,0.77
2016-07-22,0.763
2016-07-25,0.754
2016-07-26,0.752
2016-07-27,0.74
2016-07-28,0.729
2016-07-29,0.733
2016-08-01,0.73
2016-08-02,0.77
2016-08-03,0.775
2016-08-04,0.762
2016-08-05,0.772
2016-08-08,0.778
2016-08-09,0.773
2016-08-10,0.786
2016-08-11,0.812
2016-08-12,0.799
2016-08-15,0.813
2016-08-16,0.839
2016-08-17,0.834
2016-08-18,0.803
2016-08-19,0.816
2016-08-22,0.804
2016-08-23,0.805
2016-08-24,0.839
2016-08-25,0.857
2016-08-26,0.858
2016-08-29,0.881
2016-08-30,0.851
2016-08-31,0.88
2016-09-01,0.905
2016-09-02,0.912
2016-09-05,0.932
2016-09-06,0.911
2016-09-07,0.921
2016-09-08,0.962
2016-09-09,1.017
2016-09-12,1.038
2016-09-13,1.052
2016-09-14,1.044
2016-09-15,1.067
2016-09-16,1.042
2016-09-19,1.062
2016-09-20,1.05
2016-09-21,1.052
2016-09-22,1.028
2016-09-23,1.017
2016-09-26,0.997
2016-09-27,0.985
2016-09-28,0.998
2016-09-29,1.026
2016-09-30,1.023
2016-10-03,1.06
2016-10-04,1.068
2016-10-05,1.086
2016-10-06,1.068
2016-10-07,1.073
2016-10-10,1.077
2016-10-11,1.064
2016-10-12,1.072
2016-10-13,1.046
2016-10-14,1.064
2016-10-17,1.106
2016-10-18,1.121
2016-10-19,1.1
2016-10-20,1.086
2016-10-21,1.071
2016-10-24,1.066
2016-10-25,1.069
2016-10-26,1.122
2016-10-27,1.166
2016-10-28,1.155
2016-10-31,1.154
2016-11-01,1.164
2016-11-02,1.138
2016-11-03,1.152
2016-11-04,1.15
2016-11-07,1.155
2016-11-08,1.175
2016-11-09,1.234
2016-11-10,1.325
2016-11-11,1.358
2016-11-14,1.406
2016-11-15,1.372
2016-11-16,1.4
2016-11-17,1.376
2016-11-18,1.371
2016-11-21,1.399
2016-11-22,1.383
2016-11-23,1.356
2016-11-24,1.357
2016-11-25,1.366
2016-11-28,1.351
2016-11-29,1.353
2016-11-30,1.385
2016-12-01,1.442
2016-12-02,1.432
2016-12-05,1.499
2016-12-06,1.506
