Date,Value
2016-01-01,2.995
2016-01-04,2.995
2016-01-05,2.9
2016-01-06,2.84
2016-01-07,2.811
2016-01-08,2.835
2016-01-11,2.803
2016-01-12,2.825
2016-01-13,2.805
2016-01-14,2.741
2016-01-15,2.753
2016-01-18,2.704
2016-01-19,2.726
2016-01-20,2.659
2016-01-21,2.704
2016-01-22,2.711
2016-01-25,2.727
2016-01-26,2.733
2016-01-27,2.746
2016-01-28,2.746
2016-01-29,2.726
2016-02-01,2.698
2016-02-02,2.706
2016-02-03,2.643
2016-02-04,2.677
2016-02-05,2.689
2016-02-08,2.696
2016-02-09,2.589
2016-02-10,2.621
2016-02-11,2.606
2016-02-12,2.575
2016-02-15,2.635
2016-02-16,2.637
2016-02-17,2.616
2016-02-18,2.645
2016-02-19,2.599
2016-02-22,2.606
2016-02-23,2.581
2016-02-24,2.532
2016-02-25,2.497
2016-02-26,2.487
2016-02-29,2.467
2016-03-01,2.428
2016-03-02,2.475
2016-03-03,2.491
2016-03-04,2.488
2016-03-07,2.508
2016-03-08,2.484
2016-03-09,2.46
2016-03-10,2.331
2016-03-11,2.394
2016-03-14,2.427
2016-03-15,2.428
2016-03-16,2.455
2016-03-17,2.401
2016-03-18,2.362
2016-03-21,2.357
2016-03-22,2.372
2016-03-23,2.408
2016-03-24,2.385
2016-03-25,2.38
2016-03-28,2.387
2016-03-29,2.389
2016-03-30,2.323
2016-03-31,2.276
2016-04-01,2.282
2016-04-04,2.226
2016-04-05,2.216
2016-04-06,2.217
2016-04-07,2.225
2016-04-08,2.196
2016-04-11,2.205
2016-04-12,2.226
2016-04-13,2.275
2016-04-14,2.241
2016-04-15,2.244
2016-04-18,2.21
2016-04-19,2.247
2016-04-20,2.235
2016-04-21,2.247
2016-04-22,2.25
2016-04-25,2.258
2016-04-26,2.292
2016-04-27,2.279
2016-04-28,2.263
2016-04-29,2.254
2016-05-02,2.256
2016-05-03,2.284
2016-05-04,2.211
2016-05-05,2.176
2016-05-06,2.09
2016-05-09,2.114
2016-05-10,2.087
2016-05-11,2.101
2016-05-12,2.111
2016-05-13,2.137
2016-05-16,2.115
2016-05-17,2.146
2016-05-18,2.173
2016-05-19,2.239
2016-05-20,2.223
2016-05-23,2.262
2016-05-24,2.246
2016-05-25,2.248
2016-05-26,2.171
2016-05-27,2.128
2016-05-30,2.145
2016-05-31,2.166
2016-06-01,2.18
2016-06-02,2.17
2016-06-03,2.155
2016-06-06,2.151
2016-06-07,2.126
2016-06-08,2.149
2016-06-09,2.18
2016-06-10,2.152
2016-06-13,2.135
2016-06-14,2.125
2016-06-15,2.14
2016-06-16,2.112
2016-06-17,2.127
2016-06-20,2.136
2016-06-21,2.167
2016-06-22,2.192
2016-06-23,2.21
