Date,Value
2016-01-01,-0.439
2016-01-04,-0.479
2016-01-05,-0.504
2016-01-06,-0.51
2016-01-07,-0.502
2016-01-08,-0.507
2016-01-11,-0.506
2016-01-12,-0.507
2016-01-13,-0.509
2016-01-14,-0.522
2016-01-15,-0.529
2016-01-18,-0.519
2016-01-19,-0.497
2016-01-20,-0.523
2016-01-21,-0.537
2016-01-22,-0.52
2016-01-25,-0.521
2016-01-26,-0.521
2016-01-27,-0.508
2016-01-28,-0.526
2016-01-29,-0.554
2016-02-01,-0.541
2016-02-02,-0.547
2016-02-03,-0.555
2016-02-04,-0.548
2016-02-05,-0.562
2016-02-08,-0.571
2016-02-09,-0.579
2016-02-10,-0.582
2016-02-11,-0.626
2016-02-12,-0.614
2016-02-15,-0.611
2016-02-16,-0.61
2016-02-17,-0.607
2016-02-18,-0.592
2016-02-19,-0.598
2016-02-22,-0.606
2016-02-23,-0.592
2016-02-24,-0.599
2016-02-25,-0.623
2016-02-26,-0.623
2016-02-29,-0.605
2016-03-01,-0.598
2016-03-02,-0.604
2016-03-03,-0.614
2016-03-04,-0.606
2016-03-07,-0.608
2016-03-08,-0.625
2016-03-09,-0.621
2016-03-10,-0.602
2016-03-11,-0.607
2016-03-14,-0.613
2016-03-15,-0.6
2016-03-16,-0.613
2016-03-17,-0.628
2016-03-18,-0.638
2016-03-21,-0.635
2016-03-22,-0.639
2016-03-23,-0.637
2016-03-24,-0.626
2016-03-25,-0.626
2016-03-28,-0.626
2016-03-29,-0.65
2016-03-30,-0.646
2016-03-31,-0.637
2016-04-01,-0.64
2016-04-04,-0.641
2016-04-05,-0.648
2016-04-06,-0.653
2016-04-07,-0.636
2016-04-08,-0.637
2016-04-11,-0.64
2016-04-12,-0.628
2016-04-13,-0.615
2016-04-14,-0.603
2016-04-15,-0.608
2016-04-18,-0.619
2016-04-19,-0.612
2016-04-20,-0.613
2016-04-21,-0.608
2016-04-22,-0.601
2016-04-25,-0.603
2016-04-26,-0.599
2016-04-27,-0.602
2016-04-28,-0.597
2016-04-29,-0.597
2016-05-02,-0.581
2016-05-03,-0.601
2016-05-04,-0.605
2016-05-05,-0.605
2016-05-06,-0.604
2016-05-09,-0.609
2016-05-10,-0.601
2016-05-11,-0.603
2016-05-12,-0.601
2016-05-13,-0.599
2016-05-16,-0.604
2016-05-17,-0.601
2016-05-18,-0.602
2016-05-19,-0.601
2016-05-20,-0.593
2016-05-23,-0.598
2016-05-24,-0.593
2016-05-25,-0.593
2016-05-26,-0.6
2016-05-27,-0.59
2016-05-30,-0.584
2016-05-31,-0.598
2016-06-01,-0.594
2016-06-02,-0.602
2016-06-03,-0.613
2016-06-06,-0.613
2016-06-07,-0.62
