Date,Value
2016-01-01,-0.791
2016-01-04,-0.812
2016-01-05,-0.829
2016-01-06,-0.85
2016-01-07,-0.842
2016-01-08,-0.878
2016-01-11,-0.864
2016-01-12,-0.865
2016-01-13,-0.877
2016-01-14,-0.869
2016-01-15,-0.881
2016-01-18,-0.867
2016-01-19,-0.88
2016-01-20,-0.904
2016-01-21,-0.948
2016-01-22,-0.927
2016-01-25,-0.935
2016-01-26,-0.931
2016-01-27,-0.893
2016-01-28,-0.887
2016-01-29,-0.928
2016-02-01,-0.929
2016-02-02,-0.895
2016-02-03,-0.91
2016-02-04,-0.897
2016-02-05,-0.915
2016-02-08,-0.95
2016-02-09,-0.958
2016-02-10,-0.926
2016-02-11,-0.975
2016-02-12,-0.936
2016-02-15,-0.969
2016-02-16,-0.967
2016-02-17,-0.972
2016-02-18,-0.974
2016-02-19,-0.975
2016-02-22,-1.04
2016-02-23,-1.066
2016-02-24,-1.074
2016-02-25,-1.074
2016-02-26,-1.058
2016-02-29,-1.084
2016-03-01,-1.064
2016-03-02,-1.057
2016-03-03,-1.06
2016-03-04,-1.04
2016-03-07,-1.028
2016-03-08,-1.037
2016-03-09,-1.007
2016-03-10,-0.932
2016-03-11,-0.943
2016-03-14,-0.92
2016-03-15,-0.91
2016-03-16,-0.924
2016-03-17,-0.92
2016-03-18,-0.931
2016-03-21,-0.94
2016-03-22,-0.943
2016-03-23,-0.92
2016-03-24,-0.915
2016-03-25,-0.915
2016-03-28,-0.915
2016-03-29,-0.873
2016-03-30,-0.863
2016-03-31,-0.864
2016-04-01,-0.865
2016-04-04,-0.839
2016-04-05,-0.852
2016-04-06,-0.85
2016-04-07,-0.868
2016-04-08,-0.863
2016-04-11,-0.863
2016-04-12,-0.859
2016-04-13,-0.873
2016-04-14,-0.871
2016-04-15,-0.875
2016-04-18,-0.862
2016-04-19,-0.862
2016-04-20,-0.865
2016-04-21,-0.85
2016-04-22,-0.834
2016-04-25,-0.829
2016-04-26,-0.813
2016-04-27,-0.838
2016-04-28,-0.812
2016-04-29,-0.812
2016-05-02,-0.799
2016-05-03,-0.802
2016-05-04,-0.809
2016-05-05,-0.832
2016-05-06,-0.827
2016-05-09,-0.85
2016-05-10,-0.859
2016-05-11,-0.777
2016-05-12,-0.85
2016-05-13,-0.856
2016-05-16,-0.856
2016-05-17,-0.845
2016-05-18,-0.84
2016-05-19,-0.836
2016-05-20,-0.819
2016-05-23,-0.811
2016-05-24,-0.799
2016-05-25,-0.8
2016-05-26,-0.792
2016-05-27,-0.783
2016-05-30,-0.79
2016-05-31,-0.817
2016-06-01,-0.817
2016-06-02,-0.813
2016-06-03,-0.828
2016-06-06,-0.858
2016-06-07,-0.775
2016-06-08,-0.868
2016-06-09,-0.903
2016-06-10,-0.909
2016-06-13,-0.931
2016-06-14,-0.944
2016-06-15,-0.968
2016-06-16,-1.001
2016-06-17,-0.999
2016-06-20,-0.905
2016-06-21,-0.927
2016-06-22,-0.971
2016-06-23,-0.893
2016-06-24,-0.964
2016-06-27,-0.999
2016-06-28,-0.969
2016-06-29,-0.97
2016-06-30,-1.071
2016-07-01,-1.06
2016-07-04,-1.061
2016-07-05,-1.037
2016-07-06,-1.041
2016-07-07,-1.015
2016-07-08,-1.022
2016-07-11,-1.014
2016-07-12,-0.986
2016-07-13,-0.981
2016-07-14,-0.951
2016-07-15,-0.933
2016-07-18,-0.959
2016-07-19,-0.928
2016-07-20,-0.89
2016-07-21,-0.866
2016-07-22,-0.87
