Date,Value
2016-11-15,3.724
2016-11-25,4.232
2016-12-01,4.225
2016-12-02,4.258
2016-12-06,4.256
2016-12-07,4.225
2016-12-08,4.04
2016-12-09,4.017
2016-12-16,4.135
2016-12-19,4.115
2016-12-20,4.113
2016-12-23,4.085
2017-01-03,3.958
2017-01-04,3.959
2017-01-05,3.795
2017-01-06,3.65
2017-01-09,3.718
2017-01-10,3.717
2017-01-11,3.699
2017-01-12,3.717
2017-01-13,3.724
2017-01-26,3.972
2017-01-27,3.957
2017-01-30,3.952
2017-01-31,3.942
2017-02-01,3.925
2017-02-02,3.879
2017-02-03,3.872
2017-02-06,3.847
2017-02-07,3.837
2017-02-08,3.832
2017-02-09,3.8
2017-02-10,3.818
2017-02-13,3.882
2017-02-14,3.87
2017-02-15,3.899
2017-02-16,3.92
2017-02-17,3.94
2017-02-20,3.949
2017-02-21,3.984
2017-02-22,4.05
2017-02-23,3.99
2017-02-24,3.953
2017-02-27,3.943
2017-02-28,3.945
2017-03-01,3.985
2017-03-02,3.992
2017-03-03,4.021
2017-03-06,4.033
2017-03-07,4.055
2017-03-08,4.069
2017-03-09,4.095
2017-03-10,4.136
2017-03-13,4.098
2017-03-14,4.135
2017-03-15,4.148
2017-03-16,4.029
2017-03-17,4.047
2017-03-20,4.051
2017-03-21,4.166
2017-03-22,4.192
2017-03-23,4.259
2017-03-24,4.284
2017-03-27,4.198
2017-03-28,4.292
2017-03-29,4.315
2017-03-30,4.267
2017-03-31,4.253
2017-04-03,4.252
2017-04-04,4.218
2017-04-05,4.23
2017-04-06,4.214
2017-04-07,4.216
2017-04-10,4.245
2017-04-11,4.242
2017-04-12,4.291
2017-04-17,4.267
2017-04-18,4.262
2017-04-19,4.275
2017-04-20,4.279
2017-04-21,4.299
2017-04-24,4.283
2017-04-25,4.279
2017-04-26,4.27
2017-04-27,4.267
2017-05-02,4.276
2017-05-03,4.259
2017-05-04,4.239
2017-05-05,4.239
2017-05-08,4.246
2017-05-09,4.248
2017-05-10,4.249
2017-05-11,4.246
2017-05-12,4.261
2017-05-15,4.252
2017-05-16,4.246
2017-05-17,4.213
2017-05-18,4.197
2017-05-19,4.201
2017-05-22,4.177
2017-05-23,4.157
2017-05-24,4.17
2017-05-25,4.142
2017-05-26,4.154
2017-05-29,4.134
2017-05-30,4.132
2017-05-31,4.141
2017-06-01,4.143
2017-06-02,4.157
2017-06-05,4.107
2017-06-06,4.042
2017-06-07,4.042
2017-06-09,4.067
2017-06-13,4.076
2017-06-15,4.017
2017-06-16,4.02
2017-06-20,4.053
2017-06-21,4.037
2017-06-22,4.039
2017-06-23,4.027
2017-06-27,4.025
2017-06-28,4.035
